date,open,high,low,close,volume
2021-02-19,10.6,10.72,10.6,10.71,7355900
2021-02-22,10.63,10.67,10.56,10.61,1877100
2021-02-23,10.52,10.59,10.5,10.57,404600
2021-02-24,10.66,10.66,10.55,10.57,555600
2021-02-25,10.55,10.56,10.35,10.35,366500
2021-02-26,10.31,10.36,10.135,10.23,477700
2021-03-01,10.28,10.37,10.25,10.3,281300
2021-03-02,10.25,10.48,10.15,10.16,412600
2021-03-03,10.3,10.3,10.1,10.1,390900
2021-03-04,10.12,10.19,10,10.06,460200
2021-03-05,10.07,10.25,9.91,10.11,1228500
2021-03-08,10.1,10.22,10.081,10.16,220900
2021-03-09,10.155,10.205,10.09,10.1,249800
2021-03-10,10.05,10.08,10.03,10.04,466600
2021-03-11,10.05,10.1,10.05,10.06,22600
2021-03-12,10.05,10.18,10.03,10.15,16100
2021-03-15,10.2,10.2,10.06,10.11,243500
2021-03-16,10.07,10.113,10.06,10.08,4800
2021-03-17,10.1,10.13,10.09,10.1,53000
2021-03-18,10.09,10.09,10.03,10.05,6800
2021-03-19,10.05,10.125,9.99,10.02,44500
2021-03-22,9.98,10.02,9.95,10,68500
2021-03-23,10.03,10.045,9.95,10.01,208500
2021-03-24,10.01,10.01,9.83,9.83,172400
2021-03-25,9.71,9.85,9.71,9.85,6000
2021-03-26,9.87,10.09,9.87,9.92,155600
2021-03-29,9.97,10.12,9.89,9.95,25700
2021-03-30,9.9,9.98,9.86,9.86,92500
2021-03-31,9.85,9.945,9.85,9.92,26300
2021-04-01,9.94,9.95,9.91,9.95,8400
2021-04-05,10,10.03,10,10,8100
2021-04-06,10,10.02,9.96,10.01,2900
2021-04-07,10.02,10.03,9.984,10.02,14100
2021-04-08,10.01,10.01,9.96,10.01,4000
2021-04-09,9.98,10,9.98,10,59200
2021-04-12,9.987,10.042,9.98,10,193800
2021-04-13,9.996,9.996,9.96,9.97,3300
2021-04-14,10.09,10.12,10,10,47100
2021-04-15,9.967,9.99,9.96,9.98,4700
2021-04-16,10,10,9.977,10,14600
2021-04-19,9.98,10,9.98,9.99,54200
2021-04-20,9.99,10,9.99,9.995,16900
2021-04-21,9.99,10,9.99,10,3700
2021-04-22,9.98,10,9.95,9.96,33800
2021-04-23,9.96,9.96,9.96,9.96,0
2021-04-26,9.97,10.03,9.95,9.97,31700
2021-04-27,9.95,10.06,9.95,9.97,235900
2021-04-28,10.002,10.002,9.95,9.95,4100
2021-04-29,9.975,10,9.95,10,20200
2021-04-30,9.97,10,9.97,10,2200
2021-05-03,9.96,10,9.96,10,3900
2021-05-04,10.06,10.06,9.995,10,700
2021-05-05,10,10,9.975,10,151900
2021-05-06,9.983,10.06,9.95,10.025,35500
2021-05-07,10.06,10.06,9.96,10,6600
2021-05-10,10.02,10.02,10.02,10.02,1600
2021-05-11,9.95,10,9.95,9.969,5900
2021-05-12,10.02,10.02,10.02,10.02,600
2021-05-13,9.963,9.99,9.963,9.99,1300
2021-05-14,9.95,10,9.95,9.99,34800
2021-05-17,9.95,9.96,9.932,9.95,5800
2021-05-18,9.95,10,9.94,10,154300
2021-05-19,9.949,9.95,9.94,9.94,1100
2021-05-20,9.94,9.94,9.94,9.94,400
2021-05-21,9.95,9.99,9.91,9.98,2500
2021-05-24,9.94,9.98,9.94,9.98,300
2021-05-25,9.94,10,9.9,10,5500
2021-05-26,9.94,10,9.94,10,11300
2021-05-27,9.94,9.97,9.94,9.97,300
2021-05-28,9.94,9.96,9.94,9.96,600
2021-06-01,9.95,9.95,9.92,9.95,10000
2021-06-02,9.94,9.95,9.93,9.94,4800
2021-06-03,9.91,9.97,9.91,9.97,1000
2021-06-04,9.92,9.98,9.92,9.98,14900
2021-06-07,9.92,9.97,9.92,9.97,500
2021-06-08,9.92,9.94,9.9,9.94,6500
2021-06-09,9.94,9.97,9.93,9.968,16700
2021-06-10,9.97,9.98,9.91,9.98,2900
2021-06-11,9.95,9.99,9.91,9.98,6300
2021-06-14,9.98,9.99,9.97,9.99,22600
2021-06-15,9.93,9.99,9.93,9.99,74300
2021-06-16,9.98,9.98,9.98,9.98,400
2021-06-17,9.98,9.99,9.96,9.99,19400
2021-06-18,9.99,9.99,9.92,9.99,6800
2021-06-21,9.93,9.95,9.93,9.95,6000
2021-06-22,9.94,9.99,9.94,9.99,11000
2021-06-23,9.96,9.96,9.96,9.96,700
2021-06-24,9.96,9.99,9.935,9.98,277300
2021-06-25,9.93,9.93,9.93,9.93,500
2021-06-28,9.99,10.01,9.97,10.01,48000
2021-06-29,9.98,9.99,9.98,9.98,72700
2021-06-30,9.99,9.99,9.99,9.99,12800
2021-07-01,9.99,9.99,9.98,9.99,16600
2021-07-02,9.99,9.99,9.99,9.99,2000
2021-07-06,9.99,10.05,9.97,10.03,38000
2021-07-07,10,10,9.95,10,23700
2021-07-08,9.97,10,9.955,9.99,31000
2021-07-09,9.98,10.03,9.98,10.03,3100
2021-07-12,10.03,10.05,10.005,10.01,7600
2021-07-13,10.03,10.03,9.98,9.99,6100
2021-07-14,9.91,9.96,9.91,9.96,500
2021-07-15,9.93,10.03,9.93,10.03,2100
2021-07-16,10.03,10.03,10.03,10.03,300
2021-07-19,9.97,9.98,9.91,9.95,1400
2021-07-20,9.93,10.02,9.91,10.02,51400
2021-07-21,10.03,10.03,10.02,10.02,800
2021-07-22,10.02,10.02,10.02,10.02,100
2021-07-23,10.02,10.02,10.02,10.02,100
2021-07-26,10,10.01,9.96,10.01,5500
2021-07-27,10,10.01,9.85,9.85,11000
2021-07-28,9.99,10.01,9.99,10.01,1600
2021-07-29,9.99,10.02,9.98,10,276500
2021-07-30,9.96,10,9.96,10,4300
2021-08-02,9.99,10,9.99,10,5800
2021-08-03,9.95,10,9.95,10,600
2021-08-04,9.99,10,9.99,9.99,32100
2021-08-05,9.99,9.99,9.99,9.99,0
2021-08-06,9.95,10,9.9,10,1700
2021-08-09,9.99,9.99,9.99,9.99,13400
2021-08-10,9.95,9.96,9.9,9.955,7700
2021-08-11,9.9,9.91,9.9,9.91,300
