date,open,high,low,close,volume
2021-03-08,9.71,9.78,9.68,9.75,62900
2021-03-09,9.753,9.852,9.71,9.8,57900
2021-03-10,9.81,9.945,9.77,9.89,31900
2021-03-11,9.9,9.95,9.81,9.81,54500
2021-03-12,9.92,9.97,9.7,9.75,27600
2021-03-15,9.8,9.825,9.65,9.73,189000
2021-03-16,9.75,9.75,9.67,9.73,3700
2021-03-17,9.67,9.72,9.66,9.71,79700
2021-03-18,9.67,9.72,9.67,9.72,5600
2021-03-19,9.72,9.73,9.67,9.69,13500
2021-03-22,9.7,9.7,9.67,9.67,102300
2021-03-23,9.7,9.7,9.58,9.58,248600
2021-03-24,9.7,9.7,9.53,9.61,419700
2021-03-25,9.56,9.64,9.56,9.64,160600
2021-03-26,9.56,9.87,9.542,9.87,1256800
2021-03-29,9.76,9.76,9.61,9.69,32800
2021-03-30,9.61,9.68,9.46,9.63,35100
2021-03-31,9.63,9.68,9.6,9.66,88400
2021-04-01,9.72,9.76,9.72,9.72,2800
2021-04-05,9.75,9.76,9.75,9.76,3200
