date,open,high,low,close,volume
2021-02-19,10.25,10.52,10.13,10.2,242700
2021-02-22,10.28,10.3,10.16,10.18,282100
2021-02-23,10.17,10.24,10.13,10.24,462700
2021-02-24,10.15,10.24,10.15,10.19,170700
2021-02-25,10.22,10.22,10.02,10.06,390400
2021-02-26,10.12,10.12,9.92,10.03,402600
2021-03-01,10.07,10.16,9.96,10.07,1350300
2021-03-02,10.09,10.13,9.96,10.04,983400
2021-03-03,10.03,10.1,10.01,10.06,590400
2021-03-04,10.06,10.09,9.76,9.93,682000
2021-03-05,9.92,9.97,9.78,9.97,205300
2021-03-08,9.98,10.02,9.95,9.96,149700
2021-03-09,9.97,10,9.95,9.96,92100
2021-03-10,9.96,9.99,9.92,9.95,105700
2021-03-11,9.936,9.97,9.86,9.87,275400
2021-03-12,9.868,9.95,9.86,9.95,313300
2021-03-15,9.93,9.97,9.87,9.9,26100
2021-03-16,9.94,9.94,9.82,9.85,129000
2021-03-17,9.85,9.9,9.76,9.89,111700
2021-03-18,9.9,9.9,9.81,9.83,9200
2021-03-19,9.808,9.87,9.807,9.85,24900
2021-03-22,9.88,9.88,9.8,9.86,8300
2021-03-23,9.83,9.86,9.65,9.7,146000
2021-03-24,9.71,9.85,9.65,9.7,77200
2021-03-25,9.629,9.71,9.49,9.7,103700
2021-03-26,9.73,9.83,9.664,9.78,50900
2021-03-29,9.72,9.85,9.68,9.69,28900
2021-03-30,9.75,9.84,9.71,9.8,295700
2021-03-31,9.77,9.8,9.76,9.79,139300
2021-04-01,9.8,9.85,9.76,9.84,77800
2021-04-05,9.8,9.82,9.8,9.8,35900
