date,open,high,low,close,volume
2020-12-17,10.5,10.583,10.35,10.36,5121800
2020-12-18,10.62,10.693,10.33,10.35,531600
2020-12-21,10.35,10.35,10.27,10.29,188000
2020-12-22,10.35,10.53,10.3,10.39,389100
2020-12-23,10.32,10.49,10.3,10.37,203300
2020-12-24,10.4,10.49,10.38,10.4,154100
2020-12-28,10.43,10.5,10.39,10.43,494500
2020-12-29,10.48,10.6,10.36,10.4,433200
2020-12-30,10.4,10.5,10.37,10.41,224800
2020-12-31,10.4,10.545,10.39,10.45,73200
2021-01-04,10.52,10.55,10.37,10.42,140000
2021-01-05,10.45,10.499,10.37,10.4,41100
2021-01-06,10.36,10.45,10.32,10.32,114100
2021-01-07,10.4,10.5,10.36,10.42,283700
2021-01-08,10.49,10.53,10.45,10.515,100000
2021-01-11,10.43,10.64,10.43,10.57,174900
2021-01-12,10.64,10.9,10.6,10.74,444800
2021-01-13,10.72,10.73,10.62,10.62,67800
2021-01-14,10.72,10.73,10.53,10.58,273300
2021-01-15,10.59,10.6,10.45,10.54,898500
2021-01-19,10.69,10.75,10.56,10.6,268500
2021-01-20,10.65,10.7,10.52,10.61,159100
2021-01-21,10.62,10.71,10.62,10.66,149400
2021-01-22,10.65,10.92,10.65,10.75,349300
2021-01-25,10.87,10.95,10.79,10.81,287600
2021-01-26,10.85,10.93,10.65,10.65,414400
2021-01-27,10.61,10.61,10.48,10.55,668900
2021-01-28,10.58,10.65,10.5,10.5,539000
2021-01-29,10.45,10.575,10.45,10.5,158100
2021-02-01,10.62,10.64,10.47,10.6,330400
2021-02-02,10.55,10.64,10.45,10.62,219200
2021-02-03,10.64,10.69,10.58,10.67,69100
2021-02-04,10.68,10.75,10.62,10.63,171500
2021-02-05,10.65,10.75,10.575,10.63,124500
2021-02-08,10.71,10.74,10.53,10.67,417100
2021-02-09,10.66,10.74,10.58,10.72,143600
2021-02-10,10.72,10.76,10.65,10.75,117500
2021-02-11,10.69,10.73,10.55,10.63,128700
2021-02-12,10.66,10.69,10.6,10.65,60000
2021-02-16,10.68,10.82,10.66,10.69,360300
2021-02-17,10.65,10.7,10.58,10.58,178800
2021-02-18,10.62,10.7,10.56,10.69,224600
2021-02-19,10.7,10.9,10.69,10.76,408100
2021-02-22,10.8,10.95,10.8,10.87,394300
2021-02-23,10.76,10.85,10.72,10.72,463400
2021-02-24,10.74,10.88,10.74,10.79,136000
2021-02-25,10.79,10.82,10.52,10.61,555600
2021-02-26,10.56,10.64,10.41,10.42,379500
2021-03-01,10.56,10.65,10.41,10.5,793600
2021-03-02,10.51,10.647,10.47,10.47,632800
2021-03-03,10.56,10.57,10.45,10.47,148200
2021-03-04,10.4,10.414,10.03,10.24,331700
2021-03-05,10.27,10.31,10.04,10.27,185100
2021-03-08,10.27,10.41,10.236,10.24,15900
2021-03-09,10.27,10.32,10.22,10.28,57400
2021-03-10,10.28,10.341,10.28,10.29,33500
2021-03-11,10.329,10.329,10.24,10.24,21100
2021-03-12,10.263,10.35,10.25,10.32,107700
2021-03-15,10.37,10.39,10.26,10.3,34300
2021-03-16,10.3,10.3,10.15,10.19,63100
2021-03-17,10.2,10.25,10.1,10.2,74700
2021-03-18,10.17,10.241,10.14,10.15,9200
2021-03-19,10.25,10.25,10.17,10.17,2400
2021-03-22,10.2,10.24,10.18,10.223,6200
2021-03-23,10.205,10.21,10.05,10.05,100800
2021-03-24,10.04,10.09,9.95,10.03,37400
2021-03-25,9.93,10.06,9.79,10.06,25800
2021-03-26,10.01,10.13,9.95,10.105,11900
2021-03-29,10.01,10.12,10,10,4100
2021-03-30,10.044,10.09,10.03,10.06,61900
2021-03-31,10.04,10.1,10.04,10.1,8500
2021-04-01,10.06,10.223,10.05,10.17,6800
2021-04-05,10.057,10.11,10.05,10.11,1400
2021-04-06,10.07,10.125,10.07,10.11,2900
2021-04-07,10.03,10.15,10.01,10.12,6400
2021-04-08,10.21,10.21,10.073,10.21,10000
2021-04-09,10.26,10.26,10.15,10.15,2600
2021-04-12,10.25,10.39,10.25,10.39,2500
2021-04-13,10.25,10.25,10.14,10.14,1500
2021-04-14,10.24,10.25,10.18,10.18,4500
2021-04-15,10.21,10.21,10.16,10.16,1000
2021-04-16,10.15,10.18,10.12,10.13,4100
2021-04-19,10.09,10.143,10.05,10.05,3500
