date,open,high,low,close,volume
2020-10-30,9.8,9.8,9.75,9.75,2000
2020-11-02,9.76,9.8,9.7,9.7,1100
2020-11-03,9.7,9.74,9.65,9.7,100500
2020-11-04,9.7,9.7,9.7,9.7,70600
2020-11-05,9.7,9.71,9.66,9.66,226600
2020-11-06,9.7,9.715,9.68,9.68,32000
2020-11-09,9.7,9.7,9.65,9.7,16100
2020-11-10,9.66,9.7,9.66,9.69,376900
2020-11-11,9.697,9.739,9.69,9.695,19200
2020-11-12,9.68,9.711,9.65,9.7,26400
2020-11-13,9.71,9.75,9.71,9.74,2400
2020-11-16,9.874,9.874,9.7,9.7,789400
2020-11-17,9.745,9.75,9.725,9.75,2800
2020-11-18,9.735,9.76,9.72,9.76,103200
2020-11-19,9.775,9.775,9.76,9.77,105600
2020-11-20,9.79,9.82,9.77,9.8,30100
2020-11-23,9.81,9.87,9.77,9.77,79600
2020-11-24,9.8,9.87,9.8,9.85,201300
2020-11-25,9.845,9.9,9.8,9.87,794200
2020-11-27,9.99,10,9.88,9.95,513300
2020-11-30,10.2,10.3,9.9,9.93,644900
2020-12-01,10,10,9.88,9.91,189500
2020-12-02,9.94,9.94,9.85,9.9,87800
2020-12-03,9.94,9.97,9.9,9.93,273800
2020-12-04,9.9,10.05,9.88,9.96,237600
2020-12-07,10.12,10.2,9.91,10.03,153200
2020-12-08,10.04,10.075,9.95,10.03,270900
2020-12-09,10.05,10.095,9.96,10.01,190900
2020-12-10,10.02,10.125,9.98,10.03,616900
2020-12-11,10.1,10.2,10.04,10.08,2175500
2020-12-14,10.2,10.21,10.03,10.1,1194100
2020-12-15,10.14,10.2,10.04,10.07,1216600
2020-12-16,10.15,10.22,10.05,10.2,315300
2020-12-17,10.17,10.19,10.09,10.15,379600
2020-12-18,10.19,10.21,10.1,10.14,956100
2020-12-21,10.24,10.24,10.11,10.19,350500
2020-12-22,10.3,10.3,10.15,10.25,429700
2020-12-23,10.3,10.39,10.195,10.32,389200
2020-12-24,10.4,10.49,10.21,10.49,1158000
2020-12-28,10.69,10.75,10.5,10.75,2131500
2020-12-29,10.7,10.7,10.46,10.55,860100
2020-12-30,10.55,10.589,10.41,10.45,605700
2020-12-31,10.45,10.45,10.27,10.41,585200
2021-01-04,10.45,10.49,10.26,10.34,483700
2021-01-05,10.35,10.46,10.3,10.46,868100
2021-01-06,10.37,10.44,10.3,10.31,477300
2021-01-07,10.4,10.48,10.29,10.48,786500
2021-01-08,10.48,10.66,10.39,10.45,734400
2021-01-11,10.45,10.55,10.35,10.4,674200
2021-01-12,10.46,10.74,10.46,10.69,1304700
2021-01-13,10.86,11.07,10.8,10.86,1266500
2021-01-14,10.99,11,10.78,10.8,1545000
2021-01-15,10.9,11.13,10.54,10.6,1577100
2021-01-19,10.68,10.71,10.61,10.61,2308700
2021-01-20,10.68,10.68,10.53,10.61,1005800
2021-01-21,10.75,10.76,10.62,10.69,812200
2021-01-22,10.69,10.82,10.67,10.77,795100
2021-01-25,11.06,11.27,10.9,10.92,1597200
2021-01-26,10.92,11.1,10.7,10.77,1408800
2021-01-27,10.56,10.6,10.46,10.55,2920700
2021-01-28,10.6,10.66,10.55,10.64,1545600
2021-01-29,10.62,10.69,10.58,10.65,1055500
2021-02-01,10.74,10.81,10.62,10.75,841100
2021-02-02,10.91,11,10.83,10.86,835900
2021-02-03,10.91,11,10.85,10.95,3411900
2021-02-04,11.22,11.41,11.11,11.28,3011700
2021-02-05,11.38,11.46,11.105,11.17,1151400
2021-02-08,11.32,11.4,10.98,11.01,1466300
2021-02-09,11.02,11.05,10.91,10.97,1221500
2021-02-10,11,11.36,10.89,11.35,1316700
2021-02-11,11.32,11.32,11.05,11.24,797900
2021-02-12,11.16,11.25,11.07,11.12,801500
2021-02-16,11.14,11.18,10.95,11.14,1166100
2021-02-17,11.1,11.41,10.95,11.19,875500
2021-02-18,11.05,11.28,11,11.2,766700
2021-02-19,11.2,11.34,11.09,11.13,755000
2021-02-22,11.15,11.2,11.05,11.1,893000
2021-02-23,10.81,11.14,10.5,11.02,1686400
2021-02-24,10.95,11.06,10.75,10.8,1261000
2021-02-25,10.75,10.8,10.35,10.5,1443800
2021-02-26,10.53,10.64,10.26,10.49,1177100
2021-03-01,10.66,10.66,10.36,10.46,846200
2021-03-02,10.42,10.45,10.22,10.28,880500
2021-03-03,10.27,10.35,10.1,10.28,1254400
2021-03-04,10.21,10.255,9.92,9.95,2314500
2021-03-05,10.02,10.17,9.95,10.14,3180900
2021-03-08,10.1,10.15,10.01,10.03,1038600
2021-03-09,10.12,10.14,10.05,10.1,704400
2021-03-10,10.15,10.25,10.12,10.18,706700
2021-03-11,10.25,10.3,10.16,10.29,628200
2021-03-12,10.21,10.24,10.1,10.18,362500
2021-03-15,10.2,10.27,10.13,10.25,236500
2021-03-16,10.2,10.25,10.15,10.21,221300
2021-03-17,10.2,10.25,10.15,10.24,207600
2021-03-18,10.19,10.22,10.02,10.1,311800
2021-03-19,10.08,10.19,10.03,10.14,330400
2021-03-22,10.17,10.2,10.09,10.1,487600
2021-03-23,10.09,10.11,9.84,9.85,1424200
2021-03-24,9.88,9.91,9.74,9.74,1867600
2021-03-25,9.66,9.87,9.65,9.8,2482400
2021-03-26,9.81,10.03,9.77,9.92,461500
2021-03-29,9.83,9.91,9.71,9.9,462800
2021-03-30,9.87,9.94,9.8,9.88,1044100
2021-03-31,9.91,9.92,9.82,9.83,738600
2021-04-01,9.84,9.94,9.831,9.89,514300
2021-04-05,9.89,10.01,9.89,9.99,331600
