date,open,high,low,close,volume
2020-11-19,9.83,10.21,9.82,9.87,2106600
2020-11-20,9.85,9.86,9.85,9.86,34500
2020-11-23,9.86,10.2,9.86,9.86,595400
2020-11-24,9.89,9.98,9.45,9.98,4939900
2020-11-25,9.943,9.943,9.943,9.943,1000
2020-11-27,9.943,9.943,9.943,9.943,100
2020-11-30,9.9,9.91,9.884,9.9,1404100
2020-12-01,9.9,9.93,9.9,9.93,68100
2020-12-02,9.941,9.941,9.941,9.941,100
2020-12-03,9.91,9.95,9.9,9.9,390500
2020-12-04,9.94,9.94,9.94,9.94,2500
2020-12-07,10.05,10.05,9.96,10,327600
2020-12-08,10.007,10.1,10.004,10.1,180100
2020-12-09,10.03,10.05,10.03,10.05,412700
2020-12-10,10.03,10.08,10.03,10.08,12800
2020-12-11,10.19,10.2,10.11,10.17,50600
2020-12-14,10.24,10.25,10.1,10.105,65300
2020-12-15,10.15,10.18,10.06,10.13,71700
2020-12-16,10.105,10.13,10.1,10.13,2200
2020-12-17,10.1,10.13,10.088,10.13,6700
2020-12-18,10.22,10.22,10.05,10.06,1700
2020-12-21,10.1,10.1,10.1,10.1,3200
2020-12-22,10.11,10.15,10.09,10.1,24100
2020-12-23,10.093,10.15,10.093,10.15,53000
2020-12-24,10.11,10.22,10.1,10.205,652700
2020-12-28,10.26,10.26,10.165,10.2,14900
2020-12-29,10.43,10.467,10.1,10.11,20000
2020-12-30,10.137,10.2,10.137,10.18,9600
2020-12-31,10.122,10.15,10.1,10.11,15700
2021-01-04,10.25,10.25,10.14,10.17,23300
2021-01-05,10.2,10.247,10.171,10.19,79400
2021-01-06,10.32,10.32,10.15,10.24,1080500
2021-01-07,10.22,10.24,10.19,10.216,12500
2021-01-08,10.345,10.4,10.26,10.32,69300
2021-01-11,10.32,10.4,10.272,10.317,64400
2021-01-12,10.35,10.44,10.339,10.37,247800
2021-01-13,10.37,10.54,10.36,10.47,274900
2021-01-14,10.46,10.58,10.35,10.55,73600
2021-01-15,10.53,10.58,10.28,10.42,159700
2021-01-19,10.33,10.51,10.33,10.5,564100
2021-01-20,10.338,10.47,10.338,10.4,49700
2021-01-21,10.507,10.507,10.41,10.41,15600
2021-01-22,10.36,10.48,10.36,10.41,10000
2021-01-25,10.46,10.75,10.46,10.64,419200
2021-01-26,10.61,10.63,10.45,10.57,263800
2021-01-27,10.53,10.53,10.18,10.18,216900
2021-01-28,10.44,10.44,10.2,10.3,167700
2021-01-29,10.26,10.4,10.227,10.31,175100
2021-02-01,10.31,10.45,10.31,10.42,113800
2021-02-02,10.44,10.45,10.35,10.4,140300
2021-02-03,10.4,10.425,10.38,10.4,45200
2021-02-04,10.405,10.5,10.405,10.45,129800
2021-02-05,10.5,10.54,10.37,10.4,363300
2021-02-08,10.55,10.55,10.4,10.4,56700
