date,open,high,low,close,volume
2020-12-08,10.1,10.39,10.08,10.25,2381200
2020-12-09,11.49,11.49,10.27,10.48,117600
2020-12-10,10.31,10.36,10.31,10.31,67800
2020-12-11,10.59,10.59,10.36,10.47,12800
2020-12-14,10.55,10.55,10.31,10.39,14400
2020-12-15,10.4,10.4,10.35,10.35,40900
2020-12-16,10.52,10.52,10.31,10.35,24600
2020-12-17,10.36,10.45,10.36,10.45,28600
2020-12-18,10.44,10.44,10.36,10.385,16900
2020-12-21,10.4,10.4,10.3,10.36,24100
2020-12-22,10.4,10.5,10.39,10.49,278500
2020-12-23,10.46,10.46,10.4,10.41,1900
2020-12-24,10.44,10.52,10.31,10.477,36300
2020-12-28,10.54,10.54,10.483,10.485,9300
2020-12-29,10.5,10.5,10.4,10.41,109200
2020-12-30,10.45,10.52,10.41,10.51,55900
2020-12-31,10.58,10.58,10.5,10.5,26300
2021-01-04,10.46,10.585,10.46,10.52,7300
2021-01-05,10.55,10.55,10.45,10.45,40100
2021-01-06,10.59,10.59,10.5,10.5,2100
2021-01-07,10.5,10.6,10.49,10.6,17200
2021-01-08,10.6,10.7,10.6,10.6,32400
2021-01-11,10.59,10.59,10.47,10.48,32200
2021-01-12,10.54,10.64,10.48,10.637,24000
2021-01-13,10.6,10.697,10.6,10.66,70900
2021-01-14,10.66,10.7,10.56,10.6,19800
2021-01-15,10.62,10.62,10.51,10.51,11900
2021-01-19,10.6,10.675,10.55,10.62,12700
2021-01-20,10.67,10.67,10.52,10.636,38100
2021-01-21,10.67,10.7,10.62,10.62,79800
2021-01-22,10.69,10.9,10.63,10.85,89400
2021-01-25,10.9,11,10.8,10.85,29700
2021-01-26,10.89,10.89,10.7,10.7,45000
2021-01-27,10.68,10.69,10.51,10.51,202000
2021-01-28,10.64,10.71,10.6,10.6,135300
2021-01-29,10.6,10.69,10.58,10.58,88300
2021-02-01,10.65,11,10.65,10.84,32700
2021-02-02,10.69,11.08,10.69,11.04,11700
2021-02-03,10.915,11.61,10.915,11.525,48100
2021-02-04,11.45,11.655,11.45,11.62,96900
2021-02-05,11.68,11.68,11.41,11.45,16700
2021-02-08,11.46,11.46,11.1,11.22,10300
2021-02-09,11.26,11.28,11.25,11.25,6500
2021-02-10,11.46,11.48,11.025,11.249,6000
2021-02-11,11.242,11.29,11.2,11.22,24900
2021-02-12,11.24,11.4,11.24,11.4,6000
2021-02-16,11.09,11.4,11.07,11.2,5100
2021-02-17,11.05,11.38,11.05,11.337,39500
2021-02-18,11.36,11.4,11.3,11.3,49700
2021-02-19,11.34,11.44,11.33,11.36,11100
2021-02-22,11.4,11.48,11.35,11.4,33700
2021-02-23,11.01,11.26,11.01,11.18,133400
2021-02-24,11.15,11.31,11.14,11.3,31800
2021-02-25,11.25,11.3,10.92,11.1,125200
2021-02-26,11,11.105,10.89,10.9,196300
