date,open,high,low,close,volume
2021-02-09,10.4,10.4,10.25,10.3,4363800
2021-02-10,10.3,10.34,10.3,10.3,242800
2021-02-11,10.3,10.33,10.29,10.3,236900
2021-02-12,10.3,10.31,10.26,10.28,76600
2021-02-16,10.3,10.3,10.252,10.27,287200
2021-02-17,10.25,10.3,10.25,10.26,301400
2021-02-18,10.25,10.3,10.25,10.3,41600
2021-02-19,10.29,10.32,10.29,10.3,122300
2021-02-22,10.32,10.32,10.26,10.28,35100
2021-02-23,10.26,10.27,10.22,10.27,284000
2021-02-24,10.25,10.27,10.24,10.25,18300
2021-02-25,10.23,10.25,10.15,10.19,79000
2021-02-26,10.16,10.16,10.05,10.051,156100
2021-03-01,10.08,10.155,10.08,10.1,102600
2021-03-02,10.1,10.1,10,10,46600
2021-03-03,10.02,10.05,9.98,10.05,136700
2021-03-04,10.035,10.035,9.96,9.96,62000
2021-03-05,10,10.1,9.99,10.1,190500
2021-03-08,10.04,10.09,10.03,10.06,11300
2021-03-09,10.06,10.06,10,10.04,7900
2021-03-10,10.04,10.04,10.01,10.02,91700
2021-03-11,10.04,10.04,9.94,10.013,59200
2021-03-12,10.01,10.01,9.96,9.98,198900
2021-03-15,9.99,9.99,9.96,9.96,53200
2021-03-16,9.985,9.985,9.965,9.98,2500
2021-03-17,9.96,9.96,9.92,9.94,115500
2021-03-18,9.93,9.943,9.9,9.94,154100
2021-03-19,9.939,9.95,9.92,9.95,21300
2021-03-22,9.95,9.95,9.92,9.92,1200
2021-03-23,9.91,9.91,9.82,9.82,61600
2021-03-24,9.83,9.84,9.82,9.84,10300
2021-03-25,9.82,9.85,9.77,9.85,32500
2021-03-26,9.85,9.94,9.845,9.92,39400
2021-03-29,9.9,9.93,9.9,9.93,1400
2021-03-30,9.9,9.94,9.88,9.94,30100
2021-03-31,9.94,9.94,9.8,9.93,91200
2021-04-01,9.95,10,9.85,9.97,15500
2021-04-05,9.95,9.97,9.932,9.94,8500
2021-04-06,9.94,9.965,9.91,9.965,1300
2021-04-07,9.97,10,9.97,10,1300
2021-04-08,9.95,10,9.95,10,1300
2021-04-09,9.98,10,9.96,10,20200
2021-04-12,9.99,9.99,9.96,9.96,1200
2021-04-13,9.96,9.962,9.96,9.962,1200
2021-04-14,9.98,10.1,9.972,10.08,38800
2021-04-15,10,10.037,9.99,10.037,5500
2021-04-16,10.01,10.01,9.97,10.01,25000
2021-04-19,10.015,10.05,9.97,10.05,8800
2021-04-20,9.994,10,9.98,10,6100
2021-04-21,9.96,10,9.96,10,3000
2021-04-22,9.99,9.99,9.99,9.99,7600
2021-04-23,9.99,9.99,9.99,9.99,0
2021-04-26,9.995,9.995,9.995,9.995,100
2021-04-27,9.97,10,9.97,10,500
2021-04-28,9.971,10,9.971,10,1900
2021-04-29,10,10,9.96,10,3000
2021-04-30,10,10,9.96,10,33000
2021-05-03,10,10,10,10,200
2021-05-04,10.08,10.08,9.96,9.96,1100
2021-05-05,9.976,10.007,9.976,10.007,700
2021-05-06,9.96,10,9.96,10,1200
2021-05-07,9.96,9.98,9.935,9.98,4500
2021-05-10,9.99,9.99,9.99,9.99,700
2021-05-11,9.99,9.99,9.99,9.99,300
2021-05-12,9.978,9.978,9.96,9.96,300
2021-05-13,9.96,9.96,9.96,9.96,0
2021-05-14,9.96,9.96,9.9,9.96,67600
2021-05-17,9.96,9.96,9.95,9.96,1100
2021-05-18,9.95,9.96,9.942,9.96,10300
2021-05-19,9.96,9.96,9.96,9.96,0
2021-05-20,9.94,9.95,9.94,9.95,10700
2021-05-21,9.95,9.95,9.95,9.95,400
2021-05-24,9.94,9.94,9.94,9.94,300
2021-05-25,9.94,9.94,9.85,9.85,49800
2021-05-26,9.89,9.89,9.89,9.89,100
2021-05-27,9.91,9.91,9.9,9.9,1300
2021-05-28,9.9,9.932,9.9,9.919,3100
2021-06-01,9.919,9.919,9.919,9.919,0
2021-06-02,9.91,9.91,9.9,9.9,10700
2021-06-03,9.91,9.91,9.91,9.91,300
2021-06-04,9.9,9.91,9.9,9.91,23600
2021-06-07,9.91,9.997,9.91,9.99,56400
2021-06-08,10,10.007,9.91,10,37400
2021-06-09,9.98,9.98,9.98,9.98,200
2021-06-10,9.97,9.97,9.97,9.97,100
2021-06-11,10.01,10.01,10.01,10.01,800
2021-06-14,10.08,10.11,10.05,10.08,162100
2021-06-15,10.06,10.08,10.01,10.01,79600
2021-06-16,10,10,10,10,17000
2021-06-17,10,10.02,10,10.02,52800
2021-06-18,10.02,10.02,10.02,10.02,0
2021-06-21,10.055,10.055,10,10,4800
2021-06-22,10,10,10,10,0
2021-06-23,10.01,10.01,10.01,10.01,2800
2021-06-24,10.01,10.01,10.01,10.01,0
2021-06-25,10.01,10.01,10.01,10.01,0
2021-06-28,10.11,10.11,9.98,10,17300
2021-06-29,9.97,9.97,9.96,9.96,1500
2021-06-30,10.07,10.07,10.07,10.07,300
2021-07-01,10.07,10.07,10.07,10.07,0
2021-07-02,10.07,10.07,10.07,10.07,0
2021-07-06,10.07,10.07,10.07,10.07,0
2021-07-07,9.96,9.98,9.96,9.98,1000
2021-07-08,9.971,9.98,9.94,9.98,2900
2021-07-09,9.95,9.95,9.91,9.91,2600
2021-07-12,9.91,9.91,9.91,9.91,0
2021-07-13,9.91,9.91,9.91,9.91,0
2021-07-14,9.91,9.91,9.91,9.91,0
2021-07-15,9.91,9.91,9.91,9.91,0
2021-07-16,9.91,9.91,9.91,9.91,0
