date,open,high,low,close,volume
2020-10-14,10,10.08,9.995,10,3112600
2020-10-15,10,11,10,10,153200
2020-10-16,9.98,10.063,9.98,10.04,39500
2020-10-19,10,10.1,10,10.1,15100
2020-10-20,10,10.08,10,10,99800
2020-10-21,10.1,10.2,10,10.1,68300
2020-10-22,10,10.075,10,10.04,26400
2020-10-23,10.041,10.045,10.005,10.02,7200
2020-10-26,10,10.05,10,10,7500
2020-10-27,10.05,10.05,10.02,10.04,2900
2020-10-28,10,10.077,10,10.07,23500
2020-10-29,10.05,10.05,10,10,5100
2020-10-30,10.01,10.07,10,10.03,38400
2020-11-02,10.05,10.05,10,10.02,101500
2020-11-03,10.02,10.07,10.02,10.07,9500
2020-11-04,10.05,10.07,10.05,10.05,6600
2020-11-05,10,10.15,10,10.15,23400
2020-11-06,10.15,10.15,10.05,10.05,2500
2020-11-09,10.05,10.05,10.05,10.05,0
2020-11-10,10.05,10.05,10.05,10.05,0
2020-11-11,10.05,10.05,10.05,10.05,0
2020-11-12,10.05,10.05,10.05,10.05,0
2020-11-13,10.05,10.05,10.05,10.05,0
2020-11-16,10.05,10.05,10.05,10.05,0
2020-11-17,10.07,10.07,10,10.02,48900
2020-11-18,10.02,10.02,10.02,10.02,0
2020-11-19,10.02,10.02,10.02,10.02,500
2020-11-20,10.02,10.05,10.02,10.02,5600
2020-11-23,10.08,10.15,10.02,10.02,59600
2020-11-24,10.049,10.05,10.049,10.05,2200
2020-11-25,10.05,10.05,10.05,10.05,100
2020-11-27,10.14,10.14,10.14,10.14,600
2020-11-30,10.06,10.15,10.02,10.15,7100
2020-12-01,10.09,10.115,10.07,10.07,2000
2020-12-02,10.08,10.08,10.02,10.02,23000
2020-12-03,10.04,10.055,10.03,10.03,700
2020-12-04,10.03,10.04,10.03,10.04,4000
2020-12-07,10.06,10.15,10.06,10.08,31200
2020-12-08,10.06,10.06,10.06,10.06,200
2020-12-09,10.15,10.15,10.102,10.102,900
2020-12-10,10.05,10.142,10.05,10.142,6600
2020-12-11,10.15,10.15,10.06,10.105,8000
2020-12-14,10.14,10.15,10.08,10.08,8800
2020-12-15,10.13,10.135,10.12,10.12,96900
2020-12-16,10.12,10.262,10.1,10.16,36500
2020-12-17,10.172,10.185,10.172,10.18,6000
2020-12-18,10.18,10.18,10.114,10.114,1200
2020-12-21,10.236,10.25,10.22,10.25,10900
2020-12-22,10.233,10.233,10.233,10.233,200
2020-12-23,10.19,10.25,10.13,10.193,27900
