date,open,high,low,close,volume
2021-01-15,10.46,11.48,10.46,11.1,5187300
2021-01-19,11.05,11.05,10.75,10.75,576600
2021-01-20,10.76,10.85,10.55,10.63,474500
2021-01-21,10.6,10.7,10.55,10.62,429500
2021-01-22,10.6,10.77,10.53,10.53,113800
2021-01-25,10.7,12,10.55,11.17,1285900
2021-01-26,11.24,11.24,10.53,10.62,184800
2021-01-27,10.6,10.6,10.27,10.39,252800
2021-01-28,10.42,10.48,10.31,10.4,42500
2021-01-29,10.47,10.71,10.4,10.5,32400
2021-02-01,10.45,10.78,10.45,10.55,59900
2021-02-02,10.95,10.95,10.6,10.63,51700
2021-02-03,10.65,10.96,10.64,10.79,50300
2021-02-04,10.895,10.95,10.675,10.7,327300
2021-02-05,10.82,10.87,10.685,10.83,53000
2021-02-08,10.96,11.13,10.82,10.99,60200
2021-02-09,10.98,10.98,10.69,10.72,15400
2021-02-10,10.84,10.84,10.54,10.56,35600
2021-02-11,10.57,10.66,10.55,10.66,467800
2021-02-12,10.6,10.85,10.5,10.61,30500
2021-02-16,10.6,10.7,10.55,10.56,792300
2021-02-17,10.58,10.7,10.55,10.57,15500
2021-02-18,10.61,10.66,10.44,10.45,23500
2021-02-19,10.65,10.7,10.44,10.508,4700
2021-02-22,10.64,10.64,10.49,10.5,20900
2021-02-23,10.33,10.43,10.33,10.36,30500
2021-02-24,10.405,10.725,10.405,10.41,50400
2021-02-25,10.4,10.55,10.4,10.4,121800
2021-02-26,10.35,10.451,10.3,10.39,38100
2021-03-01,10.39,10.4,10.26,10.28,24400
2021-03-02,10.25,10.4,10.22,10.24,51400
2021-03-03,10.3,10.3,10.23,10.25,74000
2021-03-04,10.21,10.295,9.89,10.15,62000
2021-03-05,10.16,10.16,10.01,10.01,138000
2021-03-08,10.1,10.13,10.05,10.07,13700
2021-03-09,10.11,10.22,10.08,10.22,58100
2021-03-10,10.33,10.33,10.2,10.2,111800
2021-03-11,10.195,10.272,10.12,10.14,25700
2021-03-12,10.2,10.3,10.11,10.12,38100
2021-03-15,10.13,10.16,10.05,10.11,39500
2021-03-16,10.2,10.2,10.15,10.15,3900
2021-03-17,10.19,10.32,10.127,10.153,23600
2021-03-18,10.25,10.25,9.97,9.98,110100
2021-03-19,9.99,10.035,9.97,10.02,5300
2021-03-22,10.102,10.102,9.96,9.99,136400
2021-03-23,9.955,9.96,9.9,9.91,135000
2021-03-24,9.955,9.977,9.81,9.82,64400
2021-03-25,9.78,9.9,9.78,9.83,3100
2021-03-26,9.92,10.062,9.857,10.05,13500
2021-03-29,10.05,10.05,10.05,10.05,0
2021-03-30,9.96,9.99,9.84,9.99,15900
2021-03-31,9.99,10.19,9.95,10.19,2500
2021-04-01,10.15,10.15,9.96,9.96,40400
2021-04-05,9.99,10.03,9.97,9.97,7900
2021-04-06,9.99,10,9.97,9.97,9900
2021-04-07,9.97,10,9.97,10,3100
2021-04-08,10.15,10.15,10.04,10.15,16300
2021-04-09,10.051,10.2,10.051,10.19,1100
2021-04-12,10.04,10.04,9.98,9.98,500
2021-04-13,10.024,10.16,10.024,10.15,17900
2021-04-14,10.08,10.25,10.04,10.25,34200
2021-04-15,10.19,10.25,10.08,10.25,2300
2021-04-16,10.13,10.173,10.13,10.166,12200
2021-04-19,10.12,10.25,10.05,10.25,61100
2021-04-20,10.05,10.22,10.01,10.1,7200
2021-04-21,10.04,10.22,10.02,10.22,6900
2021-04-22,10.22,10.22,10.22,10.22,0
2021-04-23,10.02,10.11,10.02,10.04,5500
2021-04-26,10.08,10.08,10,10.02,32500
2021-04-27,10.11,10.13,10.01,10.13,1100
2021-04-28,10.04,10.16,10.015,10.14,32500
2021-04-29,10.063,10.16,10.063,10.12,8400
2021-04-30,10.1,10.19,9.99,10.19,215600
2021-05-03,10.127,10.15,10.1,10.14,14100
2021-05-04,10.1,10.102,10.05,10.1,19200
2021-05-05,10.023,10.031,10.01,10.031,2800
2021-05-06,10.05,10.05,10.02,10.02,10400
2021-05-07,10.034,10.053,10.03,10.041,2000
2021-05-10,10.09,10.09,10.05,10.05,3600
2021-05-11,10.05,10.05,10,10.05,8200
2021-05-12,10.019,10.019,10,10,600
2021-05-13,10.01,10.033,10.01,10.02,3100
2021-05-14,10.037,10.037,10.037,10.037,300
2021-05-17,10.02,10.02,9.93,9.96,130900
2021-05-18,9.96,9.96,9.9,9.92,13200
2021-05-19,10,10.001,9.95,9.97,106300
2021-05-20,10,10,9.931,9.94,3800
2021-05-21,9.94,9.94,9.94,9.94,300
2021-05-24,10.08,10.09,9.94,9.98,2100
2021-05-25,9.98,9.98,9.98,9.98,0
2021-05-26,9.92,10,9.92,10,11800
2021-05-27,10,10,10,10,0
2021-05-28,9.93,9.93,9.9,9.9,27500
2021-06-01,9.95,9.99,9.92,9.99,900
2021-06-02,9.91,9.93,9.91,9.91,20000
2021-06-03,9.92,9.97,9.91,9.95,11000
2021-06-04,9.95,9.95,9.95,9.95,0
2021-06-07,9.95,9.95,9.95,9.95,55000
2021-06-08,9.94,10.08,9.94,10.08,10900
2021-06-09,9.93,9.93,9.93,9.93,300
2021-06-10,9.93,9.93,9.93,9.93,0
2021-06-11,9.97,9.98,9.97,9.98,1900
2021-06-14,9.96,9.96,9.96,9.96,200
2021-06-15,9.98,9.98,9.97,9.97,2100
2021-06-16,10.09,10.09,10.01,10.05,23900
2021-06-17,10.03,10.09,10.021,10.09,700
2021-06-18,10.055,10.055,10.05,10.05,500
2021-06-21,10.055,10.055,10.055,10.055,300
2021-06-22,10.03,10.03,10.03,10.03,2500
2021-06-23,10.09,10.09,10.03,10.04,5000
2021-06-24,10.08,10.1,10.05,10.065,38700
2021-06-25,10.05,10.09,10.05,10.065,15600
2021-06-28,10.1,10.1,10.04,10.05,12700
2021-06-29,10.05,10.14,10.05,10.14,22200
2021-06-30,10.14,10.14,10.05,10.05,30100
2021-07-01,10.087,10.087,10.087,10.087,300
2021-07-02,10.05,10.07,10.04,10.04,7200
2021-07-06,10.06,10.1,10.06,10.1,1500
2021-07-07,10.06,10.075,10.06,10.065,2700
2021-07-08,10.05,10.055,10.05,10.055,1800
2021-07-09,10.11,10.11,10.03,10.03,47300
2021-07-12,10.055,10.075,10.027,10.05,6000
2021-07-13,10.04,10.05,10.035,10.04,7700
2021-07-14,10.04,10.05,10.04,10.05,1800
2021-07-15,10.05,10.05,10.05,10.05,5000
2021-07-16,10.09,10.09,10.09,10.09,200
2021-07-19,9.92,10,9.91,10,10400
2021-07-20,9.99,10.082,9.98,10.082,1200
2021-07-21,10.02,10.02,10.02,10.02,100
2021-07-22,10.02,10.02,10.02,10.02,0
2021-07-23,10.02,10.02,10.02,10.02,2000
2021-07-26,10.12,10.12,10.03,10.03,500
2021-07-27,10.01,10.03,10,10,9100
2021-07-28,10.052,10.052,10,10,1300
2021-07-29,9.99,9.99,9.99,9.99,2500
2021-07-30,9.99,10,9.99,9.99,5300
2021-08-02,9.99,10.01,9.99,10,51300
2021-08-03,10.02,10.09,10.02,10.057,11800
2021-08-04,10.015,10.05,10.015,10.05,4800
2021-08-05,10.003,10.02,10.003,10.02,25900
2021-08-06,9.98,10,9.98,10,52200
2021-08-09,10,10,10,10,0
2021-08-10,9.99,9.99,9.99,9.99,8600
2021-08-11,10.02,10.02,9.99,9.99,10900
2021-08-12,9.99,9.99,9.921,9.99,37500
2021-08-13,9.99,9.99,9.99,9.99,0
2021-08-16,9.94,9.94,9.9,9.9,1300
2021-08-17,9.9,9.912,9.9,9.9,1000
2021-08-18,9.91,9.91,9.91,9.91,200
2021-08-19,9.95,10,9.945,10,32700
2021-08-20,9.9,9.9,9.83,9.83,13600
2021-08-23,9.89,9.915,9.86,9.86,2000
2021-08-24,9.86,9.912,9.85,9.912,7200
2021-08-25,9.908,9.908,9.9,9.9,200
2021-08-26,9.9,9.9,9.9,9.9,0
2021-08-27,9.85,9.86,9.85,9.86,500
2021-08-30,9.86,9.86,9.86,9.86,0
2021-08-31,9.86,9.86,9.86,9.86,0
2021-09-01,9.85,9.85,9.85,9.85,100
2021-09-02,9.85,9.851,9.85,9.85,1300
2021-09-03,9.9,9.9,9.87,9.9,900
2021-09-07,9.82,9.82,9.82,9.82,400
2021-09-08,9.89,9.89,9.88,9.88,400
2021-09-09,9.88,9.88,9.88,9.88,500
2021-09-10,9.88,9.88,9.88,9.88,0
2021-09-13,9.87,9.91,9.87,9.9,13100
