date,open,high,low,close,volume
2020-09-25,10,10,9.78,9.8,697300
2020-09-28,9.81,9.85,9.8,9.82,24100
2020-09-29,9.85,9.85,9.75,9.85,375300
2020-09-30,9.84,9.84,9.83,9.84,75500
2020-10-01,9.81,9.84,9.76,9.76,454300
2020-10-02,9.76,9.835,9.76,9.76,161600
2020-10-05,9.77,9.77,9.71,9.72,554900
2020-10-06,9.72,9.73,9.72,9.73,63900
2020-10-07,9.72,9.72,9.71,9.72,34100
2020-10-08,9.8,9.8,9.7,9.77,179300
2020-10-09,9.75,9.765,9.72,9.72,1400
2020-10-12,9.84,9.84,9.706,9.75,15300
2020-10-13,9.765,9.765,9.71,9.755,404000
2020-10-14,9.76,9.78,9.73,9.75,318900
2020-10-15,9.75,9.75,9.7,9.75,331700
2020-10-16,12.65,12.65,9.73,9.74,28600
2020-10-19,9.75,9.755,9.75,9.75,1900
2020-10-20,9.75,9.78,9.73,9.73,211400
2020-10-21,9.73,9.735,9.69,9.69,135800
2020-10-22,9.69,9.69,9.69,9.69,0
2020-10-23,9.7,9.7,9.68,9.69,49200
2020-10-26,9.72,9.72,9.66,9.66,181300
2020-10-27,9.7,9.7,9.66,9.68,79000
2020-10-28,9.68,9.7,9.65,9.68,72200
2020-10-29,9.68,9.69,9.66,9.67,25800
2020-10-30,9.66,9.67,9.64,9.65,218500
2020-11-02,9.66,9.69,9.66,9.665,9800
2020-11-03,9.66,9.68,9.65,9.65,10700
2020-11-04,9.65,9.68,9.65,9.67,55700
2020-11-05,9.67,9.7,9.67,9.7,22700
2020-11-06,9.7,9.7,9.7,9.7,1100
2020-11-09,9.78,9.78,9.698,9.71,67300
2020-11-10,9.71,9.72,9.7,9.72,51600
2020-11-11,9.7,9.7,9.68,9.68,500
2020-11-12,9.73,9.73,9.7,9.7,7400
2020-11-13,9.7,9.74,9.7,9.7,116600
2020-11-16,9.73,9.78,9.69,9.78,588300
2020-11-17,9.75,9.77,9.74,9.75,61600
2020-11-18,9.85,9.85,9.75,9.75,13800
2020-11-19,9.74,9.78,9.72,9.72,163100
2020-11-20,9.71,9.75,9.7,9.72,114100
2020-11-23,9.75,9.75,9.7,9.74,15500
