date,open,high,low,close,volume
2021-01-05,10.01,10.15,9.95,10,136200
2021-01-06,10.05,10.13,10.01,10.13,29900
2021-01-07,10.08,10.17,10,10.05,600600
2021-01-08,10.05,10.2,10.03,10.13,657900
2021-01-11,10.105,10.18,10.1,10.14,141700
2021-01-12,10.15,10.32,10.14,10.2,234700
2021-01-13,10.25,10.25,10.12,10.15,80900
2021-01-14,10.2,10.2,10.14,10.18,573000
2021-01-15,10.22,10.23,10.13,10.17,119900
2021-01-19,10.19,10.2,10.08,10.14,193100
2021-01-20,10.09,10.24,10.09,10.16,704400
2021-01-21,10.213,10.22,10.15,10.15,73400
2021-01-22,10.23,10.32,10.07,10.07,177600
2021-01-25,10.15,10.52,10.15,10.33,427900
2021-01-26,10.33,10.34,10.12,10.16,186000
2021-01-27,10.1,10.1,9.985,10.02,254000
2021-01-28,10.05,10.12,10.02,10.02,474600
2021-01-29,10.12,10.12,10.04,10.05,437900
2021-02-01,10.09,10.15,10.03,10.09,164700
2021-02-02,10.13,10.2,10.06,10.14,107600
2021-02-03,10.18,10.18,10.07,10.11,77600
2021-02-04,10.15,10.19,10.07,10.15,129600
2021-02-05,10.18,10.23,10.11,10.17,159100
2021-02-08,10.22,10.22,10.12,10.15,25000
2021-02-09,10.12,10.125,10.05,10.07,165700
2021-02-10,10.14,10.14,10.06,10.09,94300
2021-02-11,10.13,10.17,10.1,10.14,78100
2021-02-12,10.17,10.35,10.12,10.19,100300
2021-02-16,10.19,10.32,10.16,10.2,92600
2021-02-17,10.19,10.26,10.17,10.2,28300
2021-02-18,10.24,10.39,10.17,10.38,974200
2021-02-19,10.3,10.39,10.26,10.34,30800
2021-02-22,10.34,10.42,10.3,10.34,40500
2021-02-23,10.22,10.26,10.05,10.22,85400
2021-02-24,10.175,10.25,10.15,10.18,148400
2021-02-25,10.24,10.25,9.98,10,318000
2021-02-26,10.01,10.09,9.93,10.04,188300
2021-03-01,10.09,10.096,10,10.02,92200
2021-03-02,10,10.05,9.92,9.92,98200
2021-03-03,9.96,10.01,9.95,9.95,207600
2021-03-04,9.94,9.96,9.81,9.84,497600
2021-03-05,9.88,9.92,9.82,9.87,666200
2021-03-08,9.87,9.96,9.85,9.87,81600
2021-03-09,9.89,9.92,9.85,9.88,88800
2021-03-10,9.9,9.9,9.84,9.85,221200
2021-03-11,9.85,9.94,9.85,9.85,48100
2021-03-12,9.85,9.93,9.85,9.86,100100
2021-03-15,9.85,9.87,9.82,9.82,3800
2021-03-16,9.85,9.94,9.8,9.845,184000
2021-03-17,9.89,9.89,9.8,9.845,86500
2021-03-18,9.84,9.846,9.8,9.846,156000
2021-03-19,9.86,9.86,9.75,9.84,51400
2021-03-22,9.79,9.8,9.75,9.75,28300
2021-03-23,9.76,9.76,9.71,9.71,64200
2021-03-24,9.76,9.765,9.66,9.71,54700
2021-03-25,9.66,9.67,9.6,9.66,13000
2021-03-26,9.65,9.8,9.62,9.74,97400
2021-03-29,9.74,9.75,9.713,9.713,4900
2021-03-30,9.71,9.764,9.7,9.76,148000
2021-03-31,9.7,9.731,9.65,9.68,47100
2021-04-01,9.72,9.76,9.68,9.71,56200
2021-04-05,9.81,9.81,9.738,9.81,32900
2021-04-06,9.79,9.79,9.732,9.75,30600
2021-04-07,9.75,9.81,9.75,9.75,26500
