date,open,high,low,close,volume
2021-01-08,10.41,10.43,10.25,10.27,7625900
2021-01-11,10.35,10.45,10.31,10.35,598600
2021-01-12,10.35,10.45,10.27,10.27,352200
2021-01-13,10.4,10.45,10.35,10.37,262900
2021-01-14,10.49,10.5,10.36,10.375,429300
2021-01-15,10.43,10.5,10.35,10.41,426200
2021-01-19,10.47,10.5,10.36,10.4,290400
2021-01-20,10.41,10.458,10.36,10.37,1540600
2021-01-21,10.39,10.46,10.36,10.4,198500
2021-01-22,10.36,10.45,10.35,10.4,377500
2021-01-25,10.45,10.6,10.4,10.45,448500
2021-01-26,10.45,10.51,10.45,10.49,551200
2021-01-27,10.42,10.525,10.34,10.4,638100
2021-01-28,10.39,10.39,10.3,10.3,427800
2021-01-29,10.3,10.36,10.25,10.25,177600
2021-02-01,10.3,10.4,10.26,10.34,58400
2021-02-02,10.33,10.475,10.25,10.45,198000
2021-02-03,10.54,10.54,10.4,10.4,60200
2021-02-04,10.45,10.47,10.32,10.37,37100
2021-02-05,10.385,10.47,10.37,10.47,18100
2021-02-08,10.49,10.5,10.43,10.47,53800
2021-02-09,10.5,10.74,10.47,10.51,33100
2021-02-10,10.5,10.57,10.4,10.5,463800
2021-02-11,10.5,10.65,10.48,10.56,341300
2021-02-12,10.6,10.61,10.47,10.51,62500
2021-02-16,10.58,10.6,10.49,10.54,10300
2021-02-17,10.47,10.55,10.47,10.47,222100
2021-02-18,10.52,10.52,10.45,10.45,44400
2021-02-19,10.45,10.57,10.45,10.54,155700
2021-02-22,10.55,10.56,10.51,10.51,184400
2021-02-23,10.48,10.495,10.42,10.45,347400
2021-02-24,10.49,10.49,10.33,10.37,422800
2021-02-25,10.43,10.52,10.25,10.31,167600
2021-02-26,10.33,10.42,10.2,10.25,202400
2021-03-01,10.36,10.53,10.27,10.34,188600
2021-03-02,10.28,10.34,10.12,10.17,488300
2021-03-03,10.14,10.27,10.03,10.26,196500
2021-03-04,10.155,10.16,10,10.09,144200
2021-03-05,10.07,10.2,10.05,10.12,410400
2021-03-08,10.16,10.17,10.05,10.05,35300
2021-03-09,10.06,10.12,10,10.1,243800
2021-03-10,10.1,10.1,10.02,10.04,304100
2021-03-11,10.07,10.1,10.03,10.04,178100
2021-03-12,10.07,10.08,10.05,10.06,23000
2021-03-15,10.09,10.1,10.06,10.1,9600
2021-03-16,10.05,10.09,10,10,232500
2021-03-17,10.03,10.06,10.02,10.05,3000
2021-03-18,10.05,10.05,10,10,259700
2021-03-19,10.025,10.04,10,10.04,4000
2021-03-22,10,10,10,10,40100
2021-03-23,10,10,9.95,9.95,17100
2021-03-24,9.95,9.95,9.8,9.87,37300
2021-03-25,9.81,9.81,9.8,9.81,13200
2021-03-26,9.91,9.91,9.8,9.91,56000
2021-03-29,9.915,9.93,9.91,9.91,2300
2021-03-30,9.94,9.95,9.89,9.91,9500
2021-03-31,9.94,9.96,9.91,9.91,31000
2021-04-01,9.96,9.98,9.94,9.98,12200
2021-04-05,9.99,10,9.92,10,112900
