date,open,high,low,close,volume
2021-02-03,10.26,10.39,10.26,10.35,11236700
2021-02-04,10.31,10.45,10.31,10.36,1716600
2021-02-05,10.31,10.45,10.3,10.3,641600
2021-02-08,10.39,10.42,10.3,10.36,555700
2021-02-09,10.35,10.41,10.35,10.4,159200
2021-02-10,10.4,10.45,10.32,10.44,293900
2021-02-11,10.41,10.56,10.4,10.53,85000
2021-02-12,10.58,10.58,10.37,10.44,70600
2021-02-16,10.48,10.55,10.38,10.38,147700
2021-02-17,10.48,10.49,10.3,10.37,82000
2021-02-18,10.385,10.385,10.3,10.37,345000
2021-02-19,10.46,10.5,10.34,10.48,262000
2021-02-22,10.48,10.49,10.41,10.45,33500
2021-02-23,10.35,10.471,10.3,10.35,58500
2021-02-24,10.4,10.45,10.4,10.4,59500
2021-02-25,10.39,10.39,10.28,10.29,46900
2021-02-26,10.29,10.29,10.16,10.26,164900
2021-03-01,10.21,10.215,10.175,10.2,88300
2021-03-02,10.19,10.19,10.04,10.08,192800
2021-03-03,10.07,10.12,10.03,10.05,726500
2021-03-04,10.04,10.04,9.99,10.02,288000
2021-03-05,10.06,10.22,10,10.15,230400
2021-03-08,10.15,10.191,10.03,10.04,14100
2021-03-09,10.23,10.23,10,10,256400
2021-03-10,10.01,10.139,10.01,10.02,63700
2021-03-11,10,10.13,10,10.04,65900
2021-03-12,10,10.04,10,10.04,27400
2021-03-15,10.01,10.02,9.96,9.99,248500
2021-03-16,10.01,10.01,9.99,10,6900
2021-03-17,9.998,10.01,9.99,9.99,51300
2021-03-18,10.02,10.02,9.97,10,177600
2021-03-19,9.99,10.02,9.97,9.985,22400
2021-03-22,10.03,10.03,9.952,9.96,91800
2021-03-23,9.98,9.98,9.81,9.88,90800
2021-03-24,9.82,9.93,9.82,9.89,120300
2021-03-25,9.77,9.9,9.76,9.9,35600
2021-03-26,9.91,9.91,9.85,9.9,21000
2021-03-29,9.84,9.91,9.84,9.91,37000
2021-03-30,9.83,9.94,9.83,9.94,23200
2021-03-31,9.94,9.98,9.92,9.98,24900
2021-04-01,9.98,10,9.95,10,122400
2021-04-05,9.94,9.98,9.92,9.98,24700
