date,open,high,low,close,volume
2021-03-17,9.95,9.95,9.9,9.95,7118800
2021-03-18,9.95,9.95,9.89,9.89,713900
2021-03-19,9.9,9.965,9.86,9.9,529200
2021-03-22,9.9,9.9,9.86,9.9,247200
2021-03-23,9.88,9.88,9.8,9.81,540700
2021-03-24,9.82,9.91,9.82,9.885,47600
2021-03-25,9.82,9.85,9.73,9.85,71100
2021-03-26,9.875,9.93,9.85,9.9,173800
2021-03-29,9.95,9.95,9.872,9.9,161300
2021-03-30,9.89,9.9,9.87,9.9,9500
2021-03-31,9.92,9.92,9.88,9.88,21200
2021-04-01,9.881,9.95,9.88,9.88,700
2021-04-05,9.93,9.955,9.93,9.95,29800
2021-04-06,9.96,9.99,9.96,9.99,141800
2021-04-07,9.96,10,9.96,10,100800
2021-04-08,9.95,10.01,9.95,9.99,36400
2021-04-09,10,10,10,10,10600
2021-04-12,9.92,9.95,9.92,9.95,1700
2021-04-13,9.95,9.95,9.95,9.95,0
2021-04-14,9.95,9.97,9.95,9.96,2200
2021-04-15,9.98,9.98,9.98,9.98,1200
2021-04-16,9.99,10.01,9.97,10,147400
2021-04-19,9.97,9.98,9.97,9.98,24500
2021-04-20,10.011,10.012,9.95,9.97,35200
2021-04-21,9.94,9.98,9.935,9.98,284700
2021-04-22,9.98,9.98,9.93,9.93,500
2021-04-23,9.93,9.93,9.93,9.93,0
2021-04-26,9.94,9.99,9.94,9.99,2300
2021-04-27,9.92,9.97,9.87,9.87,953400
2021-04-28,9.89,9.97,9.89,9.97,9900
2021-04-29,9.99,9.99,9.92,9.99,2400
2021-04-30,9.98,9.99,9.98,9.99,5200
2021-05-03,9.93,10.03,9.93,9.98,14000
2021-05-04,9.942,10,9.942,9.97,3700
2021-05-05,9.97,9.97,9.97,9.97,0
2021-05-06,9.98,9.98,9.97,9.98,3900
2021-05-07,9.99,9.99,9.99,9.99,900
2021-05-10,9.97,9.99,9.97,9.98,61800
2021-05-11,9.97,9.98,9.97,9.97,23900
2021-05-12,9.97,9.99,9.97,9.99,22200
2021-05-13,9.97,9.99,9.97,9.98,9600
2021-05-14,9.961,9.961,9.961,9.961,100
2021-05-17,9.962,9.962,9.962,9.962,100
2021-05-18,9.962,9.962,9.962,9.962,0
2021-05-19,9.962,9.962,9.962,9.962,0
2021-05-20,10,10,9.95,9.95,27600
2021-05-21,9.9,9.95,9.9,9.95,2900
2021-05-24,9.95,9.964,9.937,9.964,238200
2021-05-25,9.95,9.95,9.95,9.95,500
2021-05-26,9.98,9.985,9.98,9.98,400
2021-05-27,10,10,9.97,10,2000
2021-05-28,10,10,10,10,200
2021-06-01,10,10,10,10,400
2021-06-02,10,10,10,10,0
2021-06-03,9.96,9.96,9.95,9.95,29000
