date,open,high,low,close,volume
2021-02-05,10.62,10.9,10.55,10.68,14297000
2021-02-08,10.86,10.882,10.6,10.83,2241800
2021-02-09,10.83,11.49,10.83,10.95,1535800
2021-02-10,10.86,10.972,10.65,10.72,529300
2021-02-11,10.75,10.85,10.5,10.59,1075000
2021-02-12,10.68,10.7,10.57,10.57,303500
2021-02-16,10.65,10.65,10.52,10.55,763000
2021-02-17,10.57,10.6,10.5,10.5,411900
2021-02-18,10.56,10.56,10.41,10.41,430000
2021-02-19,10.45,10.625,10.42,10.53,376400
2021-02-22,10.58,10.58,10.48,10.48,296800
2021-02-23,10.44,10.54,10.28,10.41,264100
2021-02-24,10.5,10.5,10.37,10.4,791600
2021-02-25,10.4,10.5,10.27,10.31,352700
2021-02-26,10.25,10.31,10.15,10.25,578200
2021-03-01,10.27,10.43,10.1,10.2,635700
2021-03-02,10.2,10.21,10,10.13,327000
2021-03-03,10.16,10.19,9.98,10.09,649200
2021-03-04,10.05,10.08,9.98,10.01,226800
2021-03-05,9.97,10.19,9.93,10.18,1279800
2021-03-08,10.07,10.15,9.9,10.03,357700
2021-03-09,9.878,10.08,9.56,10,714100
2021-03-10,9.96,10.024,9.96,9.99,149300
2021-03-11,10,10.04,9.98,9.99,397400
2021-03-12,9.98,10.06,9.98,9.99,437000
2021-03-15,10,10.02,9.98,9.981,40300
2021-03-16,9.971,9.995,9.97,9.98,32300
2021-03-17,9.91,9.98,9.91,9.97,138500
2021-03-18,10.02,10.02,9.86,9.92,458600
2021-03-19,9.94,9.95,9.87,9.92,64000
2021-03-22,9.85,9.895,9.84,9.88,453500
2021-03-23,9.88,9.88,9.75,9.79,130500
2021-03-24,9.8,9.84,9.75,9.84,210500
2021-03-25,9.78,9.805,9.74,9.78,37000
2021-03-26,9.76,9.93,9.76,9.89,93700
2021-03-29,9.85,9.95,9.81,9.95,52900
2021-03-30,9.87,9.96,9.87,9.94,700200
2021-03-31,9.93,9.93,9.73,9.88,22500
2021-04-01,9.9,9.97,9.9,9.97,102900
2021-04-05,9.92,9.92,9.75,9.91,434700
2021-04-06,9.81,9.94,9.81,9.94,30000
2021-04-07,9.878,10,9.878,9.93,38900
2021-04-08,9.98,10,9.844,9.94,5100
2021-04-09,9.92,10.02,9.888,10.02,19500
2021-04-12,10.02,10.02,9.949,9.96,2100
2021-04-13,10.13,10.3,10.1,10.3,1520100
2021-04-14,10.22,10.34,10.15,10.15,659700
2021-04-15,10.13,10.2,10.13,10.17,12500
2021-04-16,10.12,10.2,10.12,10.15,19800
2021-04-19,10.08,10.19,9.93,10.02,60200
2021-04-20,9.97,10.05,9.97,9.99,22000
2021-04-21,9.91,10.02,9.91,9.99,16500
2021-04-22,9.95,10.07,9.95,10.05,13800
2021-04-23,10.025,10.07,10.025,10.04,4500
2021-04-26,10,10,9.94,9.965,8600
2021-04-27,9.9,10,9.89,9.93,217200
2021-04-28,9.93,10,9.93,9.96,12100
2021-04-29,9.92,10.03,9.91,9.93,7200
2021-04-30,9.95,10,9.95,9.97,3800
2021-05-03,9.95,10,9.92,9.96,12300
2021-05-04,9.92,10,9.9,9.95,24600
2021-05-05,9.93,9.95,9.9,9.93,3800
2021-05-06,9.947,9.947,9.9,9.906,2900
2021-05-07,9.94,9.95,9.94,9.94,24100
2021-05-10,9.91,9.95,9.91,9.935,7400
2021-05-11,9.89,9.944,9.89,9.9,49700
2021-05-12,9.9,9.94,9.9,9.92,35300
2021-05-13,9.9,9.96,9.89,9.89,54000
2021-05-14,9.88,9.93,9.88,9.925,8100
2021-05-17,9.89,9.97,9.89,9.97,13300
2021-05-18,9.9,9.94,9.9,9.9,5700
2021-05-19,9.9,9.904,9.89,9.89,1900
2021-05-20,9.89,9.9,9.89,9.89,3000
2021-05-21,9.89,9.89,9.87,9.89,19100
2021-05-24,9.905,9.91,9.87,9.89,4000
2021-05-25,9.879,9.91,9.879,9.905,62700
2021-05-26,9.9,9.92,9.87,9.91,8900
2021-05-27,9.86,9.94,9.86,9.91,6000
2021-05-28,10.01,10.15,10.01,10.08,125200
2021-06-01,10.18,10.19,10.09,10.13,27400
2021-06-02,10.08,10.08,10.035,10.05,26300
2021-06-03,10.01,10.24,10.01,10.21,1061300
2021-06-04,10.25,10.28,10.19,10.23,286100
2021-06-07,10.25,10.31,10.22,10.23,131700
2021-06-08,10.29,10.36,10.24,10.3,73000
2021-06-09,10.28,10.3,10.27,10.27,21100
2021-06-10,10.28,10.29,10.23,10.26,100700
2021-06-11,10.29,10.31,10.2,10.27,44700
2021-06-14,10.33,10.36,10.29,10.31,17000
2021-06-15,10.29,10.3,10.24,10.26,173100
2021-06-16,10.23,10.28,10.145,10.19,582800
2021-06-17,10.22,10.22,10.185,10.2,259200
2021-06-18,10.2,10.23,10.18,10.23,102100
2021-06-21,10.3,10.3,10.23,10.26,2500
2021-06-22,10.22,10.26,10.22,10.22,11300
2021-06-23,10.255,10.255,10.2,10.25,11800
2021-06-24,10.26,10.27,10.22,10.26,15400
2021-06-25,10.23,10.26,10.21,10.21,34200
2021-06-28,10.2,10.26,10.2,10.25,46500
2021-06-29,10.282,10.282,10.22,10.22,25200
2021-06-30,10.25,10.29,10.24,10.26,16800
2021-07-01,10.23,10.28,10.23,10.28,6600
2021-07-02,10.259,10.3,10.23,10.26,8300
2021-07-06,10.25,10.25,10.21,10.21,122200
2021-07-07,10.21,10.22,10.21,10.22,61000
2021-07-08,10.2,10.256,10.2,10.23,3000
2021-07-09,10.21,10.3,10.21,10.3,3300
2021-07-12,10.22,10.22,10.21,10.22,2000
2021-07-13,10.23,10.265,10.23,10.257,3600
2021-07-14,10.21,10.255,10.21,10.24,2800
2021-07-15,10.22,10.25,10.22,10.25,1300
2021-07-16,10.23,10.25,10.22,10.25,5900
2021-07-19,10.18,10.28,10.18,10.277,9000
2021-07-20,10.2,10.275,10.2,10.26,27400
2021-07-21,10.25,10.25,10.2,10.25,2800
2021-07-22,10.201,10.33,10.201,10.33,6000
2021-07-23,10.3,10.33,10.29,10.3,8900
2021-07-26,10.3,10.3,10.26,10.26,2500
2021-07-27,10.28,10.307,10.24,10.24,29700
2021-07-28,10.24,10.24,10.181,10.218,113400
2021-07-29,10.24,10.26,10.18,10.209,44700
2021-07-30,10.22,10.24,10.195,10.24,10200
2021-08-02,10.18,10.215,10.18,10.2,2100
2021-08-03,10.2,10.21,10.2,10.21,1900
2021-08-04,10.19,10.21,10.18,10.18,3500
2021-08-05,10.225,10.225,10.18,10.18,800
2021-08-06,10.18,10.18,10.18,10.18,2300
2021-08-09,10.15,10.18,10.15,10.155,14300
2021-08-10,10.1,10.22,10.092,10.175,55400
2021-08-11,10.18,10.24,10.165,10.24,1700
2021-08-12,10.13,10.26,10.13,10.24,1800
2021-08-13,10.165,10.25,10.165,10.2,8600
2021-08-16,10.2,10.2,10.2,10.2,200
2021-08-17,9.92,10.2,9.92,10.178,10600
2021-08-18,10.195,10.22,10.195,10.21,5300
2021-08-19,10.18,10.2,10.14,10.154,11300
2021-08-20,10.165,10.19,10.165,10.19,7200
2021-08-23,10.155,10.16,10.14,10.16,1700
2021-08-24,10.15,10.16,10.09,10.155,23200
2021-08-25,10.08,10.23,10.08,10.23,5600
2021-08-26,10.172,10.172,10.172,10.172,200
2021-08-27,10.08,10.25,10.08,10.195,7500
2021-08-30,10.192,10.25,10.192,10.25,700
2021-08-31,10.25,10.25,10.2,10.25,1400
2021-09-01,10.12,10.29,10.12,10.29,6500
2021-09-02,10.29,10.29,10.29,10.29,0
2021-09-03,10.29,10.29,10.29,10.29,0
2021-09-07,10.21,10.3,10.21,10.245,5100
2021-09-08,10.205,10.28,10.205,10.28,1300
2021-09-09,10.175,10.27,10.175,10.27,10900
