date,open,high,low,close,volume
2021-03-03,9.9,9.9,9.792,9.85,54500
2021-03-04,9.83,9.85,9.8,9.85,16700
2021-03-05,9.9,9.9,9.8,9.8,14000
2021-03-08,9.85,9.85,9.8,9.8,43400
2021-03-09,9.8,9.82,9.8,9.8,30400
2021-03-10,9.85,9.93,9.79,9.84,153200
2021-03-11,9.77,9.8,9.75,9.78,263700
2021-03-12,9.75,9.77,9.73,9.73,56700
2021-03-15,9.748,9.76,9.748,9.75,39200
2021-03-16,9.75,9.75,9.69,9.7,192700
2021-03-17,9.8,9.8,9.71,9.79,12200
2021-03-18,9.69,9.74,9.69,9.74,800
2021-03-19,9.74,9.76,9.72,9.76,19200
2021-03-22,9.69,9.69,9.69,9.69,500
2021-03-23,9.69,9.75,9.69,9.69,66000
2021-03-24,9.66,9.7,9.55,9.62,5400
2021-03-25,9.66,9.66,9.66,9.66,100
2021-03-26,9.66,9.76,9.66,9.76,39500
2021-03-29,9.761,9.77,9.729,9.729,29300
2021-03-30,9.726,9.726,9.71,9.71,2500
2021-03-31,9.7,9.78,9.7,9.7,70100
2021-04-01,9.77,9.79,9.73,9.79,1900
2021-04-05,9.79,9.79,9.79,9.79,0
