date,open,high,low,close,volume
2021-01-08,10.5,10.63,10.35,10.4,819200
2021-01-11,10.5,10.5,10.3,10.3,152400
2021-01-12,10.35,10.466,10.3,10.41,239000
2021-01-13,10.5,10.5,10.4,10.4,9600
2021-01-14,10.72,10.72,10.43,10.48,68600
2021-01-15,10.65,10.65,10.4,10.41,11500
2021-01-19,10.45,10.49,10.4,10.4,8700
2021-01-20,10.59,10.6,10.43,10.49,9300
2021-01-21,10.5,10.575,10.49,10.54,7500
2021-01-22,10.56,10.56,10.41,10.55,2700
2021-01-25,10.65,10.65,10.5,10.54,8200
2021-01-26,10.6,10.61,10.45,10.47,68300
2021-01-27,10.25,10.35,10.25,10.26,21200
2021-01-28,10.27,10.3,10.25,10.259,37800
2021-01-29,10.31,10.35,10.27,10.28,14100
2021-02-01,10.28,10.45,10.28,10.38,27900
2021-02-02,10.391,10.449,10.35,10.41,1700
2021-02-03,10.331,10.44,10.25,10.37,163400
2021-02-04,10.408,10.41,10.38,10.38,8600
2021-02-05,10.37,10.54,10.37,10.52,60800
2021-02-08,10.65,10.65,10.51,10.52,11500
2021-02-09,10.51,10.63,10.51,10.63,600
2021-02-10,10.5,10.561,10.5,10.561,400
2021-02-11,10.65,10.65,10.5,10.5,6100
2021-02-12,10.52,10.55,10.5,10.5,4300
2021-02-16,10.51,10.524,10.5,10.5,1600
2021-02-17,10.64,10.64,10.52,10.61,6300
2021-02-18,10.5,10.55,10.5,10.52,16500
2021-02-19,10.53,10.58,10.53,10.55,4600
2021-02-22,10.6,10.6,10.55,10.56,6000
2021-02-23,10.5,10.57,10.45,10.57,33900
2021-02-24,10.56,10.57,10.56,10.57,5300
2021-02-25,10.51,10.51,10.25,10.37,125900
2021-02-26,10.22,10.265,10.2,10.24,25400
2021-03-01,10.25,10.33,10.25,10.3,400
2021-03-02,10.26,10.34,10.15,10.2,45400
2021-03-03,10.15,10.317,10.15,10.208,111900
2021-03-04,10.15,10.15,9.83,10.01,30600
2021-03-05,10.02,10.15,9.99,10.03,33000
2021-03-08,10.05,10.11,10.03,10.11,17300
2021-03-09,10.187,10.222,10.168,10.2,9300
2021-03-10,10.202,10.253,10.038,10.18,21000
2021-03-11,10.207,10.24,10.07,10.24,6800
2021-03-12,10.163,10.236,10.163,10.183,15000
2021-03-15,10.2,10.23,10.11,10.17,9400
2021-03-16,10.17,10.216,10.06,10.16,2300
2021-03-17,10.16,10.16,10.16,10.16,100
2021-03-18,10.19,10.239,10.146,10.146,1100
2021-03-19,10.12,10.12,10.12,10.12,900
2021-03-22,10.1,10.1,10.05,10.06,14200
2021-03-23,10.1,10.136,9.96,9.96,15100
2021-03-24,9.96,10.08,9.92,9.95,109100
2021-03-25,9.95,10.14,9.95,9.97,169500
2021-03-26,9.977,10.118,9.95,9.977,2700
2021-03-29,10.01,10.11,10.01,10.1,4400
2021-03-30,10.06,10.35,10.06,10.21,9600
2021-03-31,10.14,10.21,10.14,10.195,1400
2021-04-01,10.13,10.3,10.13,10.28,4000
2021-04-05,10.28,10.28,10.28,10.28,0
2021-04-06,10.24,10.35,10.23,10.32,22400
2021-04-07,10.5,10.69,10.4,10.62,544900
2021-04-08,10.591,10.7,10.591,10.7,8600
2021-04-09,10.57,10.57,10.567,10.567,800
2021-04-12,10.49,10.64,10.49,10.62,5600
2021-04-13,10.61,10.61,10.61,10.61,400
2021-04-14,10.64,10.66,10.55,10.6,39300
2021-04-15,10.6,10.6,10.58,10.6,2800
2021-04-16,10.49,10.6,10.26,10.53,3400
2021-04-19,10.49,10.49,10.48,10.48,3200
2021-04-20,10.48,10.609,10.48,10.565,600
2021-04-21,10.5,10.5,10.48,10.5,500
2021-04-22,10.51,10.58,10.47,10.47,30900
2021-04-23,10.66,10.66,10.59,10.6,900
2021-04-26,10.57,10.61,10.47,10.59,180000
2021-04-27,10.57,10.6,10.55,10.57,39600
2021-04-28,10.57,10.607,10.5,10.607,29300
2021-04-29,10.66,10.75,10.558,10.7,23500
2021-04-30,10.75,10.8,10.71,10.75,11300
2021-05-03,10.7,10.75,10.7,10.75,5600
2021-05-04,10.75,10.77,10.75,10.75,33500
2021-05-05,10.84,10.84,10.77,10.84,600
2021-05-06,10.7,10.84,10.7,10.84,2800
2021-05-07,10.86,10.86,10.86,10.86,400
2021-05-10,10.86,10.86,10.86,10.86,0
2021-05-11,10.86,10.86,10.86,10.86,0
2021-05-12,10.71,10.71,10.67,10.67,4400
2021-05-13,10.7,10.81,10.69,10.81,10500
2021-05-14,10.818,10.818,10.66,10.66,600
2021-05-17,10.66,10.66,10.66,10.66,0
2021-05-18,10.66,10.66,10.66,10.66,0
2021-05-19,10.66,10.66,10.66,10.66,0
2021-05-20,10.74,10.75,10.705,10.705,2000
2021-05-21,10.705,10.705,10.705,10.705,0
2021-05-24,10.75,10.775,10.7,10.775,13900
2021-05-25,10.68,10.73,10.68,10.7,26500
2021-05-26,10.7,10.7,10.7,10.7,0
2021-05-27,10.7,10.7,10.7,10.7,1000
2021-05-28,10.7,10.7,10.7,10.7,0
2021-06-01,10.7,10.7,10.7,10.7,2900
2021-06-02,10.7,10.7,10.7,10.7,0
2021-06-03,10.65,10.65,10.65,10.65,1600
2021-06-04,10.65,10.65,10.65,10.65,0
2021-06-07,10.65,10.65,10.65,10.65,0
2021-06-08,10.65,10.65,10.65,10.65,0
2021-06-09,10.65,10.65,10.65,10.65,0
2021-06-10,10.65,10.65,10.65,10.65,0
2021-06-11,10.65,10.65,10.65,10.65,0
2021-06-14,10.78,10.8,10.78,10.8,800
2021-06-15,10.84,10.84,10.68,10.69,800
2021-06-16,10.69,10.69,10.69,10.69,0
2021-06-17,10.65,10.65,10.52,10.52,1000
2021-06-18,10.52,10.52,10.52,10.52,0
2021-06-21,10.5,10.775,10.5,10.775,400
2021-06-22,10.775,10.775,10.775,10.775,0
2021-06-23,10.74,10.76,10.665,10.68,12000
2021-06-24,10.79,10.8,10.79,10.8,10000
2021-06-25,10.8,10.8,10.8,10.8,0
2021-06-28,10.73,10.73,10.66,10.66,7900
2021-06-29,10.635,10.635,10.635,10.635,100
2021-06-30,10.635,10.635,10.635,10.635,0
