date,open,high,low,close,volume
2021-03-02,10.06,10.1,9.85,9.92,63900
2021-03-03,9.99,10.05,9.86,9.89,48200
2021-03-04,9.87,9.9,9.85,9.86,71500
2021-03-05,9.905,9.916,9.85,9.86,44500
2021-03-08,9.95,9.95,9.85,9.85,298500
2021-03-09,9.98,9.98,9.76,9.79,367100
2021-03-10,9.85,9.85,9.77,9.82,337000
2021-03-11,9.83,9.835,9.8,9.8,100600
2021-03-12,9.8,9.83,9.77,9.82,169700
2021-03-15,9.78,9.78,9.7,9.7,120900
2021-03-16,9.75,9.75,9.68,9.7,237500
2021-03-17,9.7,9.75,9.7,9.75,12600
2021-03-18,9.75,9.75,9.65,9.68,91500
2021-03-19,9.67,9.7,9.65,9.68,71800
2021-03-22,9.69,9.705,9.65,9.67,150600
2021-03-23,9.67,9.7,9.65,9.66,197000
2021-03-24,9.66,9.7,9.63,9.65,77100
2021-03-25,9.69,9.72,9.59,9.72,154800
2021-03-26,9.7,9.78,9.7,9.74,402300
2021-03-29,9.78,9.8,9.72,9.76,296200
2021-03-30,9.8,9.82,9.76,9.79,42400
2021-03-31,9.76,9.8,9.75,9.78,47400
2021-04-01,9.77,9.77,9.72,9.73,111000
2021-04-05,9.731,9.78,9.71,9.74,44900
