date,open,high,low,close,volume
2020-10-01,9.92,9.95,9.89,9.9,5857300
2020-10-02,9.9,9.93,9.89,9.9,281400
2020-10-05,9.93,9.93,9.89,9.91,59000
2020-10-06,9.91,9.92,9.89,9.9,122800
2020-10-07,9.91,9.91,9.879,9.9,562300
2020-10-08,9.91,9.93,9.877,9.88,193600
2020-10-09,9.93,9.93,9.88,9.887,35300
2020-10-12,9.89,9.9,9.87,9.87,65200
2020-10-13,9.88,9.93,9.88,9.91,12900
2020-10-14,9.91,9.91,9.88,9.88,118500
2020-10-15,9.937,9.95,9.88,9.88,10000
2020-10-16,9.88,9.91,9.88,9.9,17400
2020-10-19,9.9,9.925,9.86,9.925,162500
2020-10-20,9.93,9.93,9.88,9.89,33200
2020-10-21,9.93,9.93,9.881,9.9,161800
2020-10-22,9.88,9.91,9.88,9.895,59300
2020-10-23,9.93,9.941,9.9,9.93,2500
2020-10-26,9.9,9.918,9.89,9.9,77000
2020-10-27,9.903,9.903,9.89,9.89,6700
2020-10-28,9.89,9.92,9.86,9.89,13000
2020-10-29,9.87,9.87,9.87,9.87,300
2020-10-30,9.87,9.89,9.86,9.86,4100
2020-11-02,9.89,9.9,9.86,9.86,12900
2020-11-03,9.893,9.91,9.86,9.89,52000
2020-11-04,9.909,9.93,9.909,9.93,1100
2020-11-05,9.921,9.94,9.9,9.93,10500
2020-11-06,9.918,9.918,9.9,9.9,2200
2020-11-09,9.93,9.95,9.9,9.9,30700
2020-11-10,9.92,9.938,9.89,9.89,7800
2020-11-11,9.895,9.95,9.895,9.91,21200
2020-11-12,9.93,9.96,9.9,9.96,18200
2020-11-13,9.93,9.94,9.91,9.94,3400
2020-11-16,9.92,9.96,9.91,9.94,34900
2020-11-17,9.957,9.97,9.901,9.96,7700
2020-11-18,9.96,9.96,9.935,9.935,9100
2020-11-19,9.96,9.96,9.9,9.91,37700
2020-11-20,9.94,10,9.93,9.97,28300
2020-11-23,10,10,9.95,10,3400
2020-11-24,10,10.05,9.99,10.03,130100
2020-11-25,10.02,10.05,10.01,10.01,24400
2020-11-27,10.035,10.08,10.03,10.08,152000
2020-11-30,10.08,10.1,10.05,10.05,23200
2020-12-01,10.1,10.12,10.077,10.1,39500
2020-12-02,10.11,10.11,10.09,10.09,700
2020-12-03,10.09,10.12,10.09,10.12,32100
2020-12-04,10.13,10.2,10.095,10.16,59800
2020-12-07,10.2,10.22,10.15,10.16,81700
2020-12-08,10.2,10.2,10.11,10.11,17500
2020-12-09,10.2,10.3,10.18,10.29,132000
2020-12-10,10.23,10.43,10.22,10.32,195700
2020-12-11,10.29,10.42,10.29,10.32,83300
2020-12-14,10.4,10.45,10.33,10.36,178000
2020-12-15,10.38,10.4,10.35,10.35,11900
2020-12-16,10.383,10.383,10.31,10.31,113700
2020-12-17,10.312,10.312,10.28,10.31,58300
2020-12-18,10.355,10.4,10.31,10.35,60800
2020-12-21,10.35,10.4,10.35,10.4,23500
2020-12-22,10.45,10.6,10.4,10.4,125500
2020-12-23,10.55,10.6,10.5,10.6,60100
2020-12-24,10.7,10.9,10.69,10.7,262600
2020-12-28,10.75,10.85,10.75,10.85,121700
2020-12-29,10.81,10.81,10.6,10.6,19700
2020-12-30,10.784,10.85,10.6,10.65,95900
2020-12-31,10.74,10.75,10.68,10.7,41600
2021-01-04,10.66,10.8,10.66,10.78,9500
2021-01-05,10.7,10.7,10.65,10.65,24300
2021-01-06,10.62,10.66,10.6,10.6,33700
2021-01-07,10.6,10.7,10.6,10.63,38800
2021-01-08,10.76,10.79,10.75,10.75,1300
2021-01-11,10.75,10.85,10.75,10.825,99600
2021-01-12,10.89,10.99,10.847,10.91,27100
2021-01-13,11,11,10.99,11,19500
2021-01-14,10.901,11,10.901,10.93,42600
2021-01-15,11,11.5,10.79,11.02,33600
2021-01-19,11.04,11.176,11.04,11.05,8000
2021-01-20,11.02,11.04,10.76,11,10500
2021-01-21,10.98,11.05,10.95,11.05,5700
2021-01-22,11.05,11.05,11.05,11.05,100
2021-01-25,11.24,11.25,10.97,10.99,19000
2021-01-26,10.9,11,10.9,10.91,17100
2021-01-27,10.85,10.85,10.65,10.71,4100
2021-01-28,10.71,10.71,10.71,10.71,1000
2021-01-29,10.67,10.69,10.56,10.68,20000
2021-02-01,10.68,10.76,10.68,10.76,1100
2021-02-02,10.9,10.95,10.76,10.95,16100
2021-02-03,10.76,10.76,10.76,10.76,500
2021-02-04,10.84,11,10.82,11,4600
2021-02-05,11,11,10.9,10.9,800
2021-02-08,10.875,11,10.8,11,35100
2021-02-09,11,11.07,11,11,4600
2021-02-10,11.01,11.15,11,11.15,2600
2021-02-11,11.125,11.22,11,11,25200
2021-02-12,11.05,11.05,10.83,10.83,7300
2021-02-16,11,11,11,11,21300
2021-02-17,11.09,11.1,11,11,4000
2021-02-18,11,11,10.81,10.85,105100
2021-02-19,11,11,11,11,600
2021-02-22,11,11,11,11,0
2021-02-23,10.79,10.79,10.7,10.7,32900
2021-02-24,10.79,11,10.79,10.94,29000
2021-02-25,10.94,10.98,10.71,10.74,8500
2021-02-26,10.97,10.97,10.6,10.67,21500
2021-03-01,10.92,10.93,10.87,10.87,700
2021-03-02,10.78,10.78,10.7,10.7,900
2021-03-03,10.675,10.675,10.62,10.62,1200
2021-03-04,10.41,10.41,10.125,10.4,181400
2021-03-05,10.35,10.35,10.34,10.34,1100
2021-03-08,10.437,10.437,10.33,10.33,500
2021-03-09,10.36,10.45,10.35,10.45,5100
2021-03-10,10.4,10.45,10.4,10.45,7600
2021-03-11,10.45,10.45,10.45,10.45,4500
2021-03-12,10.45,10.45,10.45,10.45,0
2021-03-15,10.45,10.45,10.42,10.42,2300
2021-03-16,10.42,10.42,10.42,10.42,100
2021-03-17,10.4,10.4,10.33,10.33,27300
2021-03-18,10.394,10.4,10.394,10.4,700
2021-03-19,10.34,10.35,10.29,10.31,155800
2021-03-22,10.33,10.35,10.126,10.34,5100
2021-03-23,10.2,10.25,10.2,10.22,3100
2021-03-24,10.24,10.24,10.03,10.03,10200
2021-03-25,10.03,10.03,10.03,10.03,0
2021-03-26,10.03,10.03,10.03,10.03,0
2021-03-29,10.03,10.03,10.03,10.03,0
2021-03-30,10.08,10.08,10.08,10.08,200
2021-03-31,10.1,10.12,10.08,10.12,1800
2021-04-01,10.123,10.205,10.123,10.205,800
2021-04-05,10.205,10.205,10.205,10.205,0
