date,open,high,low,close,volume
2016-10-06,35,41.610001,31.75,33.279999,16892900
2016-10-07,34,34.75,28.879999,29.690001,3127900
2016-10-10,29,30.5,27,28.16,1321300
2016-10-11,27.49,28.6,25.5,27.74,1601100
2016-10-12,27.559999,29.964001,27.559999,29.25,1203900
2016-10-13,28.450001,30.889999,27.52,30.530001,1024200
2016-10-14,31,31.540001,29,29.030001,653100
2016-10-17,28.52,28.66,27.27,27.43,488900
2016-10-18,28.25,28.280001,26.5,27.17,872300
2016-10-19,26.889999,27.540001,26.4,26.450001,478600
2016-10-20,26.110001,26.860001,25.51,25.780001,362600
2016-10-21,25.23,25.854,24.83,25.299999,560500
2016-10-24,25.42,27.49,25.417999,26.809999,505800
2016-10-25,26.549999,28,26.549999,27,362200
2016-10-26,27.129999,27.450001,26.52,26.780001,162500
2016-10-27,26.73,27.389999,25.25,25.9,387500
2016-10-28,25.58,26.235001,25.01,25.32,299900
2016-10-31,25.110001,25.700001,24.700001,25,425900
2016-11-01,25.219999,25.379999,24.190001,24.98,422100
2016-11-02,25,25.299,24.65,25.110001,259400
2016-11-03,25.120001,25.35,24.85,25.059999,247400
2016-11-04,25.25,25.922001,25.08,25.26,211500
2016-11-07,25.629999,25.76,25.1,25.58,171100
2016-11-08,25.379999,25.48,25,25.299999,311300
2016-11-09,24.99,26.25,24.9,25.49,280100
2016-11-10,26,26.415001,25.200001,25.790001,280600
2016-11-11,25.559999,26.344,25.290001,26.299999,129100
2016-11-14,26.5,28.280001,26.309999,27.719999,268300
2016-11-15,27.690001,28.485001,27,28.299999,213600
2016-11-16,28.41,29.785,27.629999,29.5,281800
2016-11-17,29.799999,29.950001,28.98,29.639999,189000
2016-11-18,29.75,29.75,29.059999,29.51,205100
2016-11-21,29.700001,31.5,29.67,31.450001,677300
2016-11-22,31.059999,32.195999,29.851,31.42,365800
2016-11-23,31.360001,32.5,30.65,32.25,175700
2016-11-25,32.529999,32.959999,32,32.84,102500
2016-11-28,32.84,32.84,31.129999,31.309999,159600
2016-11-29,31.379999,32.52,30.01,31.92,184600
2016-11-30,32.169998,32.200001,30.690001,31.74,205700
2016-12-01,31.74,31.74,27.700001,27.780001,502500
2016-12-02,28.16,28.32,25.540001,26.290001,1124700
2016-12-05,26.6,27.49,25.719999,26.02,792800
2016-12-06,28.32,28.4,25.879999,27.74,1056700
2016-12-07,27.85,28.4,26.91,27.25,554800
2016-12-08,27.209999,27.848,26.139999,26.23,347200
2016-12-09,26.15,26.860001,26,26.1,245600
2016-12-12,26.09,26.629999,25.809999,26.15,283900
2016-12-13,26.280001,26.84,26,26.299999,521500
2016-12-14,26.15,26.620001,25.26,25.450001,413600
2016-12-15,25.5,26.9,25.5,26.33,354000
2016-12-16,26.309999,27.530001,26.16,26.4,1719500
2016-12-19,26.49,26.870001,26,26.379999,338000
2016-12-20,26.559999,26.709999,25,25.26,524700
2016-12-21,25.200001,25.73,25.049999,25.17,197800
2016-12-22,25.280001,25.700001,24.82,25.040001,306100
2016-12-23,25.120001,25.809,25.02,25.440001,143600
2016-12-27,25.639,25.879999,25.51,25.809999,108500
2016-12-28,25.85,25.92,25,25.5,172100
2016-12-29,25.43,25.950001,25.190001,25.440001,118700
2016-12-30,25.459999,25.5,24.85,25.01,181000
2017-01-03,25.059999,25.514999,24.190001,24.620001,549700
2017-01-04,24.75,25.030001,23.9,24.51,281200
2017-01-05,24.620001,24.84,24.049999,24.08,494700
2017-01-06,24.18,24.83,23.923,24.129999,192400
2017-01-09,24.059999,24.35,23.52,23.91,255900
2017-01-10,23.91,25.200001,23.799999,24.799999,343800
2017-01-11,24.860001,25.6,24.57,25.540001,181800
2017-01-12,25.49,25.49,24.809999,24.860001,204700
2017-01-13,24.93,25.5,24.93,25.450001,114900
2017-01-17,25.4,25.879999,24.459999,25,300900
2017-01-18,24.98,25.280001,24.735001,25.16,96700
2017-01-19,25.33,25.639999,24.93,25.33,215300
2017-01-20,25.34,26.1,25.030001,25.110001,287600
2017-01-23,25.059999,25.4,24.74,25,280400
2017-01-24,25.040001,25.16,24.85,24.969999,99900
2017-01-25,25.290001,26.42,25.290001,26.32,181800
2017-01-26,26.48,26.75,25.690001,25.84,169400
2017-01-27,25.92,26.549999,25.775,26.370001,173900
2017-01-30,26.34,26.459999,25.85,26.24,264500
2017-01-31,26.059999,26.299999,25.700001,25.99,232400
2017-02-01,26.17,26.398001,25.475,25.549999,102000
2017-02-02,25.530001,25.959999,25.169001,25.67,192700
2017-02-03,25.75,26.125,25.663,26.02,132000
2017-02-06,26.040001,26.132999,25.74,26.030001,110800
2017-02-07,26.16,26.41,25.83,26,105500
2017-02-08,25.98,25.99,25.68,25.76,71400
2017-02-09,25.719999,26.219999,25.65,26,95600
2017-02-10,25.940001,26.799999,25.780001,26.25,228500
2017-02-13,26.25,26.75,25.9,25.959999,178800
2017-02-14,25.969999,26.18,25.83,25.92,92500
2017-02-15,25.98,26.57,25.85,26.219999,143800
2017-02-16,26.209999,26.365,25.83,26.02,92000
2017-02-17,25.99,27.41,25.870001,27.16,231200
2017-02-21,27.370001,29.25,27.113001,29.059999,319500
2017-02-22,29,29.1,28.049999,28.17,194600
2017-02-23,28.32,28.450001,26.950001,27.120001,214200
2017-02-24,26.84,26.91,26.031,26.379999,181600
2017-02-27,26.4,26.59,26,26.23,97500
2017-02-28,26.24,26.469999,25.85,26.450001,162900
2017-03-01,26.59,27.129999,26.4,27.120001,155500
2017-03-02,27.040001,27.27,26.799999,27.040001,113700
2017-03-03,27.139999,27.23,26.365,26.6,568400
2017-03-06,26.540001,26.940001,26.209999,26.59,209900
2017-03-07,26.51,26.959999,26.4,26.74,248400
2017-03-08,26.67,27.290001,26.67,26.91,109500
