date,open,high,low,close,volume
2018-09-20,36,39.299999,35.25,36.5,10977100
2018-09-21,34.939999,35.75,34,34.25,1852200
2018-09-24,34,35.009998,32.400002,34.209999,820000
2018-09-25,34.400002,36.220001,33.900002,36.220001,617600
2018-09-26,36.66,40.25,35.560001,37.459999,1634000
2018-09-27,38.32,39.439999,36.549999,36.650002,491700
2018-09-28,36.950001,38.880001,36.5,37.970001,310100
2018-10-01,39,39.299999,35.389999,37.080002,540300
2018-10-02,36.77,37,34.130001,34.34,491200
2018-10-03,34.310001,36,34.009998,34.880001,473300
2018-10-04,34.560001,35.66,33.669998,33.700001,630600
2018-10-05,33.66,34.110001,29.68,31.639999,450900
2018-10-08,31.41,32,29,29.799999,606600
2018-10-09,29.379999,29.870001,27.83,29.41,980700
2018-10-10,29.110001,29.25,27.5,27.9,909600
2018-10-11,27.74,28.879999,27.620001,27.92,400800
2018-10-12,28.25,29.75,27.780001,28,505300
2018-10-15,28.08,28.299999,27.639999,27.860001,296600
2018-10-16,27.99,30.889999,27.99,28.59,442300
2018-10-17,28.629999,30.6,28.08,30.549999,357000
2018-10-18,30.190001,31.309999,29,29.059999,349400
2018-10-19,30.25,30.48,26.360001,26.77,483100
2018-10-22,26.83,27.200001,25.26,26.08,628800
2018-10-23,25.719999,27.18,24.67,27.08,226600
2018-10-24,27,27.549999,25,25.120001,576000
2018-10-25,25.280001,26.780001,25.01,26.48,332100
2018-10-26,26.280001,26.48,25.049999,25.540001,328700
2018-10-29,25.719999,26.41,25.27,25.879999,361600
2018-10-30,25.6,29,25.6,28.43,451600
2018-10-31,28,29.9,27.76,28.299999,469500
2018-11-01,28.32,29,27.129999,28.25,284100
2018-11-02,28.290001,30.27,28.08,30.110001,295500
2018-11-05,30.110001,30.719999,29,30.049999,222100
2018-11-06,30.15,30.950001,29.6,30.440001,155600
2018-11-07,30.690001,32.139999,30.35,31.790001,188800
2018-11-08,31.780001,33.869999,31.780001,33.860001,318500
2018-11-09,33.360001,33.389999,31.719999,32.52,365900
2018-11-12,32.630001,32.630001,30.77,30.98,453400
2018-11-13,28.65,31.73,28.02,28.950001,750300
2018-11-14,29.379999,29.700001,26.74,26.92,398900
2018-11-15,26.700001,29.129999,26.450001,29,179700
2018-11-16,29.1,31.200001,28.49,30.690001,208900
2018-11-19,30.809999,30.99,28.27,29.07,167700
2018-11-20,28.639999,28.639999,27.530001,28.049999,274300
2018-11-21,28.290001,28.809999,27.82,27.99,107500
2018-11-23,27.860001,28.620001,27.540001,28.42,55000
2018-11-26,28.59,28.77,27.92,28.389999,134700
2018-11-27,28.120001,29.639999,28.08,29.51,160600
2018-11-28,29.6,30.49,29.27,30,129300
2018-11-29,29.92,31.459999,29.879999,31.280001,135600
2018-11-30,31.1,31.42,29.549999,29.709999,208700
2018-12-03,30.32,30.799999,28.32,28.6,382100
2018-12-04,28.5,29.77,28.4,28.82,246100
2018-12-06,28.24,29.120001,27.290001,29.01,267300
2018-12-07,28.92,30.370001,28.34,30.24,232000
2018-12-10,30.08,31.799999,29.940001,31.440001,514800
2018-12-11,31.84,31.84,30.76,31.030001,376600
2018-12-12,31.200001,32.470001,30.950001,31.860001,174500
2018-12-13,32.040001,32.040001,30.950001,31.700001,107700
2018-12-14,31.469999,32.799999,31.02,32.240002,295500
2018-12-17,32.169998,32.419998,30.540001,30.92,463800
2018-12-18,31.16,32.48,31,32.349998,370600
2018-12-19,32.419998,33.82,31.809999,32.860001,360100
2018-12-20,32,32,28.040001,28.52,566100
2018-12-21,28.549999,28.6,25.57,26.299999,1007900
2018-12-24,26.110001,28.870001,26.110001,27.76,578000
2018-12-26,27.76,28.9,27.76,28.77,307400
2018-12-27,28.280001,29.360001,27.85,29.360001,162200
2018-12-28,29.440001,31.5,28.040001,28.41,207000
2018-12-31,28.5,28.889999,27.299999,27.809999,240900
2019-01-02,27.6,28.26,27.15,27.799999,141900
2019-01-03,27.790001,28.200001,26.6,27.42,193000
2019-01-04,27.709999,30.200001,27.709999,29.530001,185400
2019-01-07,30,31.17,29.1,30.49,164900
2019-01-08,30.75,31.99,28.709999,30.49,341400
2019-01-09,30.530001,31.799999,30.18,31.290001,360900
2019-01-10,31.07,32.009998,30.52,32,111900
2019-01-11,32.220001,32.860001,30.4,30.5,201300
2019-01-14,30.219999,31.17,29.77,30.450001,143900
2019-01-15,30.549999,31.139999,30.27,30.74,77900
2019-01-16,30.6,31.84,30.24,31.08,138700
2019-01-17,30.93,31.68,30.309999,30.629999,56200
2019-01-18,30.57,31.540001,30.57,31.18,200200
2019-01-22,30.940001,31.450001,30.129999,30.16,102200
2019-01-23,30.309999,31.190001,29.67,30.120001,76200
