date,open,high,low,close,volume
2020-05-08,20.370001,23.950001,20.35,23.84,15162500
2020-05-11,25.93,26.889999,24,25.969999,10437000
2020-05-12,25.379999,26.5,24.360001,24.360001,3031300
2020-05-13,24.68,25.24,21.945,24.040001,1820400
2020-05-14,23.700001,23.799999,21.777,22.49,2621900
2020-05-15,22,24.1,21.937,23.1,3326100
2020-05-18,23.49,23.75,22.299999,23.02,1152300
2020-05-19,23.049999,23.450001,22.43,22.610001,1002300
2020-05-20,22.82,23.219999,18.73,20.26,5338600
2020-05-21,19.17,20,18.48,18.5,3439600
2020-05-22,18,18.07,17.01,17.18,3441900
2020-05-26,18.08,19.6,17.799999,19.58,3437800
2020-05-27,19.08,19.299999,18,18.98,1858900
2020-05-28,18.5,18.68,18.5,18.5,1116800
2020-05-29,18.26,20.35,18.25,20.139999,1285200
2020-06-01,20.799999,21.68,20.76,21.389999,2452800
2020-06-02,21.299999,23.1,21.26,22.860001,3252000
2020-06-03,23.5,23.66,21.459999,22.02,2080500
2020-06-04,22.02,22.26,20.549999,20.6,1479700
2020-06-05,21.25,21.280001,20.120001,20.200001,1332600
2020-06-08,20.677,20.77,19.76,20,1298100
2020-06-09,20.049999,20.75,19.799999,20.66,1135600
2020-06-10,20.700001,21.09,20.129999,20.65,894800
2020-06-11,20,21.75,19.9,20.940001,1230700
2020-06-12,21.5,21.639999,20,20.440001,820300
2020-06-15,20,22.059999,20,21.540001,1025300
2020-06-16,22.459999,22.525,21,21.5,1958300
2020-06-17,21.690001,24.969999,21.59,24.290001,2530800
2020-06-18,24.299999,24.879999,22.65,22.700001,1461000
2020-06-19,23.43,26.74,23.09,26.190001,2343300
2020-06-22,27.799999,27.799999,25.030001,26.780001,1809400
2020-06-23,27.01,31.639999,27.01,30.790001,3352600
2020-06-24,29.139999,29.969999,26.57,26.67,2403900
2020-06-25,27.5,29.5,27.49,28.924999,2404000
2020-06-26,28.52,29.25,26.200001,27.209999,1548000
2020-06-29,27.110001,29,25.879999,27.709999,1512900
2020-06-30,28.15,32.880001,28.014,31.52,3046900
2020-07-01,31.129999,34.5,30.750999,32.209999,2543700
2020-07-02,32.66,33.299999,31.51,32.240002,1777400
2020-07-06,33.919998,38.799999,33.810001,37.360001,1987500
2020-07-07,36.5,36.5,34.349998,35.990002,1395200
2020-07-08,37,40.200001,36.93,40.07,2162800
2020-07-09,41.09,42.799999,37.881001,40.560001,1911700
2020-07-10,40,40,36.5,36.639999,1897600
2020-07-13,38.77,39,32.669998,33.150002,1798500
2020-07-14,32.700001,33.970001,30.9,33.009998,2087500
2020-07-15,33.630001,33.799999,30.299999,32,1411000
2020-07-16,30.25,31.24,30.1,30.5,1583200
2020-07-17,32.25,36.446999,31.440001,35.73,3383400
2020-07-20,36.049999,36.84,33.110001,35.540001,2204500
2020-07-21,35.919998,36.490002,34.849998,35.98,1230000
2020-07-22,34.299999,35.380001,31.799999,32.299999,1776400
2020-07-23,32.984001,33.59,30.48,31.139999,1087400
2020-07-24,30.209999,31.754999,30.1,31.08,1268000
2020-07-27,31.059999,31.889999,30.85,31.879999,368000
2020-07-28,33.02,34.880001,32.333,33.630001,1399600
2020-07-29,35.990002,38.650002,35,35.869999,1708500
2020-07-30,35.169998,35.939999,34.110001,34.91,752700
