date,open,high,low,close,volume
2000-08-08,10,10.75,9.75,10,4132700
2000-08-09,10.0625,10.1875,9.875,10.0625,686900
2000-08-10,10.0625,10.0625,9,9.625,168400
2000-08-11,9.375,9.75,9,9.09375,115100
2000-08-14,9.0625,9.875,9,9.0625,129200
2000-08-15,10,10,9.125,9.25,35100
2000-08-16,9.0625,9.75,9,9,27600
2000-08-17,9.0625,9.25,8.9375,8.9375,11500
2000-08-18,9.03125,9.125,7.25,7.375,293400
2000-08-21,7.3125,7.75,7.25,7.75,100900
2000-08-22,7.625,8.75,7.625,8.625,56200
2000-08-23,8.75,9.875,8.75,9.625,92100
2000-08-24,9.6875,9.875,8.75,8.75,59100
2000-08-25,8.75,9,8.25,8.6875,15900
2000-08-28,8.8125,9.125,8.75,8.9375,27100
2000-08-29,9.09375,10.0625,9,10.0625,255400
2000-08-30,10,10.0625,9,10,65500
2000-08-31,10,10.0625,9.5,9.9375,112100
2000-09-01,10,11,9.9375,10.25,937300
2000-09-05,10.5625,10.625,8.625,10,374600
2000-09-06,10.1875,10.375,9.25,10,230000
2000-09-07,10.8125,11.125,9.875,10.75,589200
2000-09-08,11.375,11.8125,10.5,11.6875,358400
2000-09-11,11.9375,12.5625,11.4375,11.4375,274200
2000-09-12,11.3125,11.75,10.6875,11.0625,75200
2000-09-13,11.125,11.5,10.625,11,50700
2000-09-14,11,12.125,11,11.875,106400
2000-09-15,11.8125,11.875,11.4375,11.875,62100
2000-09-18,11.9375,11.9375,11.375,11.375,50900
2000-09-19,11.0625,12.125,11,12.125,84000
2000-09-20,11.875,14.0625,11.875,13.8125,129900
2000-09-21,13.1875,13.3125,12.5625,13.3125,57300
2000-09-22,12.9375,13.625,12.375,13.625,85000
2000-09-25,14,14.125,13.25,13.25,79700
2000-09-26,13.25,13.75,13.25,13.75,20300
2000-09-27,13.375,13.5,13.125,13.375,59800
2000-09-28,13.125,13.125,11.875,12.625,68000
2000-09-29,12.1875,12.25,11.5625,11.875,20700
2000-10-02,12.1875,13,11.75,11.75,9200
2000-10-03,12.09375,12.125,10.75,11.5,47900
2000-10-04,11,11.6875,11,11.6875,25800
2000-10-05,11.25,11.9375,11.125,11.25,14000
2000-10-06,11.25,11.375,9.375,9.5625,72100
2000-10-09,9.125,9.75,9,9,81500
2000-10-10,8.75,9,7.25,8.5,132700
2000-10-11,8.5,9.25,8,8.875,79200
2000-10-12,8.5,8.5,7.625,7.8125,64900
2000-10-13,7.625,8.25,7.625,7.875,45300
2000-10-16,8.5,9,8,8.5,138700
2000-10-17,8.796875,9,8.6875,8.8125,123900
2000-10-18,8.75,9.5625,8.625,9.5625,163900
2000-10-19,9.9375,10.6875,9.9375,10.6875,66800
2000-10-20,10.75,10.75,10.0625,10.625,13800
2000-10-23,10.5,10.625,10.3125,10.5,51400
2000-10-24,10,10.5625,9.875,10,8700
2000-10-25,10.5,10.5,9.25,9.4375,98100
