date,open,high,low,close,volume
2007-06-29,6250,6312.5,5375,6250,878
2007-07-02,6250,6362.5,5662.5,6250,168
2007-07-03,6250,6312.5,6075,6312.5,5
2007-07-05,6312.5,6312.5,5975,6125,8
2007-07-06,6087.5,6250,6087.5,6250,19
2007-07-09,6275,6275,6112.5,6125,15
2007-07-10,6062.5,6225,6062.5,6112.5,14
2007-07-11,6212.5,6212.5,6062.5,6100,9
2007-07-12,6000,6275,5762.5,6275,24
2007-07-13,6125,6125,5750,5925,40
2007-07-16,6250,6250,5875,5875,7
2007-07-17,5812.5,5937.5,5812.5,5937.5,2
2007-07-18,6237.5,6237.5,5812.5,5812.5,8
2007-07-19,5762.5,5937.5,5750,5812.5,25
2007-07-20,5762.5,6000,5750,5750,7
2007-07-23,6062.5,6062.5,5762.5,5775,10
2007-07-24,5925,5925,5750,5750,21
2007-07-25,5812.5,5812.5,5312.5,5750,34
2007-07-26,5512.5,5512.5,5387.5,5387.5,10
2007-07-27,5387.5,5387.5,4850,5187.5,35
2007-07-30,5550,5937.5,5550,5937.5,94
2007-07-31,6025,6062.5,5625,5850,60
2007-08-01,5837.5,6062.5,5412.5,5450,25
2007-08-02,6075,6087.5,5625,5650,12
2007-08-03,6000,6000,5437.5,5887.5,9
2007-08-06,5450,5750,5450,5650,2
2007-08-07,5525,5750,5412.5,5637.5,10
2007-08-08,5612.5,5612.5,5012.5,5312.5,15
2007-08-09,5737.5,5750,4212.5,4950,262
2007-08-10,4987.5,5500,4375,4987.5,13
2007-08-13,5237.5,5312.5,5075,5087.5,8
2007-08-14,5125,5312.5,5125,5312.5,7
2007-08-15,5025,5112.5,4987.5,5000,1
2007-08-16,5000,5000,4850,4850,3
2007-08-17,4887.5,4887.5,4875,4887.5,2
2007-08-20,4912.5,5000,4875,4975,32
2007-08-21,4975,5000,4975,5000,2
2007-08-22,5587.5,5587.5,5000,5012.5,5
2007-08-23,5012.5,5500,5012.5,5500,31
2007-08-24,5425,5475,5000,5037.5,31
2007-08-27,4850,5000,4812.5,5000,2
2007-08-28,4825,5000,4375,4987.5,5
2007-08-29,4875,5112.5,4600,4687.5,12
2007-08-30,4812.5,4975,4500,4975,20
2007-08-31,5075,5312.5,5075,5262.5,2
2007-09-04,5000,5300,5000,5200,17
2007-09-05,5000,5225,4937.5,5212.5,5
2007-09-06,5162.5,5312.5,5012.5,5012.5,31
2007-09-07,5062.5,5625,5062.5,5562.5,100
2007-09-10,5650,5750,5500,5625,22
2007-09-11,5725,5750,5025,5650,12
2007-09-12,5212.5,5750,5212.5,5600,29
2007-09-13,5550,5750,5225,5625,9
2007-09-14,5150,5712.5,5150,5462.5,7
2007-09-17,5487.5,5725,5000,5562.5,18
2007-09-18,5500,5675,5137.5,5312.5,16
