mtry,tree_depth,learn_rate,.metric,.estimator,mean,n,std_err,.config
3,1,0.1,mae,standard,0.4332162623545555,10,0.012561656677426569,Model01
3,1,0.1,rmse,standard,0.5686860102110383,10,0.01671581639220916,Model01
3,1,0.1,rsq,standard,0.3765521107946766,10,0.01933070139798104,Model01
5,1,0.1,mae,standard,0.43275078807097145,10,0.012616509313529586,Model02
5,1,0.1,rmse,standard,0.5678167490283761,10,0.016634407303703958,Model02
5,1,0.1,rsq,standard,0.3784391607696726,10,0.019429766109540066,Model02
7,1,0.1,mae,standard,0.4330334808593378,10,0.012653092997473313,Model03
7,1,0.1,rmse,standard,0.5680642753653169,10,0.016735422614945938,Model03
7,1,0.1,rsq,standard,0.3777945121489114,10,0.01967064414909957,Model03
10,1,0.1,mae,standard,0.43272974894298455,10,0.012649802428013007,Model04
10,1,0.1,rmse,standard,0.5676766872820271,10,0.016739239979282214,Model04
10,1,0.1,rsq,standard,0.3786784912960988,10,0.01958176001233334,Model04
3,3,0.1,mae,standard,0.3712337446984704,10,0.008883001323061355,Model05
3,3,0.1,rmse,standard,0.49818733472790716,10,0.013345314325658343,Model05
3,3,0.1,rsq,standard,0.5188767332210729,10,0.022643163593061143,Model05
5,3,0.1,mae,standard,0.3555300691846677,10,0.00900959399116799,Model06
5,3,0.1,rmse,standard,0.48535022876206413,10,0.013241369163099249,Model06
5,3,0.1,rsq,standard,0.5439751812209087,10,0.025900228811301638,Model06
7,3,0.1,mae,standard,0.35876033960216325,10,0.007166990790654825,Model07
7,3,0.1,rmse,standard,0.48714676867420637,10,0.011010683618519842,Model07
7,3,0.1,rsq,standard,0.54317471446438,10,0.021988560689522058,Model07
10,3,0.1,mae,standard,0.3554560361033609,10,0.007092993766291909,Model08
10,3,0.1,rmse,standard,0.4842978622647776,10,0.010661184102628521,Model08
10,3,0.1,rsq,standard,0.5463072684137463,10,0.02066567943587266,Model08
3,5,0.1,mae,standard,0.3369409837408073,10,0.008722468118432136,Model09
3,5,0.1,rmse,standard,0.4696124716614607,10,0.01327981765346333,Model09
3,5,0.1,rsq,standard,0.5751318065236655,10,0.020762771381132108,Model09
5,5,0.1,mae,standard,0.32256116001726837,10,0.009386345467954318,Model10
5,5,0.1,rmse,standard,0.45252734322976146,10,0.01388202352732405,Model10
5,5,0.1,rsq,standard,0.6045365286376007,10,0.019655939412296677,Model10
7,5,0.1,mae,standard,0.321188135236705,10,0.008196934652991835,Model11
7,5,0.1,rmse,standard,0.4533907838684724,10,0.011425024655850475,Model11
7,5,0.1,rsq,standard,0.6034542372458945,10,0.017274108020180378,Model11
10,5,0.1,mae,standard,0.32251577871793,10,0.008505306414416412,Model12
10,5,0.1,rmse,standard,0.4555065126600093,10,0.013511627740689446,Model12
10,5,0.1,rsq,standard,0.5998867279028088,10,0.016464067680893212,Model12
3,7,0.1,mae,standard,0.3314287222974531,10,0.011361767684517512,Model13
3,7,0.1,rmse,standard,0.46859461830521154,10,0.017322830533937825,Model13
3,7,0.1,rsq,standard,0.5815589198855846,10,0.024313678352937088,Model13
5,7,0.1,mae,standard,0.3141158779955397,10,0.010849801622951252,Model14
5,7,0.1,rmse,standard,0.44451895248625956,10,0.015427002401734852,Model14
5,7,0.1,rsq,standard,0.6215787788079681,10,0.021748570717959055,Model14
7,7,0.1,mae,standard,0.3017638217440438,10,0.011196401382994249,Model15
7,7,0.1,rmse,standard,0.4324497273222247,10,0.018206772060427732,Model15
7,7,0.1,rsq,standard,0.6408112910796033,10,0.02238562558868834,Model15
10,7,0.1,mae,standard,0.30000053552425854,10,0.008991734525410728,Model16
10,7,0.1,rmse,standard,0.43303403947375785,10,0.013255774912413042,Model16
10,7,0.1,rsq,standard,0.638034356416161,10,0.014776083716545674,Model16
3,1,0.01,mae,standard,0.462217548473323,10,0.013276867888124627,Model17
3,1,0.01,rmse,standard,0.6107143508598983,10,0.018216189295677702,Model17
3,1,0.01,rsq,standard,0.3140497323255371,10,0.019912461094251845,Model17
5,1,0.01,mae,standard,0.4623254868717269,10,0.013527668267641004,Model18
5,1,0.01,rmse,standard,0.6067804530228302,10,0.0180937538884613,Model18
5,1,0.01,rsq,standard,0.3198067246690238,10,0.02234190484851871,Model18
7,1,0.01,mae,standard,0.462478800569112,10,0.013527446766487143,Model19
7,1,0.01,rmse,standard,0.60683054295515515,10,0.018113385916601263,Model19
