date,open,high,low,close,volume
1973-02-21,0,5.5625,5.234375,5.234375,18400
1973-02-22,0,5.328125,5.234375,5.28125,31200
1973-02-23,0,5.28125,5.0625,5.0625,29600
1973-02-26,0,5.09375,5,5,21600
1973-02-27,0,5.03125,4.953125,4.953125,12800
1973-02-28,0,4.953125,4.859375,4.9375,44800
1973-03-01,0,5,4.953125,4.953125,23200
1973-03-02,0,4.984375,4.84375,4.921875,52800
1973-03-05,0,4.9375,4.90625,4.90625,21600
1973-03-06,0,4.828125,4.765625,4.796875,18400
1973-03-07,0,4.8125,4.625,4.65625,141600
1973-03-08,0,4.75,4.625,4.6875,40000
1973-03-09,0,4.75,4.6875,4.71875,88000
1973-03-12,0,4.734375,4.6875,4.6875,46400
1973-03-13,0,4.703125,4.65625,4.6875,60000
1973-03-14,0,4.6875,4.625,4.65625,103200
1973-03-15,0,4.578125,4.375,4.375,70400
1973-03-16,0,4.296875,4.125,4.28125,141600
1973-03-19,0,4.265625,4.1875,4.234375,69600
1973-03-20,0,4.203125,4.140625,4.203125,72800
1973-03-21,0,4.234375,4.15625,4.234375,60000
1973-03-22,0,4.28125,4.171875,4.28125,82400
1973-03-23,0,4.296875,4.25,4.296875,79200
1973-03-26,0,4.328125,4.28125,4.296875,51200
1973-03-27,0,4.515625,4.296875,4.515625,76000
1973-03-28,0,4.6875,4.5625,4.640625,70400
1973-03-29,0,4.96875,4.671875,4.953125,63200
1973-03-30,0,4.953125,4.8125,4.90625,40800
1973-04-02,0,4.9375,4.828125,4.859375,24000
1973-04-03,0,4.859375,4.75,4.828125,49600
1973-04-04,0,4.8125,4.640625,4.640625,34400
1973-04-05,0,4.625,4.59375,4.625,68000
1973-04-06,0,4.578125,4.34375,4.34375,46400
1973-04-09,0,4.390625,4.125,4.265625,360800
1973-04-10,0,4.40625,4.296875,4.40625,77600
1973-04-11,0,4.671875,4.46875,4.671875,132800
1973-04-12,0,4.875,4.6875,4.84375,64800
1973-04-13,0,4.890625,4.8125,4.8125,18400
1973-04-16,0,4.8125,4.65625,4.6875,52800
1973-04-17,0,4.703125,4.6875,4.6875,8000
1973-04-18,0,4.6875,4.515625,4.5625,16800
1973-04-19,0,4.5625,4.5,4.5,28000
1973-04-23,0,4.59375,4.5,4.5,27200
1973-04-24,0,4.578125,4.53125,4.53125,108800
1973-04-25,0,4.484375,4.359375,4.359375,56000
1973-04-26,0,4.421875,4.328125,4.375,37600
1973-04-27,0,4.390625,4.25,4.25,54400
1973-04-30,0,4.484375,4.171875,4.484375,36800
1973-05-01,0,4.515625,4.34375,4.40625,111200
1973-05-02,0,4.515625,4.359375,4.359375,107200
1973-05-03,0,4.375,4.296875,4.296875,63200
1973-05-04,0,4.359375,4.3125,4.359375,183200
1973-05-07,0,4.359375,4.3125,4.3125,36800
1973-05-08,0,4.25,4.1875,4.234375,13600
1973-05-09,0,4.234375,4.1875,4.234375,16800
1973-05-10,0,4.1875,4.109375,4.125,56000
1973-05-11,0,4.21875,4.171875,4.1875,23200
1973-05-14,0,4.140625,4.09375,4.09375,33600
1973-05-15,0,4.078125,3.953125,4,38400
1973-05-16,0,4,3.9375,4,94400
1973-05-17,0,3.984375,3.9375,3.9375,11200
1973-05-18,0,3.96875,3.890625,3.921875,24000
1973-05-21,0,3.921875,3.828125,3.875,64800
1973-05-22,0,3.9375,3.78125,3.84375,43200
1973-05-23,0,3.890625,3.84375,3.875,37600
1973-05-24,0,3.90625,3.8125,3.890625,16000
1973-05-25,0,4.046875,3.875,3.984375,57600
1973-05-29,0,4.078125,3.953125,4,18400
1973-05-30,0,3.984375,3.875,3.875,19200
1973-05-31,0,3.9375,3.84375,3.90625,12000
1973-06-01,0,3.875,3.8125,3.875,19200
1973-06-04,0,3.875,3.8125,3.875,13600
1973-06-05,0,3.890625,3.8125,3.8125,16800
1973-06-06,0,3.875,3.84375,3.875,138400
1973-06-07,0,3.8125,3.75,3.765625,36800
1973-06-08,0,3.859375,3.8125,3.828125,4800
1973-06-11,0,3.84375,3.78125,3.78125,23200
1973-06-12,0,4,3.828125,3.953125,11200
1973-06-13,0,4.046875,4,4.046875,8800
1973-06-14,0,4.046875,4.046875,4.046875,4800
1973-06-15,0,4,3.875,3.90625,20800
1973-06-18,0,3.875,3.796875,3.796875,26400
1973-06-19,0,3.75,3.71875,3.734375,80800
1973-06-20,0,3.765625,3.6875,3.71875,26400
1973-06-21,0,3.6875,3.671875,3.671875,5600
1973-06-22,0,3.75,3.65625,3.65625,30400
1973-06-25,0,3.796875,3.6875,3.71875,24800
1973-06-26,0,3.765625,3.703125,3.765625,12000
1973-06-27,0,3.828125,3.703125,3.828125,63200
1973-06-28,0,3.9375,3.828125,3.890625,31200
1973-06-29,0,4.140625,3.9375,4.109375,22400
1973-07-02,0,4.15625,4.0625,4.125,23200
1973-07-03,0,4.171875,4.125,4.171875,47200
1973-07-05,0,4.546875,4.25,4.546875,40000
1973-07-06,0,4.625,4.53125,4.578125,57600
1973-07-09,0,4.53125,4.390625,4.390625,24800
1973-07-10,0,4.46875,4.390625,4.4375,20800
1973-07-11,0,4.625,4.4375,4.515625,32800
1973-07-12,0,4.5,4.40625,4.484375,15200
1973-07-13,0,4.5,4.453125,4.46875,46400
1973-07-16,0,4.609375,4.484375,4.609375,185600
1973-07-17,0,4.75,4.625,4.75,34400
1973-07-18,0,4.75,4.71875,4.75,56000
1973-07-19,0,4.8125,4.75,4.8125,11200
1973-07-20,0,4.875,4.796875,4.84375,119200
1973-07-23,0,4.875,4.734375,4.796875,30400
1973-07-24,0,4.8125,4.75,4.8125,39200
1973-07-25,0,4.828125,4.75,4.75,9600
1973-07-26,0,4.765625,4.6875,4.703125,37600
1973-07-27,0,4.75,4.703125,4.71875,10400
1973-07-30,0,4.78125,4.625,4.640625,35200
1973-07-31,0,4.71875,4.625,4.71875,16800
1973-08-01,0,4.6875,4.625,4.625,64800
1973-08-02,0,4.6875,4.671875,4.6875,6400
1973-08-03,0,4.6875,4.59375,4.65625,18400
