date,open,high,low,close,volume
2012-03-29,19.049999,21.49,19,20,16532800
2012-03-30,20.200001,21.5,20.200001,21.1,1111000
2012-04-02,21.299999,22.4,21,21.73,788200
2012-04-03,21.93,22.4,21.4,21.549999,70600
2012-04-04,21.07,21.68,21,21.530001,452600
2012-04-05,21.65,21.84,21.52,21.559999,603200
2012-04-09,21.35,22.120001,21.15,21.459999,199200
2012-04-10,21.4,22.16,21.299999,21.450001,255400
2012-04-11,21.309999,21.99,21.309999,21.6,334600
2012-04-12,22.57,22.83,21.48,21.790001,345300
2012-04-13,21.709999,21.85,21.35,21.540001,333100
2012-04-16,21.49,22.1,21.32,21.549999,326900
2012-04-17,21.75,21.85,21.48,21.639999,291600
2012-04-18,21.639999,21.950001,21.49,21.860001,397600
2012-04-19,21.709999,21.75,21.42,21.6,227200
2012-04-20,21.65,21.73,21.309999,21.450001,392800
2012-04-23,21.32,21.6,21.059999,21.4,187000
2012-04-24,21.540001,21.75,21.459999,21.540001,71100
2012-04-25,21.799999,21.799999,21.200001,21.540001,114000
2012-04-26,21.459999,21.58,21.379999,21.530001,190700
2012-04-27,20.459999,21.93,20.459999,21.610001,356200
2012-04-30,21.6,22.6,21.51,22.08,216000
2012-05-01,22.190001,22.299999,21.969999,22,489000
2012-05-02,21.889999,22.459999,21.889999,22.030001,192000
2012-05-03,21.969999,22.1,21.549999,21.799999,92000
2012-05-04,21.57,21.799999,21.549999,21.629999,77000
2012-05-07,21.549999,22.139999,21.51,22.02,318000
2012-05-08,21.799999,22.02,21.51,21.709999,315200
2012-05-09,21.459999,21.74,21.200001,21.459999,551200
2012-05-10,21.610001,21.950001,21.43,21.74,523200
2012-05-11,21.559999,22.059999,21.5,22.030001,398800
2012-05-14,21.780001,21.799999,21.370001,21.51,329500
2012-05-15,21.51,21.549999,20.25,20.309999,316000
2012-05-16,20.530001,20.549999,19.700001,19.98,457600
2012-05-17,20,20.129999,19.709999,19.940001,435800
2012-05-18,19.940001,19.940001,19,19.35,735500
2012-05-21,19.35,19.98,19.299999,19.690001,360500
2012-05-22,19.719999,19.889999,19.639999,19.790001,286200
2012-05-23,19.65,19.73,19.33,19.73,251000
2012-05-24,19.709999,19.84,19.49,19.84,119700
2012-05-25,19.879999,20.969999,19.77,20.610001,289300
2012-05-29,20.700001,21,20.450001,20.540001,259900
2012-05-30,20.379999,20.74,20.209999,20.4,245800
2012-05-31,20.389999,20.629999,19.51,19.799999,327100
2012-06-01,19.459999,19.540001,18.92,19.01,569200
2012-06-04,19.07,19.27,19.01,19.200001,359000
2012-06-05,19.110001,19.27,19.08,19.1,241000
2012-06-06,19.209999,19.84,19.209999,19.67,68500
2012-06-07,19.92,20,19.389999,20,142900
2012-06-08,19.93,21.34,19.809999,20.309999,539500
2012-06-11,20.690001,20.91,19.860001,19.92,346900
2012-06-12,20.01,20.290001,19.83,19.950001,209800
2012-06-13,19.91,19.91,19.190001,19.440001,126400
2012-06-14,19.43,19.77,19.389999,19.629999,213200
2012-06-15,19.540001,19.690001,19.24,19.5,467500
2012-06-18,19.4,20.74,19.35,20.42,221600
2012-06-19,20.459999,20.99,19.65,19.98,374500
2012-06-20,20.030001,20.290001,19.469999,20,114700
2012-06-21,20.040001,20.1,19.68,20.09,418300
2012-06-22,20.07,20.450001,19.5,19.85,3617700
2012-06-25,19.209999,19.559999,19.02,19.16,394900
2012-06-26,19.17,20.08,19.1,19.719999,203700
2012-06-27,19.780001,20.17,19.450001,19.719999,135200
2012-06-28,19.549999,19.57,19.139999,19.24,197200
2012-06-29,19.59,20.040001,19.360001,20.040001,205300
2012-07-02,20,20.389999,19.780001,20.34,197600
2012-07-03,20.299999,20.889999,20.299999,20.82,56000
2012-07-05,20.73,21.58,20.73,21.15,94500
2012-07-06,20.889999,21.18,20.41,20.459999,134700
2012-07-09,20.440001,20.440001,19.639999,19.91,100600
2012-07-10,20.07,20.190001,19.469999,19.559999,80500
2012-07-11,19.559999,19.58,19.1,19.309999,370400
2012-07-12,19.16,19.559999,19.15,19.27,362600
2012-07-13,19.35,19.5,19.209999,19.450001,292000
2012-07-16,19.33,20.139999,19.17,19.65,228300
2012-07-17,19.68,20.18,19.389999,20.02,109200
2012-07-18,19.92,20.200001,19.91,20.110001,70700
2012-07-19,20,20.32,19.030001,19.92,200500
2012-07-20,19.780001,19.780001,19.139999,19.32,59100
2012-07-23,19.049999,19.280001,18.889999,19.049999,180400
2012-07-24,18.799999,19.059999,18.5,19,293300
2012-07-25,19.01,19.76,18.969999,19.25,553000
2012-07-26,19.51,19.51,19.02,19.030001,235100
2012-07-27,19.120001,19.76,19,19.67,250600
2012-07-30,19.690001,19.700001,19.09,19.17,73300
2012-07-31,19.129999,19.75,19.120001,19.4,152900
2012-08-01,19.48,19.5,19.200001,19.26,162700
2012-08-02,17.23,17.52,15.32,15.81,1969300
2012-08-03,15.83,16.129999,15.35,15.48,934300
2012-08-06,15.5,15.55,15.36,15.49,472500
2012-08-07,15.5,15.51,15.46,15.5,219800
2012-08-08,15.43,15.58,15.42,15.58,208400
2012-08-09,15.43,15.86,15.33,15.54,204600
2012-08-10,15.53,15.6,15.4,15.53,49200
2012-08-13,15.47,15.52,14.87,15.38,219800
2012-08-14,15.47,15.49,15,15.06,271700
2012-08-15,15.02,15.48,15.02,15.44,159000
2012-08-16,15.34,15.78,15.33,15.75,190100
2012-08-17,15.69,15.84,15.45,15.52,196500
2012-08-20,15.46,15.46,15.17,15.33,93800
2012-08-21,15.33,15.52,15.21,15.52,1051800
2012-08-22,15.45,15.8,15.25,15.69,294100
2012-08-23,15.64,15.64,15.15,15.2,132400
2012-08-24,15.16,15.42,15.15,15.24,131400
2012-08-27,15.25,15.27,15.01,15.08,163300
2012-08-28,15.07,15.22,15,15.16,757500
2012-08-29,15.16,15.3,14.91,15.23,69700
2012-08-30,15.13,15.43,15,15.03,151100
2012-08-31,15.12,15.19,15,15.05,66200
2012-09-04,15.05,15.91,15.05,15.7,239000
2012-09-05,15.69,15.8,15.26,15.48,213200
2012-09-06,15.61,16.219999,15.38,16.17,173600
2012-09-07,16.17,16.299999,16.1,16.27,146900
2012-09-10,16.24,16.469999,16.200001,16.43,322300
2012-09-11,16.459999,17.18,16.459999,17.01,165300
2012-09-12,17.08,17.59,17.02,17.549999,152500
2012-09-13,17.530001,17.82,17.43,17.799999,127100
2012-09-14,17.84,18.35,17.790001,18.32,178200
2012-09-17,18.139999,18.17,17.9,18.15,108500
2012-09-18,18.209999,18.77,18.190001,18.76,95400
2012-09-19,18.75,18.93,18.67,18.84,140400
2012-09-20,18.700001,18.799999,18.34,18.77,128500
2012-09-21,18.969999,19,18.66,18.799999,318000
2012-09-24,18.690001,18.91,18.43,18.450001,313800
2012-09-25,18.559999,18.969999,18.209999,18.25,281700
2012-09-26,18.280001,18.49,18.15,18.209999,158300
2012-09-27,18.299999,18.629999,18.219999,18.26,337400
2012-09-28,18.17,18.48,18.120001,18.219999,593900
2012-10-01,18.299999,18.360001,17.98,18.24,296100
2012-10-02,18.25,18.389999,18.15,18.25,258800
2012-10-03,18.290001,18.33,18.1,18.18,143200
2012-10-04,18.25,18.25,17.799999,17.879999,530200
2012-10-05,18,18.43,17.43,17.540001,189900
2012-10-08,17.5,17.5,16.77,17,280800
2012-10-09,16.98,17.1,16.700001,16.85,299200
2012-10-10,16.860001,17.139999,16.780001,16.889999,374300
2012-10-11,17.02,17.690001,17.02,17.52,228300
2012-10-12,17.290001,17.290001,16.700001,16.790001,223900
2012-10-15,16.85,17.110001,16.85,16.969999,118100
2012-10-16,17.07,17.52,17,17.48,236900
2012-10-17,17.459999,17.77,17.459999,17.59,165200
2012-10-18,17.530001,17.549999,17.290001,17.48,149200
2012-10-19,17.370001,17.370001,16.379999,16.889999,167300
2012-10-22,16.85,16.950001,16.65,16.82,120500
2012-10-23,16.620001,16.75,16.559999,16.65,93300
2012-10-24,16.75,16.92,16.620001,16.780001,92600
2012-10-25,16.879999,17.09,16.799999,17.040001,316800
2012-10-26,17.040001,17.549999,17.040001,17.48,96800
2012-10-31,17.49,18.219999,17.41,18.120001,76300
2012-11-01,18.200001,18.9,18.200001,18.34,155500
2012-11-02,18.57,18.57,17.75,17.780001,60000
2012-11-05,17.83,17.969999,17.5,17.9,86200
2012-11-06,17.950001,17.98,17.59,17.92,97300
2012-11-07,17.65,18.9,17.65,18.450001,665600
2012-11-08,18.48,18.709999,17.98,18.200001,140000
2012-11-09,18.139999,18.549999,17.860001,17.950001,210700
2012-11-12,17.959999,18.59,17.93,18.5,179800
2012-11-13,18.42,18.9,18.290001,18.799999,371100
2012-11-14,18.84,18.85,18.49,18.690001,294100
2012-11-15,18.940001,19.16,18.549999,18.84,608200
2012-11-16,18.790001,19.030001,18.620001,19.01,326800
2012-11-19,19.790001,20.120001,19,19.860001,653500
2012-11-20,19.76,20,19.5,19.76,320900
2012-11-21,19.780001,20.280001,19.709999,20.16,445800
2012-11-23,20.25,20.83,19.91,20.76,209100
2012-11-26,20.639999,20.75,20.360001,20.75,207500
2012-11-27,20.76,20.76,19.879999,20.690001,724500
2012-11-28,20.6,21.5,20.58,21.120001,761000
2012-11-29,21.25,21.66,20.6,21.620001,558400
2012-11-30,21.620001,21.709999,21.09,21.379999,2609200
2012-12-03,21.540001,21.9,21.34,21.559999,496700
2012-12-04,21.59,21.76,21.379999,21.549999,315600
2012-12-05,21.58,21.799999,21.32,21.67,390400
2012-12-06,21.610001,21.77,21.32,21.59,232900
2012-12-07,21.66,21.82,21.51,21.700001,295100
2012-12-10,21.620001,21.9,21.35,21.780001,408500
2012-12-11,21.860001,21.860001,21.129999,21.700001,470300
2012-12-12,21.84,21.84,21.309999,21.370001,133100
2012-12-13,21.41,21.549999,20.34,20.940001,367200
2012-12-14,20.85,21.18,20.690001,20.940001,228700
2012-12-17,20.969999,21.16,20.639999,21.1,128300
2012-12-18,21.16,21.26,20.940001,21.200001,134600
2012-12-19,21.190001,21.209999,20.950001,21.02,132100
2012-12-20,21.1,21.450001,20.950001,21.25,107500
2012-12-21,21.129999,21.49,21.01,21.469999,507700
2012-12-24,21.370001,21.370001,21.139999,21.23,34700
2012-12-26,21.209999,21.42,21.110001,21.200001,109000
2012-12-27,21.16,21.16,20.74,20.889999,154100
2012-12-28,20.76,21.49,20.700001,20.879999,184200
2012-12-31,20.9,21.59,20.9,21.299999,173800
2013-01-02,21.799999,21.799999,21.52,21.719999,250700
2013-01-03,21.709999,21.76,21.200001,21.280001,187500
2013-01-04,21.41,21.73,21.08,21.18,240100
2013-01-07,20.09,20.5,19.629999,20.43,360800
2013-01-08,20.360001,20.469999,19.91,19.959999,148200
2013-01-09,20.040001,20.190001,19.969999,20,415500
2013-01-10,20.110001,20.110001,19.790001,19.940001,147500
2013-01-11,19.959999,20.01,19.77,20,321900
2013-01-14,19.879999,19.969999,19.200001,19.389999,179200
2013-01-15,19.26,19.83,19.26,19.75,402300
2013-01-16,19.66,19.940001,19.59,19.84,346500
2013-01-17,19.82,19.99,19.639999,19.799999,203600
2013-01-18,19.76,19.940001,19.65,19.809999,254400
2013-01-22,19.780001,20.16,19.780001,20.16,246300
2013-01-23,20.1,20.200001,19.91,19.99,368100
2013-01-24,19.85,20.030001,19.85,20,158700
2013-01-25,20,20.709999,19.92,20.58,241400
2013-01-28,20.58,21.059999,20.540001,21,209300
2013-01-29,20.940001,20.940001,20.59,20.709999,173400
2013-01-30,20.700001,20.700001,19.969999,20,142900
2013-01-31,20.02,20.02,19.809999,19.98,162900
2013-02-01,20,20.1,19.889999,20,207400
2013-02-04,19.82,19.9,19.280001,19.43,117900
2013-02-05,19.58,20.030001,19.530001,19.940001,126400
2013-02-06,19.82,20.450001,19.82,20.33,73500
2013-02-07,19.84,20.23,19.709999,20.200001,108000
2013-02-08,20.209999,20.43,20.17,20.290001,60500
2013-02-11,20.290001,20.290001,19.799999,20.209999,320700
2013-02-12,22.450001,22.450001,20.75,21,826200
2013-02-13,20.809999,21.059999,19.940001,20.299999,843200
