ticker,quarter,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio
AAP,2021.3,31.23,1.27,3.96,13.12,NA
AAP,2021.2,30.98,1.26,3.93,13.02,2.59
AAP,2021.1,19.47,1.15,3.4,11.99,2.39
AAP,2020.4,21.78,1.07,2.9,15.29,2.33
AAP,2020.3,22.03,1.07,2.76,15.68,2.18
AAP,2020.2,21.6,1.02,2.6,18.59,2.2
AAP,2020.1,16.72,0.69,1.79,16.76,2.41
AAP,2019.4,22.97,1.16,3.06,18.47,2.17
AAP,2019.3,26.16,1.21,3.25,19.46,2.22
AAP,2019.2,25.14,1.14,2.95,17.53,2.07
AAP,2019.1,28.46,1.27,3.38,19.11,2.12
AAP,2018.4,26.92,1.19,3.15,18.43,1.55
AAP,2018.3,22.03,1.29,3.28,16.22,1.45
AAP,2018.2,18.39,1.05,2.69,14.96,1.42
AAP,2018.1,17.06,0.92,2.42,15.05,1.43
AAP,2017.4,15.18,0.77,2.11,17.11,1.48
AAP,2017.3,20.32,0.76,2.22,24.95,1.62
AAP,2017.2,22.77,0.89,2.69,24.74,1.7
AAP,2017.1,26.26,1.13,3.53,45.24,1.79
AAP,2016.4,26.66,1.27,4.17,45.82,1.85
AAP,2016.3,23.88,1.13,3.75,32.18,1.95
AAP,2016.2,25.46,1.22,4.22,35.97,2.07
AAP,2016.1,23.89,1.19,4.37,27.23,2.21
AAP,2015.4,22.91,1.11,4.37,23.09,2.3
AAP,2015.3,27.1,1.37,5.6,29.49,2.39
AAP,2015.2,22.67,1.15,4.96,23.57,2.57
AAP,2015.1,21.74,1.08,4.97,21.13,2.8
AAP,2014.4,23.09,1.16,5.65,23.62,2.98
AAP,2014.3,20.34,1.03,4.8,19.41,3.15
AAP,2014.2,21.89,1.17,5.27,26.13,3.39
AAP,2014.1,21.6,1.21,5.38,29.19,3.75
AAP,2013.4,20.16,1.22,5.16,21.37,2.67
AAP,2013.3,14.48,0.92,3.98,15.31,2.37
AAP,2013.2,14.77,0.91,4.19,15.64,2.54
AAP,2013.1,15.77,0.95,4.6,16.97,2.74
AAP,2012.4,13.42,0.84,4.25,12.33,2.81
AAP,2012.3,12.64,0.8,4.25,11.06,2.8
AAP,2012.2,12.12,0.8,4.57,9.76,2.94
AAP,2012.1,15.39,1.04,6.42,12.09,3.13
AAP,2011.4,13.13,0.85,5.77,9.22,3.31
AAP,2011.3,11.7,0.73,5.22,10.24,3.73
AAP,2011.2,12.78,0.76,5.46,11.52,3.72
AAP,2011.1,15.37,0.89,5.56,13.72,3.04
AAP,2010.4,16.1,0.94,5.02,11.87,2.23
AAP,2010.3,15.07,0.87,4.15,10.27,1.97
AAP,2010.2,14.33,0.78,3.8,7.54,2.12
AAP,2010.1,13.26,0.68,3.15,6.83,1.89
AAP,2009.4,13.74,0.68,2.83,7.17,1.4
AAP,2009.3,13.8,0.66,2.75,6.46,1.45
AAP,2009.2,14.89,0.7,2.99,9.5,1.41
AAP,2009.1,14.94,0.7,3.16,9.66,1.54
AAP,2008.4,12.81,0.6,2.82,10.14,1.76
AAP,2008.3,14.54,0.73,3.37,16.88,1.85
AAP,2008.2,14.33,0.73,3.38,12.34,1.86
AAP,2008.1,13.32,0.67,3.22,12.66,2.02
AAP,2007.4,15.82,0.78,3.47,18.62,1.74
AAP,2007.3,14.07,0.7,3,15.19,1.6
AAP,2007.2,17.04,0.86,3.37,34.13,1.37
AAP,2007.1,16.56,0.82,3.44,36.12,1.49
