ticker,year,quarter,avg_price,sd_price,avg_pct_change,sd_pct_change,avg_range,avg_vol,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio,yearly_amount_per_share,num_per_year,three_year_dividend,pays_dividend,dividend_yield
CLF,2006,2006.4,22.145317396825398,1.4534589287746962,0.0061091988159228915,0.017365678056229288,0.6374605396825397,1606130.1587301588,7.17,1.1,1.75,7.03,1.11,0,0,0,0,0
CLF,2007,2007.1,27.658524475409838,2.3333386722765774,0.005248318157007598,0.019055956214356684,0.8329508852459016,1517996.7213114754,9.62,1.43,2.75,13.22,1.59,0,0,0,0,0
CLF,2007,2007.2,37.18412698412698,2.9819244406229024,0.002126253875296519,0.022618781138222663,1.1221431111111109,2935396.8253968256,11.41,1.67,2.42,18.37,1.07,0,0,0,0,0
CLF,2007,2007.3,38.1349206984127,3.962959785950768,0.001690253722289154,0.026565497732261908,1.6061112698412703,2656631.746031746,14.52,1.86,2.6,22.21,1.64,0,0,0,0,0
CLF,2007,2007.4,46.07031253125,4.046559098513153,0.0014655144076849396,0.02752042358937171,1.980937453125,2665812.5,16.08,1.9,2.77,0,1.37,0,0,0,0,0
CLF,2008,2008.1,54.158606344262296,6.382421311959438,0.004728438194151851,0.038139018620637136,3.1497540000000006,3555698.3606557376,20.33,2.11,3.27,0,1.43,0,0,0,0,0
CLF,2008,2008.2,90.99742175,14.340406267444866,0.007998823046573268,0.034501846591481325,4.930781359375,3448178.125,23.53,3.54,6.03,257.1,1.43,0,0,0,0,0
CLF,2008,2008.3,90.6709375,15.413550986872725,-0.012760113632997975,0.05451138285165062,7.65718759375,4771795.3125,8.32,1.33,2.75,13.62,1.55,0,0,0,0,0
CLF,2008,2008.4,26.181874921875,6.013087207874563,-0.006911214319872643,0.10391906874220261,4.115468624999999,5806854.6875,4.39,0.63,1.37,3.21,1.34,0,0,0,0,0
CLF,2009,2009.1,20.872295,5.638415062041667,-0.005443815479956175,0.06975188645553072,2.1026229672131147,5330562.2950819675,3.28,0.45,0.98,2.04,1.31,0,0,0,0,0
