date,open,high,low,close,volume
2008-03-20,9,9.1,9,9.08,880100
2008-03-24,9.08,9.1,9.08,9.1,1511400
2008-03-25,9.08,9.08,9.05,9.05,1225000
2008-03-26,9.08,9.08,9.05,9.08,273500
2008-03-27,9.08,9.08,9.08,9.08,0
2008-03-28,9.08,9.08,9.08,9.08,0
2008-03-31,9.08,9.1,9.08,9.1,1224400
2008-04-01,9.05,9.08,9.02,9.08,530700
2008-04-02,9.05,9.05,9.05,9.05,51000
2008-04-03,9.06,9.06,9.05,9.05,2200
2008-04-04,9.05,9.05,9.05,9.05,0
2008-04-07,9.05,9.05,9.05,9.05,0
2008-04-08,9.08,9.08,9.07,9.07,13300
2008-04-09,9.07,9.07,9.07,9.07,0
2008-04-10,9.09,9.09,9.08,9.08,55800
2008-04-11,9.08,9.1,9.08,9.09,27300
2008-04-14,9.08,9.08,9.08,9.08,200000
2008-04-15,9.08,9.15,9.08,9.15,101900
2008-04-16,9.15,9.15,9.15,9.15,0
2008-04-17,9.15,9.15,9.15,9.15,0
2008-04-18,9.15,9.15,9.15,9.15,0
2008-04-21,9.15,9.15,9.15,9.15,0
2008-04-22,9.15,9.15,9.15,9.15,0
2008-04-23,9.1,9.1,9.1,9.1,500
2008-04-24,9.11,9.15,9.1,9.1,9000
2008-04-25,9.1,9.1,9.1,9.1,0
2008-04-28,9.1,9.1,9.1,9.1,0
2008-04-29,9.12,9.12,9.12,9.12,1700
2008-04-30,9.12,9.12,9.12,9.12,0
2008-05-01,9.12,9.12,9.1,9.1,117200
2008-05-02,9.11,9.11,9.11,9.11,150000
2008-05-05,9.11,9.11,9.11,9.11,0
2008-05-06,9.11,9.11,9.11,9.11,0
2008-05-07,9.11,9.11,9.11,9.11,0
2008-05-08,9.11,9.11,9.11,9.11,0
2008-05-09,9.15,9.17,9.15,9.17,122000
2008-05-12,9.13,9.16,9.13,9.16,1000
2008-05-13,9.17,9.17,9.17,9.17,100
2008-05-14,9.15,9.15,9.13,9.13,50100
2008-05-15,9.16,9.16,9.16,9.16,200000
2008-05-16,9.14,9.15,9.14,9.15,700
2008-05-19,9.15,9.15,9.15,9.15,102700
2008-05-20,9.19,9.2,9.15,9.15,1000
2008-05-21,9.14,9.15,9.14,9.15,500
2008-05-22,9.15,9.17,9.15,9.17,50500
2008-05-23,9.17,9.17,9.17,9.17,0
2008-05-27,9.17,9.2,9.17,9.2,500
2008-05-28,9.2,9.2,9.2,9.2,0
2008-05-29,9.15,9.15,9.15,9.15,200000
2008-05-30,9.14,9.17,9.14,9.17,726500
2008-06-02,9.19,9.2,9.19,9.2,52500
2008-06-03,9.2,9.22,9.19,9.2,1202000
2008-06-04,9.2,9.24,9.2,9.24,3100
2008-06-05,9.23,9.23,9.22,9.22,13700
2008-06-06,9.22,9.23,9.22,9.23,2000
2008-06-09,9.21,9.22,9.21,9.22,210700
2008-06-10,9.21,9.21,9.21,9.21,40100
2008-06-11,9.22,9.22,9.2,9.2,263400
2008-06-12,9.2,9.22,9.2,9.22,911700
2008-06-13,9.22,9.22,9.22,9.22,11500
2008-06-16,9.2,9.25,9.2,9.25,1400
2008-06-17,9.25,9.25,9.25,9.25,0
2008-06-18,9.25,9.25,9.25,9.25,0
2008-06-19,9.25,9.25,9.25,9.25,1000
2008-06-20,9.29,9.3,9.29,9.3,2100
2008-06-23,9.3,9.3,9.3,9.3,0
2008-06-24,9.3,9.3,9.3,9.3,0
2008-06-25,9.3,9.3,9.3,9.3,0
2008-06-26,9.3,9.3,9.3,9.3,0
2008-06-27,9.35,9.35,9.35,9.35,800
2008-06-30,9.3,9.3,9.3,9.3,42000
2008-07-01,9.31,9.31,9.3,9.3,900
2008-07-02,9.3,9.3,9.3,9.3,0
2008-07-03,9.3,9.3,9.3,9.3,0
2008-07-07,9.3,9.3,9.3,9.3,0
2008-07-08,9.3,9.3,9.3,9.3,0
2008-07-09,9.3,9.3,9.26,9.26,112400
2008-07-10,9.26,9.26,9.26,9.26,0
2008-07-11,9.26,9.26,9.26,9.26,0
2008-07-14,9.25,9.25,9.15,9.15,3800
2008-07-15,9.2,9.3,9.2,9.21,50200
2008-07-16,9.22,9.23,9.21,9.22,7500
2008-07-17,9.22,9.25,9.22,9.25,26700
2008-07-18,9.25,9.26,9.25,9.26,101700
2008-07-21,9.25,9.28,9.25,9.28,6600
2008-07-22,9.27,9.29,9.26,9.28,68100
2008-07-23,9.28,9.28,9.28,9.28,0
2008-07-24,9.26,9.26,9.26,9.26,3300
2008-07-25,9.28,9.28,9.28,9.28,4600
2008-07-28,9.3,9.3,9.28,9.28,3200
2008-07-29,9.28,9.28,9.28,9.28,1500
2008-07-30,9.29,9.29,9.28,9.28,1500
2008-07-31,9.33,9.33,9.29,9.29,1500
2008-08-01,9.29,9.29,9.29,9.29,1600
2008-08-04,9.32,9.32,9.32,9.32,500
2008-08-05,9.32,9.32,9.32,9.32,186600
2008-08-06,9.32,9.32,9.32,9.32,0
2008-08-07,9.32,9.32,9.32,9.32,500
2008-08-08,9.32,9.32,9.32,9.32,0
2008-08-11,9.32,9.32,9.32,9.32,0
2008-08-12,9.32,9.32,9.32,9.32,0
2008-08-13,9.31,9.31,9.31,9.31,440100
2008-08-14,9.35,9.35,9.35,9.35,50000
2008-08-15,9.31,9.34,9.31,9.34,10000
2008-08-18,9.36,9.36,9.36,9.36,2000
2008-08-19,9.36,9.36,9.36,9.36,0
2008-08-20,9.38,9.38,9.3,9.32,49200
2008-08-21,9.32,9.32,9.32,9.32,0
2008-08-22,9.32,9.32,9.32,9.32,0
2008-08-25,9.34,9.35,9.34,9.35,225200
2008-08-26,9.4,9.4,9.4,9.4,50000
2008-08-27,9.4,9.4,9.4,9.4,0
2008-08-28,9.4,9.41,9.4,9.4,9600
2008-08-29,9.4,9.4,9.4,9.4,0
2008-09-02,9.4,9.4,9.4,9.4,1500
2008-09-03,9.4,9.4,9.4,9.4,0
2008-09-04,9.4,9.41,9.4,9.41,400
2008-09-05,9.41,9.41,9.41,9.41,0
2008-09-08,9.41,9.41,9.41,9.41,0
2008-09-09,9.41,9.41,9.4,9.4,3700
2008-09-10,9.43,9.43,9.39,9.39,103100
2008-09-11,9.39,9.39,9.39,9.39,0
2008-09-12,9.4,9.41,9.32,9.32,230600
2008-09-15,9.32,9.32,9.32,9.32,0
2008-09-16,9.32,9.32,9.32,9.32,0
2008-09-17,9.3,9.3,9.15,9.15,236100
2008-09-18,9.15,9.15,9.15,9.15,0
2008-09-19,9.15,9.15,9.15,9.15,0
2008-09-22,9.2,9.23,9.2,9.23,56200
2008-09-23,9.38,9.64,9.3,9.39,307500
2008-09-24,9.47,9.47,9.25,9.4,29900
2008-09-25,9.36,9.38,9.25,9.3,96300
2008-09-26,9.3,9.38,9.24,9.3,69500
2008-09-29,9.22,9.29,9,9.19,25800
2008-09-30,9.19,9.2,9.18,9.2,91600
2008-10-01,9.19,9.2,9.19,9.19,70000
2008-10-02,9.1,9.1,9,9,700
2008-10-03,8.99,9,8.8,8.9,2600
2008-10-06,8.89,9,8.6,8.85,7800
2008-10-07,8.8,8.9,8.6,8.6,483300
2008-10-08,8.6,8.7,8.58,8.7,575400
2008-10-09,8.8,8.8,8.75,8.75,6900
2008-10-10,8.65,8.65,8.5,8.65,3800
2008-10-13,8.75,8.75,8.75,8.75,100
2008-10-14,8.6,8.65,8.6,8.65,61800
2008-10-15,8.6,8.75,8.6,8.75,200
2008-10-16,8.77,8.8,8.7,8.7,346400
2008-10-17,8.65,8.65,8.65,8.65,500
2008-10-20,8.75,8.8,8.75,8.79,258500
2008-10-21,8.76,8.8,8.75,8.8,191000
2008-10-22,8.75,8.8,8.74,8.75,225000
2008-10-23,8.75,8.79,8.75,8.79,56900
2008-10-24,8.71,8.81,8.71,8.8,377400
2008-10-27,8.71,8.8,8.71,8.8,56500
2008-10-28,8.7,8.8,8.7,8.8,20000
2008-10-29,8.7,8.75,8.68,8.7,207600
2008-10-30,8.7,8.8,8.7,8.8,538800
2008-10-31,8.8,8.8,8.8,8.8,0
2008-11-03,8.72,8.84,8.71,8.84,17200
2008-11-04,8.9,8.9,8.8,8.81,163300
2008-11-05,8.8,8.8,8.75,8.75,108400
2008-11-06,8.76,9,8.75,9,2444300
2008-11-07,9.05,9.07,8.95,8.95,11000
2008-11-10,8.95,9,8.8,8.95,33300
2008-11-11,8.95,8.95,8.95,8.95,56800
2008-11-12,8.95,8.95,8.9,8.95,16100
2008-11-13,8.9,8.94,8.8,8.91,136900
2008-11-14,8.94,8.95,8.92,8.92,24800
2008-11-17,8.92,8.92,8.87,8.9,42500
2008-11-18,8.9,8.95,8.85,8.89,167700
2008-11-19,8.95,8.98,8.95,8.95,21000
2008-11-20,8.87,8.98,8.85,8.9,65800
2008-11-21,8.9,8.9,8.9,8.9,2500
2008-11-24,8.9,8.91,8.82,8.9,24600
2008-11-25,8.98,9,8.84,8.84,535500
2008-11-26,8.84,8.84,8.84,8.84,0
2008-11-28,8.84,8.84,8.84,8.84,0
2008-12-01,8.84,8.84,8.84,8.84,0
2008-12-02,8.84,8.84,8.84,8.84,0
2008-12-03,8.9,8.94,8.85,8.85,13200
2008-12-04,8.9,8.9,8.9,8.9,1400
2008-12-05,8.85,8.9,8.85,8.85,630500
2008-12-08,8.89,8.9,8.89,8.9,2100
2008-12-09,8.91,8.91,8.91,8.91,8000
2008-12-10,8.95,8.95,8.94,8.94,300
2008-12-11,8.94,8.94,8.94,8.94,0
2008-12-12,8.93,8.93,8.93,8.93,47800
2008-12-15,8.93,8.93,8.92,8.93,216200
2008-12-16,8.93,8.93,8.93,8.93,200000
2008-12-17,8.9,8.9,8.9,8.9,344300
2008-12-18,8.88,8.93,8.87,8.88,64000
2008-12-19,8.88,8.9,8.88,8.88,160300
2008-12-22,8.87,8.87,8.87,8.87,26200
2008-12-23,8.9,8.9,8.9,8.9,48900
2008-12-24,8.9,8.9,8.9,8.9,0
2008-12-26,8.93,8.93,8.93,8.93,100
2008-12-29,8.95,9,8.93,8.96,11500
2008-12-30,9,9,8.96,8.96,41000
2008-12-31,9,9,9,9,73000
2009-01-02,9.05,9.1,9.03,9.1,58400
2009-01-05,9.18,9.2,9.12,9.12,40500
2009-01-06,9.15,9.18,9.15,9.15,295400
2009-01-07,9.15,9.17,9.15,9.15,40600
2009-01-08,9.16,9.18,9.16,9.16,80100
2009-01-09,9.18,9.18,9.16,9.18,352000
2009-01-12,9.19,9.2,9.17,9.2,11700
2009-01-13,9.2,9.2,9.18,9.2,14500
2009-01-14,9.2,9.2,9.16,9.16,76900
