date,open,high,low,close,volume
2021-01-22,22.34,30.969999,22.299999,29.51,95762100
2021-01-25,34.23,35,26.200001,28.629999,52581000
2021-01-26,28.530001,28.530001,24,24.040001,27164000
2021-01-27,23.6,25.5,22,23.16,20218700
2021-01-28,24.129,25.9,22.537001,24.27,12193000
2021-01-29,24.690001,25.799999,22.1,22.5,13583000
2021-02-01,23.43,24,22.15,23,9802700
2021-02-02,23.91,25.99,23.629999,25.870001,13089000
2021-02-03,27.17,27.17,25.9,26.76,5925100
2021-02-04,26.26,27.48,24.110001,25.139999,18742000
2021-02-05,25.219999,25.219999,23.65,24.23,5445200
2021-02-08,23.43,23.66,22,22.040001,15008300
2021-02-09,22.91,23.25,22.129999,22.52,7498800
2021-02-10,22.959999,23.540001,22.059999,22.43,5104200
2021-02-11,22.4,25.52,22.290001,24.950001,8318200
2021-02-12,24.9,25,24,24.48,3152200
2021-02-16,24.120001,24.6,22.709999,23.969999,6309700
2021-02-17,23.440001,24.99,22.82,23.719999,4415900
2021-02-18,23.09,23.559999,21.6,22.610001,7828500
2021-02-19,22.74,23,20.75,21.040001,8997100
2021-02-22,20.290001,20.459999,19.299999,19.84,13173700
2021-02-23,18.77,20.57,17.5,20.120001,11044500
2021-02-24,19.870001,20.280001,18.83,19.459999,4459800
2021-02-25,19.200001,19.49,16.85,17.209999,6996500
2021-02-26,17.290001,18.389999,16,17.51,7592900
2021-03-01,18.42,20.07,18.08,19.879999,4739300
2021-03-02,19.370001,21.540001,18.950001,18.950001,4457400
2021-03-03,19.299999,19.780001,17.889999,17.940001,3924500
2021-03-04,17.059999,18.93,16.4,16.629999,8535900
2021-03-05,17.4,17.58,15,16.09,9103600
2021-03-08,15.96,16.469999,13.7,13.83,6514900
2021-03-09,14.87,16.32,14.41,16.129999,5607000
2021-03-10,16.49,16.98,14.9,15.36,7378100
2021-03-11,16.25,19.299999,15.5,18.799999,11105000
2021-03-12,17.52,18.059999,16.950001,17.35,8773800
2021-03-15,18.6,19.889999,17.52,19.559999,5618000
2021-03-16,19.629999,20.65,18.719999,19,5378400
2021-03-17,18.5,18.59,17.030001,18.059999,5512700
