ticker,quarter,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio
BKNG,2021.3,231.38,13.3,19.9,92.77,NA
BKNG,2021.2,217.72,12.52,18.72,87.29,3.98
BKNG,2021.1,136.25,16.94,20.08,0,3.97
BKNG,2020.4,1557.53,13.47,18.64,0,3.47
BKNG,2020.3,51.53,8.07,14.26,53.15,3.51
BKNG,2020.2,26.87,6,16.31,29.74,4.23
BKNG,2020.1,17.09,3.98,14.37,14.73,3.66
BKNG,2019.4,18.24,5.95,14.34,19.87,2.61
BKNG,2019.3,19.89,5.85,13.88,19.2,2.6
BKNG,2019.2,20.79,5.87,15.11,18.84,3.05
BKNG,2019.1,19.86,5.74,11.15,18.87,2.23
BKNG,2018.4,20.66,5.73,8.95,16.89,1.58
BKNG,2018.3,34.16,6.84,9.3,36.47,1.45
BKNG,2018.2,36.53,7.31,9.25,28.45,1.42
BKNG,2018.1,41.82,7.86,9.44,26.61,1.35
BKNG,2017.4,37.35,6.85,7.48,19.85,1.26
BKNG,2017.3,25.64,7.49,7.36,13.5,1
BKNG,2017.2,39.71,8.15,7.92,17.2,1.02
BKNG,2017.1,40.17,8.08,8.1,19.98,1.03
BKNG,2016.4,34.36,6.83,7.34,19.5,1.02
BKNG,2016.3,37.54,7.13,7.41,20.39,1.04
BKNG,2016.2,23.79,6.46,6.66,18.39,1.12
BKNG,2016.1,25.36,6.93,7.07,21.08,1.03
BKNG,2015.4,25.65,7.15,7.19,21.71,0.98
BKNG,2015.3,25.62,7.09,7.28,22.72,0.95
BKNG,2015.2,25.65,6.89,6.88,21.65,0.99
BKNG,2015.1,25.4,7.12,6.99,21.92,0.95
BKNG,2014.4,24.93,7.16,6.91,21.72,0.72
BKNG,2014.3,26.15,7.52,6.95,23.45,0.74
BKNG,2014.2,30.08,8.39,8.06,27.78,0.48
BKNG,2014.1,31.78,8.8,8.64,28.51,0.5
BKNG,2013.4,32.28,8.95,8.75,27.48,0.51
BKNG,2013.3,29.3,8.18,8.07,24.54,0.63
BKNG,2013.2,27.16,7.24,7.27,22.66,0.69
BKNG,2013.1,23.79,6.38,8.63,20.42,0.72
BKNG,2012.4,22.39,6.04,7.94,18.4,0.69
BKNG,2012.3,23.37,6.27,8.63,20.93,0.74
BKNG,2012.2,27.69,7.08,11.31,24.34,0.85
BKNG,2012.1,32.41,8.02,13.78,30.75,0.97
BKNG,2011.4,22.65,5.49,9.05,18.5,0.54
BKNG,2011.3,23.78,5.61,9.36,19.21,0.6
BKNG,2011.2,36.2,7.15,12.81,27.41,0.69
BKNG,2011.1,44.5,7.78,14.58,28.02,0.78
BKNG,2010.4,38.46,6.58,10.83,26.99,0.6
BKNG,2010.3,37.54,6.08,10.45,24.19,0.68
BKNG,2010.2,15.64,3.38,6.17,14.44,0.77
BKNG,2010.1,24.5,5.14,9.19,24.43,0.67
BKNG,2009.4,22.11,4.56,7.53,21.87,0.39
BKNG,2009.3,18.3,3.66,6.04,19.16,0.5
BKNG,2009.2,25.07,2.65,5.54,16.21,0.76
BKNG,2009.1,18.98,1.97,4.65,11.6,0.89
BKNG,2008.4,18.46,1.92,4.32,12.06,0.88
BKNG,2008.3,17.37,1.83,3.79,11.52,1
BKNG,2008.2,26.24,3.3,6.55,22.64,1.14
BKNG,2008.1,29.41,3.68,7.4,34.95,1.27
BKNG,2007.4,34.81,3.51,7.63,37.32,1.33
BKNG,2007.3,30.19,2.85,6.36,36.96,1.56
BKNG,2007.2,39.97,2.38,6.45,36.32,1.88
BKNG,2007.1,43.3,1.96,5.61,24.22,2.24
BKNG,2006.4,26.43,1.73,4.41,19.65,2.05
BKNG,2006.3,NA,NA,4.05,NA,2.13
BKNG,2006.2,NA,NA,2.83,NA,0.96
BKNG,2006.1,NA,NA,2.56,NA,1.01
BKNG,2005.4,NA,NA,NA,NA,0.97
BKNG,2005.3,NA,NA,NA,NA,0.98
BKNG,2005.2,NA,NA,NA,NA,1.55
BKNG,2005.1,NA,NA,NA,NA,1.58
CCL,2021.3,0,153.85,1.49,0,NA
CCL,2021.2,0,193.11,1.87,0,2.08
CCL,2021.1,0,23.56,1.53,0,1.89
CCL,2020.4,0,2.46,1.06,0,1.61
CCL,2020.3,0,1.1,0.72,0,1.61
CCL,2020.2,0,0.65,0.57,0,1.39
CCL,2020.1,12.39,1.1,0.94,25.89,0.93
CCL,2019.4,10.31,1.48,1.2,428.42,0.78
CCL,2019.3,9.74,1.46,1.17,24.37,0.74
CCL,2019.2,11.64,1.75,1.42,25.72,0.85
CCL,2019.1,12.62,2.02,1.58,58.56,0.81
CCL,2018.4,12.88,2.16,1.63,18.56,0.74
CCL,2018.3,12.89,2.22,1.64,17.76,0.69
CCL,2018.2,14.87,2.28,1.73,17.62,0.76
CCL,2018.1,16.98,2.5,1.82,19.08,0.7
CCL,2017.4,16.82,2.51,1.79,18.41,0.68
CCL,2017.3,17.35,2.7,1.89,19.55,0.68
CCL,2017.2,15.48,2.55,1.84,18.22,0.76
CCL,2017.1,12.5,2.27,1.62,17.33,0.71
CCL,2016.4,12.33,2.11,1.48,16.42,0.72
CCL,2016.3,13.07,2,1.36,15.27,0.72
CCL,2016.2,14.61,2.04,1.38,15.8,0.75
CCL,2016.1,17.7,2.07,1.41,11.33,0.7
CCL,2015.4,19.51,2.19,1.43,15.26,0.65
CCL,2015.3,23.99,2.12,1.36,20.61,0.59
CCL,2015.2,21.96,1.97,1.34,21.73,0.66
CCL,2015.1,22.6,1.86,1.26,49.44,0.66
