mtry,min_n,.metric,.estimator,mean,n,std_err,.config
3,1,mae,standard,0.31498816054018586,10,0.012324777776214485,Model01
3,1,rmse,standard,0.44134013489472323,10,0.0230557090236227,Model01
3,1,rsq,standard,0.7089517720261624,10,0.07106262489975365,Model01
5,1,mae,standard,0.2990769253799567,10,0.013573267823366599,Model02
5,1,rmse,standard,0.4194887565381801,10,0.02273721076895635,Model02
5,1,rsq,standard,0.724744177824793,10,0.06696660059779483,Model02
7,1,mae,standard,0.2952935621946824,10,0.015476118395647845,Model03
7,1,rmse,standard,0.41633383959906944,10,0.02446102510803263,Model03
7,1,rsq,standard,0.7235495316184436,10,0.06470592989617877,Model03
10,1,mae,standard,0.29146960068150685,10,0.0160974119051534,Model04
10,1,rmse,standard,0.4109988336633149,10,0.02528962502461608,Model04
10,1,rsq,standard,0.7267555083299744,10,0.06500707177232626,Model04
3,3,mae,standard,0.3191121854010926,10,0.012789038578182518,Model05
3,3,rmse,standard,0.44839285027230164,10,0.022910142930441028,Model05
3,3,rsq,standard,0.6999909499026635,10,0.07116908102990055,Model05
5,3,mae,standard,0.30428067635981104,10,0.014258252502675902,Model06
5,3,rmse,standard,0.42274430857340806,10,0.023601354447644815,Model06
5,3,rsq,standard,0.719166795112105,10,0.06744655392703461,Model06
7,3,mae,standard,0.2949690093672756,10,0.014192761226456048,Model07
7,3,rmse,standard,0.4132749018973952,10,0.023478482808065027,Model07
7,3,rsq,standard,0.7269322249528821,10,0.06450555801205902,Model07
10,3,mae,standard,0.29258444522235827,10,0.015422335213477061,Model08
10,3,rmse,standard,0.41329441956357527,10,0.02408134038583704,Model08
10,3,rsq,standard,0.7253825838551407,10,0.06264622891597156,Model08
3,5,mae,standard,0.32268439899083107,10,0.01236710521977156,Model09
3,5,rmse,standard,0.45131892962055076,10,0.021195329259870034,Model09
3,5,rsq,standard,0.698199976439265,10,0.06608621826008072,Model09
5,5,mae,standard,0.3056081883123833,10,0.012840515212614603,Model10
5,5,rmse,standard,0.42670590108365947,10,0.02249063422266629,Model10
5,5,rsq,standard,0.7156104003997807,10,0.06606917914288077,Model10
7,5,mae,standard,0.2988095104098262,10,0.015549251080291886,Model11
7,5,rmse,standard,0.4205519020753799,10,0.02549357110426393,Model11
7,5,rsq,standard,0.7163904399804053,10,0.06996768993813608,Model11
10,5,mae,standard,0.2961550726149642,10,0.014896801066357204,Model12
10,5,rmse,standard,0.4174417302195867,10,0.023105201354840083,Model12
10,5,rsq,standard,0.7195943367768949,10,0.06580864040392004,Model12
3,7,mae,standard,0.3277674278463993,10,0.012615635153957135,Model13
3,7,rmse,standard,0.4546022964233726,10,0.02248499739207883,Model13
3,7,rsq,standard,0.6955505968407826,10,0.07296779111398398,Model13
5,7,mae,standard,0.3082318291008012,10,0.013666783844453129,Model14
5,7,rmse,standard,0.4302827549589794,10,0.023588429503078504,Model14
5,7,rsq,standard,0.7111791496670202,10,0.06827046933601315,Model14
7,7,mae,standard,0.30279329736986393,10,0.014271692803079033,Model15
7,7,rmse,standard,0.4232940162467911,10,0.023375112809825772,Model15
7,7,rsq,standard,0.7155124579465091,10,0.06762219915147438,Model15
10,7,mae,standard,0.303951161727631,10,0.0158823615785392,Model16
10,7,rmse,standard,0.4259364241089274,10,0.025032810757571463,Model16
10,7,rsq,standard,0.7073505603316753,10,0.06995218117454288,Model16
