mtry,tree_depth,learn_rate,.metric,.estimator,mean,n,std_err,.config
3,1,0.1,mae,standard,0.28242528825330654,10,0.018359550676727746,Model01
3,1,0.1,rmse,standard,0.3522387062446277,10,0.0181356168086649,Model01
3,1,0.1,rsq,standard,0.6522856755505131,10,0.03284958660471924,Model01
5,1,0.1,mae,standard,0.28667008806646177,10,0.019548743687235363,Model02
5,1,0.1,rmse,standard,0.35740930677252725,10,0.019284794065843148,Model02
5,1,0.1,rsq,standard,0.6447844321160136,10,0.037042067066787115,Model02
7,1,0.1,mae,standard,0.2827011410509616,10,0.02067218509607764,Model03
7,1,0.1,rmse,standard,0.3534533438204559,10,0.021326650193428165,Model03
7,1,0.1,rsq,standard,0.6521385050319995,10,0.03889188040477083,Model03
10,1,0.1,mae,standard,0.2813717792767313,10,0.02055990622171246,Model04
10,1,0.1,rmse,standard,0.3521183437471677,10,0.021265829093645078,Model04
10,1,0.1,rsq,standard,0.6538799826535144,10,0.03891797023500359,Model04
3,3,0.1,mae,standard,0.24966935289826733,10,0.022788214898322837,Model05
3,3,0.1,rmse,standard,0.322208527824904,10,0.023557034084165884,Model05
3,3,0.1,rsq,standard,0.6882818962952021,10,0.03979077011959387,Model05
5,3,0.1,mae,standard,0.2477033341275002,10,0.019320510987422133,Model06
5,3,0.1,rmse,standard,0.31361005413711823,10,0.01812480108305524,Model06
5,3,0.1,rsq,standard,0.7103023765920871,10,0.03370596072846681,Model06
7,3,0.1,mae,standard,0.26193234449114805,10,0.015199172608854408,Model07
7,3,0.1,rmse,standard,0.3369764812556969,10,0.015076501537790818,Model07
7,3,0.1,rsq,standard,0.6725672636672095,10,0.03861039650500517,Model07
10,3,0.1,mae,standard,0.26541549388414903,10,0.017049075091262723,Model08
10,3,0.1,rmse,standard,0.34585646067137465,10,0.017562159242686216,Model08
10,3,0.1,rsq,standard,0.6626547331568204,10,0.033460236378788734,Model08
3,5,0.1,mae,standard,0.2614178098225142,10,0.023134298303122514,Model09
3,5,0.1,rmse,standard,0.33172139985914384,10,0.02512645811231425,Model09
3,5,0.1,rsq,standard,0.6846623822276385,10,0.03868404046616771,Model09
5,5,0.1,mae,standard,0.2533284787849069,10,0.011427560563180478,Model10
5,5,0.1,rmse,standard,0.3256404829070676,10,0.012874532380151004,Model10
5,5,0.1,rsq,standard,0.6976460887696456,10,0.02473458526742287,Model10
7,5,0.1,mae,standard,0.27001559240122763,10,0.015973821313005215,Model11
7,5,0.1,rmse,standard,0.3505136392749286,10,0.01970745170326389,Model11
7,5,0.1,rsq,standard,0.6495864610058162,10,0.02961571379890267,Model11
10,5,0.1,mae,standard,0.29768624396642024,10,0.015804262249576245,Model12
10,5,0.1,rmse,standard,0.3918484566092584,10,0.025346562154882804,Model12
10,5,0.1,rsq,standard,0.583569259254056,10,0.04150553505869753,Model12
3,7,0.1,mae,standard,0.24707911920140074,10,0.019127396501353675,Model13
3,7,0.1,rmse,standard,0.3181966485600636,10,0.01923802748392772,Model13
3,7,0.1,rsq,standard,0.7288082187247387,10,0.03179343838283003,Model13
5,7,0.1,mae,standard,0.25697075029540717,10,0.016572322692276785,Model14
5,7,0.1,rmse,standard,0.33614276281064764,10,0.016153827400087917,Model14
5,7,0.1,rsq,standard,0.6803856007440446,10,0.03223783349820581,Model14
7,7,0.1,mae,standard,0.2774488929342863,10,0.01759810970295402,Model15
7,7,0.1,rmse,standard,0.36223960998896254,10,0.021077051373302444,Model15
7,7,0.1,rsq,standard,0.6272416835394237,10,0.03361859791584493,Model15
10,7,0.1,mae,standard,0.31228382945681743,10,0.017972539346331595,Model16
10,7,0.1,rmse,standard,0.4066891266303189,10,0.029001561215597542,Model16
10,7,0.1,rsq,standard,0.5679431070825115,10,0.04305864918812318,Model16
3,1,0.01,mae,standard,0.31029556372186934,10,0.020704096223235643,Model17
3,1,0.01,rmse,standard,0.3776855530474969,10,0.025716162979255122,Model17
3,1,0.01,rsq,standard,0.6207740808963507,10,0.05082823559374672,Model17
5,1,0.01,mae,standard,0.3106329342830641,10,0.0225337065480279,Model18
5,1,0.01,rmse,standard,0.3773102702109511,10,0.02735835268246097,Model18
5,1,0.01,rsq,standard,0.6157338119314198,10,0.053986134902695646,Model18
7,1,0.01,mae,standard,0.3089592468757357,10,0.02330364681335365,Model19
7,1,0.01,rmse,standard,0.3755908508222333,10,0.028406185589547054,Model19
7,1,0.01,rsq,standard,0.6188802440500122,10,0.055483417917607046,Model19
10,1,0.01,mae,standard,0.3089621883315233,10,0.023483917026479215,Model20
10,1,0.01,rmse,standard,0.3749597724468259,10,0.028499662682808825,Model20
10,1,0.01,rsq,standard,0.6205755130522239,10,0.05572236871961707,Model20
3,3,0.01,mae,standard,0.25830187548523365,10,0.01891937639670497,Model21
3,3,0.01,rmse,standard,0.3267951954288236,10,0.019559280611138295,Model21
3,3,0.01,rsq,standard,0.7078611288043857,10,0.031186288184388122,Model21
5,3,0.01,mae,standard,0.26102971653069573,10,0.015736312971701093,Model22
