date,open,high,low,close,volume
2005-11-15,7.087663,7.327471,7.071676,7.087663,5254
2005-11-16,7.156941,7.16227,7.082334,7.156941,13323
2005-11-17,7.284839,7.284839,7.135625,7.284839,13136
2005-11-18,7.263523,7.27951,7.172928,7.263523,17451
2005-11-21,7.39142,7.418066,7.311484,7.39142,124600
2005-11-22,7.524647,7.524647,7.343459,7.524647,9758
2005-11-23,7.513989,7.513989,7.482014,7.513989,9383
2005-11-25,7.871037,7.871037,7.871037,7.871037,938
2005-11-28,8.174793,8.313349,7.839062,8.174793,13698
2005-11-29,8.212097,8.350653,8.212097,8.212097,11071
2005-11-30,8.71303,8.71303,8.371969,8.71303,5442
2005-12-01,8.430589,8.430589,8.201439,8.430589,9570
2005-12-02,8.377298,8.377298,8.302691,8.377298,3753
2005-12-05,8.201439,8.201439,8.180123,8.201439,3378
2005-12-06,8.238742,8.238742,8.217426,8.238742,751
2005-12-07,8.238742,8.238742,8.238742,8.238742,751
2005-12-08,8.153477,8.180123,8.142819,8.153477,4316
2005-12-09,8.206768,8.244071,8.142819,8.206768,4504
2005-12-12,8.297362,8.297362,8.270717,8.297362,4128
2005-12-13,8.324007,8.414602,8.297362,8.324007,5817
2005-12-14,8.441247,8.441247,8.387956,8.441247,4879
2005-12-15,8.441247,8.441247,8.441247,8.441247,4879
2005-12-16,8.355982,8.355982,8.350653,8.355982,6192
2005-12-19,8.355982,8.355982,8.355982,8.355982,1126
2005-12-20,8.270717,8.270717,8.270717,8.270717,188
2005-12-21,8.339995,8.377298,8.265388,8.339995,9383
2005-12-22,8.260059,8.350653,8.260059,8.260059,563
2005-12-23,8.313349,8.313349,8.292033,8.313349,1314
2005-12-27,8.313349,8.313349,8.313349,8.313349,1314
2005-12-28,8.238742,8.238742,8.238742,8.238742,1689
2005-12-29,8.244071,8.276046,8.244071,8.244071,1501
2005-12-30,8.270717,8.286704,8.270717,8.270717,1689
2006-01-03,8.393285,8.510525,8.36664,8.393285,25896
2006-01-04,8.377298,8.451905,8.377298,8.377298,4691
2006-01-05,8.361311,8.398614,8.361311,8.361311,1689
2006-01-06,8.371969,8.435918,8.313349,8.371969,13886
2006-01-09,8.435918,8.457234,8.435918,8.435918,2627
2006-01-10,8.435918,8.435918,8.435918,8.435918,2439
2006-01-11,8.42526,8.42526,8.42526,8.42526,751
2006-01-12,8.42526,8.42526,8.42526,8.42526,563
2006-01-13,8.494538,8.494538,8.494538,8.494538,563
2006-01-17,8.569145,8.638423,8.553157,8.569145,7694
2006-01-18,8.569145,8.569145,8.569145,8.569145,7694
2006-01-19,8.750333,8.750333,8.71303,8.750333,751
2006-01-20,8.76632,8.76632,8.76632,8.76632,375
2006-01-23,8.76632,8.76632,8.76632,8.76632,0
2006-01-24,8.819611,8.819611,8.792966,8.819611,2815
2006-01-25,8.862244,8.862244,8.840927,8.862244,938
2006-01-26,8.867573,8.867573,8.867573,8.867573,1126
2006-01-27,8.920863,8.926192,8.840927,8.920863,14261
2006-01-30,8.974154,8.99547,8.899547,8.974154,3002
2006-01-31,8.984812,8.984812,8.958167,8.984812,3753
2006-02-01,8.958167,8.984812,8.867573,8.958167,5442
2006-02-02,8.835598,8.835598,8.835598,8.835598,1126
2006-02-03,8.787637,8.856914,8.787637,8.787637,3753
2006-02-06,8.734346,8.734346,8.734346,8.734346,188
2006-02-07,8.707701,8.729017,8.643752,8.707701,1501
2006-02-08,8.787637,8.787637,8.617106,8.787637,4316
2006-02-09,8.867573,8.920863,8.755662,8.867573,11259
2006-02-10,8.760991,8.760991,8.760991,8.760991,188
2006-02-13,8.617106,8.622435,8.617106,8.617106,4504
2006-02-14,8.371969,8.48388,8.371969,8.371969,2252
2006-02-15,8.53717,8.53717,8.53717,8.53717,751
2006-02-16,8.611777,8.611777,8.611777,8.611777,751
2006-02-17,8.617106,8.675726,8.606448,8.617106,2252
2006-02-21,8.659739,8.659739,8.633094,8.659739,563
2006-02-22,8.686384,8.686384,8.622435,8.686384,4879
2006-02-23,8.430589,8.489209,8.430589,8.430589,1689
2006-02-24,8.643752,8.643752,8.430589,8.643752,7506
2006-02-27,8.681055,8.771649,8.681055,8.681055,2252
2006-02-28,8.771649,8.856914,8.649081,8.771649,5442
2006-03-01,8.76632,8.840927,8.76632,8.76632,2627
2006-03-02,8.776978,8.776978,8.776978,8.776978,1314
2006-03-03,8.88356,8.88356,8.862244,8.88356,938
2006-03-06,8.675726,8.88356,8.659739,8.675726,10884
2006-03-07,8.526512,8.579803,8.499867,8.526512,2815
2006-03-08,8.510525,8.521183,8.441247,8.510525,4879
2006-03-09,8.547828,8.569145,8.446576,8.547828,5254
2006-03-10,8.398614,8.419931,8.398614,8.398614,1501
2006-03-13,8.318678,8.339995,8.281375,8.318678,12948
2006-03-14,8.329337,8.414602,8.292033,8.329337,6943
2006-03-15,8.334666,8.435918,8.334666,8.334666,3753
2006-03-16,8.36664,8.382627,8.36664,8.36664,3190
2006-03-17,8.499867,8.499867,8.467892,8.499867,9383
2006-03-20,8.494538,8.494538,8.270717,8.494538,2627
2006-03-21,8.505196,8.505196,8.345324,8.505196,2627
2006-03-22,8.313349,8.47855,8.313349,8.313349,5630
2006-03-23,8.339995,8.339995,8.339995,8.339995,751
2006-03-24,8.42526,8.42526,8.42526,8.42526,751
2006-03-27,8.409273,8.467892,8.382627,8.409273,8632
2006-03-28,8.409273,8.430589,8.409273,8.409273,4879
2006-03-29,8.446576,8.457234,8.441247,8.446576,8632
2006-03-30,8.590461,8.611777,8.542499,8.590461,9758
2006-03-31,8.574474,8.574474,8.553157,8.574474,3753
2006-04-03,8.473221,8.553157,8.473221,8.473221,13323
2006-04-04,8.494538,8.59579,8.457234,8.494538,3002
2006-04-05,8.494538,8.494538,8.494538,8.494538,0
2006-04-06,8.627764,8.627764,8.606448,8.627764,3190
2006-04-07,8.65441,8.686384,8.643752,8.65441,11259
2006-04-10,8.47855,8.553157,8.47855,8.47855,24019
2006-04-11,8.53717,8.574474,8.515854,8.53717,15200
2006-04-12,8.521183,8.521183,8.382627,8.521183,18014
2006-04-13,8.457234,8.515854,8.457234,8.457234,3190
2006-04-17,8.382627,8.446576,8.339995,8.382627,11822
2006-04-18,8.457234,8.457234,8.345324,8.457234,3565
2006-04-19,8.451905,8.473221,8.42526,8.451905,3378
2006-04-20,8.510525,8.515854,8.441247,8.510525,5630
2006-04-21,8.409273,8.409273,8.409273,8.409273,1877
2006-04-24,8.451905,8.473221,8.451905,8.451905,1126
2006-04-25,8.579803,8.579803,8.553157,8.579803,3190
2006-04-26,8.579803,8.579803,8.579803,8.579803,3190
2006-04-27,8.48388,8.569145,8.473221,8.48388,3002
2006-04-28,8.48388,8.48388,8.48388,8.48388,0
2006-05-01,8.48388,8.48388,8.48388,8.48388,1126
2006-05-02,8.403944,8.547828,8.403944,8.403944,6755
2006-05-03,8.403944,8.403944,8.403944,8.403944,0
2006-05-04,8.515854,8.585132,8.515854,8.515854,6755
2006-05-05,8.409273,8.48388,8.409273,8.409273,1314
2006-05-08,8.430589,8.430589,8.403944,8.430589,1689
2006-05-09,8.430589,8.430589,8.430589,8.430589,0
2006-05-10,8.441247,8.526512,8.419931,8.441247,5442
2006-05-11,8.409273,8.489209,8.409273,8.409273,7881
2006-05-12,8.334666,8.334666,8.334666,8.334666,3753
2006-05-15,8.371969,8.430589,8.371969,8.371969,2252
2006-05-16,8.371969,8.371969,8.371969,8.371969,0
2006-05-17,8.334666,8.334666,8.334666,8.334666,563
2006-05-18,8.329337,8.419931,8.329337,8.329337,563
2006-05-19,8.382627,8.393285,8.297362,8.382627,7318
2006-05-22,8.382627,8.382627,8.382627,8.382627,0
2006-05-23,8.569145,8.569145,8.569145,8.569145,1314
2006-05-24,8.430589,8.505196,8.212097,8.430589,17827
2006-05-25,8.643752,8.643752,8.569145,8.643752,2627
2006-05-26,8.643752,8.643752,8.643752,8.643752,0
2006-05-30,8.686384,8.686384,8.659739,8.686384,3002
2006-05-31,8.819611,8.819611,8.723688,8.819611,5067
2006-06-01,8.808953,8.808953,8.723688,8.808953,1126
2006-06-02,8.888889,8.888889,8.771649,8.888889,1877
2006-06-05,8.729017,8.926192,8.729017,8.729017,6380
2006-06-06,8.659739,8.739675,8.627764,8.659739,4316
2006-06-07,8.617106,8.617106,8.553157,8.617106,2252
2006-06-08,8.563816,8.638423,8.542499,8.563816,3753
2006-06-09,8.563816,8.563816,8.563816,8.563816,0
2006-06-12,8.707701,8.82494,8.707701,8.707701,3002
2006-06-13,8.622435,8.745004,8.585132,8.622435,3941
2006-06-14,8.606448,8.606448,8.547828,8.606448,1689
2006-06-15,8.590461,8.590461,8.531841,8.590461,1126
2006-06-16,8.531841,8.531841,8.531841,8.531841,375
2006-06-19,8.419931,8.494538,8.419931,8.419931,2252
2006-06-20,8.339995,8.489209,8.339995,8.339995,5442
2006-06-21,8.36664,8.409273,8.260059,8.36664,7506
2006-06-22,8.302691,8.355982,8.297362,8.302691,2439
2006-06-23,8.361311,8.361311,8.260059,8.361311,2252
2006-06-26,8.350653,8.441247,8.350653,8.350653,3190
2006-06-27,8.446576,8.457234,8.409273,8.446576,5630
2006-06-28,8.531841,8.531841,8.489209,8.531841,1877
2006-06-29,8.53717,8.53717,8.53717,8.53717,1877
2006-06-30,8.53717,8.53717,8.53717,8.53717,0
2006-07-03,8.53717,8.53717,8.53717,8.53717,0
2006-07-05,8.734346,8.76632,8.649081,8.734346,20829
2006-07-06,8.840927,8.840927,8.76632,8.840927,1501
2006-07-07,8.830269,8.872902,8.787637,8.830269,2252
2006-07-10,8.856914,8.899547,8.755662,8.856914,14261
2006-07-11,8.65441,8.76632,8.65441,8.65441,3941
2006-07-12,8.53717,8.53717,8.531841,8.53717,3753
2006-07-13,8.606448,8.606448,8.579803,8.606448,1689
2006-07-14,8.601119,8.601119,8.553157,8.601119,1126
2006-07-17,8.59579,8.59579,8.547828,8.59579,3565
2006-07-18,8.526512,8.526512,8.526512,8.526512,375
2006-07-19,8.473221,8.473221,8.473221,8.473221,563
2006-07-20,8.526512,8.526512,8.467892,8.526512,5442
2006-07-21,8.42526,8.48388,8.42526,8.42526,7131
2006-07-24,8.42526,8.42526,8.42526,8.42526,0
2006-07-25,8.462563,8.473221,8.419931,8.462563,11259
2006-07-26,8.510525,8.510525,8.393285,8.510525,4879
2006-07-27,8.398614,8.398614,8.398614,8.398614,938
2006-07-28,8.435918,8.47855,8.334666,8.435918,2252
2006-07-31,8.451905,8.526512,8.441247,8.451905,21955
2006-08-01,8.467892,8.510525,8.435918,8.467892,8820
2006-08-02,8.617106,8.617106,8.526512,8.617106,5817
2006-08-03,8.697042,8.718359,8.510525,8.697042,6380
2006-08-04,8.697042,8.697042,8.697042,8.697042,0
2006-08-07,8.697042,8.697042,8.697042,8.697042,0
2006-08-08,8.739675,8.787637,8.723688,8.739675,3190
2006-08-09,8.76632,8.76632,8.734346,8.76632,2064
2006-08-10,8.76632,8.76632,8.76632,8.76632,0
2006-08-11,8.71303,8.76632,8.702371,8.71303,3378
2006-08-14,8.531841,8.553157,8.531841,8.531841,7881
2006-08-15,8.59579,8.617106,8.59579,8.59579,1126
2006-08-16,8.59579,8.59579,8.59579,8.59579,0
2006-08-17,8.675726,8.771649,8.675726,8.675726,6192
2006-08-18,8.675726,8.675726,8.675726,8.675726,0
2006-08-21,8.776978,8.835598,8.686384,8.776978,18390
2006-08-22,8.814282,8.819611,8.814282,8.814282,1501
2006-08-23,8.814282,8.814282,8.814282,8.814282,0
2006-08-24,8.862244,8.862244,8.856914,8.862244,3753
2006-08-25,8.899547,8.899547,8.830269,8.899547,8444
2006-08-28,8.856914,8.888889,8.856914,8.856914,4504
2006-08-29,8.830269,8.830269,8.729017,8.830269,1689
2006-08-30,8.846256,8.867573,8.787637,8.846256,13136
2006-08-31,8.846256,8.846256,8.846256,8.846256,375
2006-09-01,9.016787,9.016787,8.931521,9.016787,2627
2006-09-05,8.974154,8.974154,8.840927,8.974154,7881
2006-09-06,9.006128,9.011458,8.904876,9.006128,4316
2006-09-07,8.936851,9.000799,8.936851,8.936851,9945
2006-09-08,8.952838,9.144684,8.830269,8.952838,9758
2006-09-11,9.091394,9.139355,9.091394,9.091394,2439
2006-09-12,9.192646,9.192646,9.038103,9.192646,5817
2006-09-13,9.219291,9.357847,9.181988,9.219291,5067
