date,open,high,low,close,volume
1980-03-17,0,0.795139,0.784722,0.784722,43200
1980-03-18,0,0.777778,0.777778,0.777778,327600
1980-03-19,0,0.777778,0.777778,0.777778,115200
1980-03-20,0,0.784722,0.784722,0.784722,28800
1980-03-21,0,0.784722,0.784722,0.784722,554400
1980-03-24,0,0.784722,0.743056,0.743056,406800
1980-03-25,0,0.756944,0.743056,0.743056,64800
1980-03-26,0,0.760417,0.75,0.760417,129600
1980-03-27,0,0.756944,0.743056,0.756944,817200
1980-03-28,0,0.75,0.75,0.75,25200
1980-03-31,0,0.784722,0.760417,0.784722,79200
1980-04-01,0,0.777778,0.777778,0.777778,7200
1980-04-02,0,0.78125,0.770833,0.777778,525600
1980-04-03,0,0.777778,0.763889,0.770833,133200
1980-04-07,0,0.767361,0.75,0.75,190800
1980-04-08,0,0.756944,0.743056,0.75,64800
1980-04-09,0,0.756944,0.75,0.756944,21600
1980-04-10,0,0.763889,0.756944,0.763889,25200
1980-04-11,0,0.770833,0.763889,0.770833,18000
1980-04-14,0,0.774306,0.763889,0.770833,100800
1980-04-15,0,0.760417,0.756944,0.756944,100800
1980-04-16,0,0.763889,0.75,0.763889,64800
1980-04-17,0,0.763889,0.763889,0.763889,57600
1980-04-18,0,0.763889,0.763889,0.763889,50400
1980-04-21,0,0.770833,0.763889,0.763889,93600
1980-04-22,0,0.770833,0.760417,0.770833,64800
1980-04-23,0,0.770833,0.760417,0.763889,385200
1980-04-24,0,0.756944,0.75,0.75,82800
1980-04-25,0,0.756944,0.75,0.75,79200
1980-04-28,0,0.763889,0.753472,0.763889,216000
1980-04-29,0,0.760417,0.75,0.756944,176400
1980-04-30,0,0.760417,0.75,0.760417,644400
1980-05-01,0,0.760417,0.753472,0.753472,7200
1980-05-02,0,0.760417,0.753472,0.753472,79200
1980-05-05,0,0.760417,0.753472,0.753472,18000
1980-05-06,0,0.753472,0.75,0.75,640800
1980-05-07,0,0.774306,0.75,0.774306,356400
1980-05-08,0,0.784722,0.777778,0.784722,223200
1980-05-09,0,0.788194,0.770833,0.770833,183600
1980-05-12,0,0.763889,0.760417,0.760417,79200
1980-05-13,0,0.770833,0.75,0.770833,46800
1980-05-14,0,0.791667,0.777778,0.791667,471600
1980-05-15,0,0.833333,0.791667,0.833333,126000
1980-05-16,0,0.826389,0.8125,0.8125,57600
1980-05-19,0,0.819444,0.8125,0.8125,176400
1980-05-20,0,0.805556,0.791667,0.798611,39600
1980-05-21,0,0.8125,0.805556,0.805556,669600
1980-05-22,0,0.805556,0.798611,0.798611,244800
1980-05-23,0,0.805556,0.805556,0.805556,75600
1980-05-27,0,0.822917,0.8125,0.822917,259200
1980-05-28,0,0.826389,0.819444,0.826389,86400
1980-05-29,0,0.829861,0.822917,0.822917,61200
1980-05-30,0,0.822917,0.815972,0.822917,68400
1980-06-02,0,0.822917,0.815972,0.815972,32400
1980-06-03,0,0.819444,0.815972,0.815972,10800
1980-06-04,0,0.819444,0.8125,0.8125,57600
1980-06-05,0,0.822917,0.8125,0.822917,46800
1980-06-06,0,0.829861,0.819444,0.829861,212400
1980-06-09,0,0.840278,0.829861,0.836806,118800
1980-06-10,0,0.840278,0.833333,0.833333,68400
1980-06-11,0,0.861111,0.840278,0.861111,72000
1980-06-12,0,0.861111,0.861111,0.861111,198000
1980-06-13,0,0.861111,0.850694,0.850694,79200
1980-06-16,0,0.875,0.854167,0.875,111600
1980-06-17,0,0.895833,0.875,0.888889,129600
1980-06-18,0,0.881944,0.847222,0.850694,82800
1980-06-19,0,0.847222,0.84375,0.847222,10800
1980-06-20,0,0.840278,0.840278,0.840278,64800
1980-06-23,0,0.84375,0.836806,0.84375,21600
1980-06-24,0,0.868056,0.847222,0.868056,90000
1980-06-25,0,0.868056,0.847222,0.854167,198000
1980-06-26,0,0.861111,0.854167,0.861111,36000
1980-06-27,0,0.854167,0.847222,0.847222,82800
1980-06-30,0,0.847222,0.833333,0.847222,158400
1980-07-01,0,0.847222,0.833333,0.833333,93600
1980-07-02,0,0.854167,0.829861,0.854167,165600
1980-07-03,0,0.861111,0.854167,0.861111,57600
1980-07-07,0,0.861111,0.861111,0.861111,7200
1980-07-08,0,0.868056,0.868056,0.868056,36000
1980-07-09,0,0.881944,0.875,0.881944,180000
1980-07-10,0,0.888889,0.875,0.875,291600
1980-07-11,0,0.888889,0.881944,0.888889,39600
1980-07-14,0,0.909722,0.895833,0.909722,32400
1980-07-15,0,0.916667,0.895833,0.909722,129600
1980-07-16,0,0.902778,0.895833,0.895833,511200
1980-07-17,0,0.913194,0.902778,0.913194,32400
1980-07-18,0,0.923611,0.902778,0.923611,122400
1980-07-21,0,0.944444,0.930556,0.944444,57600
1980-07-22,0,0.961806,0.944444,0.958333,226800
1980-07-23,0,0.944444,0.930556,0.9375,338400
1980-07-24,0,0.958333,0.930556,0.958333,453600
1980-07-25,0,0.951389,0.9375,0.951389,61200
1980-07-28,0,0.951389,0.951389,0.951389,54000
1980-07-29,0,0.944444,0.944444,0.944444,54000
1980-07-30,0,0.9375,0.902778,0.909722,248400
1980-07-31,0,0.923611,0.913194,0.913194,226800
1980-08-01,0,0.909722,0.875,0.875,262800
1980-08-04,0,0.881944,0.875,0.881944,18000
1980-08-05,0,0.895833,0.875,0.875,1058400
1980-08-06,0,0.881944,0.868056,0.878472,1342800
1980-08-07,0,0.878472,0.875,0.875,133200
1980-08-08,0,0.881944,0.875,0.875,61200
1980-08-11,0,0.881944,0.861111,0.868056,234000
1980-08-12,0,0.861111,0.847222,0.847222,720000
1980-08-13,0,0.864583,0.847222,0.864583,54000
1980-08-14,0,0.868056,0.864583,0.868056,14400
1980-08-15,0,0.864583,0.854167,0.864583,108000
1980-08-18,0,0.864583,0.850694,0.850694,208800
1980-08-19,0,0.854167,0.833333,0.833333,1054800
1980-08-20,0,0.840278,0.826389,0.833333,90000
1980-08-21,0,0.84375,0.833333,0.833333,378000
1980-08-22,0,0.840278,0.826389,0.833333,90000
1980-08-25,0,0.833333,0.833333,0.833333,14400
1980-08-26,0,0.868056,0.840278,0.864583,111600
1980-08-27,0,0.861111,0.861111,0.861111,295200
1980-08-28,0,0.868056,0.861111,0.861111,324000
