mod_num,time_to_create,n_yes_train,n_no_train,n_yes_test,n_no_test,ntrees,max_depth,min_rows,distribution,learn_rate,learn_rate_annealing,min_split_improvement,sample_rate,nbins,col_sample_rate_per_tree,histogram_type,gini,auc,threshold_max_f1,sensitivity_max_f1,specificity_max_f1,precision_max_f1,accuracy_max_f1,threshold_98_specificity,sensitivity_98_specificity,specificity_98_specificity,precision_98_specificity,accuracy_98_specificity
1,3.890000000001237,83,233,33,67,100,1,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.8273437096023579,0.913671854801179,0.246885246266691,0.6666666666666666,0.7910447761194029,0.6111111111111112,0.75,0.4781759580987805,0.24242424242424243,1,1,0.75
2,7,83,233,33,67,300,1,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.8520088939448782,0.9260044469724391,0.183831633654246,0.8787878787878788,0.582089552238806,0.5087719298245614,0.68,0.4805148706833986,0.30303030303030304,0.9850746268656716,0.9090909090909091,0.76
3,3.649999999999636,83,233,33,67,100,3,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9961735353430892,0.9980867676715446,0.157755858197548,0.7878787878787878,0.7910447761194029,0.65,0.79,0.4531467320448641,0.45454545454545453,0.9850746268656716,0.9375,0.81
4,8.950000000000728,83,233,33,67,300,3,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9995863281451989,0.9997931640725994,0.170260901674724,0.7272727272727273,0.8656716417910447,0.7272727272727273,0.82,0.3856432691631927,0.48484848484848486,0.9850746268656716,0.9411764705882353,0.82
5,5.75,83,233,33,67,100,7,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.078322941256617,0.8181818181818182,0.8208955223880597,0.6923076923076923,0.82,0.3921795193906405,0.45454545454545453,0.9850746268656716,0.9375,0.81
6,13.529999999998836,83,233,33,67,300,7,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.0276920740116625,0.8787878787878788,0.7910447761194029,0.6744186046511628,0.82,0.3428522833484212,0.48484848484848486,0.9850746268656716,0.9411764705882353,0.82
7,7.0900000000001455,83,233,33,67,100,10,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.0856550552883655,0.8181818181818182,0.8805970149253731,0.7714285714285715,0.86,0.30278337114316867,0.48484848484848486,0.9850746268656716,0.9411764705882353,0.82
8,16.6299999999992,83,233,33,67,300,10,1,bernoulli,0.05,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.0488335720751045,0.7272727272727273,0.9104477611940298,0.8,0.85,0.2523243680918013,0.48484848484848486,0.9850746268656716,0.9411764705882353,0.82
9,3.4400000000005093,83,233,33,67,100,1,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.747763586534981,0.8738817932674905,0.275991354084019,0.6363636363636364,0.7910447761194029,0.6,0.74,Inf,0.18181818181818182,0.9701492537313433,0.75,0.71
10,7.700000000000728,83,233,33,67,300,1,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.7601737421790165,0.8800868710895082,0.281339836835819,0.6363636363636364,0.8059701492537313,0.6176470588235294,0.75,Inf,0.18181818181818182,0.9701492537313433,0.75,0.71
11,3.6700000000000728,83,233,33,67,100,3,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.952944826516366,0.976472413258183,0.202725541314361,0.9696969696969697,0.6417910447761194,0.5714285714285714,0.75,0.3403277294580569,0.48484848484848486,0.9850746268656716,0.9411764705882353,0.82
12,8.93999999999869,83,233,33,67,300,3,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9612182636123894,0.9806091318061947,0.211066226753476,0.8484848484848485,0.7611940298507462,0.6363636363636364,0.79,0.3565075594970939,0.5151515151515151,0.9850746268656716,0.9444444444444444,0.83
13,5.779999999998836,83,233,33,67,100,7,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.227448698603564,0.7878787878787878,0.9104477611940298,0.8125,0.87,0.3062273641420632,0.5151515151515151,0.9850746268656716,0.9444444444444444,0.83
14,13.589999999998327,83,233,33,67,300,7,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.200607707171782,0.8181818181818182,0.9104477611940298,0.8181818181818182,0.88,0.3146437898479794,0.5151515151515151,0.9850746268656716,0.9444444444444444,0.83
15,7.2299999999995634,83,233,33,67,100,10,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.216437002629423,0.8787878787878788,0.8656716417910447,0.7631578947368421,0.87,0.3500669913581505,0.45454545454545453,0.9850746268656716,0.9375,0.81
16,18.079999999999927,83,233,33,67,300,10,1,bernoulli,0.01,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.192738429954965,0.8787878787878788,0.8656716417910447,0.7631578947368421,0.87,0.30447594309474546,0.48484848484848486,0.9850746268656716,0.9411764705882353,0.82
17,3.470000000001164,83,233,33,67,100,1,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.666321940120999,0.8331609700604995,0.264311543526994,0.6363636363636364,0.7611940298507462,0.5675675675675675,0.72,Inf,0.3333333333333333,0.9104477611940298,0.6470588235294118,0.72
18,7,83,233,33,67,300,1,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.6794560215109364,0.8397280107554682,0.26373103804491,0.6363636363636364,0.7761194029850746,0.5833333333333334,0.73,Inf,0.3333333333333333,0.9253731343283582,0.6875,0.73
19,4.530000000000655,83,233,33,67,100,3,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9370184601065203,0.9685092300532602,0.264581727434272,0.7878787878787878,0.7910447761194029,0.65,0.79,0.2779635452695177,0.36363636363636365,0.9850746268656716,0.9230769230769231,0.78
20,8.44000000000051,83,233,33,67,300,3,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,0.9390868193805264,0.9695434096902632,0.263220091573115,0.8181818181818182,0.7611940298507462,0.627906976744186,0.78,0.28221447969901725,0.42424242424242425,0.9850746268656716,0.9333333333333333,0.8
21,5.6200000000008,83,233,33,67,100,7,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.255656891620001,0.9393939393939394,0.746268656716418,0.6458333333333334,0.81,0.2737243103978994,0.48484848484848486,0.9850746268656716,0.9411764705882353,0.82
22,13.600000000000364,83,233,33,67,300,7,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.260633971249125,0.7878787878787878,0.8656716417910447,0.7428571428571429,0.84,0.27441342071903063,0.5151515151515151,0.9850746268656716,0.9444444444444444,0.83
