"MacroTrends Data Download"
"ASR - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2000-09-28,7.9282,7.9958,7.7982,7.8970,5731600
2000-09-29,7.8606,7.8970,7.8606,7.8970,1314100
2000-10-02,7.8658,7.9282,7.8658,7.8970,426000
2000-10-03,7.8658,7.8658,6.5297,7.2783,1112000
2000-10-04,7.2783,7.3459,7.2160,7.2783,151900
2000-10-05,7.2472,7.2783,7.0860,7.2783,118300
2000-10-06,7.2160,7.2160,6.5661,6.6961,363800
2000-10-09,6.6597,7.4083,6.6597,6.6597,99700
2000-10-10,6.6597,6.7273,6.6597,6.6597,85500
2000-10-11,6.6961,6.7585,6.6597,6.7273,91400
2000-10-12,6.7273,7.2160,6.7273,7.1172,84800
2000-10-13,7.0496,7.0496,6.7897,6.8260,105400
2000-10-16,6.7897,6.9196,6.7897,6.8884,59700
2000-10-17,6.8884,7.0184,6.8884,7.0184,100600
2000-10-18,7.0184,7.0860,7.0184,7.0860,127900
2000-10-19,7.0496,7.1484,7.0496,7.1484,38600
2000-10-20,7.1172,7.2160,7.1172,7.2160,56600
2000-10-23,7.1484,7.2472,7.1484,7.2472,18800
2000-10-24,7.2472,7.6059,7.2472,7.5383,257500
2000-10-25,7.6059,7.6059,7.5383,7.5383,69200
2000-10-26,7.5383,7.6059,7.5383,7.5695,24600
2000-10-27,7.5695,7.6059,7.5383,7.6059,60900
2000-10-30,7.5383,7.5383,7.4759,7.4759,27000
2000-10-31,7.5383,7.7358,7.5071,7.7358,42300
2000-11-01,7.7982,7.9958,7.7670,7.9958,60900
2000-11-02,7.9958,8.3181,7.9958,8.0894,103800
2000-11-03,8.2193,8.2193,7.8658,8.0582,141300
2000-11-06,7.9958,8.0582,7.8970,7.9282,33300
2000-11-07,7.7982,7.9282,7.7982,7.9282,31600
2000-11-08,7.8970,7.9282,7.8970,7.9282,20100
2000-11-09,7.8970,7.9282,7.8658,7.9282,56900
2000-11-10,7.8658,7.8970,7.8294,7.8294,13400
2000-11-13,7.8294,7.8658,7.7982,7.7982,25400
2000-11-14,7.7982,7.9282,7.7982,7.8658,74300
2000-11-15,7.7982,7.9282,7.7982,7.8970,28600
2000-11-16,7.8970,7.9958,7.8970,7.8970,33100
2000-11-17,7.8294,7.9282,7.7982,7.8658,28700
2000-11-20,7.8658,7.8658,7.7982,7.8294,26000
2000-11-21,7.8294,8.2557,7.8294,7.9958,30600
2000-11-22,7.9594,7.9958,7.8658,7.8658,46200
2000-11-24,7.8970,7.8970,7.8970,7.8970,13100
2000-11-27,7.9594,7.9594,7.7670,7.8658,115800
2000-11-28,7.8294,7.8970,7.8294,7.8970,39000
2000-11-29,7.8658,7.8658,7.6059,7.6683,87500
2000-11-30,7.6371,7.6371,7.4083,7.4759,44200
2000-12-01,7.4083,7.4083,7.3095,7.3095,9000
2000-12-04,7.2783,7.3459,7.2160,7.2160,103600
2000-12-05,7.2783,7.6059,7.2160,7.6059,82600
2000-12-06,7.6059,7.8294,7.6059,7.8294,90800
2000-12-07,7.8294,7.8294,7.7670,7.7670,84900
2000-12-08,7.7670,7.8658,7.7670,7.8294,85200
2000-12-11,7.8294,7.8970,7.8294,7.8294,39400
2000-12-12,7.8294,7.8658,7.7982,7.7982,229700
2000-12-13,7.9282,7.9958,7.8970,7.9958,27300
2000-12-14,8.0582,8.0894,8.0270,8.0270,22700
2000-12-15,8.0270,8.0270,7.9958,7.9958,3000
2000-12-18,7.9282,8.3181,7.9282,8.1881,36900
2000-12-19,8.1258,8.1881,8.0582,8.1881,67400
2000-12-20,8.1881,8.1881,8.0894,8.0894,38000
2000-12-21,8.0894,8.3181,8.0894,8.2557,49300
2000-12-22,8.2557,8.2557,8.2557,8.2557,1800
2000-12-26,8.2557,8.3805,8.2557,8.3805,14300
2000-12-27,8.3857,8.6768,8.2557,8.6092,60700
2000-12-28,8.5781,8.5781,8.4793,8.4793,41800
2000-12-29,8.4793,8.6456,8.4793,8.6456,39800
2001-01-02,8.6456,8.6456,8.5469,8.5781,13400
2001-01-03,8.5157,8.5157,8.3493,8.3493,31000
2001-01-04,8.4169,8.5157,8.2557,8.4481,47900
2001-01-05,8.5781,8.9056,8.5781,8.8380,13500
2001-01-08,8.8380,8.8380,8.3181,8.3181,43600
2001-01-09,8.3181,8.3181,7.8970,7.9282,180800
2001-01-10,7.9958,7.9958,7.9594,7.9958,20600
2001-01-11,7.9958,8.1258,7.9958,8.1258,3500
2001-01-12,8.1258,8.8380,8.1258,8.8380,71800
2001-01-16,8.8380,9.6178,8.7080,8.7080,71100
2001-01-17,8.7080,8.7080,8.5469,8.5469,118800
2001-01-18,8.5469,9.9765,8.5469,9.0979,163800
2001-01-19,9.1967,9.3891,9.1967,9.2955,124200
2001-01-22,9.3579,9.4878,9.1967,9.2955,85500
2001-01-23,9.2955,9.3579,9.2279,9.3579,18000
2001-01-24,9.3267,9.3891,9.3267,9.3891,75900
