"MacroTrends Data Download"
"RL - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1997-06-12,27.5787,28.3255,26.5058,27.0380,19963800
1997-06-13,27.4671,28.2225,27.0380,27.7933,3661100
1997-06-16,27.6817,27.8963,26.2912,26.5058,2481700
1997-06-17,25.8620,25.9650,25.0037,25.5359,2283800
1997-06-18,25.2183,25.5359,24.1453,24.3599,1749900
1997-06-19,24.4629,25.4329,24.2483,25.2183,1269900
1997-06-20,25.3213,25.9650,25.2183,25.3213,859100
1997-06-23,25.5359,25.6474,24.1453,24.2483,725000
1997-06-24,24.4629,25.4329,23.2870,24.7891,1212100
1997-06-25,24.7891,25.0037,24.1453,24.6260,726600
1997-06-26,24.1453,24.4629,23.7162,24.2483,534500
1997-06-27,24.1453,24.3599,23.3385,23.3900,441500
1997-06-30,23.2870,23.7162,22.5316,23.5016,796900
1997-07-01,22.9608,23.4415,22.7462,23.1239,621300
1997-07-02,23.1239,23.9823,22.8578,23.8707,818700
1997-07-03,23.6561,24.1968,22.9608,24.0853,696800
1997-07-07,24.4629,24.5745,23.1754,23.2870,1180500
1997-07-08,23.3900,23.7677,23.2870,23.7677,595000
1997-07-09,23.6046,23.7677,22.6432,22.7977,958000
1997-07-10,22.4801,22.5831,21.5703,21.5703,1069200
1997-07-11,21.8364,22.1025,21.7849,21.8364,674600
1997-07-14,22.4801,22.5316,21.8364,21.9995,471200
1997-07-15,21.7849,21.9394,21.7248,21.7849,513000
1997-07-16,21.7849,21.9394,20.6004,20.7634,899600
1997-07-17,20.6004,22.2656,20.5489,22.2141,1286200
1997-07-18,22.4286,22.7462,21.7248,22.2141,346200
1997-07-21,21.8879,22.1540,21.4587,21.8879,216600
1997-07-22,21.8364,22.2141,21.5703,21.6218,351200
1997-07-23,22.3171,22.4286,21.9995,22.2141,507100
1997-07-24,21.4587,22.1025,20.8149,21.1411,412800
1997-07-25,21.3557,21.4587,20.7634,21.1411,253000
1997-07-28,21.1411,21.4072,20.9265,21.2441,953700
1997-07-29,22.2141,22.9093,21.8879,22.9093,1028100
1997-07-30,23.0123,23.9823,22.9093,23.8192,801700
1997-07-31,23.9307,24.0338,22.9093,23.0123,458400
1997-08-01,22.5831,23.1754,22.5316,22.8578,250100
1997-08-04,22.6432,23.9307,22.5316,23.7162,629700
1997-08-05,24.1453,24.4114,22.7462,23.2269,1157400
1997-08-06,23.2269,23.2870,22.5316,22.7462,350500
1997-08-07,22.7462,22.9093,22.1025,22.1025,456200
1997-08-08,21.8879,22.0510,21.2441,21.6733,576100
1997-08-11,21.7849,21.7849,21.0295,21.2441,370400
1997-08-12,21.4587,21.8364,20.8664,20.8664,910300
1997-08-13,21.4072,21.6218,20.4373,20.9265,416500
1997-08-14,21.1411,21.2441,20.5489,20.6004,309000
1997-08-15,20.6004,20.6004,19.6390,19.7935,1385300
1997-08-18,20.2227,20.3343,19.6905,20.1712,551500
1997-08-19,20.0682,20.8149,20.0682,20.8149,380800
1997-08-20,21.3557,21.9995,21.1926,21.9995,621500
1997-08-21,21.7849,21.9394,21.0295,21.2441,479600
1997-08-22,20.7119,21.1411,20.6004,21.0295,408100
1997-08-25,21.4587,21.5102,20.7634,20.8664,230200
1997-08-26,20.8149,21.4072,20.7119,21.1926,296300
1997-08-27,21.3557,21.4587,20.8149,21.0295,619500
1997-08-28,21.0295,21.7849,20.9265,21.7248,492400
1997-08-29,21.9995,23.0724,21.6733,22.5316,686100
1997-09-02,22.3686,22.6947,21.8879,22.5316,414700
1997-09-03,22.5316,22.6432,22.3171,22.3686,265000
1997-09-04,22.3171,22.5831,21.8879,22.1025,237400
1997-09-05,22.5316,22.6947,21.9394,22.2141,151100
1997-09-08,22.1025,22.3171,21.7248,21.7849,91200
1997-09-09,21.6733,21.8879,21.1411,21.3557,318400
1997-09-10,21.1411,21.3557,20.7634,20.8149,365900
1997-09-11,20.7634,21.2441,20.6004,20.8149,721200
1997-09-12,20.9265,21.1411,20.6004,20.9780,234000
1997-09-15,21.0295,22.2141,21.0295,21.6218,855800
1997-09-16,21.9995,22.2656,21.6733,21.8879,384100
1997-09-17,22.1025,22.6947,21.9995,22.6947,922000
1997-09-18,23.0123,23.2269,22.3171,22.3686,1183200
1997-09-19,22.2141,22.9093,21.8364,22.8578,430300
1997-09-22,22.7462,23.8192,22.4286,23.7162,754400
1997-09-23,23.6046,23.7162,23.0724,23.4415,507200
1997-09-24,22.7462,23.1754,22.3171,22.4286,827400
1997-09-25,22.2141,22.5316,21.3557,21.7248,1051200
1997-09-26,22.6947,23.1754,22.2656,22.4286,1082500
1997-09-29,22.5316,23.0724,22.3171,22.5316,406300
1997-09-30,22.4286,22.5831,22.3171,22.4801,276700
1997-10-01,23.5016,23.6046,22.8578,23.1754,1058000
1997-10-02,23.1754,23.2870,22.8578,22.8578,486200
1997-10-03,22.8578,23.2870,22.5316,22.7462,904600
1997-10-06,22.7462,23.0123,22.3171,22.8578,451000
1997-10-07,22.7462,22.7462,22.2141,22.4801,418800
1997-10-08,22.1025,22.2656,21.7248,21.8364,444200
1997-10-09,21.6218,22.4286,21.4587,22.3171,337600
1997-10-10,22.1025,22.6947,21.9995,22.3171,268400
1997-10-13,22.6432,22.7462,22.3171,22.5316,233300
1997-10-14,22.5316,22.6432,22.1025,22.3686,230300
1997-10-15,22.1540,22.3686,21.8879,22.0510,223500
1997-10-16,22.2656,22.3171,21.3557,21.5703,319300
1997-10-17,21.5102,21.6733,21.0295,21.2956,236200
1997-10-20,21.0810,21.2441,20.8149,21.1926,153100
1997-10-21,21.7248,21.9995,21.2441,21.8364,306500
1997-10-22,21.8364,22.2656,21.4587,22.2656,255200
1997-10-23,21.7849,22.7462,21.2441,22.4286,626800
1997-10-24,23.1754,23.3900,22.7462,23.0724,814000
1997-10-27,22.3686,22.5316,21.0295,21.0295,395900
1997-10-28,19.8536,21.9995,19.5789,21.8879,1014000
1997-10-29,22.1025,22.5316,21.5703,21.6733,612200
1997-10-30,21.1411,21.6733,20.4974,21.5703,405100
1997-10-31,21.7248,22.6947,21.7248,22.3171,461600
1997-11-03,22.9093,23.3900,22.7977,23.3900,607400
1997-11-04,23.9307,24.1968,22.9608,24.0338,1999800
1997-11-05,24.0338,24.2483,23.3385,24.1968,704900
1997-11-06,24.1968,24.1968,23.2269,23.6561,310200
1997-11-07,22.9093,23.1754,22.6432,23.0123,186600
1997-11-10,23.3385,23.5531,22.5831,22.6432,172600
1997-11-11,22.5831,22.9093,22.1025,22.2141,156900
1997-11-12,21.8879,22.2656,21.6218,21.8879,152700
1997-11-13,21.8879,23.3385,21.7849,23.2870,411000
1997-11-14,23.1754,23.7162,23.1754,23.6561,277200
1997-11-17,24.0853,24.2483,23.6046,23.6046,400100
1997-11-18,24.0338,24.0338,23.4415,23.7162,452300
1997-11-19,23.7162,24.7891,23.6046,24.3599,488800
1997-11-20,24.4629,25.5359,24.4629,24.6775,792400
1997-11-21,24.8921,25.0552,23.8192,24.2998,225500
1997-11-24,23.8192,24.0338,23.1239,23.5016,240400
1997-11-25,23.2870,23.5531,22.8578,23.5016,175500
1997-11-26,23.7162,23.8192,23.0724,23.3900,105700
1997-11-28,23.1754,23.2870,23.1239,23.1754,73900
1997-12-01,23.3900,24.1968,23.3900,24.0338,230900
1997-12-02,24.0338,24.1968,23.6046,23.6561,105100
1997-12-03,23.4415,23.5531,23.2870,23.2870,302900
1997-12-04,23.4415,23.5531,23.1754,23.3900,300700
1997-12-05,23.1754,23.8192,23.1754,23.6561,108600
1997-12-08,24.4629,24.6775,24.1968,24.2483,282600
1997-12-09,24.2483,24.2998,23.5016,23.6046,210500
1997-12-10,22.5316,23.5016,22.4286,23.3385,349100
1997-12-11,23.1239,23.1239,21.8879,22.4801,520200
1997-12-12,22.6432,22.6432,21.9995,22.3171,244300
1997-12-15,22.1025,22.7462,22.1025,22.7462,266800
1997-12-16,22.6947,22.7462,21.3557,21.5102,583200
1997-12-17,21.8879,22.0510,21.1411,21.3557,381200
1997-12-18,21.3557,21.4072,20.7119,21.0295,191900
1997-12-19,20.6004,20.6004,20.1712,20.6004,351000
1997-12-22,21.0295,21.1411,19.9566,20.1197,403500
1997-12-23,20.0081,20.2227,18.7807,19.1497,440200
1997-12-24,19.3128,19.7420,19.0982,19.5789,192100
1997-12-26,19.5274,19.5274,19.1497,19.4244,274700
1997-12-29,19.4244,19.4759,18.6691,18.8322,909500
1997-12-30,18.8837,20.0682,18.8837,19.9051,937600
1997-12-31,20.6004,20.9780,20.2828,20.8149,563900
1998-01-02,20.3858,20.8149,20.2227,20.6004,426300
1998-01-05,20.8149,21.5703,20.4974,21.1411,1209700
1998-01-06,20.8149,21.0295,20.7119,20.9265,198500
1998-01-07,20.7119,20.8149,20.2828,20.7119,355200
1998-01-08,20.7119,20.9780,20.4974,20.7119,416000
1998-01-09,20.4974,20.6004,20.0682,20.1197,157000
1998-01-12,19.7935,19.9051,19.4244,19.7420,419100
1998-01-13,19.7420,20.2227,19.6390,19.9566,419900
1998-01-14,20.1712,21.2441,20.1712,21.2441,380300
1998-01-15,21.2441,21.6733,21.0295,21.1411,317100
1998-01-16,21.1411,21.9394,21.0295,21.5102,291600
1998-01-20,21.4587,22.2141,21.4072,22.2141,300300
1998-01-21,22.1025,22.6432,21.4587,22.5316,236100
1998-01-22,22.5316,22.6947,22.0510,22.4286,417300
1998-01-23,22.1540,22.2141,21.0810,21.5703,403900
1998-01-26,21.4587,22.3171,21.0295,22.1540,136600
1998-01-27,21.9394,22.1540,21.4587,21.7849,251300
1998-01-28,21.2441,21.6218,21.2441,21.6218,242100
1998-01-29,21.6218,22.1540,21.1411,21.7849,503600
1998-01-30,21.9995,22.2141,21.7849,22.1025,477700
1998-02-02,23.1754,23.9823,22.7977,23.7162,1353900
1998-02-03,23.7162,23.8707,21.8879,23.0123,1114400
1998-02-04,22.9093,23.2269,22.5831,23.2269,401600
1998-02-05,23.2269,23.3900,22.7462,23.0724,212500
1998-02-06,23.0724,23.1754,22.9093,23.0724,368700
1998-02-09,23.0724,23.2870,22.7462,23.2870,216900
1998-02-10,23.2269,23.3385,22.9608,23.2269,383000
1998-02-11,22.8578,23.2870,22.8578,23.2870,231500
1998-02-12,23.2870,23.9307,23.1239,23.8707,240800
1998-02-13,23.5531,23.7162,23.3900,23.6046,146100
1998-02-17,23.3900,23.6046,23.3900,23.5016,165300
1998-02-18,23.3900,23.6046,22.9093,23.1754,275600
1998-02-19,23.1754,23.9307,22.8578,23.7162,374300
1998-02-20,23.6046,24.8406,23.5531,24.4114,516000
1998-02-23,24.1968,24.4114,23.7677,24.0338,273700
1998-02-24,23.9823,24.5144,23.9307,24.1453,279200
1998-02-25,24.0338,24.8921,24.0338,24.4114,223700
1998-02-26,24.5745,24.6775,24.3599,24.5144,131400
1998-02-27,24.2483,24.4629,23.8192,24.2483,256300
1998-03-02,24.0853,24.4114,23.9823,24.0338,330700
1998-03-03,23.8192,24.1968,23.5016,23.9307,128900
1998-03-04,23.7162,24.0338,23.7162,24.0338,113700
1998-03-05,23.5531,24.1968,23.5531,23.8192,152100
1998-03-06,23.8192,24.0853,23.6046,24.0338,211200
1998-03-09,24.1968,24.4114,23.9307,24.2998,89900
1998-03-10,24.2998,25.6474,24.2998,25.2698,420200
1998-03-11,25.3213,25.3213,24.8406,25.0037,150100
1998-03-12,25.1067,26.1796,24.6775,25.6474,463500
1998-03-13,25.8620,26.0165,25.3213,25.4329,340000
1998-03-16,25.8620,26.3942,25.8019,26.1281,288300
1998-03-17,25.4329,25.6474,24.8921,25.2183,326800
1998-03-18,25.1067,25.1582,24.7290,25.1067,601600
1998-03-19,25.1067,26.2912,25.0552,25.9650,518700
1998-03-20,26.0766,26.3427,25.5874,25.6474,245500
1998-03-23,25.6474,26.3427,25.4844,25.9135,217200
1998-03-24,26.1281,26.5573,25.9650,26.4457,194500
1998-03-25,26.6088,26.6088,25.8620,25.9650,166300
1998-03-26,25.7504,25.9135,25.3213,25.9135,192600
1998-03-27,25.7504,25.7504,25.4329,25.6474,121400
1998-03-30,25.3213,25.9650,25.3213,25.6989,492700
1998-03-31,25.5359,25.9135,25.4844,25.8019,525000
1998-04-01,25.8019,25.9135,25.4329,25.6989,218000
1998-04-02,25.7504,25.8019,25.2183,25.2183,79300
1998-04-03,25.4329,25.6474,24.8921,25.3213,236900
1998-04-06,25.5359,25.6989,25.1582,25.4844,137600
1998-04-07,25.3213,25.5359,25.0037,25.3213,580800
1998-04-08,25.3213,25.5359,24.8921,25.2183,197700
1998-04-09,25.1067,25.2183,24.7891,25.0037,316500
1998-04-13,25.0037,25.2183,24.5144,25.0037,108900
1998-04-14,24.5144,24.6260,24.3599,24.4629,368500
1998-04-15,24.2998,24.2998,23.9307,23.9823,481500
1998-04-16,23.9823,24.0338,23.6046,23.9823,105700
1998-04-17,24.0338,24.1968,23.9307,23.9823,117600
1998-04-20,24.0338,24.4114,23.8192,23.8707,554200
1998-04-21,23.8707,24.0853,23.6561,24.0338,360200
1998-04-22,23.9307,24.7891,23.7162,24.7290,303900
1998-04-23,24.4629,24.8406,24.3599,24.4629,251700
1998-04-24,24.1453,24.4629,23.9307,24.0853,199600
1998-04-27,23.8707,23.9307,23.0724,23.6561,416500
1998-04-28,23.5531,24.1968,23.5531,23.9307,324800
1998-04-29,23.8192,23.9307,23.3900,23.6046,220700
1998-04-30,23.9823,24.3599,23.9307,24.1453,187000
1998-05-01,24.0338,24.0338,23.3900,23.8192,181300
1998-05-04,23.9823,24.0338,23.6046,23.8707,115800
1998-05-05,23.8707,23.8707,23.5016,23.6046,279900
1998-05-06,23.6046,24.0338,23.3385,23.6046,120100
1998-05-07,23.6046,24.7891,23.6046,24.4629,144900
1998-05-08,24.6775,25.6474,24.4629,25.3213,173600
1998-05-11,25.3213,26.0766,25.3213,25.6474,289800
1998-05-12,25.6474,25.7504,24.8921,25.7504,169200
