"MacroTrends Data Download"
"ANF - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1996-09-26,7.7623,8.2033,7.4977,8.1575,13872600
1996-09-27,8.0692,8.2033,8.0269,8.1151,2223600
1996-09-30,8.1575,8.6867,8.1151,8.6444,1596000
1996-10-01,8.7326,8.9972,8.6867,8.9513,864000
1996-10-02,9.2618,9.2618,8.8631,8.9090,473600
1996-10-03,8.8208,8.8208,8.3797,8.3797,573600
1996-10-04,8.3797,8.3797,7.8505,7.8928,708200
1996-10-07,7.8046,8.2915,7.7623,8.1575,688600
1996-10-08,8.2033,8.2033,7.9810,8.1575,723200
1996-10-09,8.1151,8.1575,8.0269,8.1151,185600
1996-10-10,8.1151,8.2033,8.0692,8.1575,439200
1996-10-11,8.1151,8.1575,8.0269,8.0269,181200
1996-10-14,8.0269,8.4221,7.9810,8.4221,268400
1996-10-15,8.4221,8.7326,8.4221,8.6867,361600
1996-10-16,8.6444,8.6444,8.5562,8.6444,319600
1996-10-17,8.6444,9.5264,8.6444,9.2618,411800
1996-10-18,9.2159,9.2159,9.1277,9.1736,175600
1996-10-21,9.1736,9.4382,8.9972,9.0395,399400
1996-10-22,8.9972,8.9972,8.4679,8.4679,197000
1996-10-23,8.4679,8.4679,8.1151,8.2033,188800
1996-10-24,8.2033,8.2457,8.1151,8.2457,163600
1996-10-25,8.2457,8.4221,8.2457,8.4221,140600
1996-10-28,8.3797,8.3797,7.8964,7.9810,258400
1996-10-29,7.7623,8.1151,7.6741,8.0269,488800
1996-10-30,8.1592,8.6885,8.1151,8.6444,182200
1996-10-31,7.8505,7.8505,7.7199,7.7623,503200
1996-11-01,8.7326,8.9972,8.6885,8.9531,365400
1996-11-04,8.3797,8.3797,7.8505,7.8946,96400
1996-11-05,7.7623,8.0728,7.7623,8.0269,618800
1996-11-06,7.9810,8.0269,7.8964,7.8964,212800
1996-11-07,7.8064,8.2915,7.7623,8.1592,287600
1996-11-08,8.1592,8.2033,7.9828,8.1592,216200
1996-11-11,8.1151,8.1592,8.0269,8.0269,62000
1996-11-12,8.2492,8.2492,7.9387,7.9810,116400
1996-11-13,7.8964,7.8964,7.7623,7.8505,38800
1996-11-14,8.0269,8.4238,7.9828,8.4238,513400
1996-11-15,8.4238,8.7326,8.4238,8.6885,540200
1996-11-18,9.2177,9.2177,9.1295,9.1736,477000
1996-11-19,7.7623,7.9387,7.3671,7.3671,1090800
1996-11-20,7.4095,7.4095,6.7461,6.9225,965400
1996-11-21,9.1736,9.4382,8.9972,9.0413,853200
1996-11-22,8.8649,8.9972,8.4679,8.4679,486600
1996-11-25,8.2474,8.4238,8.2474,8.4238,100400
1996-11-26,6.5274,6.5697,6.3933,6.4850,91000
1996-11-27,6.4392,6.4850,6.3933,6.4850,102000
1996-11-29,7.7623,8.1151,7.6741,8.0269,25400
1996-12-02,6.5697,7.2330,6.5697,7.1448,245400
1996-12-03,7.1907,7.2754,6.9684,7.0566,241400
1996-12-04,7.7623,7.8064,7.6300,7.6741,115600
1996-12-05,7.8946,8.0710,7.7623,8.0269,118800
1996-12-06,7.9828,8.0269,7.8946,7.8946,180800
1996-12-09,6.9225,7.0143,6.8802,7.0143,38600
1996-12-10,6.9684,6.9684,6.8379,6.8802,63400
1996-12-11,8.3797,8.4238,8.2915,8.2915,59800
1996-12-12,8.2033,8.2474,7.9387,7.9828,54800
1996-12-13,7.8505,7.8946,7.7623,7.8505,17600
1996-12-16,6.5274,6.5274,6.3510,6.3510,36800
1996-12-17,6.2627,6.3086,6.0405,6.0405,78400
1996-12-18,7.4536,7.5859,7.3653,7.5859,46600
1996-12-19,7.7623,7.9387,7.3653,7.3653,115600
1996-12-20,7.3212,7.4095,6.7479,6.9243,500200
1996-12-23,5.8217,5.8641,5.7335,5.8641,448000
1996-12-24,5.9099,6.3510,5.9099,6.2627,268000
1996-12-26,6.5274,6.5715,6.3951,6.4833,147600
1996-12-27,6.4392,6.4833,6.3951,6.4833,99200
1996-12-30,5.8641,5.9099,5.6876,5.7794,131200
1996-12-31,5.7794,5.8217,5.7335,5.8217,127200
1997-01-02,5.8217,5.8676,5.6912,5.7794,56200
1997-01-03,5.7794,5.8217,5.6912,5.7794,52000
1997-01-06,5.6912,5.7335,4.6327,4.7632,924800
1997-01-07,4.7632,4.7632,4.4986,4.5868,1021600
1997-01-08,4.5868,4.7632,4.4563,4.4563,465000
1997-01-09,5.1160,5.1160,4.8973,5.0278,1101600
1997-01-10,5.1619,5.8676,5.0737,5.6912,856800
1997-01-13,5.7335,5.7335,5.6453,5.6912,66600
1997-01-14,5.6453,5.6453,5.4265,5.4265,130200
1997-01-15,5.4265,5.4689,5.2043,5.2501,358000
1997-01-16,5.2925,5.4265,5.2925,5.3383,141800
1997-01-17,5.3383,5.5571,5.2925,5.5571,234400
1997-01-20,5.5571,5.6030,5.5571,5.5571,67400
1997-01-21,5.5571,5.5571,5.4689,5.5147,106000
1997-01-22,5.5147,5.5147,5.3807,5.4265,130200
1997-01-23,5.2925,5.4265,5.2925,5.2925,65200
1997-01-24,5.2925,5.3383,5.2043,5.2925,143000
1997-01-27,5.2925,5.2925,5.0737,5.1160,139000
1997-01-28,5.1160,5.1160,4.9855,5.0278,198400
1997-01-29,5.0278,5.0737,4.9855,5.0278,343600
1997-01-30,5.1160,5.2043,4.8973,4.9855,440800
