"MacroTrends Data Download"
"BURL - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2013-10-02,23.0500,25.6500,22.6100,25.0100,15051500
2013-10-03,25.1000,26.4400,24.5600,24.8600,1125900
2013-10-04,24.9000,26.4600,24.5100,25.8900,808600
2013-10-07,26.1600,27.9000,25.9100,26.7700,575900
2013-10-08,26.9000,27.0000,25.3800,25.9000,363500
2013-10-09,25.6400,26.1000,25.1400,25.5200,410100
2013-10-10,26.0400,26.6300,24.5200,25.9800,394300
2013-10-11,25.9800,26.7700,25.5100,26.6800,159700
2013-10-14,26.4000,27.7200,26.0000,27.5300,241100
2013-10-15,27.4000,27.8200,26.7800,27.7100,158900
2013-10-16,28.0000,28.0000,27.0800,27.2600,169700
2013-10-17,27.3700,27.6700,26.6900,26.8200,143000
2013-10-18,26.8500,27.0000,26.2400,26.4300,362900
2013-10-21,26.0000,27.2500,26.0000,26.4100,85200
2013-10-22,26.0000,26.8500,25.6800,26.2500,215800
2013-10-23,25.9800,26.8400,25.5500,25.7500,182400
2013-10-24,25.7500,26.0100,25.5200,26.0100,86200
2013-10-25,25.8600,26.5200,25.8600,26.4300,116700
2013-10-28,26.2700,26.8400,25.8700,26.7500,121100
2013-10-29,26.6500,27.1800,26.1000,26.8600,94500
2013-10-30,26.5000,27.1000,26.1600,26.8700,63000
2013-10-31,27.0600,27.0600,26.4700,26.7900,79900
2013-11-01,26.9300,27.2600,26.5400,27.1600,82600
2013-11-04,27.1800,27.9900,27.0000,27.1600,135700
2013-11-05,27.5300,27.5300,26.8700,27.0700,175300
2013-11-06,27.1800,27.7200,26.9100,26.9500,262400
2013-11-07,27.0300,27.6000,26.7800,26.9200,241600
2013-11-08,27.0400,27.4200,26.1500,27.1700,84700
2013-11-11,27.4100,27.9500,26.6100,27.0500,434900
2013-11-12,26.9600,29.1900,26.9600,27.7500,294000
2013-11-13,27.7800,29.3900,27.0700,28.9400,576800
2013-11-14,29.5200,30.2200,29.0000,29.8400,429600
2013-11-15,30.3200,30.3600,29.5000,30.1800,147600
2013-11-18,30.3700,30.5300,29.2400,29.4500,247000
2013-11-19,29.2700,29.9900,29.0400,29.7900,46000
2013-11-20,29.7700,30.5900,29.2500,29.9000,420900
2013-11-21,30.1400,30.7700,29.3700,29.3700,148500
2013-11-22,29.0500,29.0900,27.6000,28.8200,1450300
2013-11-25,28.8000,28.8000,28.0500,28.4800,396700
2013-11-26,28.4500,28.7900,28.2400,28.4400,81800
2013-11-27,28.0500,28.6200,28.0500,28.4200,170600
2013-11-29,28.3000,28.6500,28.3000,28.4400,34600
2013-12-02,28.2500,29.4100,28.2500,29.0600,420300
2013-12-03,29.0400,29.5100,28.4100,28.7800,403800
2013-12-04,29.1500,29.1500,27.8100,28.1900,447400
2013-12-05,28.1000,28.7400,27.9900,28.0600,226000
2013-12-06,28.3200,28.9500,27.8500,28.0200,344500
2013-12-09,28.2000,28.3800,27.9300,28.1000,518900
2013-12-10,24.2200,26.1900,21.5400,25.9200,3095800
2013-12-11,26.1800,28.2000,25.9700,28.0700,904100
2013-12-12,28.1600,28.6200,27.1800,27.2900,416400
2013-12-13,27.3500,27.6900,26.4700,27.3400,424800
2013-12-16,27.2000,29.0000,26.8000,28.9300,359900
2013-12-17,28.7600,28.9700,27.8800,28.0900,629900
2013-12-18,27.8200,29.1200,27.7600,28.5600,449200
2013-12-19,28.3200,29.7800,28.3200,29.7200,360000
2013-12-20,29.4600,30.4800,29.2200,30.3700,1990700
2013-12-23,30.3000,31.2700,30.0000,30.9300,390800
2013-12-24,30.8000,31.3900,30.0700,31.3200,171000
2013-12-26,31.3000,32.0300,30.8200,30.9700,168900
2013-12-27,30.8900,31.6300,30.0000,31.4000,277100
2013-12-30,31.2900,31.8900,31.0400,31.3400,350600
2013-12-31,31.5100,32.4400,31.3300,32.0000,147500
2014-01-02,32.0000,32.7500,31.5000,32.5000,220000
2014-01-03,32.6100,32.9800,31.6600,32.0600,251600
2014-01-06,32.1300,32.2500,31.4400,31.5600,418300
2014-01-07,31.5800,32.0500,30.5500,30.6300,396000
2014-01-08,30.6600,30.8500,30.0200,30.3800,248800
2014-01-09,30.5100,30.6800,29.8700,29.9000,348000
2014-01-10,29.9800,30.2400,29.2500,29.3500,215100
2014-01-13,29.2400,30.4500,29.2000,29.5500,413600
2014-01-14,29.7400,30.0000,29.6200,29.7900,328800
2014-01-15,29.9400,30.1500,29.5100,29.8100,576000
2014-01-16,29.8100,29.9300,29.4100,29.4500,185000
2014-01-17,29.3600,29.4100,28.7000,28.7800,254700
2014-01-21,28.7700,29.9500,28.1700,28.4400,352800
