mod_num,time_to_create,n_yes_train,n_no_train,n_yes_test,n_no_test,ntrees,max_depth,min_rows,mtries,min_split_improvement,sample_rate,nbins,binomial_double_trees,seed,balance_classes,col_sample_rate_per_tree,r_2,mse,gini,auc,threshold_max_f1,sensitivity_max_f1,specificity_max_f1,precision_max_f1,accuracy_max_f1,threshold_max_accuracy,sensitivity_max_accuracy,specificity_max_accuracy,precision_max_accuracy,accuracy_max_accuracy,threshold_95_specificity,sensitivity_95_specificity,specificity_95_specificity,precision_95_specificity,accuracy_95_specificity,threshold_98_specificity,sensitivity_98_specificity,specificity_98_specificity,precision_98_specificity,accuracy_98_specificity
1,1.3829999999998108,436,635,161,180,25,3,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.03603078366903534,0.24098490134177758,0.29428005416520375,0.6471400270826019,0.34557275191412,0.937888198757764,0.25,0.527972027972028,0.5747800586510264,0.414584499903957,0.38509316770186336,0.8222222222222222,0.6595744680851063,0.6158357771260997,0.5119943582093226,0.11801242236024845,0.9555555555555556,0.7037037037037037,0.5601173020527859,0.5414998792411154,0.09316770186335403,0.9833333333333333,0.8333333333333334,0.5630498533724341
2,1.3209999999999127,436,635,161,180,50,3,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.04177646762557741,0.2395485244762606,0.3129093735894479,0.656454686794724,0.358696462089752,0.9006211180124224,0.32222222222222224,0.5430711610486891,0.5953079178885631,0.40582950665111,0.43478260869565216,0.8166666666666667,0.6796116504854369,0.6363636363636364,0.5064063689368461,0.14285714285714285,0.9555555555555556,0.7419354838709677,0.5718475073313783,0.5289593150759733,0.08695652173913043,0.9833333333333333,0.8235294117647058,0.5601173020527859
3,1.3070000000006985,436,635,161,180,100,3,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.046444275293876625,0.2383816084053212,0.3391393750940368,0.6695696875470184,0.348237145987211,0.9503105590062112,0.2611111111111111,0.534965034965035,0.5865102639296188,0.403290248447236,0.4472049689440994,0.8111111111111111,0.6792452830188679,0.6392961876832844,0.48583653269263244,0.16770186335403728,0.9555555555555556,0.7714285714285715,0.5835777126099707,0.5197201273911521,0.09316770186335403,0.9833333333333333,0.8333333333333334,0.5630498533724341
4,2.3060000000004948,436,635,161,180,150,3,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.046693912192219855,0.23831920109780624,0.34653443001153517,0.6732672150057676,0.351025140612295,0.937888198757764,0.2833333333333333,0.5392857142857143,0.592375366568915,0.405438794407822,0.4658385093167702,0.8055555555555556,0.6818181818181818,0.6451612903225806,0.4762771607815297,0.16770186335403728,0.9555555555555556,0.7714285714285715,0.5835777126099707,0.5277000727044853,0.09316770186335403,0.9833333333333333,0.8333333333333334,0.5630498533724341
5,2.5010000000002037,436,635,161,180,200,3,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.04634303408416207,0.23840691793027433,0.3457570590300416,0.6728785295150208,0.352761627893071,0.937888198757764,0.2833333333333333,0.5392857142857143,0.592375366568915,0.39843791286702,0.577639751552795,0.6944444444444444,0.6283783783783784,0.6392961876832844,0.4784868575231745,0.17391304347826086,0.9555555555555556,0.7777777777777778,0.5865102639296188,0.5487976630507083,0.08695652173913043,0.9833333333333333,0.8235294117647058,0.5601173020527859
6,3.304999999998472,436,635,161,180,300,3,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.04505075992789909,0.23872997654540198,0.3453984653192237,0.6726992326596118,0.330548219461386,0.9875776397515528,0.18333333333333332,0.5196078431372549,0.5630498533724341,0.405752536473187,0.484472049689441,0.7833333333333333,0.6666666666666666,0.6422287390029325,0.47616123408553845,0.16770186335403728,0.9555555555555556,0.7714285714285715,0.5835777126099707,0.5380511330728756,0.08695652173913043,0.9833333333333333,0.8235294117647058,0.5601173020527859
7,4.331000000000131,436,635,161,180,500,3,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.04540487835274787,0.23864144965861994,0.34596770148954303,0.6729838507447715,0.350911828807147,0.937888198757764,0.2777777777777778,0.5373665480427047,0.5894428152492669,0.404572008626958,0.5093167701863354,0.7722222222222223,0.6666666666666666,0.6480938416422287,0.47502950911221564,0.16770186335403728,0.9555555555555556,0.7714285714285715,0.5835777126099707,0.5390240023539951,0.08695652173913043,0.9833333333333333,0.8235294117647058,0.5601173020527859
8,5.389999999999418,436,635,161,180,1000,3,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.0453457855466024,0.23865622240635684,0.3478158383068357,0.6739079191534179,0.350504040343714,0.937888198757764,0.2722222222222222,0.5354609929078015,0.5865102639296188,0.404640998577142,0.515527950310559,0.7833333333333333,0.680327868852459,0.656891495601173,0.4753404212153021,0.16770186335403728,0.9555555555555556,0.7714285714285715,0.5835777126099707,0.5620225152899984,0.08074534161490683,0.9833333333333333,0.8125,0.5571847507331378
9,1.2770000000000437,436,635,161,180,25,7,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.14625939546837907,0.21342859488563262,0.5079091228246151,0.7539545614123075,0.332417729483424,0.906832298136646,0.37777777777777777,0.5658914728682171,0.6275659824046921,0.432880689528748,0.5093167701863354,0.85,0.7522935779816514,0.6891495601173021,0.5425332661136599,0.14285714285714285,0.9555555555555556,0.7419354838709677,0.5718475073313783,0.6016001258030307,0.09937888198757763,0.9833333333333333,0.8421052631578947,0.5659824046920822
10,1.2990000000008877,436,635,161,180,50,7,1,-1,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.15665436519276632,0.210829932282052,0.5556397010883194,0.7778198505441597,0.332709326142171,0.9130434782608695,0.38333333333333336,0.5697674418604651,0.6334310850439883,0.439411914863366,0.45962732919254656,0.8888888888888888,0.7872340425531915,0.6862170087976539,0.5347599273405453,0.19254658385093168,0.9555555555555556,0.7948717948717948,0.5953079178885631,0.5772641591964545,0.12422360248447205,0.9833333333333333,0.8695652173913043,0.5777126099706745
