"MacroTrends Data Download"
"PAG - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1996-10-23,11.3766,11.7949,11.3766,11.6711,7996800
1996-10-24,11.6711,11.6711,11.3766,11.3766,1786400
1996-10-25,11.3766,11.6276,11.3766,11.5038,631200
1996-10-28,11.7112,11.7112,11.3766,11.3766,320000
1996-10-29,11.3766,11.4168,11.3766,11.3766,498800
1996-10-30,11.4168,11.4168,11.3766,11.3766,705600
1996-10-31,11.3766,11.5439,11.3766,11.5038,635200
1996-11-01,11.4168,11.4603,11.4168,11.4168,512600
1996-11-04,11.4168,11.4168,10.9583,11.0018,494600
1996-11-05,11.1256,11.1256,10.7074,10.8345,714600
1996-11-06,10.8345,10.8747,10.3728,10.6672,529400
1996-11-07,10.4999,10.5401,10.1218,10.3326,297400
1996-11-08,10.2055,10.2456,9.5764,9.6634,527000
1996-11-11,9.5764,9.9110,9.3690,9.8709,395400
1996-11-12,9.9545,10.1653,9.7872,9.8709,454400
1996-11-13,9.8709,9.8709,9.6634,9.7036,713200
1996-11-14,9.6634,9.6634,9.2853,9.2853,46000
1996-11-15,9.2853,9.2853,8.9507,9.0344,368400
1996-11-18,9.0344,9.0344,8.8269,8.8269,122800
1996-11-19,8.9072,9.0344,8.8269,8.9507,277000
1996-11-20,8.9507,8.9507,8.3651,8.4053,646400
1996-11-21,8.3651,8.3651,8.0305,8.0305,113000
1996-11-22,8.0707,8.4488,8.0305,8.2815,107400
1996-11-25,8.2380,8.2815,7.9469,7.9469,53200
1996-11-26,7.9904,8.1142,7.9469,8.0305,595200
1996-11-27,8.0305,8.0305,7.8632,7.8632,239400
1996-11-29,7.8632,7.8632,7.7361,7.7361,121000
1996-12-02,7.6959,7.6959,7.3613,7.3613,193400
1996-12-03,7.3613,7.3613,7.1940,7.1940,126000
1996-12-04,7.1539,7.7796,7.1539,7.7796,535400
1996-12-05,7.7796,8.0305,7.7796,7.9034,168000
1996-12-06,7.8231,7.8231,7.7361,7.8231,40800
1996-12-09,7.8231,7.9034,7.6959,7.6959,37800
1996-12-10,7.6959,7.6959,7.6558,7.6959,279600
1996-12-11,7.6558,7.7361,7.5286,7.6959,812800
1996-12-12,7.7796,8.0305,7.7796,8.0305,484200
1996-12-13,7.9469,7.9469,7.8231,7.9034,367600
1996-12-16,7.9469,7.9469,7.8632,7.8632,20400
1996-12-17,7.9034,8.0707,7.8231,7.9469,717400
1996-12-18,7.9034,8.2815,7.9034,8.1577,206000
1996-12-19,8.1978,8.6596,8.1142,8.4053,502400
1996-12-20,8.4488,8.4923,8.2815,8.3651,23600
1996-12-23,8.3651,8.3651,8.1577,8.1577,22200
1996-12-24,8.1577,8.1978,8.1577,8.1577,40600
1996-12-26,8.1577,8.7834,8.1142,8.6596,363800
1996-12-27,8.6998,8.7399,8.6596,8.7399,11400
1996-12-30,8.6998,8.6998,8.6161,8.6161,49000
1996-12-31,8.6161,8.7399,8.6161,8.6161,96200
1997-01-02,8.5726,8.7399,8.4923,8.7399,20600
1997-01-03,8.7834,9.0745,8.7834,9.0745,239200
1997-01-06,9.0745,9.1180,9.0344,9.0745,141200
