date,open,high,low,close,volume
2015-04-15,32,42,30.6,42,6884200
2015-04-16,42.5,49.25,39.130001,39.400002,2418800
2015-04-17,40.77,41.439999,39.209999,40,668000
2015-04-20,44.509998,44.75,42.349998,42.799999,1169600
2015-04-21,43.380001,43.462002,38.669998,38.669998,888300
2015-04-22,38.709999,40,38,38.169998,304500
2015-04-23,38.290001,38.564999,36,36.389999,467700
2015-04-24,36.369999,36.860001,35,36,338700
2015-04-27,35.240002,36.508999,31.68,32.060001,663600
2015-04-28,31.58,32.855,27.799999,27.969999,1142200
2015-04-29,27.440001,29.18,27.059999,27.459999,692200
2015-04-30,27.01,27.940001,24.68,25.4,1029500
2015-05-01,25.9,26.5,25.1,26.09,370600
2015-05-04,26.610001,29.75,26.110001,29.33,1239200
2015-05-05,29.969999,31.24,27.059999,27.709999,839700
2015-05-06,27.809999,29.860001,27,27.99,524100
2015-05-07,28,29.68,27.884001,28.620001,323000
2015-05-08,29.139999,31.309999,29.059999,30.85,567800
2015-05-11,32.310001,33.240002,30.52,30.780001,780200
2015-05-12,31,33,29.1,32.09,461100
2015-05-13,32.349998,33.990002,31.76,33.689999,403900
2015-05-14,34.360001,35.349998,31.854,32.869999,580900
2015-05-15,32.869999,33.5,31,31.469999,258900
2015-05-18,31.18,31.5,28.700001,30.129999,487900
2015-05-19,30.440001,30.674,28.52,28.549999,337600
2015-05-20,29.040001,30,27.57,29.870001,350600
2015-05-21,29.799999,31.98,29.52,31.469999,343900
2015-05-22,30.92,32,30.870001,31.15,134400
2015-05-26,31,31.858,30.23,31.51,181300
2015-05-27,31.09,33.359001,31.09,32.080002,244200
2015-05-28,32,32.810001,31.059999,31.73,157300
2015-05-29,32.130001,34.423,31.139999,33.779999,413500
2015-06-01,33.700001,33.93,32.290001,32.900002,360000
2015-06-02,32.450001,32.77,31.25,31.389999,319200
2015-06-03,31.450001,32.450001,31.200001,32.400002,243800
2015-06-04,32.560001,33.560001,31.975,33.43,267100
2015-06-05,33.290001,35.472,33.105,35.25,377700
2015-06-08,35.09,35.875,33.25,34.049999,254600
2015-06-09,34.209999,34.209999,32.25,32.439999,213400
2015-06-10,32.66,33.515999,32.380001,33.009998,97800
2015-06-11,33.169998,33.560001,32.130001,33.369999,139600
2015-06-12,33.75,34.887001,33.549999,33.779999,198000
2015-06-15,33.700001,36.259998,33.59,36,615300
2015-06-16,35.849998,36.48,34.900002,35.439999,279500
2015-06-17,35.529999,36.48,34.360001,35.349998,180300
2015-06-18,35.439999,36.240002,35,35.139999,216000
2015-06-19,35.099998,37.459999,34.998001,36.82,456700
2015-06-22,36.299999,37.490002,35.580002,35.790001,190000
2015-06-23,35.799999,36.900002,35.02,36.439999,239200
2015-06-24,36.119999,36.68,35.200001,35.880001,193100
2015-06-25,36.009998,36.23,32.5,33.799999,471400
2015-06-26,32.779999,33.549999,32.52,32.709999,1408200
2015-06-29,32.509998,32.950001,29.559999,29.58,598600
2015-06-30,30.200001,30.99,29.299999,30.33,401900
2015-07-01,30.74,31.190001,30,30.790001,193200
2015-07-02,30.68,31.450001,30.388,31.190001,108400
2015-07-06,30.49,31.67,29.75,31.280001,242100
2015-07-07,31.43,32.189999,30.6,31.639999,222700
2015-07-08,31.01,31.389999,29.82,29.940001,204200
2015-07-09,30.51,30.93,29.5,30.299999,221300
2015-07-10,30.450001,30.629999,30.01,30.58,145600
2015-07-13,30.690001,31.35,30.389999,30.559999,99600
2015-07-14,30.690001,30.959999,30.33,30.84,91500
2015-07-15,30.690001,31.01,30.360001,30.950001,143500
2015-07-16,31.09,31.18,29.74,29.870001,192800
2015-07-17,29.719999,29.855,28.26,28.68,335400
2015-07-20,28.57,28.950001,27.209999,27.700001,291900
2015-07-21,27.549999,28.73,27.08,28.5,140500
2015-07-22,28.26,29.139999,27.870001,29.120001,127600
2015-07-23,28.99,29.5,28.52,28.73,126700
2015-07-24,28.4,28.725,26.32,26.690001,256300
2015-07-27,26.4,26.83,26,26.4,105300
2015-07-28,26.43,26.98,25.65,26.58,176300
2015-07-29,26.450001,27.42,26.15,26.33,100300
2015-07-30,26.15,26.360001,25.610001,25.790001,86900
2015-07-31,25.809999,26.459999,25.598,26.219999,286400
2015-08-03,26.120001,26.32,24.969999,25.219999,188600
2015-08-04,25.32,25.469999,24.030001,24.139999,339700
2015-08-05,24.26,24.66,23.34,24.33,220500
2015-08-06,24.299999,24.299999,23.030001,23.93,193700
2015-08-07,23.889999,23.889999,22.120001,23.209999,287900
2015-08-10,23.299999,24.690001,23.25,23.690001,187300
2015-08-11,23.440001,24.799999,21.620001,23,222700
2015-08-12,22.719999,23.33,21.76,23.129999,256400
2015-08-13,23.08,23.5,22.27,22.34,211300
2015-08-14,22.370001,22.790001,20.59,20.83,270200
2015-08-17,20.85,21.75,20.620001,21.6,257700
2015-08-18,21.620001,21.895,21.120001,21.57,227700
2015-08-19,21.280001,21.799999,20.76,21.360001,185400
