date,open,high,low,close,volume
2015-06-25,127.400002,134.899994,122.5,130,201300
2015-06-26,130.800003,134.699997,128.5,134.699997,11200
2015-06-29,140,140,116.599998,117.050003,4600
2015-06-30,115.099998,122.099998,115.099998,122.099998,3300
2015-07-01,119.599998,136,117.900002,132,10200
2015-07-02,127.300003,143.399994,122.199997,124,10700
2015-07-06,134.899994,169.600006,126.099998,136.399994,22500
2015-07-07,139,147.199997,130.199997,134.199997,5100
2015-07-08,132.399994,139.860001,125.099998,130,3600
2015-07-09,132.800003,133.839996,123,125.5,3500
2015-07-10,126.699997,145.699997,126.699997,143.800003,9900
2015-07-13,146.899994,149.5,125,129.5,4700
2015-07-14,127.699997,141.199997,127.699997,139.699997,2600
2015-07-15,142.300003,142.300003,131.399994,133.699997,2900
2015-07-16,132,136,130.199997,133,3300
2015-07-17,134.199997,142,132.399994,140.5,4900
2015-07-20,143,147.940002,132.100006,137.600006,13000
2015-07-21,140.100006,143.199997,138.699997,140,23700
2015-07-22,140,144.130005,139,141.399994,8600
2015-07-23,144,146.399994,142.850006,145,9300
2015-07-24,146,147.5,139,139,6400
2015-07-27,139,139.199997,120,120,17300
2015-07-28,120,137.399994,120,130.899994,7900
2015-07-29,125.199997,135.899994,125.199997,135,3000
2015-07-30,133.399994,140.899994,130,139.600006,3300
2015-07-31,138.300003,141,130,130,6500
2015-08-03,130,132.300003,122.599998,124.099998,3100
2015-08-04,132.100006,134,125.099998,130.5,5700
2015-08-05,132.300003,135.5,126.5,132.649994,6000
2015-08-06,136.800003,136.800003,127.599998,128.699997,3800
2015-08-07,130,132.600006,124.5,126.599998,3700
2015-08-10,128.5,130,125.099998,128.350006,5300
2015-08-11,130,130,122,122.300003,1300
2015-08-12,123.800003,123.870003,109,114.199997,4400
2015-08-13,114.5,124.889999,114.5,119.900002,2700
2015-08-14,124.800003,125.099998,114,119.900002,2900
2015-08-17,115,123.800003,110,120.699997,5100
2015-08-18,119,123.599998,115.800003,118.900002,5900
2015-08-19,117.900002,123,117.400002,119.400002,6100
2015-08-20,118.300003,123.550003,113.400002,118.699997,3300
2015-08-21,118.699997,120.660004,110.800003,112.599998,12900
2015-08-24,104.699997,111.699997,100.5,111.699997,3700
2015-08-25,112.800003,117.739998,109.599998,110.5,900
2015-08-26,111,117.459999,107.5,111.300003,2800
2015-08-27,111.599998,120,111,119.300003,3300
2015-08-28,120.5,126,119.400002,122.879997,2300
2015-08-31,120.970001,123.900002,110.199997,113.900002,2600
2015-09-01,118.699997,118.699997,103.599998,106.800003,2400
2015-09-02,108,121.5,108,119.800003,4200
2015-09-03,120.5,122.599998,111.300003,115,3100
2015-09-04,112.5,119.900002,109.599998,111.900002,2100
2015-09-08,113,116,107,108.099998,5000
2015-09-09,112.099998,119,106.300003,119,4600
2015-09-10,118.400002,118.400002,108.300003,110.400002,3900
2015-09-11,111,111.449997,104.449997,106.199997,1900
2015-09-14,108.599998,113.5,100.800003,108.5,6200
2015-09-15,112.5,113,108.699997,110.900002,2200
2015-09-16,109.099998,111.099998,105.599998,108.699997,3400
2015-09-17,109.900002,112.099998,108.900002,111.099998,3000
2015-09-18,110.300003,114.5,94.400002,94.400002,18500
2015-09-21,97.699997,100.800003,92.099998,97.800003,8600
2015-09-22,93.5,98.300003,91.300003,97.099998,5800
2015-09-23,98,99.800003,93.900002,95.900002,3000
2015-09-24,95,99.400002,89.699997,94.900002,3600
2015-09-25,92.900002,92.900002,75,79,7500
2015-09-28,79.199997,81.300003,73.099998,76,3300
2015-09-29,90,90,75.099998,77.099998,7800
2015-09-30,77.199997,87.400002,77,80.900002,51800
2015-10-01,80.800003,80.800003,68.699997,72.400002,4700
2015-10-02,72.5,75.400002,67.779999,75.099998,4500
