date,open,high,low,close,volume
2018-06-20,20,24.75,18.1,23.120001,4027100
2018-06-21,22.67,23.860001,20.530001,21.940001,649200
2018-06-22,22,22.469999,21.57,21.9,86500
2018-06-25,21.790001,21.999001,19.950001,20.299999,104800
2018-06-26,20.389999,20.749001,19.93,20.120001,236300
2018-06-27,20.360001,20.49,19.1,20.1,186900
2018-06-28,20.059999,20.059999,19.43,19.91,136200
2018-06-29,19.809999,20.5,19.190001,20.34,98700
2018-07-02,19.82,21.261999,19.566,20.32,33600
2018-07-03,21.5,21.6,20.084999,20.85,64200
2018-07-05,20.98,21.895,20.43,21.790001,31500
2018-07-06,21.200001,22.629999,21.200001,22.5,28600
2018-07-09,22.5,22.780001,20.25,22.76,35100
2018-07-10,22.700001,22.700001,21.65,21.959999,16200
2018-07-11,21.174999,21.74,19.356001,20.950001,86300
2018-07-12,21.1,21.459999,19.469999,21.25,209900
2018-07-13,21.290001,21.459999,20.07,20.77,26500
2018-07-16,20.610001,22.309999,20.181,21.809999,147800
2018-07-17,21.780001,22.290001,21.030001,21.5,107800
2018-07-18,21.66,21.917,20.4,21.639999,51700
2018-07-19,22.07,22.33,21.4,21.49,26400
2018-07-20,21.6,22.320999,21.25,21.280001,38700
2018-07-23,21.200001,22.299999,20.379999,20.709999,146000
2018-07-24,20.59,21.35,19.83,20.110001,83600
2018-07-25,19.809999,20.75,19.049999,19.1,38600
2018-07-26,19.059999,19.985001,18.781,19.18,98900
2018-07-27,19.629999,19.950001,18.049999,18.299999,34000
2018-07-30,17.959999,18.334999,15.45,17.379999,55000
2018-07-31,17.02,18,16.191999,16.73,76200
2018-08-01,16.84,17,15.765,15.94,99500
2018-08-02,15.9,18.120001,15.33,16.940001,117600
2018-08-03,16.73,17.058001,15.8,16.040001,35000
2018-08-06,16.219999,17.969999,14.105,15.2,285000
2018-08-07,15.02,15.66,14.637,15.18,37800
2018-08-08,14.46,16,14.46,15.3,111900
2018-08-09,15.16,17,15.16,16.610001,43200
2018-08-10,16.389999,17.5,16.049999,16.459999,93700
2018-08-13,16.639999,17.5,16.549999,17.190001,29900
2018-08-14,17.139999,18.91,17.139999,18.120001,71400
2018-08-15,18,18.504999,17.75,18.030001,131800
2018-08-16,18.17,18.958,16.360001,17.049999,113200
2018-08-17,17.08,18.48,17.08,18.15,134900
2018-08-20,18.01,19,18,18.690001,161400
2018-08-21,18.940001,19.469999,18.51,18.98,52200
2018-08-22,18.5,19.6,18.5,18.790001,134100
2018-08-23,18.77,21.290001,18.77,20.639999,172600
2018-08-24,20.459999,21.85,20.02,20.23,363200
2018-08-27,15,15.05,11.95,13.94,2131700
2018-08-28,14.25,14.5,13.5,14.48,551700
2018-08-29,14.46,14.46,13.83,13.91,194900
2018-08-30,13.85,14.149,12.81,12.9,219200
2018-08-31,12.83,13.086,12.26,12.4,110800
2018-09-04,12.34,12.461,11.91,12.17,219000
2018-09-05,12.2,12.385,11.751,11.94,57000
2018-09-06,11.99,12.48,11.75,12.09,97100
2018-09-07,12.12,12.306,11.385,11.67,108000
2018-09-10,11.73,12.72,11.56,12.38,146700
2018-09-11,12.31,12.59,11.75,12.4,170500
2018-09-12,12.37,13.84,12.2,13.28,161000
2018-09-13,13.35,13.506,11.95,12.32,128800
2018-09-14,12.31,13.1,12.13,13.07,97100
2018-09-17,13.07,13.28,12.66,12.68,70700
2018-09-18,12.85,13.25,12.18,12.43,142800
2018-09-19,12.35,12.93,11.35,11.44,135200
2018-09-20,11.64,12.27,11,11.07,157600
2018-09-21,11.11,12.05,11.02,11.53,867600
2018-09-24,11.5,11.7,11.01,11.1,116700
2018-09-25,11.11,11.64,10.5,10.51,116800
2018-09-26,10.51,10.51,9.45,9.92,120200
2018-09-27,9.92,10.01,9.605,9.96,64200
2018-09-28,9.95,10.1,9.648,9.98,52600
2018-10-01,10,10.53,9.85,9.92,180200
2018-10-02,9.9,10.1,9.1,9.79,212700
2018-10-03,9.84,10.21,9.36,9.51,285000
2018-10-04,9.57,9.57,8.89,9.31,159800
2018-10-05,9.31,10.29,9.3,10.2,233800
2018-10-08,10.21,10.3,9.84,10.03,143500
2018-10-09,10,10.04,9.17,9.75,79600
2018-10-10,9.45,9.795,9.16,9.63,55900
2018-10-11,9.57,9.73,9.125,9.2,125200
2018-10-12,9.21,9.5,9.17,9.35,54800
2018-10-15,9.33,9.71,9.04,9.33,135800
2018-10-16,9.35,9.43,9.05,9.38,64500
2018-10-17,9.03,9.36,9.03,9.24,155700
2018-10-18,9.2,9.5,9.135,9.46,62400
2018-10-19,9.49,9.55,9.16,9.51,75900
2018-10-22,9.48,9.89,9.31,9.72,54000
2018-10-23,9.55,9.89,9.15,9.64,37900
2018-10-24,9.61,11,9.57,10.71,151100
2018-10-25,10.51,12.21,10.4,11.93,202700
2018-10-26,11.61,12.7,10.07,12.41,206300
2018-10-29,12.51,12.51,11.3,11.81,108500
2018-10-30,11.78,11.84,10.7,11.15,93400
2018-10-31,11.25,12.29,10.4,12.23,121600
2018-11-01,12.26,13.345,12.01,13.05,84100
2018-11-02,12.97,13.08,12.35,12.82,116500
2018-11-05,12.83,13.28,12.57,13.2,153300
2018-11-06,13.17,13.7,13.01,13.27,78700
2018-11-07,13.49,13.52,12.16,12.91,180300
2018-11-08,12.91,13.11,11.506,12.4,72300
2018-11-09,12.43,12.885,12.01,12.71,170100
2018-11-12,13.5,15.2,12.45,14.6,878900
2018-11-13,14,14.55,13.37,13.87,312100
2018-11-14,13.91,14.55,12.29,13.74,202200
2018-11-15,13.71,14.678,13.6,14.22,125400
2018-11-16,14.07,14.45,13.67,14.13,109500
2018-11-19,14.03,14.265,13.35,14.08,82800
2018-11-20,13.96,14.5,13.678,14.21,79900
2018-11-21,14.21,14.47,13.67,14.15,94600
2018-11-23,14.07,15,13.9,14.52,75300
2018-11-26,14.6,14.6,13.57,14.24,152200
2018-11-27,14.2,14.34,13.62,14.01,91400
2018-11-28,13.99,14.71,13.95,14.6,216100
2018-11-29,14.68,15.25,13.85,14.04,89300
2018-11-30,14.02,14.41,13.95,14.13,126700
2018-12-03,14.44,14.5,13.88,14.15,99100
2018-12-04,14.24,14.25,13.41,13.67,78000
2018-12-06,13.55,13.8,12.76,13.49,156200
2018-12-07,13.68,14.5,12.82,13.15,194200
2018-12-10,13.16,14,12.795,13.9,200600
2018-12-11,14.15,14.71,13.86,14.18,211700
2018-12-12,14.22,16,14.22,15.29,236700
2018-12-13,15.41,15.985,14.33,15.18,297800
2018-12-14,14.98,16.290001,14.97,16.27,213700
2018-12-17,16.190001,17.25,15.71,15.89,226100
