date,open,high,low,close,volume
1999-04-26,6125,6750,6125,6125,0
1999-04-27,7125,7375,6250,7375,0
1999-04-28,6500,6500,6000,6125,0
1999-04-29,6375,6500,6125,6250,0
1999-04-30,6437.5,7500,6125,7250,0
1999-05-03,6625,6625,6625,6625,0
1999-05-04,6500,6500,6375,6375,0
1999-05-05,6625,6625,6375,6375,0
1999-05-06,6562.5,6750,6250,6250,0
1999-05-07,6125,6500,6125,6500,0
1999-05-10,7125,7125,7000,7000,0
1999-05-11,7125,7125,7000,7000,0
1999-05-12,6250,6250,6250,6250,0
1999-05-13,6250,6250,6250,6250,0
1999-05-14,6375,6500,6375,6375,0
1999-05-17,6375,6375,6375,6375,0
1999-05-18,7125,7125,6343.75,6343.75,0
1999-05-19,6500,6500,6500,6500,0
1999-05-20,6875,6875,6625,6625,0
1999-05-21,6875,6875,6875,6875,0
1999-05-24,6875,7000,6875,7000,0
1999-05-25,6750,6750,6093.75,6375,0
1999-05-26,6125,6125,6125,6125,0
1999-05-27,6125,6125,6125,6125,0
1999-05-28,6125,6125,6125,6125,0
1999-06-01,7875,7875,7500,7500,0
1999-06-02,7875,7875,6500,6500,0
1999-06-03,6500,7000,6500,7000,0
1999-06-04,6250,6250,6250,6250,0
1999-06-07,6250,6250,6250,6250,0
1999-06-08,6375,6500,6375,6500,0
1999-06-09,6375,6375,6375,6375,0
1999-06-10,6375,6375,6375,6375,0
1999-06-11,6375,6375,6187.5,6187.5,0
1999-06-14,6250,6375,6125,6125,0
1999-06-15,6125,6125,5875,6000,0
1999-06-16,5500,6000,5500,5500,0
1999-06-17,5875,5875,5875,5875,0
1999-06-18,5500,5500,5375,5500,0
1999-06-21,5250,5250,5250,5250,0
1999-06-22,5250,5250,4875,4875,0
1999-06-23,4750,4750,4750,4750,0
1999-06-24,5000,5000,5000,5000,0
1999-06-25,5000,5000,5000,5000,0
1999-06-28,5000,5125,4750,5125,0
1999-06-29,5125,5125,5125,5125,0
1999-06-30,5125,5125,5125,5125,0
1999-07-01,5125,5125,5125,5125,0
1999-07-02,5000,5000,5000,5000,0
1999-07-06,5125,6000,4968.75,6000,0
1999-07-07,6250,6500,6250,6500,0
1999-07-08,6500,6500,6500,6500,0
1999-07-09,6500,6500,6250,6250,0
1999-07-12,6250,6250,6250,6250,0
1999-07-13,6250,6250,6250,6250,0
1999-07-14,6250,6250,5875,5875,0
1999-07-15,6375,6375,6375,6375,0
1999-07-16,6375,6375,6375,6375,0
1999-07-19,5875,6000,5875,6000,0
1999-07-20,6125,6125,6125,6125,0
1999-07-21,6125,6125,5875,5875,0
1999-07-22,5875,5875,5718.75,5750,0
