date,open,high,low,close,volume
2017-09-15,12.55,12.711,11.7,12,82000
2017-09-18,11.37,11.99,11.15,11.365,84200
2017-09-19,11.34,11.35,10.17,11.3,79400
2017-09-20,11.5,11.85,11.15,11.69,44000
2017-09-21,11.75,12.48,11.74,11.74,22600
2017-09-22,12.02,12.5,11.75,11.81,14200
2017-09-25,11.82,11.95,11.31,11.51,45000
2017-09-26,11.52,11.616,11.32,11.4,10400
2017-09-27,11.3,11.88,11.3,11.55,29000
2017-09-28,11.74,11.74,11,11.3,30800
2017-09-29,11.366,11.366,10.8,11.09,28200
2017-10-02,11.46,11.735,11.25,11.4,23300
2017-10-03,11.74,11.74,11.505,11.697,9400
2017-10-04,11.74,11.749,11.5,11.5,13300
2017-10-05,11.6,11.74,11.2,11.74,25600
2017-10-06,11.93,12,11.44,11.78,18900
2017-10-09,11.53,13.2,11.53,12.17,59000
2017-10-10,12.8,12.8,11.52,12.054,59200
2017-10-11,11.9,12.48,11.9,12.03,57600
2017-10-12,12.2,13,11.6,12.35,83500
2017-10-13,12.36,12.4,12,12.04,35200
2017-10-16,12.04,12.04,9.99,10.56,162100
2017-10-17,10.56,10.56,10,10.55,60500
2017-10-18,10.09,11.04,9.07,10.36,73100
2017-10-19,9.89,10.671,9.89,10.4,15100
2017-10-20,10.45,10.73,10.3,10.44,12400
2017-10-23,10.387,10.48,9.761,10.19,22900
2017-10-24,9.91,10.22,9.91,10.14,13000
2017-10-25,9.88,10.24,9.85,9.89,16400
2017-10-26,10,10.24,9.75,9.83,8800
2017-10-27,9.66,9.749,9.211,9.65,21900
2017-10-30,10.05,10.05,9.149,9.464,12500
2017-10-31,9.25,9.5,9.25,9.49,11900
2017-11-01,9.42,9.42,8,9.05,23800
2017-11-02,9.06,9.5,9.06,9.36,5100
2017-11-03,9.55,9.6,9.495,9.56,6900
2017-11-06,9.21,9.44,8.99,9.26,13700
2017-11-07,9.3,9.3,9.02,9.17,8200
2017-11-08,8.62,9.3,8.61,9.289,5400
2017-11-09,9.252,9.27,9.056,9.12,800
2017-11-10,8.72,9.98,8.72,9.98,22800
2017-11-13,10.19,10.25,9.99,10.185,5700
2017-11-14,10.28,10.28,9.2,10.08,17900
2017-11-15,10.175,10.175,9.73,10.1,3200
2017-11-16,9.78,10.2,9.11,10.09,31700
2017-11-17,9.45,10,9.45,10,15300
2017-11-20,10,10.299,10,10.2,16100
2017-11-21,10.3,10.47,9.797,10.07,15000
2017-11-22,10,10.15,9.962,10.14,3800
2017-11-24,10.15,10.15,9.59,9.95,16800
2017-11-27,9.95,10.18,9.709,9.87,12600
2017-11-28,9.9,10,9.37,9.7,9100
2017-11-29,9.7,9.85,9.3,9.36,16400
2017-11-30,9.3,9.71,9.04,9.69,29200
2017-12-01,9.13,9.67,9.06,9.57,6400
2017-12-04,9.57,9.57,8.65,9,19900
2017-12-05,9.49,9.49,8.74,8.99,13900
2017-12-06,8.729,8.96,8.729,8.905,7400
2017-12-07,8.9,9.1,8.62,8.99,6900
2017-12-08,8.5,9.47,8.5,9.25,101200
2017-12-11,9.161,9.187,8.61,8.97,40100
2017-12-12,8.97,9.03,8.9,8.9,13500
2017-12-13,8.943,9.16,8.8,8.9,43400
2017-12-14,8.995,9.14,8.995,9.05,12200
2017-12-15,9.132,9.159,9.06,9.15,26300
2017-12-18,9.16,9.4,9.14,9.3,12600
2017-12-19,9.15,9.25,9.05,9.2,23200
2017-12-20,9.4,9.4,9.14,9.39,11100
2017-12-21,9.145,9.5,9.05,9.33,20000
2017-12-22,9.481,9.5,9.16,9.3,8000
2017-12-26,9.405,9.94,9.24,9.55,37500
2017-12-27,9.5,9.95,8.75,9.42,82100
2017-12-28,9.39,9.92,9.35,9.54,62900
2017-12-29,9.5,10.05,9.5,10.02,33900
2018-01-02,9.98,11.24,9.821,10.15,24800
2018-01-03,10.09,10.32,9.781,9.9,10600
2018-01-04,10.13,10.13,9.75,10,10300
2018-01-05,10.05,10.112,9.82,9.98,12700
2018-01-08,9.82,9.82,9.54,9.59,11600
2018-01-09,9.669,10.07,9.479,9.6,23600
2018-01-10,9.76,9.8,9.49,9.6,19900
2018-01-11,9.23,9.66,9.23,9.46,16900
2018-01-12,9.48,9.7,9.41,9.443,12400
2018-01-16,9.45,9.8,9.02,9.26,9300
2018-01-17,9.106,9.42,9.1,9.21,9400
2018-01-18,9.27,9.62,9.06,9.4,11200
2018-01-19,9.49,9.73,9.4,9.63,10700
2018-01-22,9.54,9.7,9.4,9.4,12600
2018-01-23,9.314,9.5,9.314,9.41,5600
2018-01-24,9.41,9.48,9.31,9.329,6300
2018-01-25,9.34,9.38,9.11,9.11,5700
2018-01-26,9.08,9.31,9.05,9.16,23300
2018-01-29,9.16,9.18,8.8,8.89,19900
2018-01-30,8.91,9.001,8.8,8.98,18400
2018-01-31,9,9.185,8.85,8.85,21000
2018-02-01,8.65,9.08,8.65,8.83,14400
2018-02-02,8.88,9.075,8.88,8.99,5300
2018-02-05,8.89,9.01,8.26,8.38,15900
2018-02-06,8.2,8.85,8.2,8.43,8500
2018-02-07,8.6,8.995,8.31,8.33,11900
2018-02-08,8.5,8.71,8.3,8.71,24800
2018-02-09,8.87,8.9,7.554,8.26,12700
2018-02-12,8.12,8.9,8.12,8.9,12000
2018-02-13,8.556,8.8,7.9,8.504,14100
2018-02-14,8.32,8.9,8.28,8.45,24900
2018-02-15,8.43,8.852,8.43,8.66,26400
2018-02-16,8.66,9.5,8.62,9.01,53400
2018-02-20,9.33,9.495,9.11,9.11,28700
2018-02-21,9.49,9.589,9.05,9.31,68700
2018-02-22,9.65,9.65,9.05,9.13,55300
2018-02-23,9.3,9.35,8.942,9.16,33200
2018-02-26,9,9.6,8.99,9.5,40600
2018-02-27,9.6,9.66,9.41,9.52,28300
2018-02-28,9.47,9.543,9.12,9.23,64300
2018-03-01,9.25,9.473,9.11,9.37,14900
2018-03-02,9.38,9.43,9.01,9.19,52900
2018-03-05,9.1,9.25,9.1,9.18,8100
2018-03-06,9.15,9.25,9.01,9.16,20000
2018-03-07,9.02,9.24,8.99,9.24,11200
2018-03-08,9.1,9.42,9.05,9.19,21300
2018-03-09,9.29,9.431,8.91,9.4,13400
2018-03-12,9.51,9.7,9.16,9.27,62600
2018-03-13,9.47,9.836,9.02,9.375,48800
2018-03-14,9.59,9.8,9.066,9.43,69000
2018-03-15,9.34,9.789,9.34,9.41,71800
2018-03-16,9.48,9.78,9.38,9.57,11300
2018-03-19,9.579,9.68,9.28,9.51,16700
2018-03-20,9.729,9.729,9.575,9.7,33600
2018-03-21,10.5,10.8,9.74,10.35,470400
