date,open,high,low,close,volume
2016-07-27,11.55,11.73,9.7,9.7,6797100
2016-07-28,10.04,10.05,9.5,9.6,674400
2016-07-29,9.5,9.55,8.92,8.95,578200
2016-08-01,9,9.7,9,9.57,519200
2016-08-02,9.74,9.92,9.559,9.74,347900
2016-08-03,9.9,9.98,9.788,9.9,272400
2016-08-04,9.99,10.35,9.87,9.88,200300
2016-08-05,9.76,10.058,9.75,10,82000
2016-08-08,9.91,10.25,9.91,10.04,153300
2016-08-09,10.25,10.25,10,10,83000
2016-08-10,9.92,10.17,9.92,10.01,115700
2016-08-11,10,10.02,9.95,9.95,53600
2016-08-12,10,10.03,9.94,9.95,39600
2016-08-15,10.08,10.2,9.9,10.18,110000
2016-08-16,10.25,10.29,10.12,10.23,80000
2016-08-17,10.23,10.23,10,10.049,18100
2016-08-18,10.1,10.1,9.99,10.05,30800
2016-08-19,10.03,10.06,9.95,9.97,31700
2016-08-22,10.32,10.48,10,10.01,122500
2016-08-23,9.98,10.184,9.98,10.04,76100
2016-08-24,9.95,10.04,9.95,10,46900
2016-08-25,10,10.08,9.98,10.04,24800
2016-08-26,10.08,10.1,9.9,10.06,64700
2016-08-29,9.97,10.1,9.97,10.03,12100
2016-08-30,9.96,10.069,9.9,9.91,18900
2016-08-31,9.91,10.005,9.74,9.75,84400
2016-09-01,9.781,9.857,9.27,9.35,148200
2016-09-02,9.32,9.66,9.24,9.47,67600
2016-09-06,9.55,9.6,9.11,9.24,65600
2016-09-07,9.32,9.419,9.23,9.33,24900
2016-09-08,9.22,9.307,9.2,9.29,22400
2016-09-09,9.15,9.15,8.19,8.76,96700
2016-09-12,8.33,8.5,8.28,8.31,103700
2016-09-13,8.28,8.28,7.97,7.99,83600
2016-09-14,8,8.21,7.77,7.77,94800
2016-09-15,7.83,7.95,7.63,7.63,36900
2016-09-16,7.69,7.69,7.29,7.37,43000
2016-09-19,7.35,7.95,7.17,7.81,76300
2016-09-20,7.77,8.08,7.7,8.05,52200
2016-09-21,8.06,8.16,7.51,7.91,78300
2016-09-22,7.87,8.04,7.64,7.76,39100
2016-09-23,7.95,8.02,7.77,8,269900
2016-09-26,8,8.017,7.61,7.68,53300
2016-09-27,7.75,7.75,7.26,7.3,77500
2016-09-28,7.42,7.47,7.26,7.4,38800
2016-09-29,7.36,7.45,7.11,7.12,62900
2016-09-30,7.2,7.64,7.01,7.34,585700
2016-10-03,7.32,7.82,7.25,7.37,67300
2016-10-04,7.35,7.361,7.17,7.27,43400
2016-10-05,7.22,7.36,7.15,7.3,36300
2016-10-06,7.24,7.281,6.95,7.17,41800
2016-10-07,7.13,7.197,6.93,7.06,53400
2016-10-10,7.04,7.2,6.9,6.97,48200
2016-10-11,6.93,6.93,6.6,6.65,56100
2016-10-12,6.7,6.704,6.561,6.68,33500
2016-10-13,6.61,6.61,6.25,6.35,92500
2016-10-14,6.49,6.49,6.21,6.36,27800
2016-10-17,6.31,6.66,6.31,6.52,24600
2016-10-18,6.5,6.73,6.334,6.51,42900
2016-10-19,6.55,6.599,6.36,6.4,11900
2016-10-20,6.27,6.432,6.27,6.41,9100
2016-10-21,6.36,6.384,6.27,6.29,18900
2016-10-24,6.3,6.43,6.26,6.38,6700
2016-10-25,6.337,6.45,6.26,6.29,15000
2016-10-26,6.266,6.34,6.2,6.23,27700
2016-10-27,6.16,6.16,6,6.01,43600
2016-10-28,6,6.015,5.04,5.05,114500
2016-10-31,5.1,5.36,4.55,4.55,143700
2016-11-01,4.59,4.78,4.56,4.71,60600
2016-11-02,4.71,4.71,4.46,4.5,34500
2016-11-03,4.5,4.712,4.45,4.58,47500
2016-11-04,4.58,4.73,4.44,4.65,159300
2016-11-07,4.72,5.082,4.57,4.71,173600
2016-11-08,4.67,4.8,4.539,4.68,45200
2016-11-09,4.75,5.48,4.75,5.48,55300
2016-11-10,5.59,5.613,5.25,5.43,54900
2016-11-11,5.46,6.62,5.377,6.56,79900
2016-11-14,6.79,7.1,6.59,6.66,74800
2016-11-15,6.69,6.748,6.13,6.37,47900
2016-11-16,6.3,6.367,6.01,6.1,45400
2016-11-17,6.09,6.69,6.005,6.11,50800
2016-11-18,6.16,6.24,6,6.04,48900
2016-11-21,6,6,5.78,5.85,39100
2016-11-22,5.96,5.96,5.317,5.5,81500
2016-11-23,5.5,5.52,5.43,5.48,50700
2016-11-25,5.48,5.48,5.41,5.48,14200
2016-11-28,5.48,5.5,5.36,5.39,40000
2016-11-29,5.44,5.44,5.045,5.17,47000
2016-11-30,5.18,5.18,4.95,4.99,53500
2016-12-01,5.142,5.15,4.95,4.98,36000
2016-12-02,5,5.05,4.95,5,36900
2016-12-05,5,5.11,4.8,5,66400
2016-12-06,5.1,5.3,5,5.23,73000
2016-12-07,5.25,5.271,4.99,5.01,64600
2016-12-08,5,5,4.75,4.9,44000
2016-12-09,4.9,5,4.76,4.8,100100
2016-12-12,4.8,4.98,4.66,4.75,91800
2016-12-13,4.75,4.75,4.67,4.7,27900
2016-12-14,4.68,4.75,4.621,4.69,31000
2016-12-15,4.68,4.739,4.66,4.66,54800
2016-12-16,4.65,4.7,4.39,4.39,141400
2016-12-19,4.42,4.48,4.13,4.23,69900
2016-12-20,4.28,4.487,4.221,4.43,63200
2016-12-21,4.5,5.81,4.5,5.65,149000
2016-12-22,5.85,5.93,5.07,5.11,131400
2016-12-23,5.06,5.17,5,5.11,33600
2016-12-27,5.24,5.6,5,5.48,82100
2016-12-28,5.44,5.5,5.12,5.22,74100
2016-12-29,5.29,5.29,5.08,5.15,66300
2016-12-30,5.19,5.38,4.99,5.35,144800
2017-01-03,5.5,5.5,5.18,5.4,33800
2017-01-04,5.45,5.49,5.32,5.35,56000
2017-01-05,5.44,5.44,4.6,4.78,126500
2017-01-06,4.89,5.095,4.868,5.02,51300
2017-01-09,5.08,5.13,4.911,4.99,67300
2017-01-10,4.97,5.17,4.9,5.02,37800
2017-01-11,5.06,5.06,4.92,4.98,18000
2017-01-12,4.92,5.07,4.87,4.98,17400
2017-01-13,5.04,5.04,4.946,4.99,58700
2017-01-17,5.05,5.055,4.81,4.94,48100
2017-01-18,4.95,5.02,4.814,4.94,15200
2017-01-19,4.97,4.974,4.82,4.86,19000
2017-01-20,5,5,4.88,4.96,34100
2017-01-23,5,5,4.86,4.86,14300
2017-01-24,4.94,4.96,4.5,4.86,51400
2017-01-25,4.92,4.92,4.493,4.53,96100
2017-01-26,4.53,4.623,3.84,3.93,436400
2017-01-27,4,4.08,3.83,3.94,156700
2017-01-30,3.942,3.981,3.74,3.78,97900
2017-01-31,3.82,4.053,3.75,4.05,209400
2017-02-01,4.03,4.1,3.86,4,737300
2017-02-02,4,4.109,3.82,3.84,127300
2017-02-03,3.93,4.06,3.79,3.99,152600
2017-02-06,3.97,4.14,3.96,3.99,177600
2017-02-07,4.02,4.02,3.86,3.92,101300
2017-02-08,3.88,3.923,3.72,3.77,97500
2017-02-09,3.74,3.88,3.74,3.82,54800
2017-02-10,3.87,4.02,3.72,3.8,111000
2017-02-13,3.8,3.98,3.75,3.88,48700
2017-02-14,3.83,3.98,3.78,3.97,45700
2017-02-15,4,4,3.87,3.97,89700
2017-02-16,4,4.02,3.8,4,166000
2017-02-17,4,4.1,3.8,4,146700
2017-02-21,3.91,4.067,3.86,4,73500
2017-02-22,3.91,4.025,3.8,3.88,147800
2017-02-23,3.96,3.979,3.6,3.67,165000
2017-02-24,3.6,3.65,3.49,3.59,70800
2017-02-27,3.52,3.89,3.5,3.84,126300
2017-02-28,3.9,3.9,3.67,3.71,62100
2017-03-01,3.85,3.85,3.6,3.65,69400
2017-03-02,3.6,3.66,3.5,3.57,52800
2017-03-03,3.59,3.602,3.5,3.55,39800
2017-03-06,3.56,3.65,3.54,3.59,95100
2017-03-07,3.59,3.6,3.35,3.36,108400
2017-03-08,3.44,3.55,3.35,3.42,179700
2017-03-09,3.41,3.49,3.26,3.28,261900
2017-03-10,3.39,3.43,3.2,3.25,147500
2017-03-13,3.27,3.33,3.1,3.32,190600
2017-03-14,3.5,3.5,3.3,3.37,158700
2017-03-15,3.5,3.595,3.4,3.48,283100
2017-03-16,3.58,3.58,3.41,3.44,265300
2017-03-17,3.46,3.74,3.4,3.57,921800
2017-03-20,3.68,4.02,3.62,4.01,349900
2017-03-21,3.99,4.28,3.83,3.93,468200
2017-03-22,3.95,3.97,3.71,3.73,163700
2017-03-23,3.68,3.68,3.41,3.5,281600
2017-03-24,3.5,3.56,3.36,3.4,470600
2017-03-27,3.4,3.64,3.33,3.58,234200
2017-03-28,3.63,3.68,3.35,3.63,302300
2017-03-29,3.65,3.74,3.56,3.7,265500
2017-03-30,3.75,3.85,3.66,3.76,234700
2017-03-31,3.78,3.78,3.59,3.62,565100
2017-04-03,3.64,3.67,3.49,3.54,167300
2017-04-04,3.66,3.68,3.36,3.44,255900
2017-04-05,3.42,3.52,3.26,3.29,313300
2017-04-06,3.28,3.37,3.2,3.21,218000
2017-04-07,3.21,3.23,2.95,3.08,474700
2017-04-10,3.11,3.11,3,3.02,206200
2017-04-11,3.07,3.11,2.966,3.03,223800
2017-04-12,3.06,3.069,2.75,2.8,413700
2017-04-13,2.84,2.84,2.67,2.69,217100
2017-04-17,2.72,2.74,2.5,2.57,303900
2017-04-18,2.58,2.64,2.47,2.5,292300
2017-04-19,2.5,2.54,2.38,2.47,177900
2017-04-20,2.47,2.54,2.4,2.51,97000
2017-04-21,2.49,2.6,2.36,2.38,336800
2017-04-24,2.42,2.535,2.35,2.48,185100
2017-04-25,2.51,2.75,2.48,2.66,210600
2017-04-26,2.67,2.91,2.621,2.79,191900
2017-04-27,2.8,2.87,2.64,2.83,117300
2017-04-28,2.85,2.95,2.69,2.75,160200
2017-05-01,2.72,2.77,2.63,2.75,90800
2017-05-02,2.75,2.83,2.63,2.8,85800
2017-05-03,2.76,2.8,2.65,2.72,73800
2017-05-04,2.7,2.75,2.67,2.72,76700
2017-05-05,2.66,2.79,2.66,2.75,46300
2017-05-08,2.71,2.81,2.68,2.78,90500
2017-05-09,2.78,2.99,2.78,2.92,161500
2017-05-10,2.95,2.95,2.71,2.82,84100
2017-05-11,2.73,2.94,2.7,2.91,72600
2017-05-12,2.7,2.7,2.575,2.65,259100
2017-05-15,2.7,2.73,2.6,2.61,136100
2017-05-16,2.6,2.6,2.43,2.43,278400
2017-05-17,2.43,2.43,2.35,2.41,150600
2017-05-18,2.4,2.43,2.3,2.34,102000
2017-05-19,2.47,2.57,2.35,2.39,125100
2017-05-22,2.5,2.67,2.45,2.65,135100
2017-05-23,2.52,2.54,2.3,2.47,192000
2017-05-24,2.51,2.68,2.51,2.57,114000
2017-05-25,2.58,2.7,2.46,2.47,112200
2017-05-26,2.51,2.51,2.4,2.45,95900
2017-05-30,2.48,2.48,2.31,2.33,137500
2017-05-31,2.34,2.34,2.25,2.26,66700
2017-06-01,2.32,2.61,2.32,2.56,118200
2017-06-02,2.6,2.6,2.49,2.52,88400
2017-06-05,2.54,2.54,2.36,2.47,67800
2017-06-06,2.46,2.53,2.41,2.45,61800
2017-06-07,2.48,2.54,2.35,2.46,120300
2017-06-08,2.5,2.55,2.43,2.45,69300
2017-06-09,2.51,2.72,2.51,2.72,200300
2017-06-12,2.72,2.82,2.63,2.69,134900
2017-06-13,2.75,2.82,2.6,2.63,179500
2017-06-14,2.66,2.76,2.61,2.72,77800
2017-06-15,2.73,2.87,2.73,2.8,140300
2017-06-16,2.76,2.84,2.7,2.74,327700
2017-06-19,2.76,3,2.66,2.94,171500
2017-06-20,2.95,3.26,2.9,3.17,329700
2017-06-21,3.23,3.699,3.17,3.56,828100
2017-06-22,3.64,3.74,3.314,3.49,1151200
2017-06-23,3.48,3.6,3.35,3.38,1476700
2017-06-26,3.47,3.75,3.44,3.72,461500
