date,open,high,low,close,volume
2020-07-10,16.9,17.43,15.2,15.35,7940500
2020-07-13,15.75,16,13.16,13.48,1912900
2020-07-14,13.75,14.21,11.35,13.01,1005800
2020-07-15,13.24,14.43,13.06,14.02,521800
2020-07-16,14.54,15.9,13.75,15.5,1040800
2020-07-17,15.45,17.620001,15.4,16.1,743100
2020-07-20,16.26,17.15,15.76,16.25,406500
2020-07-21,16.07,16.549999,14.65,15.04,513000
2020-07-22,14.78,15.95,14.68,15.78,334200
2020-07-23,15.64,16.08,15.09,15.62,312100
2020-07-24,15.47,16.02,14.455,15.44,291700
2020-07-27,15.13,15.79,13.89,14.3,703500
2020-07-28,14.01,15.5,12.7,13.03,404000
2020-07-29,13.15,14.2,12.75,12.96,285600
2020-07-30,12.79,13.57,12.755,13.33,247100
2020-07-31,13.75,13.75,11.77,12.98,428400
2020-08-03,13.56,13.63,12.5,13.41,244800
2020-08-04,13.75,14.15,12.65,13.08,342800
2020-08-05,13.4,13.99,12.755,12.9,518700
2020-08-06,12.81,13.4,12.53,12.68,352800
2020-08-07,12.56,13.18,12.453,12.83,225500
2020-08-10,12.73,13.05,12.28,12.96,245400
2020-08-11,12.91,13,11.7,12,383700
2020-08-12,11.85,12.49,11,11.5,337800
2020-08-13,11.53,13.25,11.511,12.99,478700
2020-08-14,12.77,13.78,12.32,13.1,625600
2020-08-17,13.11,13.61,12.62,13,677200
2020-08-18,8.76,9.58,8.38,9.06,2215300
2020-08-19,9.71,9.849,8.75,8.86,923200
2020-08-20,8.82,10.15,8.75,9.11,715300
2020-08-21,9.42,9.7,8.4,8.61,709100
2020-08-24,8.66,8.71,7.63,8.55,808300
2020-08-25,8.35,8.35,7.9,8.09,688400
2020-08-26,8.09,8.95,7.91,8.8,720000
2020-08-27,8.71,8.865,8.36,8.61,212000
2020-08-28,8.52,9.45,8.37,9.23,495500
