date,open,high,low,close,volume
2005-09-27,255.240005,255.240005,230.399994,234,41400
2005-09-28,236.880005,236.880005,225,225,7000
2005-09-29,229.679993,230.399994,226.800003,226.800003,1200
2005-09-30,241.919998,243,225,240.839996,3900
2005-10-03,243.360001,243.360001,234,241.199997,1000
2005-10-04,244.800003,244.800003,237.600006,243.360001,1500
2005-10-05,246.600006,246.600006,237.600006,237.600006,1500
2005-10-06,252.360001,252.360001,210.960007,230.399994,3700
2005-10-07,214.919998,225.720001,214.919998,225,400
2005-10-10,225.720001,232.199997,225,232.199997,500
2005-10-11,234,235.800003,225,230.039993,700
2005-10-12,225.720001,229.679993,225,225,800
2005-10-13,225,232.199997,220.320007,223.199997,300
2005-10-14,223.199997,228.600006,223.199997,224.639999,100
2005-10-17,235.800003,235.800003,227.160004,227.160004,0
2005-10-18,234,235.800003,216,228.240005,600
2005-10-19,235.080002,235.080002,214.919998,221.399994,900
2005-10-20,228.600006,228.600006,216,220.679993,600
2005-10-21,228.600006,228.600006,207.360001,212.399994,600
2005-10-24,230.399994,230.399994,210.600006,220.679993,0
2005-10-25,224.639999,229.679993,214.199997,219.240005,200
2005-10-26,212.039993,221.399994,212.039993,221.399994,400
2005-10-27,221.399994,221.399994,216,216,200
2005-10-28,220.679993,220.679993,208.800003,216,0
2005-10-31,216,216,204.839996,208.440002,500
2005-11-01,204.839996,204.839996,176.039993,187.199997,1500
2005-11-02,180.360001,195.479996,177.839996,180,1300
2005-11-03,188.639999,188.639999,166.320007,168.839996,1700
2005-11-04,179.279999,185.039993,161.279999,173.520004,1400
2005-11-07,184.679993,189,178.559998,185.399994,3000
2005-11-08,210.240005,210.240005,153,186.479996,4300
2005-11-09,190.800003,190.800003,171,172.800003,2300
2005-11-10,183.600006,183.600006,171,174.600006,100
2005-11-11,169.919998,187.199997,169.199997,183.600006,400
2005-11-14,183.960007,197.279999,174.600006,187.559998,24300
2005-11-15,180.360001,191.160004,180,186.119995,300
2005-11-16,189,190.440002,176.399994,182.520004,400
2005-11-17,189.360001,190.800003,180,185.759995,400
2005-11-18,188.639999,189.720001,180.720001,189.360001,1500
2005-11-21,194.399994,198,181.440002,185.039993,900
2005-11-22,193.320007,194.399994,185.399994,185.759995,1500
2005-11-23,185.759995,189,185.759995,189,0
2005-11-25,189,189,189,189,0
2005-11-28,194.399994,194.399994,189,189,700
2005-11-29,194.399994,195.479996,187.199997,189,900
2005-11-30,189,192.240005,189,192.240005,0
2005-12-01,192.240005,192.240005,184.320007,187.199997,800
2005-12-02,193.320007,193.320007,183.960007,184.320007,500
2005-12-05,183.600006,187.199997,180.720001,182.520004,300
2005-12-06,183.600006,183.600006,177.119995,180,2400
2005-12-07,183.600006,183.600006,176.399994,177.119995,300
2005-12-08,178.199997,180,178.199997,180,300
2005-12-09,181.440002,187.199997,180,181.440002,700
2005-12-12,180,186.839996,172.800003,181.800003,500
2005-12-13,180,180.360001,176.759995,180,500
2005-12-14,178.559998,178.919998,174.960007,176.759995,400
2005-12-15,178.559998,179.279999,173.160004,179.279999,300
2005-12-16,177.119995,177.119995,169.199997,170.279999,600
2005-12-19,169.199997,173.880005,163.800003,169.559998,300
2005-12-20,165.960007,169.919998,165.960007,167.759995,600
2005-12-21,170.279999,183.600006,167.039993,178.559998,700
2005-12-22,182.160004,182.160004,176.399994,178.199997,400
2005-12-23,183.960007,183.960007,169.199997,169.559998,300
2005-12-27,185.399994,185.399994,178.199997,181.440002,100
2005-12-28,180.720001,180.720001,180,180.720001,0
2005-12-29,178.919998,181.440002,169.199997,180,200
2005-12-30,183.240005,183.960007,177.839996,179.279999,100
2006-01-03,185.759995,185.759995,180,185.039993,200
2006-01-04,185.759995,198,180,182.520004,500
2006-01-05,190.800003,190.800003,180,183.600006,2300
2006-01-06,187.199997,189,182.160004,189,100
2006-01-09,190.800003,190.800003,181.800003,188.279999,300
2006-01-10,190.800003,190.800003,184.320007,184.320007,300
2006-01-11,184.320007,184.320007,180,180,200
2006-01-12,180.360001,184.679993,176.759995,176.759995,400
2006-01-13,176.759995,180,176.759995,178.559998,100
2006-01-17,171.360001,178.199997,162,167.759995,900
2006-01-18,169.199997,172.800003,167.759995,167.759995,100
2006-01-19,171.360001,173.160004,169.199997,173.160004,200
2006-01-20,171,171,167.759995,167.759995,400
2006-01-23,169.199997,173.880005,168.479996,169.199997,100
2006-01-24,172.800003,174.600006,168.119995,174.600006,100
2006-01-25,176.399994,180,174.960007,180,200
2006-01-26,180,180,167.759995,172.800003,100
2006-01-27,171.360001,174.240005,168.839996,168.839996,100
2006-01-30,178.919998,178.919998,169.199997,170.639999,500
2006-01-31,177.839996,177.839996,167.399994,169.559998,100
2006-02-01,177.119995,177.119995,164.160004,164.880005,300
2006-02-02,166.320007,169.559998,165.960007,169.199997,200
2006-02-03,170.639999,170.639999,169.199997,169.559998,300
2006-02-06,169.199997,169.199997,160.919998,162.720001,1300
2006-02-07,167.399994,169.199997,165.600006,169.199997,1300
2006-02-08,172.440002,172.440002,163.800003,168.839996,100
2006-02-09,170.639999,176.399994,162.720001,171,1200
2006-02-10,171.720001,174.600006,162,169.199997,600
