date,open,high,low,close,volume
1981-12-11,115.5,140.25,115.5,115.5,0
1981-12-14,115.5,123.75,99,99,0
1981-12-15,99,115.5,99,99,0
1981-12-16,99,115.5,99,99,0
1981-12-17,99,107.25,82.5,82.5,0
1981-12-18,90.75,107.25,90.75,90.75,0
1981-12-21,90.75,115.5,90.75,90.75,0
1981-12-22,90.75,115.5,90.75,90.75,0
1981-12-23,90.75,99,90.75,90.75,0
1981-12-24,90.75,99,90.75,90.75,0
1981-12-28,90.75,99,90.75,90.75,0
1981-12-29,90.75,99,82.5,82.5,0
1981-12-30,90.75,99,90.75,90.75,0
1981-12-31,90.75,99,90.75,90.75,100
1982-01-04,90.75,90.75,90.75,90.75,0
1982-01-05,90.75,90.75,90.75,90.75,0
1982-01-06,90.75,99,82.5,82.5,0
1982-01-07,82.5,99,82.5,82.5,0
1982-01-08,82.5,82.5,82.5,82.5,0
1982-01-11,82.5,82.5,82.5,82.5,0
1982-01-12,82.5,99,82.5,82.5,0
1982-01-13,82.5,82.5,82.5,82.5,0
1982-01-14,82.5,99,82.5,82.5,0
1982-01-15,82.5,99,82.5,82.5,0
1982-01-18,82.5,99,82.5,82.5,0
1982-01-19,82.5,99,82.5,82.5,100
1982-01-20,82.5,99,82.5,82.5,400
1982-01-21,107.25,132,107.25,107.25,400
1982-01-22,107.25,132,107.25,107.25,0
1982-01-25,107.25,132,107.25,107.25,0
1982-01-26,107.25,132,107.25,107.25,0
1982-01-27,115.5,132,115.5,115.5,0
1982-01-28,115.5,115.5,115.5,115.5,0
1982-01-29,132,156.75,132,132,0
1982-02-01,132,148.5,132,132,0
1982-02-02,132,148.5,132,132,0
1982-02-03,132,140.25,123.75,123.75,0
1982-02-04,132,140.25,132,132,100
1982-02-05,132,140.25,123.75,123.75,0
1982-02-08,123.75,123.75,123.75,123.75,0
1982-02-09,123.75,123.75,123.75,123.75,0
1982-02-10,123.75,140.25,123.75,123.75,0
1982-02-11,123.75,140.25,123.75,123.75,300
1982-02-12,123.75,132,123.75,123.75,0
1982-02-16,123.75,132,123.75,123.75,0
1982-02-17,123.75,132,115.5,115.5,0
1982-02-18,115.5,132,115.5,115.5,0
1982-02-19,115.5,132,115.5,115.5,0
1982-02-22,115.5,123.75,115.5,115.5,0
1982-02-23,115.5,123.75,107.25,107.25,0
1982-02-24,107.25,115.5,99,99,0
1982-02-25,99,107.25,99,99,0
1982-02-26,99,107.25,99,99,0
1982-03-01,99,107.25,99,99,0
1982-03-02,99,115.5,99,99,0
1982-03-03,99,115.5,99,99,0
1982-03-04,99,115.5,99,99,0
1982-03-05,99,99,99,99,0
1982-03-08,99,107.25,99,99,0
1982-03-09,99,107.25,99,99,0
1982-03-10,99,107.25,99,99,0
1982-03-11,99,115.5,99,99,100
1982-03-12,99,115.5,99,99,200
1982-03-15,107.25,123.75,107.25,107.25,0
1982-03-16,115.5,132,115.5,115.5,0
1982-03-17,115.5,140.25,115.5,115.5,300
1982-03-18,115.5,140.25,115.5,115.5,0
1982-03-19,115.5,140.25,115.5,115.5,0
1982-03-22,115.5,115.5,115.5,115.5,0
1982-03-23,123.75,140.25,123.75,123.75,0
1982-03-24,123.75,140.25,123.75,123.75,0
1982-03-25,123.75,140.25,123.75,123.75,0
1982-03-26,123.75,140.25,123.75,123.75,0
1982-03-29,123.75,140.25,123.75,123.75,0
1982-03-30,123.75,140.25,123.75,123.75,0
1982-03-31,123.75,123.75,123.75,123.75,0
1982-04-01,123.75,140.25,123.75,123.75,0
1982-04-02,123.75,132,123.75,123.75,0
1982-04-05,123.75,132,123.75,123.75,0
1982-04-06,123.75,132,123.75,123.75,100
1982-04-07,123.75,132,123.75,123.75,0
1982-04-08,132,148.5,132,132,300
1982-04-12,132,140.25,132,132,0
1982-04-13,132,148.5,132,132,0
1982-04-14,140.25,156.75,140.25,140.25,100
1982-04-15,140.25,165,140.25,140.25,100
1982-04-16,156.75,173.25,156.75,156.75,100
1982-04-19,156.75,173.25,156.75,156.75,0
1982-04-20,156.75,173.25,156.75,156.75,0
1982-04-21,156.75,165,156.75,156.75,0
1982-04-22,156.75,156.75,156.75,156.75,0
1982-04-23,156.75,165,156.75,156.75,0
1982-04-26,156.75,165,148.5,148.5,0
1982-04-27,148.5,165,148.5,148.5,0
1982-04-28,148.5,165,148.5,148.5,0
1982-04-29,148.5,165,148.5,148.5,0
1982-04-30,148.5,165,148.5,148.5,600
1982-05-03,156.75,173.25,156.75,156.75,0
1982-05-04,156.75,156.75,156.75,156.75,0
1982-05-05,156.75,156.75,156.75,156.75,0
1982-05-06,156.75,165,156.75,156.75,0
1982-05-07,148.5,148.5,123.75,123.75,100
1982-05-10,132,148.5,132,132,0
1982-05-11,140.25,156.75,140.25,140.25,100
1982-05-12,156.75,165,156.75,156.75,0
1982-05-13,156.75,165,156.75,156.75,0
1982-05-14,156.75,173.25,156.75,156.75,0
1982-05-17,156.75,173.25,156.75,156.75,0
1982-05-18,156.75,173.25,156.75,156.75,0
1982-05-19,156.75,173.25,148.5,148.5,0
1982-05-20,148.5,148.5,148.5,148.5,0
1982-05-21,148.5,165,148.5,148.5,0
1982-05-24,148.5,148.5,148.5,148.5,0
1982-05-25,148.5,148.5,148.5,148.5,0
1982-05-26,148.5,148.5,148.5,148.5,0
1982-05-27,148.5,165,148.5,148.5,0
1982-05-28,148.5,148.5,148.5,148.5,0
1982-06-01,148.5,165,148.5,148.5,0
1982-06-02,156.75,165,156.75,156.75,0
1982-06-03,156.75,165,148.5,148.5,100
1982-06-04,148.5,165,148.5,148.5,0
1982-06-07,148.5,165,148.5,148.5,0
1982-06-08,148.5,148.5,148.5,148.5,0
1982-06-09,148.5,156.75,148.5,148.5,100
1982-06-10,148.5,165,148.5,148.5,0
1982-06-11,148.5,165,148.5,148.5,0
1982-06-14,148.5,165,148.5,148.5,0
1982-06-15,148.5,165,148.5,148.5,0
1982-06-16,148.5,148.5,148.5,148.5,0
1982-06-17,148.5,156.75,148.5,148.5,0
1982-06-18,148.5,156.75,148.5,148.5,0
1982-06-21,148.5,148.5,148.5,148.5,0
1982-06-22,148.5,156.75,148.5,148.5,0
1982-06-23,148.5,156.75,148.5,148.5,200
1982-06-24,148.5,148.5,148.5,148.5,0
1982-06-25,148.5,156.75,148.5,148.5,0
1982-06-28,148.5,156.75,148.5,148.5,0
1982-06-29,148.5,156.75,148.5,148.5,0
1982-06-30,148.5,156.75,148.5,148.5,0
1982-07-01,148.5,156.75,148.5,148.5,0
1982-07-02,148.5,156.75,148.5,148.5,0
1982-07-06,148.5,156.75,148.5,148.5,0
1982-07-07,148.5,156.75,148.5,148.5,0
1982-07-08,148.5,156.75,148.5,148.5,200
1982-07-09,148.5,156.75,148.5,148.5,0
1982-07-12,148.5,148.5,148.5,148.5,0
1982-07-13,148.5,156.75,148.5,148.5,0
1982-07-14,148.5,156.75,148.5,148.5,100
1982-07-15,148.5,156.75,148.5,148.5,0
1982-07-16,148.5,156.75,148.5,148.5,0
1982-07-19,148.5,148.5,148.5,148.5,0
1982-07-20,148.5,165,148.5,148.5,300
1982-07-21,148.5,165,148.5,148.5,100
1982-07-22,148.5,148.5,148.5,148.5,0
1982-07-23,156.75,165,156.75,156.75,0
1982-07-26,156.75,165,148.5,148.5,0
1982-07-27,148.5,165,148.5,148.5,0
1982-07-28,148.5,165,148.5,148.5,0
1982-07-29,148.5,156.75,148.5,148.5,0
1982-07-30,148.5,156.75,148.5,148.5,0
1982-08-02,148.5,148.5,140.25,140.25,0
1982-08-03,140.25,148.5,140.25,140.25,0
1982-08-04,140.25,140.25,140.25,140.25,0
1982-08-05,140.25,148.5,140.25,140.25,0
1982-08-06,140.25,148.5,123.75,123.75,0
1982-08-09,123.75,132,123.75,123.75,0
1982-08-10,123.75,132,123.75,123.75,0
1982-08-11,123.75,123.75,123.75,123.75,0
1982-08-12,123.75,132,115.5,115.5,0
1982-08-13,115.5,132,115.5,115.5,0
1982-08-16,115.5,132,115.5,115.5,0
1982-08-17,115.5,123.75,107.25,107.25,0
1982-08-18,107.25,107.25,107.25,107.25,0
1982-08-19,107.25,132,107.25,107.25,0
1982-08-20,107.25,123.75,107.25,107.25,0
1982-08-23,107.25,123.75,107.25,107.25,0
1982-08-24,107.25,123.75,107.25,107.25,0
1982-08-25,107.25,123.75,107.25,107.25,0
1982-08-26,115.5,123.75,115.5,115.5,0
1982-08-27,115.5,123.75,115.5,115.5,0
1982-08-30,115.5,123.75,107.25,107.25,0
1982-08-31,107.25,123.75,107.25,107.25,0
1982-09-01,107.25,107.25,107.25,107.25,0
1982-09-02,107.25,123.75,107.25,107.25,0
1982-09-03,115.5,123.75,115.5,115.5,0
1982-09-07,115.5,123.75,115.5,115.5,100
1982-09-08,115.5,115.5,115.5,115.5,0
1982-09-09,115.5,123.75,115.5,115.5,0
1982-09-10,115.5,123.75,115.5,115.5,0
1982-09-13,115.5,115.5,107.25,107.25,0
1982-09-14,107.25,115.5,107.25,107.25,0
1982-09-15,107.25,115.5,107.25,107.25,0
1982-09-16,107.25,115.5,107.25,107.25,0
1982-09-17,107.25,107.25,107.25,107.25,0
1982-09-20,107.25,107.25,107.25,107.25,0
1982-09-21,107.25,107.25,99,99,100
1982-09-22,99,107.25,90.75,90.75,0
1982-09-23,90.75,107.25,90.75,90.75,200
1982-09-24,99,107.25,99,99,0
1982-09-27,99,99,99,99,0
1982-09-28,99,107.25,90.75,90.75,0
1982-09-29,90.75,107.25,90.75,90.75,0
1982-09-30,90.75,90.75,90.75,90.75,0
1982-10-01,90.75,107.25,90.75,90.75,0
1982-10-04,90.75,107.25,90.75,90.75,0
1982-10-05,90.75,107.25,90.75,90.75,0
1982-10-06,90.75,107.25,90.75,90.75,0
1982-10-07,90.75,99,82.5,82.5,100
1982-10-08,82.5,99,74.25,74.25,0
1982-10-11,74.25,99,74.25,74.25,0
1982-10-12,74.25,74.25,74.25,74.25,0
1982-10-13,74.25,99,74.25,74.25,0
1982-10-14,74.25,90.75,74.25,74.25,100
1982-10-15,74.25,90.75,74.25,74.25,0
1982-10-18,74.25,90.75,74.25,74.25,0
1982-10-19,74.25,90.75,74.25,74.25,0
1982-10-20,90.75,99,90.75,90.75,0
1982-10-21,99,107.25,99,99,100
1982-10-22,99,115.5,99,99,100
1982-10-25,107.25,123.75,107.25,107.25,0
1982-10-26,123.75,140.25,123.75,123.75,0
1982-10-27,132,156.75,132,132,300
1982-10-28,132,140.25,132,132,300
1982-10-29,132,140.25,115.5,115.5,200
1982-11-01,115.5,140.25,115.5,115.5,0
1982-11-02,123.75,140.25,123.75,123.75,0
1982-11-03,123.75,140.25,123.75,123.75,100
1982-11-04,123.75,140.25,123.75,123.75,0
1982-11-05,123.75,140.25,123.75,123.75,0
1982-11-08,123.75,140.25,123.75,123.75,0
1982-11-09,123.75,140.25,123.75,123.75,0
1982-11-10,123.75,140.25,123.75,123.75,0
1982-11-11,123.75,140.25,123.75,123.75,0
1982-11-12,123.75,140.25,123.75,123.75,0
1982-11-15,123.75,140.25,123.75,123.75,0
1982-11-16,123.75,132,115.5,115.5,0
1982-11-17,123.75,140.25,123.75,123.75,0
1982-11-18,123.75,123.75,123.75,123.75,0
1982-11-19,123.75,140.25,123.75,123.75,0
1982-11-22,123.75,132,115.5,115.5,0
1982-11-23,115.5,132,115.5,115.5,0
1982-11-24,115.5,132,115.5,115.5,0
1982-11-26,115.5,132,107.25,107.25,0
1982-11-29,107.25,115.5,99,99,100
1982-11-30,99,115.5,99,99,0
1982-12-01,99,115.5,99,99,0
1982-12-02,99,115.5,99,99,0
