date,open,high,low,close,volume
2018-09-21,26.5,28.030001,22.5,24,2481000
2018-09-24,27,27.99,24.540001,26.969999,201900
2018-09-25,27.309999,27.309999,25,25.280001,100800
2018-09-26,25.200001,25.92,24.1,24.719999,113600
2018-09-27,24.75,25.200001,24.190001,25.030001,216200
2018-09-28,25.209999,27.35,24.780001,26.559999,70300
2018-10-01,27.139999,31,25.01,26.049999,213600
2018-10-02,26.469999,29.299999,25.450001,28.92,133200
2018-10-03,29.370001,29.700001,26.4,26.790001,124700
2018-10-04,26.719999,27.92,22.18,23.5,259200
2018-10-05,23.85,26.75,23.030001,26.26,91300
2018-10-08,25.73,25.73,23,23.82,134100
2018-10-09,24,25.280001,22.4,22.549999,106600
2018-10-10,22.68,22.799999,20.030001,22.5,89600
2018-10-11,22.190001,23.549999,20.700001,22.15,224400
2018-10-12,22.629999,23.459999,20.51,20.809999,172500
2018-10-15,21.629999,23.07,20.82,21.6,110000
2018-10-16,22.4,22.52,20,21.15,379600
2018-10-17,21,21.719999,19.200001,19.48,172400
2018-10-18,19.629999,22.5,18,22,138600
2018-10-19,21.799999,22.049999,21.200001,21.5,41000
2018-10-22,21.48,22.25,21,21.93,108600
2018-10-23,21.889999,22.950001,21,22.15,176600
2018-10-24,21.969999,24.18,21.790001,22.389999,161300
2018-10-25,22.5,24.799999,22.5,23.75,159500
2018-10-26,23.77,24.790001,21.9,22.34,230700
2018-10-29,22.34,24.09,22,22.52,201900
2018-10-30,22.84,24,22.84,23.84,153600
2018-10-31,24.16,24.92,24,24.559999,132300
2018-11-01,24.469999,25.09,24.030001,24.9,206300
2018-11-02,25.66,26,24.309999,25.379999,132700
2018-11-05,26,26,24.870001,25.690001,106100
2018-11-06,25.73,25.76,25.27,25.5,68000
2018-11-07,25.77,25.870001,25.23,25.639999,68400
2018-11-08,25.809999,26.440001,24.65,25.790001,68500
2018-11-09,25.57,25.790001,24.92,25.530001,28900
2018-11-12,25.629999,25.629999,24.190001,24.26,32500
2018-11-13,24.66,25.35,22.889999,23.15,92000
2018-11-14,23.559999,24.76,23.540001,23.99,36100
2018-11-15,23.700001,25.530001,22.469999,24.610001,34600
2018-11-16,24.5,25.51,24.08,24.870001,59800
2018-11-19,24.690001,25.559999,24.18,24.66,74000
2018-11-20,24.41,24.9,23.41,23.43,69200
2018-11-21,23.389999,25.059999,23.18,24.85,43200
2018-11-23,24.85,27.59,23.93,27.219999,50900
2018-11-26,27.120001,27.120001,25.41,26.139999,55500
2018-11-27,25.83,25.83,24.030001,24.34,47100
2018-11-28,24.190001,26,22.709999,25.32,75900
2018-11-29,25.76,27.280001,24.84,26.32,138100
2018-11-30,26.25,26.75,24.809999,24.92,65900
2018-12-03,25.379999,26.860001,24.620001,24.9,115200
2018-12-04,24.9,25.559999,23.389999,24.5,63800
2018-12-06,24.030001,25.389999,22.690001,23.370001,99500
2018-12-07,23.299999,24.57,22.25,22.629999,100600
2018-12-10,22.709999,22.85,21.200001,22.129999,122200
2018-12-11,22.719999,24.450001,21.629999,21.969999,48200
2018-12-12,22.030001,24.139999,21.09,21.969999,60600
2018-12-13,21.559999,22.35,20.219999,21.58,65200
2018-12-14,21.450001,22.1,20.280001,21.42,46800
2018-12-17,21.41,21.98,20,20.469999,64600
2018-12-18,20.6,20.82,19.299999,19.85,169600
2018-12-19,19.82,20.379999,18.66,19.01,87300
2018-12-20,18.85,18.85,17.370001,18.23,142700
2018-12-21,18.870001,18.870001,16.57,16.92,944200
2018-12-24,16.76,16.76,15.17,15.41,36900
2018-12-26,15.72,17.790001,15.72,17.01,43700
2018-12-27,16.889999,17.280001,16.1,17.190001,114200
2018-12-28,17.5,18.780001,17.5,18.77,107200
2018-12-31,18.889999,20.75,18.1,20.34,160900
2019-01-02,19.959999,20.42,18.110001,18.209999,146500
2019-01-03,18.209999,20.49,18.209999,20.440001,90600
2019-01-04,20.49,20.76,19.610001,19.889999,82100
2019-01-07,20.01,22.5,19.73,22.24,55700
