"MacroTrends Data Download"
"SIRI - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1994-09-13,4.3393,4.7057,4.3393,4.4646,74000
1994-09-14,4.3393,4.5803,3.5003,4.2236,335100
1994-09-15,4.3393,4.3875,4.2236,4.3875,43600
1994-09-16,4.2236,4.5803,4.0982,4.5803,171900
1994-09-19,4.7057,4.7057,4.7057,4.7057,2100
1994-09-20,4.3393,4.3875,4.0982,4.2236,81000
1994-09-21,3.9825,4.0211,3.9825,4.0211,8000
1994-09-22,4.2236,4.2236,4.2236,4.2236,6100
1994-09-23,4.2236,4.2236,3.9825,3.9825,6700
1994-09-26,4.2236,4.2236,3.9825,4.0982,6600
1994-09-27,4.0982,4.0982,3.6161,3.8571,205500
1994-09-28,3.9825,3.9825,3.9825,3.9825,11600
1994-09-29,3.6161,3.9825,3.6161,3.9825,9600
1994-09-30,3.9825,3.9825,3.9825,3.9825,1000
1994-10-03,3.7414,3.7414,3.7414,3.7414,9000
1994-10-04,3.8571,3.8571,3.5003,3.5003,18300
1994-10-05,3.6161,3.7414,3.5582,3.5582,21100
1994-10-06,3.7414,3.7414,3.5003,3.7414,4000
1994-10-07,3.5003,3.5003,3.5003,3.5003,1600
1994-10-10,3.4907,3.4907,3.4907,3.4907,0
1994-10-11,3.4907,3.4907,3.4907,3.4907,0
1994-10-12,3.6161,3.6161,3.5582,3.6161,7000
1994-10-13,3.7414,3.7414,3.5003,3.5003,14200
1994-10-14,3.7414,3.7414,3.5003,3.5003,8500
1994-10-17,3.5003,3.5003,3.5003,3.5003,200
1994-10-18,3.5003,3.7414,3.5003,3.7414,6800
1994-10-19,3.7414,3.7414,3.5003,3.5003,5200
1994-10-20,3.5003,3.5003,3.5003,3.5003,900
1994-10-21,3.7414,3.7414,3.7414,3.7414,2000
1994-10-24,3.7414,3.9825,3.7414,3.9825,27300
1994-10-25,3.8571,3.8571,3.8571,3.8571,1200
1994-10-26,3.9825,3.9825,3.9825,3.9825,100
1994-10-27,3.9825,3.9825,3.9825,3.9825,12500
1994-10-28,3.9825,3.9825,3.9825,3.9825,1500
1994-10-31,3.6161,3.6161,3.6161,3.6161,400
1994-11-01,3.7414,3.7414,3.7414,3.7414,2000
1994-11-02,3.8571,3.8571,3.6161,3.6161,1300
1994-11-03,3.6161,3.6161,3.6161,3.6161,3600
1994-11-04,3.6161,3.6161,3.6161,3.6161,0
1994-11-07,3.8571,3.8571,3.6161,3.6161,8000
1994-11-08,3.6161,3.6161,3.6161,3.6161,4000
1994-11-09,3.5003,3.5003,3.5003,3.5003,12000
1994-11-10,3.7414,3.7414,3.5003,3.5003,20100
1994-11-11,3.4907,3.4907,3.4907,3.4907,0
1994-11-14,3.4907,3.4907,3.4907,3.4907,0
1994-11-15,3.3750,3.7414,3.3750,3.3750,31400
