date,open,high,low,close,volume
2004-10-15,155,159.899994,115.800003,117,951700
2004-10-18,117.5,120,100,100.5,131200
2004-10-19,103.5,120.900002,103.5,118.699997,127300
2004-10-20,118,121.199997,109,110.5,43800
2004-10-21,110.5,112.5,105.5,108.5,35600
2004-10-22,107.5,110,107.5,108,6000
2004-10-25,108,108.5,105,107.5,20800
2004-10-26,106,109.800003,97.5,99.099998,42000
2004-10-27,106.5,106.5,100.599998,102,32600
2004-10-28,101,101,87.099998,90.5,75800
2004-10-29,91.699997,91.699997,83.099998,86.5,77600
2004-11-01,87.300003,88.800003,83,83.800003,30600
2004-11-02,83.099998,96,83.099998,93.5,92300
2004-11-03,97.300003,97.300003,91.599998,95.5,33800
2004-11-04,96,107.199997,96,100.800003,37400
2004-11-05,102,108.400002,100.400002,102,36900
2004-11-08,103,110.099998,100.5,105.699997,42900
2004-11-09,107.5,113.900002,106,111,106200
2004-11-10,127.400002,131.300003,118.599998,124.5,319200
2004-11-11,126,126.699997,114,118,58600
2004-11-12,120.699997,132.5,118.099998,127.5,152900
2004-11-15,130,131,120.300003,122.300003,59100
2004-11-16,121.5,124,112.5,115.199997,35900
2004-11-17,119,119,107.900002,109,31900
2004-11-18,108.5,115,103.099998,113.800003,33400
2004-11-19,111.900002,115.5,107.5,111.599998,16300
2004-11-22,111,122.199997,109,118.099998,56600
2004-11-23,120,120,116,117.5,35000
2004-11-24,119.199997,119.199997,112.5,114,40300
2004-11-26,118,118,112.599998,113.599998,9600
2004-11-29,114.5,119,111.5,115.599998,21000
2004-11-30,115.5,130.899994,114.5,124,169400
2004-12-01,123.5,126.800003,117.5,119,48500
2004-12-02,128.5,136,125.099998,132.5,297700
2004-12-03,133.300003,133.300003,123,129.600006,72200
2004-12-06,126,143.5,125.099998,142.699997,135900
2004-12-07,142,142,130,133.399994,71800
2004-12-08,135.300003,135.300003,120.599998,123.699997,45800
2004-12-09,130.600006,133.899994,126.599998,126.599998,70500
2004-12-10,125.599998,129.800003,123.5,125.400002,23000
2004-12-13,128.800003,132,127,128.5,40400
2004-12-14,131,132,129,130.899994,28900
2004-12-15,131.100006,135.899994,128.5,130.100006,23200
2004-12-16,130.199997,131.399994,121,121.099998,35000
2004-12-17,121,123.400002,106.5,107.300003,139000
2004-12-20,110.5,110.900002,100,101.599998,66100
