date,open,high,low,close,volume
1978-10-31,0,1.375,1.125,1.125,13600
1978-11-01,0,1.4375,1.1875,1.1875,27600
1978-11-02,0,1.5625,1.3125,1.3125,23000
1978-11-03,0,1.5625,1.3125,1.3125,7400
1978-11-06,0,1.8125,1.5625,1.5625,10800
1978-11-07,0,1.75,1.5,1.5,1800
1978-11-08,0,1.8125,1.5625,1.5625,800
1978-11-09,0,1.8125,1.5625,1.5625,5000
1978-11-10,0,1.8125,1.5625,1.5625,2000
1978-11-13,0,1.75,1.5,1.5,10000
1978-11-14,0,1.625,1.375,1.375,1800
1978-11-15,0,1.4375,1.1875,1.1875,16000
1978-11-16,0,1.4375,1.1875,1.1875,8400
1978-11-17,0,1.375,1.125,1.125,15600
1978-11-20,0,1.5625,1.3125,1.3125,64200
1978-11-21,0,1.4375,1.1875,1.1875,15400
1978-11-22,0,1.4375,1.1875,1.1875,3800
1978-11-24,0,1.375,1.125,1.125,2400
1978-11-27,0,1.375,1.125,1.125,1000
1978-11-28,0,1.375,1.125,1.125,4600
1978-11-29,0,1.3125,1.0625,1.0625,12600
1978-11-30,0,1.3125,1.0625,1.0625,5600
1978-12-01,0,1.3125,1.0625,1.0625,3800
1978-12-04,0,1.3125,1.0625,1.0625,3000
1978-12-05,0,1.3125,1.0625,1.0625,3000
1978-12-06,0,1.25,1,1,20000
1978-12-07,0,1.25,1,1,7200
1978-12-08,0,1.25,1,1,3200
1978-12-11,0,1.25,1,1,600
1978-12-12,0,1.25,1,1,5800
1978-12-13,0,1.1875,0.9375,0.9375,43200
1978-12-14,0,1.125,0.875,0.875,22600
1978-12-15,0,1,0.75,0.75,39600
1978-12-18,0,0.9375,0.6875,0.6875,17600
1978-12-19,0,1,0.75,0.75,8000
1978-12-20,0.75,0.75,0.75,0.75,0
1978-12-21,0,1.0625,0.8125,0.8125,8800
1978-12-22,0,1.25,1,1,7800
1978-12-26,0,1.25,1,1,5200
1978-12-27,0,1.1875,0.9375,0.9375,7400
1978-12-28,0,1.1875,0.9375,0.9375,2400
1978-12-29,0,1.1875,0.9375,0.9375,10200
1979-01-02,0,1.1875,0.9375,0.9375,2600
1979-01-03,0,1.1875,0.9375,0.9375,2800
1979-01-04,0,1.25,1,1,11400
1979-01-05,0,1.1875,0.9375,0.9375,7800
1979-01-08,0,1.1875,0.9375,0.9375,30200
1979-01-09,0,1.1875,0.9375,0.9375,16400
1979-01-10,0,1.1875,0.9375,0.9375,13600
1979-01-11,0,1.1875,0.9375,0.9375,23200
1979-01-12,0,1.375,1.125,1.125,43400
1979-01-15,0,1.375,1.125,1.125,12600
1979-01-16,0,1.3125,1.0625,1.0625,14200
1979-01-17,0,1.25,1,1,6000
1979-01-18,0,1.25,1,1,3000
1979-01-19,0,1.3125,1.0625,1.0625,13800
1979-01-22,0,1.375,1.125,1.125,13600
1979-01-23,0,1.5,1.25,1.25,24000
1979-01-24,0,1.625,1.375,1.375,52800
1979-01-25,0,1.8125,1.5625,1.5625,24000
1979-01-26,0,1.6875,1.4375,1.4375,53800
1979-01-29,0,1.75,1.5,1.5,41000
1979-01-30,0,1.6875,1.4375,1.4375,18400
1979-01-31,0,1.6875,1.4375,1.4375,12800
1979-02-01,0,1.6875,1.4375,1.4375,15400
1979-02-02,0,1.6875,1.4375,1.4375,35400
1979-02-05,0,1.5625,1.3125,1.3125,51000
1979-02-06,0,1.625,1.375,1.375,6600
1979-02-07,0,1.625,1.375,1.375,11800
1979-02-08,0,1.625,1.375,1.375,7800
1979-02-09,0,1.625,1.375,1.375,19200
1979-02-12,0,1.625,1.375,1.375,2200
1979-02-13,0,1.5625,1.3125,1.3125,12800
1979-02-14,0,1.5625,1.3125,1.3125,5200
1979-02-15,0,1.5625,1.3125,1.3125,80000
1979-02-16,0,1.5625,1.3125,1.3125,33600
1979-02-20,0,1.5,1.25,1.25,14200
1979-02-21,0,1.5,1.25,1.25,34600
1979-02-22,0,1.4375,1.1875,1.1875,19600
1979-02-23,0,1.5,1.25,1.25,21600
1979-02-26,0,1.4375,1.1875,1.1875,17800
1979-02-27,0,1.375,1.125,1.125,14000
1979-02-28,0,1.375,1.125,1.125,3600
1979-03-01,0,1.3125,1.0625,1.0625,16000
1979-03-02,0,1.5,1.25,1.25,62400
1979-03-05,0,1.5,1.25,1.25,31600
1979-03-06,0,1.4375,1.1875,1.1875,12000
1979-03-07,0,1.375,1.125,1.125,17600
1979-03-08,0,1.375,1.125,1.125,10000
1979-03-09,0,1.375,1.125,1.125,12200
1979-03-12,0,1.4375,1.1875,1.1875,14200
1979-03-13,0,1.375,1.125,1.125,15200
1979-03-14,0,1.375,1.125,1.125,7800
1979-03-15,0,1.3125,1.0625,1.0625,10000
1979-03-16,0,1.3125,1.0625,1.0625,7600
1979-03-19,0,1.3125,1.0625,1.0625,9200
1979-03-20,0,1.375,1.125,1.125,8200
1979-03-21,0,1.5,1.25,1.25,22600
1979-03-22,0,1.5,1.25,1.25,36400
1979-03-23,0,1.625,1.375,1.375,58800
1979-03-26,0,1.8125,1.5625,1.5625,29400
1979-03-27,0,2,1.75,1.75,67400
1979-03-28,0,1.75,1.5,1.5,31800
1979-03-29,0,1.875,1.625,1.625,27600
1979-03-30,0,1.9375,1.6875,1.6875,12400
1979-04-02,0,1.875,1.625,1.625,27000
1979-04-03,0,1.9375,1.6875,1.6875,21200
1979-04-04,0,2,1.75,1.75,14600
1979-04-05,0,1.875,1.625,1.625,10000
