date,open,high,low,close,volume
2013-05-03,17,17.370001,16.809999,17.08,9765500
2013-05-06,17.18,17.18,16.950001,17,1360900
2013-05-07,17,17.049999,16.700001,16.780001,460900
2013-05-08,16.75,16.950001,16.51,16.809999,79200
2013-05-09,16.99,16.99,16.610001,16.9,61800
2013-05-10,16.719999,16.99,16.709999,16.91,171500
2013-05-13,16.91,16.92,16.6,16.77,61600
2013-05-14,17.49,17.49,16.700001,16.780001,98500
2013-05-15,16.66,17,16.66,16.82,103300
2013-05-16,17.190001,17.200001,16.6,17,77600
2013-05-17,17.139999,17.15,16.799999,16.959999,114200
2013-05-20,16.959999,17.02,16.700001,16.860001,63800
2013-05-21,16.98,17.200001,16.629999,16.77,153600
2013-05-22,16.74,16.99,16.41,16.620001,56100
2013-05-23,16.58,16.73,15.71,16.219999,92000
2013-05-24,16.190001,16.719999,15.83,16.17,142000
2013-05-28,16.799999,17,15.6,15.98,188700
2013-05-29,16.049999,16.049999,14.51,15.62,175000
2013-05-30,15.19,15.75,15,15.66,158300
2013-05-31,15.66,17.09,15.66,16.9,207400
2013-06-03,16.9,17.450001,16.42,16.610001,193400
2013-06-04,18.99,18.99,16.91,18,576100
2013-06-05,18.799999,18.98,18,18.709999,371800
2013-06-06,18.860001,20.540001,18.559999,19.719999,409700
2013-06-07,19.76,20.790001,19.68,19.9,181300
2013-06-10,19.780001,19.790001,18.549999,19.709999,59100
2013-06-11,19.6,20.15,19.5,19.74,251200
2013-06-12,19.75,20.43,19.5,19.77,130100
2013-06-13,19.58,20.049999,18.959999,19.6,13400
2013-06-14,20,20.889999,19.74,20.540001,94100
2013-06-17,20.799999,21.99,20.799999,21.6,222800
2013-06-18,21.18,21.98,20.879999,21.139999,108100
2013-06-19,21.290001,22.690001,21.049999,22.1,176200
2013-06-20,22,22.76,21.200001,21.84,343800
2013-06-21,22.01,23.34,22.01,22.809999,370800
2013-06-24,22.690001,25.049999,21.799999,22.32,476100
2013-06-25,22,22.48,20.85,21.559999,532800
2013-06-26,22.200001,23.299999,21.52,23.08,203000
2013-06-27,23.85,24.5,22.98,23.17,199800
2013-06-28,23.24,23.41,22.92,23.200001,70500
2013-07-01,22.99,24.190001,22.99,23.440001,54800
2013-07-02,23.24,23.85,23.200001,23.209999,53400
2013-07-03,23.200001,23.709999,22.77,23,105300
2013-07-05,23.040001,23.379999,22.67,23.209999,87000
2013-07-08,23.32,23.32,21.879999,22.25,158900
2013-07-09,22.41,22.65,22.209999,22.43,70600
2013-07-10,22.370001,22.52,22.120001,22.16,38400
2013-07-11,22.23,22.99,22.23,22.940001,33600
2013-07-12,23.200001,25.440001,22.73,25.389999,183500
2013-07-15,25.280001,27.030001,25.030001,26.120001,361100
2013-07-16,26,26.9,25.299999,26.52,295100
2013-07-17,26.459999,27.66,25.389999,25.719999,99000
2013-07-18,25.82,26.780001,24.75,26,173900
2013-07-19,26.059999,26.99,26.059999,26.41,118500
2013-07-22,27.16,27.17,25.91,26.200001,39100
2013-07-23,26.25,26.49,25.5,25.780001,40600
2013-07-24,26.129999,26.129999,25.219999,25.540001,166300
2013-07-25,26.08,27.15,25.629999,26.559999,314200
2013-07-26,26.540001,26.870001,25.91,26.25,95500
2013-07-29,26.33,28.65,26.200001,27.860001,298400
2013-07-30,28.129999,29.700001,27.26,27.91,371400
2013-07-31,28.219999,29.190001,28.049999,28.700001,113800
2013-08-01,28.440001,29.799999,28.440001,29.540001,236600
2013-08-02,29.610001,30.950001,29.59,30,153700
2013-08-05,30,32.619999,29.5,31.66,249500
2013-08-06,32.919998,33.240002,30.85,32.290001,159500
2013-08-07,32,32.490002,31,32,55100
2013-08-08,32.369999,34.59,32.029999,33.740002,231500
2013-08-09,33.889999,34.09,33,33.330002,178900
2013-08-12,33.32,33.610001,32.549999,32.73,119300
2013-08-13,32.990002,33.049999,31.17,31.48,252400
2013-08-14,31.26,31.26,28.799999,29.65,358300
2013-08-15,29.01,29.65,28.1,28.620001,131300
2013-08-16,28.799999,29.07,28.5,28.9,75100
2013-08-19,29,30.290001,28.73,29.969999,121900
2013-08-20,30.110001,30.200001,29.620001,29.879999,99600
2013-08-21,29.66,31.4,29.66,30.629999,316500
2013-08-22,30.809999,32.450001,30.809999,31.67,146500
2013-08-23,31.75,32.02,31.27,31.549999,172800
2013-08-26,31.66,33.700001,31.66,33.450001,568500
2013-08-27,34.75,36,33.689999,34.330002,497100
2013-08-28,34.849998,34.900002,31.790001,31.969999,561700
2013-08-29,32.169998,32.290001,30.530001,30.690001,266800
2013-08-30,30.58,32.290001,29.66,29.799999,130300
2013-09-03,30.440001,31.969999,30.129999,31.48,350300
2013-09-04,31.35,31.5,30.24,30.83,182200
2013-09-05,30.360001,31.01,30,30.24,160200
2013-09-06,30.290001,30.59,30.1,30.33,51900
2013-09-09,30.01,30.889999,30,30.799999,167500
2013-09-10,31.1,32.779999,30.93,32.75,326100
2013-09-11,33.040001,33.400002,31.58,32.66,246800
2013-09-12,32.540001,34.25,32.540001,33.77,179900
2013-09-13,34.169998,34.18,32.709999,33.639999,172900
2013-09-16,34,34.43,33.400002,33.990002,155900
2013-09-17,33.98,34.5,33.599998,34.049999,87500
2013-09-18,32.5,33.490002,32,32.93,260500
2013-09-19,32.860001,33.119999,32.610001,33.119999,97600
2013-09-20,33.07,33.98,30.809999,31.16,339400
2013-09-23,30.969999,33,30.9,32.98,107900
2013-09-24,33.16,33.200001,32.259998,32.32,27800
2013-09-25,32.099998,32.799999,31.059999,32.240002,54800
2013-09-26,32.130001,32.349998,31.66,31.99,267700
2013-09-27,31.709999,31.93,30.540001,31.030001,156500
2013-09-30,30.43,31.52,30.01,31.26,240500
2013-10-01,32.200001,37.650002,32.080002,37.259998,4532800
2013-10-02,37.560001,38.700001,36.599998,36.66,611900
2013-10-03,37.18,39.98,37.07,39.73,515900
2013-10-04,38.490002,39.73,38,39.080002,802200
2013-10-07,40.049999,41.740002,39.200001,40.630001,540200
2013-10-08,40.799999,41.110001,35.849998,36.490002,746600
2013-10-09,36.060001,38.299999,34.740002,36.779999,435500
2013-10-10,37.25,39.880001,36.900002,39.709999,338000
2013-10-11,39.669998,39.830002,37.91,38.75,211000
2013-10-14,38.369999,39.200001,38,38.75,150800
2013-10-15,38.900002,40.07,38.41,38.830002,395800
2013-10-16,38.990002,41,38.959999,40.950001,346400
2013-10-17,40.959999,44.439999,40.810001,44.310001,527600
2013-10-18,44.939999,45.900002,43.09,44.34,431500
2013-10-21,44.959999,45.799999,43.709999,43.950001,155700
2013-10-22,43.950001,45.209999,42.639999,43.099998,151200
2013-10-23,42.869999,44,40.23,40.98,370600
2013-10-24,41.139999,42.560001,40.099998,40.799999,422500
2013-10-25,41.049999,42,40.419998,40.509998,502200
2013-10-28,40.639999,41.130001,37.27,38.080002,372500
2013-10-29,38.669998,39.360001,37.650002,38.330002,256500
2013-10-30,38.5,38.82,36.380001,37.790001,209300
2013-10-31,36.93,41.32,36.830002,40.48,406400
2013-11-01,41,42.5,40.400002,41.709999,391600
2013-11-04,41.75,42.869999,41.119999,41.950001,148300
2013-11-05,42,43.380001,41.209999,42.200001,119100
2013-11-06,42.5,42.75,39.32,40.209999,165400
2013-11-07,40.169998,40.709999,38.09,38.759998,87900
2013-11-08,38.02,40.48,37.84,40.48,99600
2013-11-11,39.779999,41.5,39.5,41.490002,108300
2013-11-12,41.369999,42.490002,40.5,40.869999,68700
2013-11-13,40.759998,41.869999,40.110001,41.68,101700
2013-11-14,42.25,44.939999,41.169998,43.029999,393000
2013-11-15,43.25,44.32,43,43.32,258600
2013-11-18,44.419998,45.470001,41.529999,42.040001,512400
2013-11-19,46.529999,47.450001,42.27,44.73,1001100
2013-11-20,45.900002,47.419998,45.119999,46.540001,431600
2013-11-21,47.009998,47.18,45.349998,46.34,238700
2013-11-22,48,50.650002,47.209999,47.599998,954400
2013-11-25,48.799999,48.889999,47.290001,47.759998,930200
2013-11-26,48.330002,48.700001,47.279999,47.360001,419800
2013-11-27,47.889999,48.099998,46.110001,46.860001,271900
2013-11-29,47.02,47.549999,45.75,46.779999,216800
2013-12-02,47.380001,47.470001,46.009998,46.389999,252900
2013-12-03,46.48,46.75,45.110001,45.369999,146200
2013-12-04,45.23,46.5,44.360001,45.740002,204600
2013-12-05,45.720001,46.5,45.389999,46.169998,219400
2013-12-06,46.400002,47.130001,45.310001,45.66,188200
2013-12-09,46.169998,46.490002,45.889999,46.16,267100
2013-12-10,46.279999,46.5,45.799999,45.939999,295500
2013-12-11,46.400002,47.419998,45.950001,47.27,736800
2013-12-12,47.099998,50.470001,47.040001,49.66,818400
2013-12-13,50.099998,53.689999,50.099998,52.119999,604800
2013-12-16,54.59,56.279999,53.110001,53.549999,809600
2013-12-17,54.189999,55.900002,53.41,54.41,395700
2013-12-18,54.970001,55.439999,51.150002,52.369999,618500
2013-12-19,52.75,54.419998,52.43,52.830002,257600
2013-12-20,53.169998,54.310001,52.830002,53.740002,287500
2013-12-23,53.799999,57.389999,53.700001,55.619999,505200
2013-12-24,56.84,56.869999,53.599998,54.709999,196600
2013-12-26,55.220001,56.5,54.779999,55.98,444000
2013-12-27,55.849998,59.240002,54.619999,55.68,489100
2013-12-30,56.279999,57.759998,55.630001,55.919998,373500
2013-12-31,56,56.950001,55.040001,56,346600
2014-01-02,57.099998,57.869999,55.119999,55.73,449700
2014-01-03,55.959999,55.990002,55.279999,55.860001,310900
2014-01-06,55.990002,56.799999,55.220001,55.810001,410700
2014-01-07,55.75,56.5,55.5,56,402900
2014-01-08,56.5,57.529999,56.009998,56.369999,295300
2014-01-09,57.07,57.16,53.490002,54.41,623600
2014-01-10,54.150002,55,51.080002,51.200001,547700
2014-01-13,52.130001,54.439999,51.490002,51.68,650100
2014-01-14,52.459999,54.66,51.810001,53.959999,566900
2014-01-15,50.009998,50.09,42,45.02,3966800
2014-01-16,45,46.900002,45,46.060001,1455500
2014-01-17,46.720001,47.900002,38,40,3557100
2014-01-21,39.330002,42.189999,39,40.009998,1182700
2014-01-22,41.560001,42.75,40.560001,41.509998,970200
2014-01-23,41.52,41.720001,37.98,38.23,1112900
2014-01-24,38.040001,39.490002,36.639999,37.310001,675900
2014-01-27,37,37.639999,33.599998,35.560001,1348400
2014-01-28,36.32,37.650002,36.119999,37.599998,848200
2014-01-29,36.900002,37,35.130001,36.23,488800
2014-01-30,36.5,36.990002,35.130001,35.880001,423400
2014-01-31,35.560001,36.43,35.299999,36.09,278100
2014-02-03,36.16,37.200001,34.400002,34.540001,448000
2014-02-04,34.799999,35.389999,32.700001,33.740002,694600
2014-02-05,34,36.119999,34,35.73,363900
2014-02-06,36.470001,38.950001,36.189999,38.689999,715500
2014-02-07,39.849998,40.240002,38.220001,39.48,356800
2014-02-10,39.400002,40.950001,38.880001,39.029999,248500
2014-02-11,38.560001,39.450001,38.389999,39.07,268300
2014-02-12,39.02,40.939999,38.439999,39.209999,400200
2014-02-13,38.810001,39.209999,38.43,38.689999,280200
2014-02-14,38.560001,40.150002,38.549999,39.93,311500
2014-02-18,40.740002,41.580002,39.099998,40.139999,425700
2014-02-19,39.900002,41.389999,39.73,40.720001,398500
2014-02-20,40.41,40.77,39.189999,40.349998,354400
2014-02-21,40.299999,41.380001,39.759998,39.990002,255500
2014-02-24,40.25,40.990002,39.599998,40.68,304500
2014-02-25,41,43.400002,41,42.18,686400
2014-02-26,41.990002,44.950001,41.990002,44.880001,606600
2014-02-27,45,49.290001,44.560001,48.970001,1025500
2014-02-28,48.93,48.990002,43.720001,46.630001,751600
2014-03-03,41.509998,43.580002,38.689999,38.82,2113500
2014-03-04,42.5,43,39.93,40.290001,1494800
2014-03-05,40.450001,42,39.41,40.040001,659800
2014-03-06,40.200001,41.400002,39.369999,39.75,570900
2014-03-07,39.990002,40.16,36.5,36.830002,1121300
2014-03-10,36.220001,39.310001,35.799999,38.779999,878200
2014-03-11,38.700001,39.599998,37.009998,37.470001,645600
2014-03-12,38.150002,38.700001,35.52,35.82,787700
2014-03-13,35.59,35.799999,32.220001,32.860001,1125800
2014-03-14,32.66,34.66,30.32,33.93,1727400
2014-03-17,34.860001,35.689999,33.049999,33.709999,560600
2014-03-18,35.029999,36.400002,34.5,36.330002,1000900
2014-03-19,36.119999,36.880001,35.299999,36,466500
2014-03-20,36.060001,36.700001,35.25,35.639999,382800
2014-03-21,35.689999,35.700001,33.75,34,409200
2014-03-24,34.200001,34.73,32.32,32.580002,364200
2014-03-25,32.299999,34.439999,32.299999,34.119999,401800
2014-03-26,34.740002,35.939999,34.32,34.599998,283800
2014-03-27,34.380001,34.610001,30.6,30.780001,768000
2014-03-28,32.099998,32.669998,31.26,32.610001,476400
2014-03-31,33.09,35.380001,33.09,34.650002,303900
2014-04-01,35.34,38.18,35.189999,37.84,1005700
2014-04-02,37.259998,38.18,36.09,36.32,595400
2014-04-03,36.220001,37.099998,35.509998,35.900002,296100
2014-04-04,36.779999,36.779999,34.52,35.099998,268500
2014-04-07,34.5,34.5,30.870001,31,894500
2014-04-08,31.700001,32.939999,31.5,32.540001,633700
2014-04-09,32.66,32.84,31.09,32.200001,411600
2014-04-10,32.5,32.990002,31.23,31.4,608600
2014-04-11,31.24,32.52,30.540001,30.959999,492800
2014-04-14,31.18,31.48,28.059999,29.790001,1087200
2014-04-15,30.08,31.469999,28.74,31,804700
2014-04-16,31.200001,32.220001,31.040001,31.77,390900
2014-04-17,31.889999,34.060001,31.049999,34.009998,878500
2014-04-21,33.48,33.98,32.389999,32.669998,501500
2014-04-22,32.630001,33.259998,32.040001,32.470001,299500
2014-04-23,32.509998,32.91,31.370001,31.65,292100
2014-04-24,31.5,32,26.27,29.34,2240200
2014-04-25,28,28.84,27,27.549999,719600
2014-04-28,27.370001,28,26.139999,26.889999,464200
2014-04-29,27,28.73,27,28.48,578600
2014-04-30,28.24,29.379999,27.629999,28.93,518400
2014-05-01,28.719999,30.540001,28.5,29.690001,398100
2014-05-02,29.559999,29.799999,28.040001,28.82,263300
2014-05-05,28.389999,29.48,27.84,29.309999,170200
2014-05-06,29.200001,30.25,28.83,29.940001,437900
2014-05-07,30.26,31.49,29.18,31.379999,525200
2014-05-08,30.9,32.5,30.18,31.17,414100
2014-05-09,30.389999,31.51,30.25,31.4,130500
2014-05-12,31.6,33.060001,31.49,32.740002,253600
2014-05-13,33.310001,34.130001,32.700001,33.200001,517600
2014-05-14,33.060001,33.48,32.540001,33.209999,249000
2014-05-15,33.150002,33.459999,32.150002,33.400002,188800
2014-05-16,33.299999,34.470001,33.110001,34.389999,256000
2014-05-19,34.110001,34.470001,33.57,34.360001,405800
2014-05-20,34.5,35.049999,33.799999,34.91,508000
2014-05-21,36.880001,42.580002,36.07,42.119999,2216000
2014-05-22,41.25,44.959999,40.200001,44.889999,1364900
2014-05-23,44.75,45.560001,42.759998,43.849998,690900
2014-05-27,44.099998,46.369999,43.259998,44.610001,656800
2014-05-28,44.849998,45.490002,43.34,43.639999,420400
2014-05-29,43.150002,45.200001,43.080002,44.57,665600
2014-05-30,44.68,45,42.07,42.25,409300
2014-06-02,42.27,42.75,41.130001,41.990002,472500
2014-06-03,41.5,43.34,41.330002,42.369999,288200
2014-06-04,41.619999,44.189999,41.549999,44.009998,364200
2014-06-05,44.290001,44.950001,43.439999,43.900002,286100
2014-06-06,43.939999,44.48,42.639999,43.990002,277500
2014-06-09,43.919998,47.84,43.599998,47.580002,865700
2014-06-10,46,46,43.169998,43.970001,1148700
2014-06-11,43.889999,45.099998,43.599998,44.290001,566100
2014-06-12,44.349998,45.330002,44.200001,44.57,202500
2014-06-13,44.599998,44.599998,43.880001,44.299999,318500
2014-06-16,43.169998,43.900002,41.400002,41.619999,1046900
2014-06-17,40.25,40.779999,39.919998,39.919998,4859300
2014-06-18,40.25,40.439999,39.700001,40.209999,1197400
2014-06-19,40.34,40.439999,39.709999,39.959999,714500
2014-06-20,40,40.419998,39.75,39.959999,775300
2014-06-23,39.759998,40,38.27,38.540001,1071100
