date,open,high,low,close,volume
2015-03-04,73.800003,74.879997,72.720001,72.959999,2900
2015-03-05,74.279999,74.279999,72.839996,73.800003,700
2015-03-06,73.440002,74.400002,72.599998,72.959999,1900
2015-03-09,73.080002,74.279999,72,73.440002,1800
2015-03-10,72.239998,73.800003,72.239998,72.239998,1600
2015-03-11,72.599998,73.800003,72,72.720001,1400
2015-03-12,73.68,73.68,72.239998,73.559998,1200
2015-03-13,73.559998,73.800003,72.480003,72.599998,1100
2015-03-16,73.080002,73.800003,72,72.120003,2100
2015-03-17,72.959999,73.536003,72.120003,72.120003,1300
2015-03-18,70.800003,75.599998,67.199997,69.120003,1500
2015-03-19,69,71.400002,68.400002,69.599998,700
2015-03-20,68.400002,71.279999,68.400002,70.559998,2100
2015-03-23,70.199997,70.199997,68.400002,68.400002,2300
2015-03-24,67.919998,69.599998,67.800003,69.120003,1900
2015-03-25,67.199997,68.400002,67.199997,68.400002,1400
2015-03-26,67.199997,68.400002,66,66.480003,1400
2015-03-27,67.199997,68.040001,64.800003,66.480003,2900
2015-03-30,66.120003,66.599998,64.800003,64.800003,2100
2015-03-31,64.440002,67.080002,64.32,66,2000
2015-04-01,70.800003,70.800003,63.599998,64.199997,400
2015-04-02,68.879997,68.879997,65.195999,67.440002,1200
2015-04-06,67.199997,68.879997,66,67.68,1000
2015-04-07,67.68,67.68,66.912003,66.912003,500
2015-04-08,66.239998,67.32,65.400002,65.400002,500
2015-04-09,64.800003,64.800003,62.880001,62.880001,600
2015-04-10,63.599998,66,63.599998,65.760002,700
2015-04-13,66,66,61.080002,62.400002,1200
2015-04-14,63.264,64.68,62.16,64.080002,500
2015-04-15,62.040001,63.599998,61.919998,63.48,200
2015-04-16,63.48,63.48,61.080002,61.967999,600
2015-04-17,61.080002,61.391998,60,60,900
2015-04-20,61.200001,61.200001,54,57.959999,1100
2015-04-21,55.200001,55.931999,54.84,54.84,300
2015-04-22,51.599998,52.919998,51.599998,52.799999,200
2015-04-23,51.924,53.400002,50.52,50.52,200
2015-04-24,49.32,50.880001,49.32,50.880001,200
2015-04-27,51,59.880001,50.448002,54.984001,1500
2015-04-28,56.639999,59.880001,55.200001,57.84,200
2015-04-29,59.639999,62.880001,50.639999,57.48,4900
2015-04-30,53.400002,62.279999,52.439999,62.279999,100
2015-05-01,61.68,61.68,55.68,55.68,0
2015-05-04,54.84,59.279999,54.84,59.279999,100
2015-05-05,60.959999,60.959999,53.279999,55.439999,300
2015-05-06,55.439999,55.439999,55.439999,55.439999,0
2015-05-07,56.639999,57,55.200001,55.200001,400
2015-05-08,55.200001,55.200001,55.200001,55.200001,0
2015-05-11,55.439999,56.639999,55.439999,56.639999,100
2015-05-12,57,57,52.799999,52.799999,100
2015-05-13,52.799999,52.799999,52.799999,52.799999,0
2015-05-14,52.799999,55.799999,52.799999,55.799999,200
2015-05-15,53.52,54.360001,53.52,54.240002,0
2015-05-18,53.759998,55.68,52.799999,54.84,2100
2015-05-19,53.759998,54,45.48,50.639999,5700
2015-05-20,51,58.560001,47.076,52.799999,9100
2015-05-21,54,57,53.759998,53.759998,1900
2015-05-22,54.599998,54.599998,49.560001,51.84,1100
2015-05-26,53.759998,53.759998,53.759998,53.759998,0
