ticker,year,quarter,avg_price,sd_price,avg_pct_change,sd_pct_change,avg_range,avg_vol,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio,yearly_amount_per_share,num_per_year,three_year_dividend,pays_dividend,dividend_yield
A,2006,2006.4,24.176374428571428,0.6391902700985582,0.004204296555943948,0.011585679362645632,0.4714219682539686,3825126.984126984,3.38,2.12,2.65,15.91,1.02,2.06,1,0,1,0.08520715155559098
A,2007,2007.1,23.308707901639345,0.65231373649121,3.85584900299979e-4,0.01116819067783818,0.450409081967213,3916168.8524590163,13.99,1.8,2.36,10.73,0.97,0,0,0,0,0
A,2007,2007.2,26.44219634920635,1.1384738607426732,0.003070791452143558,0.011371632169271652,0.4683560952380956,3714403.1746031744,14.64,1.87,2.54,12.19,1.05,0,0,0,0,0
A,2007,2007.3,26.624202317460316,1.4228519752486082,0.0010827071221118619,0.015427818622305547,0.5728138571428568,3624558.73015873,17.25,2,2.98,13.21,1.14,0,0,0,0,0
A,2007,2007.4,26.247764703125,0.8666852712307618,-4.6837512797918095e-4,0.014261918254354973,0.6009701250000001,2852381.25,15.6,1.86,2.8,12.02,1.34,0,0,0,0,0
A,2008,2008.1,23.15521,1.5890843810150548,-7.191226243226536e-4,0.019348654009019323,0.6750861147540983,4789850.819672131,14.8,1.63,2.61,12.11,1.35,0,0,0,0,0
A,2008,2008.2,24.241773828124998,2.0453206493912415,0.0036179268893001505,0.015887852173851833,0.6045466875000003,3738243.75,11.88,1.38,2.29,10.1,1.43,0,0,0,0,0
A,2008,2008.3,24.54119721875,1.525579001439911,-0.001000358414299578,0.018764167858252835,0.6720538593750004,3647160.9375,14.18,1.59,2.69,12.18,1.37,0,0,0,0,0
A,2008,2008.4,14.409200625,2.5700076392632645,-0.00498351906132572,0.0433643668954872,1.0299310624999998,5710600,7.89,0.95,2.02,8.88,1.74,0,0,0,0,0
A,2009,2009.1,11.804451344262295,1.6214514712185897,0.003517798221687636,0.03088832905801,0.5723632459016393,6326990.163934426,6.91,0.79,1.61,7.26,1.79,0,0,0,0,0
A,2009,2009.2,12.999523047619048,0.9185174656887609,0.005712452074131988,0.02292265030063895,0.49004238095238095,4439774.603174604,12.38,0.85,1.72,10.33,1.72,0,0,0,0,0
A,2009,2009.3,17.399074453125,2.135398322271365,0.004637692601516324,0.01726023388224769,0.4683029062499997,5345203.125,32.83,1.14,2.14,17.92,1.64,0,0,0,0,0
A,2009,2009.4,20.15189096875,1.2410095751856787,0.0017717985690361275,0.013473373178902251,0.41208428124999996,3889053.125,0,1.27,2.26,20.25,2.03,0,0,0,0,0
A,2010,2010.1,22.4757851147541,1.3039234776813668,0.0010090451672975613,0.012036092284324174,0.41781009836065597,5055339.344262295,0,1.43,2.5,21.3,1.92,0,0,0,0,0
A,2010,2010.2,23.757862698412698,1.5844585817758943,-0.0018951836938583566,0.018790967714044187,0.6651223968253969,5281330.158730159,44.63,1.79,3.19,21.27,1.95,0,0,0,0,0
A,2010,2010.3,20.707931046875,1.0110017695909097,0.0020579685468140704,0.017353282428203498,0.535698359375,4942515.625,15.73,1.3,2.29,14.46,2.24,0,0,0,0,0
A,2010,2010.4,26.08872034375,1.8262038678730579,0.0034868651882873506,0.011600512489143585,0.5200508593750002,4441995.3125,13.07,1.5,2.47,13.52,2,0,0,0,0,0
A,2011,2011.1,30.87255991935484,1.0391730151657605,0.001467095196430354,0.020687751337921903,0.837140516129032,5512524.193548387,13.3,1.71,2.87,14.42,1.41,0,0,0,0,0
A,2011,2011.2,34.78041215873016,1.397785910404474,0.0015428231421815558,0.014131299247084339,0.8153373015873012,4894711.111111111,14.17,1.91,2.91,14.47,1.18,0,0,0,0,0
A,2011,2011.3,27.60237834375,4.702381282976745,-0.00467992031468542,0.03193870642554904,1.176457546875,7851700,10.45,1.54,2.31,10.3,1.08,0,0,0,0,0
A,2011,2011.4,25.21459219047619,1.5654864181105423,0.001851674890153951,0.02743515117502871,0.9566953650793651,5945846.031746032,8.67,1.32,1.98,8.02,1.1,0,0,0,0,0
A,2012,2012.1,30.684733822580647,1.70877553058691,0.003493343243083744,0.015686889945046145,0.7472657741935483,4373451.612903226,9.57,1.49,2.18,9,1.02,0.4,4,0,1,0.013035798267399121
A,2012,2012.2,29.160478746031746,1.2993192296154488,-0.0029600810659831836,0.017639206954206368,0.7617458412698411,4436236.507936508,9.03,1.47,2.07,9.05,0.99,0.4,4,0.1,1,0.013717195917245815
A,2012,2012.3,27.308967444444445,0.8931899367100244,9.50501002456487e-4,0.013133535678808908,0.5880282380952383,4553911.111111111,8.88,1.33,1.83,8.41,1,0.4,4,0.2,1,0.014647203370604675
A,2012,2012.4,27.235566951612903,1.2015126880580331,0.0013344034116915026,0.013772566289378766,0.557478435483871,5024180.645161291,7.39,1.24,1.61,8.23,1.03,0.4,4,0.30000000000000004,1,0.014686677927823046
A,2013,2013.1,30.882928066666665,0.9060041308500107,1.8482865127411816e-4,0.010157061568582952,0.5269429833333329,4861058.333333333,9.63,1.54,1.95,9.5,0.99,0.49,4,0.4,1,0.01586637118547315
A,2013,2013.2,31.075755546875,1.2146915647452774,3.2769084949793445e-4,0.013851993993265133,0.6456768593749999,5347854.6875,9.68,1.42,1.81,9.18,1,0.49,4,0.52,1,0.015767919118197426
A,2013,2013.3,33.7146816875,1.5494205672266785,0.0014038756081100954,0.010027681006071624,0.5446398281249998,3672512.5,11.27,1.54,2.09,10.1,1.15,0.49,4,0.64,1,0.01453372760691588
A,2013,2013.4,38.0082036875,1.656607458116229,9.519825006233293e-4,0.010690057924383758,0.6073409374999997,3194251.5625,16.28,1.75,2.16,12.03,1.02,0.49,4,0.76,1,0.012891953643185442
A,2014,2014.1,41.179319639344264,1.2001599259828946,-1.6248473437752663e-4,0.01321996640196174,0.8027859016393438,4012244.2622950817,18.09,2.21,2.42,14.27,0.95,16.14,4,0,1,0.3919443094581689
A,2014,2014.2,40.154302253968254,1.304705462214488,6.735010872405842e-4,0.010426353208990971,0.7171245396825392,2626509.523809524,17.41,2.32,2.17,13.05,0.96,16.14,4,0.89,1,0.4019494573188596
A,2014,2014.2,40.154302253968254,1.304705462214488,6.735010872405842e-4,0.010426353208990971,0.7171245396825392,2626509.523809524,17.41,2.32,2.17,13.05,0.96,16.14,4,0.89,1,0.4019494573188596
A,2014,2014.3,40.83523346875,0.763765580009285,-6.920024372935886e-4,0.009809452988533855,0.5546989999999995,2501542.1875,18.64,2.73,2.26,17.02,0.84,16.14,4,1.15,1,0.3952469137307974
A,2014,2014.4,40.33518309375,1.5748233180697793,4.6192176307747996e-4,0.014160775185197387,0.7618302499999995,2946290.625,25.68,2.65,2.38,23.63,1.04,16.14,4,1.28,1,0.4001469377859579
A,2015,2015.1,40.45262313114754,1.4107350101409608,2.3719705526278792e-4,0.012483910408430263,0.7142625409836062,2464939.344262295,32.52,2.5,2.83,35.67,0.77,0.52,5,17.03,1,0.012854543407831879
A,2015,2015.1,40.45262313114754,1.4107350101409608,2.3719705526278792e-4,0.012483910408430263,0.7142625409836062,2464939.344262295,32.52,2.5,2.83,35.67,0.77,0.52,5,17.03,1,0.012854543407831879
A,2015,2015.2,41.50873014285714,1.2543632054285274,-8.723063040641307e-4,0.00899865183012784,0.6163491746031753,2386215.873015873,41.78,2.76,3.14,55.76,0.78,0.52,5,17.13,1,0.01252748513891799
A,2015,2015.3,37.83625034375,2.3144163422254636,-0.0013058899673325274,0.012116477059898774,0.7392185781250001,2463415.625,47.53,2.73,3.15,37.16,0.77,0.52,5,17.13,1,0.013743433751381139
A,2015,2015.4,38.680625015625,2.385207375693183,0.003466236112620135,0.014269201495088795,0.7560937187500002,2920943.75,30.29,3,2.87,28.35,0.79,0.52,5,17.13,1,0.013443422896862359
A,2016,2016.1,38.09114745901639,1.3821976495402843,0.0017783736639502433,0.018306202198100058,0.9467211639344257,2316301.6393442624,26.69,2.98,2.92,21.9,0.8,0.49,4,0,1,0.012863881313294861
A,2016,2016.2,43.128437421875,2.2705772655780154,0.0020529296267552703,0.009724174651775209,0.6612503437499998,2191793.75,28.46,3.19,3.07,21.46,0.83,0.49,4,17.03,1,0.011361413241265937
A,2016,2016.2,43.128437421875,2.2705772655780154,0.0020529296267552703,0.009724174651775209,0.6612503437499998,2191793.75,28.46,3.19,3.07,21.46,0.83,0.49,4,17.03,1,0.011361413241265937
A,2016,2016.3,46.671718703125,1.0752769263680468,9.98087828881576e-4,0.010127900753491974,0.6576558437500002,1855696.875,31.93,3.71,3.45,22.27,0.78,0.49,4,17.15,1,0.010498863414841225
A,2016,2016.4,45.37238087301587,1.161085024400807,-0.001293625594257064,0.011923594052116232,0.7880953809523806,1977771.4285714286,29.81,3.29,3.21,21.15,0.84,0.49,4,17.15,1,0.010799521439515547
A,2017,2017.1,50.47564514516129,2.102147145513927,0.0017368341481740323,0.00968409198181113,0.7588710000000002,2019051.6129032257,30.37,3.66,3.55,23.39,0.83,0.54,4,17.15,1,0.010698228788300405
A,2017,2017.2,56.95873036507937,2.8031920217385777,-3.6871347968400633e-4,0.008922948088896626,0.7750793015873021,2000715.873015873,30,4.04,3.92,26.91,0.83,0.54,4,17.28,1,0.009480548399496396
A,2017,2017.3,62.29047617460318,2.378390539078235,-1.7817021767732905e-4,0.0074681137336382345,0.7841273650793643,1648676.1904761905,29.96,4.32,4.06,28.63,0.79,0.54,4,0,1,0.008669062000527243
A,2017,2017.4,67.45333322222223,1.1314875192600409,-2.0579146929748941e-4,0.008725912397382693,0.931111333333333,1737974.603174603,31.56,4.83,4.41,30.3,0.74,0.54,4,17.02,1,0.008005534703837278
A,2017,2017.4,67.45333322222223,1.1314875192600409,-2.0579146929748941e-4,0.008725912397382693,0.931111333333333,1737974.603174603,31.56,4.83,4.41,30.3,0.74,0.54,4,17.02,1,0.008005534703837278
A,2018,2018.1,70.09606557377049,2.258319747577842,-0.0022094480854590657,0.015015631165250159,1.4286880491803269,2462408.1967213117,121.51,5.05,4.53,29.75,0.92,0.61,4,0,1,0.00870234292048851
A,2018,2018.2,65.249531296875,2.227497242727424,1.5243165342238675e-9,0.01113514079397449,1.2660934843750002,3004315.625,89.35,4.43,4.49,25.45,0.9,0.61,4,1.35,1,0.00934872615750444
A,2018,2018.3,66.17634996825397,2.501043691909685,0.001297191330360408,0.008811338066365658,0.9461912698412704,2065792.0634920634,71.19,4.37,4.52,26.15,0.83,0.61,4,1.4,1,0.009217794579069839
A,2018,2018.4,67.27888917460318,3.2146437737793403,-0.0018957291003079246,0.01709532196706187,1.7292063015873018,2825022.222222222,64.99,4.21,4.43,22.72,0.87,0.61,4,1.45,1,0.009066737092179374
A,2018,2018.4,67.27888917460318,3.2146437737793403,-0.0018957291003079246,0.01709532196706187,1.7292063015873018,2825022.222222222,64.99,4.21,4.43,22.72,0.87,0.61,4,1.45,1,0.009066737092179374
A,2019,2019.1,75.91016368852459,4.654331902872568,0.002484858652881936,0.011135458123075434,1.2167207049180333,1851521.31147541,21.17,4.87,4.73,26.17,0.78,0.66,4,0,1,0.008694487904256394
A,2019,2019.2,74.08714301587301,4.907404727998527,4.122631414667063e-4,0.013373938725814964,1.5379361111111118,2540792.0634920634,22.27,4.99,4.79,28.18,0.76,0.66,4,1.64,1,0.008908428279635462
A,2019,2019.3,72.139999796875,3.4974394975089944,-0.0012807598774275278,0.013080356807586782,1.413281125000001,2640484.375,20.5,4.33,4.49,23.9,0.82,0.66,4,1.56,1,0.009148877209015327
A,2019,2019.3,72.139999796875,3.4974394975089944,-0.0012807598774275278,0.013080356807586782,1.413281125000001,2640484.375,20.5,4.33,4.49,23.9,0.82,0.66,4,1.56,1,0.009148877209015327
A,2019,2019.4,78.725156375,3.9291132755758915,9.251850437726679e-4,0.009628829875522427,1.120781453125,1587020.3125,22.36,4.64,4.89,27.58,0.99,0.66,4,1.76,1,0.008383597192950003
A,2020,2020.1,80.32274143548386,7.91753522489147,0.002947720848232462,0.022162620196394534,2.5467742903225807,2473980.64516129,33.9,4.97,5.25,43.51,0.96,0.54,3,1.81,1,0.006722878108359065
A,2020,2020.2,81.9246033015873,6.035390238480203,-1.1998107362711894e-6,0.01808000375696559,2.1677780634920634,2053398.4126984128,35.19,4.59,4.93,36.07,0.98,0.54,3,1.8599999999999999,1,0.006591426485302706
A,2020,2020.3,96.632968375,3.5042819541656676,0.0014831618609501556,0.011809466034528837,1.87875046875,1359176.5625,43.51,5.78,5.97,41.21,0.92,0.54,3,0,1,0.005588154944226094
A,2020,2020.4,110.2827866885246,5.680924126256098,-0.0013766414071300476,0.013547401831087812,2.404426180327869,1562983.6065573771,51.52,6.93,7.44,46.04,NA,0.54,3,1.91,1,0.004896503037460781
A,2020,2020.4,110.2827866885246,5.680924126256098,-0.0013766414071300476,0.013547401831087812,2.404426180327869,1562983.6065573771,44.39,5.97,6.41,39.67,0.98,0.54,3,1.91,1,0.004896503037460781
ANIX,2016,2016.2,3.03515625,0.22814637592827627,-0.002459440447829391,0.03051575903657077,0.14093750000000005,7295.3125,0,260.12,9.63,0,1.82,0,0,0,0,0
ANIX,2016,2016.3,3.331875,0.31827349225629187,0.003784757697545615,0.04596445091495338,0.19109375,14284.375,0,278.09,16.19,0,2.68,0,0,0,0,0
ANIX,2016,2016.4,5.553015873015873,0.4856609560795602,0.0031213661171506485,0.05365550930522565,0.40809523809523823,23888.88888888889,0,185.02,56.29,0,4.7,0,0,0,0,0
ANIX,2017,2017.1,4.299677419354839,0.9074373351293596,-0.014609744902603678,0.042054367403910456,0.2451612903225806,19183.870967741936,0,142.77,-11.24,0,-2.11,0,0,0,0,0
ANIX,2017,2017.2,1.3865079365079365,0.5888456688387794,-0.007209937335364102,0.10524722263556296,0.14936507936507937,242539.68253968254,0,56.82,6.35,0,1.02,0,0,0,0,0
ANIX,2017,2017.3,1.1001587301587301,0.9125142368548984,0.005275650548931028,0.16425064331972256,0.2288888888888889,1844658.7301587302,0,16.53,2.18,0,0.53,0,0,0,0,0
ANIX,2017,2017.4,2.592857142857143,0.31032464047909447,-0.005990045850763676,0.06216916273006289,0.28634920634920635,722014.2857142857,0,82.35,4.3,0,0.11,0,0,0,0,0
ANIX,2018,2018.1,3.8485245901639344,0.8478518661212264,0.007005536647297668,0.08134007092310265,0.48918032786885246,934780.3278688524,0,149.84,9.69,0,0.17,0,0,0,0,0
ANIX,2018,2018.2,3.70515625,0.44315604112514856,-0.007956936225820792,0.030827747818925548,0.22515625000000006,151339.0625,0,53.46,10.44,0,0.22,0,0,0,0,0
ANIX,2018,2018.3,3.765079365079365,0.5099078759802471,3.989502899788654e-4,0.051966318917542824,0.24888888888888888,126630.15873015873,0,50.97,9.98,0,0.18,0,0,0,0,0
ANIX,2018,2018.4,4.295396825396826,0.8139327573811895,0.001048728325372001,0.05623255892535513,0.3993650793650793,123122.22222222222,0,62.75,14.78,0,0.24,0,0,0,0,0
ANIX,2019,2019.1,4.767049180327869,0.47070636374954294,-0.002636572778358266,0.02764101344532447,0.24163934426229508,67126.22950819672,0,79.48,19.42,0,0.26,0,0,0,0,0
ANIX,2019,2019.2,4.225555555555555,0.26518878107064553,-0.0039662956895220956,0.02767485390542088,0.20587301587301587,48501.5873015873,0,128.42,13.49,0,0.26,0,0,0,0,0
ANIX,2019,2019.3,4.1840625,0.26549575520476043,-0.0013087853843800896,0.030117234832475092,0.24421874999999996,78293.75,0,368.54,17.51,0,0.27,0,0,0,0,0
ANIX,2019,2019.4,3.6675,0.3356727431237015,-0.005811975220552158,0.031338881350078215,0.17375000000000004,61709.375,0,304.11,16.35,0,0.31,0,0,0,0,0
ANIX,2020,2020.1,2.9316129032258065,0.7554375424126836,-0.014139861746918054,0.05708381643216161,0.22338709677419355,72106.45161290323,0,278.96,14.8,0,0.23,0,0,0,0,0
ANIX,2020,2020.2,2.0734920634920635,0.30347003216111285,3.761812623666999e-4,0.06051108076411597,0.21619047619047616,344941.2698412698,0,0,8.42,0,0.23,0,0,0,0,0
ANIX,2020,2020.3,2.57890625,0.41036227582544055,-0.005273995348360952,0.05177461763703304,0.2059375,313064.0625,0,0,8.08,0,0.15,0,0,0,0,0
ANIX,2020,2020.4,2.4857377049180327,0.34360568008689574,-0.005799059249455233,0.06997166102052631,0.2616393442622951,584991.8032786886,0,Inf,8.92,0,NA,0,0,0,0,0
ARA,2017,2017.1,19.950483822580644,2.0887281256933394,-0.002059146642268901,0.0243591601666345,0.875048451612903,100416.12903225806,0,0.65,3.7,3.96,5.8,0,0,0,0,0
ARA,2017,2017.2,17.381428523809525,0.7856204956466939,0.0021620166945160012,0.025818845267064017,0.7387935714285715,87104.76190476191,0,0.73,4.14,5.73,5.88,0,0,0,0,0
ARA,2017,2017.3,15.709682555555556,1.6468591766158396,-0.00341947633669051,0.02537032593385342,0.66995226984127,203653.96825396825,0,0.6,3.25,4.85,5.6,0,0,0,0,0
ARA,2017,2017.4,13.802222158730158,1.9703383858988104,-6.668621985210372e-4,0.032410008484005215,0.622936476190476,206996.82539682538,0,0.76,3.72,5.7,5.61,0,0,0,0,0
ARA,2018,2018.1,19.726229524590163,1.7483431894913881,0.0017374203563493746,0.022736431972389448,0.7863440327868857,163300,145,0.81,5.52,5.98,7.76,0,0,0,0,0
ARA,2018,2018.2,15.719218796875,0.9607311014228759,-0.0035834457715353692,0.025435621629277802,0.6001876406249999,163851.5625,0,0.67,5.32,5.01,9.13,0,0,0,0,0
ARA,2018,2018.3,18.92301592063492,2.493958920187257,0.007235550561002982,0.038630094676738946,0.7968890952380951,155719.04761904763,0,0.88,7.62,8.13,9.46,0,0,0,0,0
ARA,2018,2018.4,17.060634888888888,2.854320290383069,-0.008502353934490253,0.03333296169764644,0.9099366507936507,169252.38095238095,0,0.46,3.42,5.76,7.97,0,0,0,0,0
ARA,2019,2019.1,11.586393442622951,1.539740273321971,-0.0024624273041608186,0.03527702070102805,0.5308852459016394,198840.9836065574,0,0.24,1.95,5.59,10.09,0,0,0,0,0
ARA,2019,2019.2,6.595555555555555,0.4358927723197226,0.004130402852574687,0.036099556924667466,0.446952380952381,236068.25396825396,124,0.29,2.73,13.03,11.93,0,0,0,0,0
