date,open,high,low,close,volume
2014-08-07,15.95,16,13.61,14.32,2917800
2014-08-08,14.08,14.32,13.4,13.4,266500
2014-08-11,13.5,13.76,13.48,13.7,61900
2014-08-12,13.8,15.41,13.8,15.16,123400
2014-08-13,15.5,17.24,15.04,16.77,185200
2014-08-14,16.92,17.374001,16.780001,17.290001,94300
2014-08-15,17.290001,17.329,16.6,17,35900
2014-08-18,16.940001,20,16.940001,19.59,103000
2014-08-19,19.879999,19.879999,18.34,19.6,65500
2014-08-20,19.6,24.459999,19.6,22.969999,171700
2014-08-21,24.110001,24.5,19.01,20.43,174600
2014-08-22,21.85,23,20.917,21.74,92600
2014-08-25,22.34,23,21.059999,21.32,41800
2014-08-26,21.120001,22.299999,21.120001,22.209999,46900
2014-08-27,22.450001,23,21,21.200001,113300
2014-08-28,21.110001,22.4,20.681,22.1,64100
2014-08-29,22,23.379999,21.719999,23.209999,99000
2014-09-02,22.969999,22.969999,20.700001,20.77,120600
2014-09-03,20.76,22.403999,20.75,20.99,91700
2014-09-04,21.01,21.23,19.25,20,70100
2014-09-05,19.65,19.85,19.01,19.66,52500
2014-09-08,19.48,20.389999,19.459999,20.049999,71600
2014-09-09,19.99,20.493,19.34,19.59,70000
2014-09-10,19.5,19.5,18,18.549999,82600
2014-09-11,18,19.23,18,18.43,86700
2014-09-12,18.059999,18.275,17.549999,17.75,122300
2014-09-15,18.35,18.42,16.860001,17.709999,67600
2014-09-16,18.280001,18.280001,17,17.23,74000
2014-09-17,17.120001,18.128,16.700001,16.969999,44400
2014-09-18,16.860001,17,16.040001,16.129999,52900
2014-09-19,16.18,16.459,15.69,16.17,172500
2014-09-22,16,17.459999,15.936,16.93,51900
2014-09-23,21.83,22.83,18.1,18.549999,435700
2014-09-24,18.42,18.99,17.32,17.93,107100
2014-09-25,18,18.25,17.01,17.969999,90800
2014-09-26,18,18,17.5,18,130800
2014-09-29,17.9,18.15,17.5,17.790001,115600
2014-09-30,17.85,18.27,17.549999,18.09,627700
2014-10-01,18,18,17.190001,17.360001,198900
2014-10-02,17.75,17.85,17.52,17.700001,105100
2014-10-03,17.77,18,17.77,17.9,56600
2014-10-06,17.860001,17.995001,17.4,17.68,48300
2014-10-07,17.5,17.5,16.84,16.879999,53400
2014-10-08,16.9,17,16.82,16.879999,26600
2014-10-09,16.809999,16.9,15.54,15.59,60900
2014-10-10,15.57,15.65,15,15.16,72000
2014-10-13,15.09,15.09,14.49,14.77,32400
2014-10-14,14.84,14.92,14,14.33,67000
2014-10-15,14,14.69,13.75,14.59,207500
2014-10-16,14.4,14.45,14,14.25,13200
2014-10-17,14.75,15.808,14,14.12,29900
2014-10-20,14.288,14.289,13.6,13.91,13700
2014-10-21,13.7,14.24,13.5,14.23,91100
2014-10-22,14.19,14.76,13.75,13.87,78000
2014-10-23,13.95,14.64,13.75,14.4,482200
2014-10-24,14.3,14.45,14.08,14.11,32300
2014-10-27,13.98,14.19,13.89,14.05,20100
2014-10-28,14.08,14.88,14.08,14.65,68700
2014-10-29,14.79,16.290001,14.65,16.110001,176900
2014-10-30,16,16.780001,15.03,16.27,45000
2014-10-31,16.530001,16.57,15.14,16.15,79000
2014-11-03,16.18,16.700001,15.15,15.38,93900
2014-11-04,15.09,15.58,14.91,15.04,37200
