date,open,high,low,close,volume
2014-04-10,16.85,17.24,14,14.01,2408700
2014-04-11,13.74,13.904,12.02,13,197200
2014-04-14,12.96,13.89,12.71,13.6,36500
2014-04-15,14.44,14.44,13.1,13.39,40500
2014-04-16,13.4,13.47,13.03,13.2,32300
2014-04-17,13.14,13.44,12.9,13.01,24400
2014-04-21,13.61,14.25,13,14.14,9800
2014-04-22,14.7,15.4,13.9,15.25,42800
2014-04-23,15.11,15.35,14.42,15.01,8900
2014-04-24,15,16.26,15,15.98,55000
2014-04-25,15.39,15.96,14.5,15.69,60300
2014-04-28,16.040001,16.309999,15.56,15.94,33100
2014-04-29,15.94,16.76,15.908,16,80000
2014-04-30,16,19.110001,16,18.450001,148300
2014-05-01,18.690001,21.629999,18.450001,20.07,164200
2014-05-02,20.059999,20.6,19.620001,20.01,111100
2014-05-05,20,20.1,18.5,20,139300
2014-05-06,20,20.469999,19.51,20,89700
2014-05-07,20.379999,20.379999,19.459999,19.959999,30900
2014-05-08,19.52,19.93,15.77,19.370001,218900
2014-05-09,19.25,19.860001,18.582001,19.23,57200
2014-05-12,19.360001,20.49,18.764999,19.15,39200
2014-05-13,19.030001,19.6,18.559999,19.5,24700
2014-05-14,18.51,19.52,18.16,19.370001,36600
2014-05-15,19.284,19.33,17.51,18.950001,36900
2014-05-16,18.450001,19.610001,18.450001,18.76,17700
2014-05-19,18.700001,18.988001,18,18.26,37600
2014-05-20,17.9,19.690001,17.200001,18.879999,85900
2014-05-21,19.389999,19.709999,18.25,18.82,73000
2014-05-22,18.4,19.282,18.370001,18.76,60700
2014-05-23,18.530001,19.08,18.353001,18.49,28800
2014-05-27,18.42,18.6,17.690001,18.5,103100
2014-05-28,18.440001,18.73,18.014999,18.16,65000
2014-05-29,18.290001,18.450001,17.532,18.059999,26300
2014-05-30,18.129999,18.450001,17.805,17.85,25500
2014-06-02,18,18.120001,17.76,17.870001,9300
2014-06-03,18,18.15,17.809999,17.969999,12400
2014-06-04,18.139999,18.139999,17.52,17.57,17100
2014-06-05,17.5,18.549999,17.5,18.290001,24300
2014-06-06,18.469999,19.18,18.33,18.83,35400
2014-06-09,18.940001,19.74,18.860001,19.35,112700
2014-06-10,19.440001,19.5,19.1,19.469999,22900
2014-06-11,19.530001,19.93,19.299999,19.32,21200
2014-06-12,19.27,20.110001,19.27,19.65,32200
2014-06-13,19.299999,19.301001,18.33,18.719999,18700
2014-06-16,18.809999,19.379999,18.5,18.870001,17600
2014-06-17,19.379999,19.5,18.77,19.5,13300
2014-06-18,19.5,20.08,19.440001,19.59,21300
2014-06-19,19.459999,19.690001,19.1,19.48,42000
2014-06-20,19.299999,21,18.891001,19.209999,149900
2014-06-23,19.370001,19.75,19.209999,19.309999,41000
2014-06-24,19.360001,19.639999,18.950001,19.42,25000
2014-06-25,19.375,19.75,19.18,19.41,23500
2014-06-26,19.370001,19.690001,18.059999,18.65,44200
2014-06-27,18.49,19.059999,17.709999,17.709999,419500
2014-06-30,17.9,18.799999,17.65,18.280001,59600
2014-07-01,18.24,18.629999,18.08,18.459999,64900
2014-07-02,18.52,19.1,17.969999,18.360001,72300
2014-07-03,18.43,18.43,17.6,17.969999,50800
2014-07-07,18.129999,18.9,17.01,17.299999,88200
2014-07-08,18.040001,18.49,16.51,17.02,116000
2014-07-09,17.01,17.379999,16.16,16.690001,135500
2014-07-10,16.389999,16.65,16,16.08,90600
2014-07-11,16.09,16.9,16.02,16.719999,31700
2014-07-14,16.459999,16.67,16.09,16.200001,43100
2014-07-15,16.129999,17.6,16.129999,17.34,138400
2014-07-16,16.379999,17.27,16.379999,16.870001,84100
2014-07-17,16.549999,17.950001,16.549999,16.780001,75700
2014-07-18,16.83,17.92,16.58,17.52,80500
2014-07-21,17,17.219999,16.040001,16.5,131500
2014-07-22,16.68,17.299999,16.389999,16.66,143200
2014-07-23,16.690001,17.5,16.549999,16.77,79700
2014-07-24,16.690001,16.969999,16.51,16.92,71000
2014-07-25,16.77,16.889999,16.059999,16.65,104700
2014-07-28,16.93,16.93,16.209999,16.209999,64400
2014-07-29,16.440001,16.780001,15.8,16.09,51800
2014-07-30,16.129999,16.757999,15.59,16.07,67300
2014-07-31,15.9,16.120001,15.42,15.91,56200
2014-08-01,15.99,16.42,15.54,16.09,30900
2014-08-04,16.25,16.927999,15.6,16.02,63000
2014-08-05,15.92,16.299999,15.83,16.09,67900
2014-08-06,15.99,16.33,15.85,16.190001,40100
2014-08-07,16.892,16.892,15.57,15.71,15700
2014-08-08,15.82,15.82,14.74,15.57,14800
2014-08-11,15.59,16.33,15.46,16.110001,58300
2014-08-12,16.049999,16.610001,15.85,16.49,40300
2014-08-13,16.6,16.959999,16.23,16.790001,32400
2014-08-14,16.77,16.969999,16.35,16.799999,29200
2014-08-15,17.02,17.67,16.52,17.450001,50700
2014-08-18,17.639999,18.15,17.35,17.59,25500
2014-08-19,17.23,18.52,17.23,17.959999,20400
2014-08-20,17.809999,18.530001,17.145,17.93,15600
2014-08-21,18.08,18.74,17.459999,18.370001,30000
2014-08-22,18.450001,18.450001,17.627001,17.83,15900
2014-08-25,17.91,18.030001,17.51,17.77,10500
2014-08-26,17.700001,18.290001,17.200001,18.200001,51600
2014-08-27,17.639999,18.299999,17.639999,18.190001,23600
2014-08-28,18.08,18.110001,17.66,17.99,9600
2014-08-29,17.799999,18.75,17.799999,18.74,39000
2014-09-02,18.65,18.75,18,18.4,26400
2014-09-03,18.030001,18.68,17.42,17.889999,20100
2014-09-04,17.85,18.440001,17.200001,17.35,9900
2014-09-05,17.4,18,17,17.91,48300
2014-09-08,17.950001,18.18,17.629999,17.99,25700
2014-09-09,18,18,17.549999,17.83,71200
2014-09-10,17.73,17.879999,17.629999,17.860001,20300
2014-09-11,17.75,18.26,17.540001,17.99,14600
2014-09-12,18.049999,18.290001,17.75,18.120001,14700
2014-09-15,18.18,18.450001,17.51,17.549999,39400
2014-09-16,17.67,18.24,17.549999,18.059999,32700
2014-09-17,18.15,18.49,17.799999,17.879999,22600
2014-09-18,17.620001,17.969999,17.620001,17.76,17500
2014-09-19,17.73,17.780001,17.5,17.700001,15700
2014-09-22,17.51,17.860001,16.85,16.85,34400
2014-09-23,16.450001,16.780001,16.120001,16.290001,30100
2014-09-24,16.33,16.93,16.33,16.9,13800
2014-09-25,17.040001,17.24,16.91,17.02,8600
2014-09-26,17.129999,17.200001,16.75,16.940001,3700
2014-09-29,16.91,17.27,16.690001,17.24,13200
2014-09-30,17.209999,18.65,16.754999,18.620001,67000
2014-10-01,18.5,20.309999,18.4,19.98,82300
2014-10-02,19.83,20.59,18.98,20,47000
2014-10-03,20.09,20.700001,19.25,19.379999,35400
2014-10-06,19.5,19.5,17.950001,18.049999,36100
