mod_num,time_to_create,n_yes_train,n_no_train,n_yes_test,n_no_test,ntrees,max_depth,min_rows,mtries,min_split_improvement,sample_rate,nbins,binomial_double_trees,seed,balance_classes,col_sample_rate_per_tree,gini,auc,threshold_max_f1,sensitivity_max_f1,specificity_max_f1,precision_max_f1,accuracy_max_f1,threshold_98_specificity,sensitivity_98_specificity,specificity_98_specificity,precision_98_specificity,accuracy_98_specificity
1,3.655999999999949,317,340,108.99999999999999,100,50,3,1,4,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.582301938116287,0.7911509690581435,0.414868170040692,0.8348623853211009,0.68,0.7398373983739838,0.7607655502392344,0.667804140961667,0.21100917431192662,0.99,0.9583333333333334,0.583732057416268
2,5.492999999999938,317,340,108.99999999999999,100,100,3,1,4,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.6082454947296836,0.8041227473648418,0.404225617901069,0.8715596330275229,0.66,0.7364341085271318,0.7703349282296651,0.6497795141301427,0.24770642201834864,0.99,0.9642857142857143,0.6028708133971292
3,3.480000000000018,317,340,108.99999999999999,100,50,7,1,4,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.8032131927915673,0.9016065963957837,0.440710643047422,0.8715596330275229,0.86,0.8715596330275229,0.8660287081339713,0.651498860177836,0.5321100917431193,0.99,0.9830508474576272,0.7511961722488039
4,5.460000000000036,317,340,108.99999999999999,100,100,7,1,4,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.8134648078884732,0.9067324039442366,0.473553249616749,0.8532110091743119,0.88,0.8857142857142857,0.8660287081339713,0.7026223777486881,0.42201834862385323,0.99,0.9787234042553191,0.69377990430622
5,3.397999999999911,317,340,108.99999999999999,100,50,10,1,4,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.8274481468888135,0.9137240734444068,0.433277924647507,0.8899082568807339,0.86,0.8738738738738738,0.8755980861244019,0.7119084333426093,0.4954128440366973,0.99,0.9818181818181818,0.7320574162679426
6,5.374000000000024,317,340,108.99999999999999,100,100,10,1,4,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.8467358041482489,0.9233679020741244,0.461984573301071,0.8807339449541285,0.9,0.9056603773584906,0.8899521531100478,0.7283020903657152,0.45871559633027525,0.99,0.9803921568627451,0.7129186602870813
7,3.4039999999999964,317,340,108.99999999999999,100,50,15,1,4,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.8464382862971778,0.9232191431485889,0.522662269798424,0.8623853211009175,0.91,0.912621359223301,0.8851674641148325,0.7436720582787999,0.44954128440366975,0.99,0.98,0.7081339712918661
8,5.370999999999867,317,340,108.99999999999999,100,100,15,1,4,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.8680040802448148,0.9340020401224074,0.421700719718934,0.8990825688073395,0.88,0.8909090909090909,0.8899521531100478,0.7261398738748744,0.4954128440366973,0.99,0.9818181818181818,0.7320574162679426
9,3.3730000000000473,317,340,108.99999999999999,100,50,20,1,4,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.8465827949676981,0.923291397483849,0.51819337652116,0.8623853211009175,0.91,0.912621359223301,0.8851674641148325,0.7646112932154122,0.43119266055045874,0.99,0.9791666666666666,0.6985645933014354
10,6.393000000000029,317,340,108.99999999999999,100,100,20,1,4,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.8691261475688541,0.934563073784427,0.483122331034691,0.8899082568807339,0.89,0.8981481481481481,0.8899521531100478,0.7074653240610266,0.5229357798165137,0.99,0.9827586206896551,0.7464114832535885
11,2.3489999999999327,317,340,108.99999999999999,100,50,3,1,7,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.6010540632437948,0.8005270316218974,0.403837959108669,0.7889908256880734,0.69,0.7350427350427351,0.7416267942583732,0.7459222077852188,0.14678899082568808,0.99,0.9411764705882353,0.5502392344497608
12,4.383000000000038,317,340,108.99999999999999,100,100,3,1,7,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.6150289017341042,0.8075144508670521,0.367443234669916,0.8440366972477065,0.64,0.71875,0.7464114832535885,0.7315383692835458,0.1559633027522936,0.99,0.9444444444444444,0.5550239234449761
13,3.3910000000000764,317,340,108.99999999999999,100,50,7,1,7,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.8044967698061882,0.9022483849030941,0.376953618363992,0.926605504587156,0.79,0.8278688524590164,0.861244019138756,0.7381169645576009,0.44036697247706424,0.99,0.9795918367346939,0.7033492822966507
14,5.383000000000038,317,340,108.99999999999999,100,100,7,1,7,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.8208772526351582,0.9104386263175791,0.40995151374529,0.8990825688073395,0.82,0.8448275862068966,0.861244019138756,0.7238533311130136,0.4954128440366973,0.99,0.9818181818181818,0.7320574162679426
15,3.3719999999998436,317,340,108.99999999999999,100,50,10,1,7,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.8475858551513089,0.9237929275756545,0.365364637628227,0.9357798165137615,0.79,0.8292682926829268,0.8660287081339713,0.7446299152647784,0.5045871559633027,0.99,0.9821428571428571,0.7368421052631579
16,5.389000000000124,317,340,108.99999999999999,100,100,10,1,7,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.8637028221693304,0.9318514110846652,0.444752716654042,0.8899082568807339,0.86,0.8738738738738738,0.8755980861244019,0.7300598570475104,0.5137614678899083,0.99,0.9824561403508771,0.7416267942583732
17,3.383999999999787,317,340,108.99999999999999,100,50,15,1,7,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.8684971098265895,0.9342485549132947,0.344953067769021,0.963302752293578,0.79,0.8333333333333334,0.8803827751196173,0.7856257744733581,0.46788990825688076,0.99,0.9807692307692307,0.7177033492822966
