date,open,high,low,close,volume
1980-03-19,0,4.6,3.8,3.8,200
1980-03-20,3.8,3.8,3.8,3.8,0
1980-03-21,3.8,3.8,3.8,3.8,0
1980-03-24,0,4.6,3.8,3.8,1400
1980-03-25,0,4.6,3.8,3.8,400
1980-03-26,0,4.6,3.8,3.8,600
1980-03-27,0,4.6,3.8,3.8,4200
1980-03-28,0,4.6,3.8,3.8,5000
1980-03-31,3.8,3.8,3.8,3.8,0
1980-04-01,3.8,3.8,3.8,3.8,0
1980-04-02,3.8,3.8,3.8,3.8,0
1980-04-03,3.8,3.8,3.8,3.8,0
1980-04-07,3.8,3.8,3.8,3.8,0
1980-04-08,3.8,3.8,3.8,3.8,0
1980-04-09,3.8,3.8,3.8,3.8,0
1980-04-10,3.8,3.8,3.8,3.8,0
1980-04-11,3.8,3.8,3.8,3.8,0
1980-04-14,3.8,3.8,3.8,3.8,0
1980-04-15,3.8,3.8,3.8,3.8,0
1980-04-16,3.8,3.8,3.8,3.8,0
1980-04-17,3.8,3.8,3.8,3.8,0
1980-04-18,0,4.6,3.8,3.8,400
1980-04-21,0,4.6,3.8,3.8,400
1980-04-22,3.8,3.8,3.8,3.8,0
1980-04-23,3.8,3.8,3.8,3.8,0
1980-04-24,3.8,3.8,3.8,3.8,0
1980-04-25,0,4.4,3.6,3.6,600
1980-04-28,3.6,3.6,3.6,3.6,0
1980-04-29,3.6,3.6,3.6,3.6,0
1980-04-30,3.6,3.6,3.6,3.6,0
1980-05-01,3.6,3.6,3.6,3.6,0
1980-05-02,3.6,3.6,3.6,3.6,0
1980-05-05,3.6,3.6,3.6,3.6,0
1980-05-06,3.6,3.6,3.6,3.6,0
1980-05-07,3.6,3.6,3.6,3.6,0
1980-05-08,0,4.4,3.6,3.6,200
1980-05-09,0,4.4,3.6,3.6,1400
1980-05-12,3.6,3.6,3.6,3.6,0
1980-05-13,3.6,3.6,3.6,3.6,0
1980-05-14,3.6,3.6,3.6,3.6,0
1980-05-15,0,4.4,3.6,3.6,1200
1980-05-16,3.6,3.6,3.6,3.6,0
1980-05-19,3.6,3.6,3.6,3.6,0
1980-05-20,0,4.2,3.4,3.4,400
1980-05-21,3.4,3.4,3.4,3.4,0
1980-05-22,3.4,3.4,3.4,3.4,0
1980-05-23,3.4,3.4,3.4,3.4,0
1980-05-27,3.4,3.4,3.4,3.4,0
1980-05-28,0,4.2,3.4,3.4,200
1980-05-29,3.4,3.4,3.4,3.4,0
1980-05-30,0,4.2,3.4,3.4,400
1980-06-02,3.4,3.4,3.4,3.4,0
1980-06-03,3.4,3.4,3.4,3.4,0
1980-06-04,3.4,3.4,3.4,3.4,0
1980-06-05,3.4,3.4,3.4,3.4,0
1980-06-06,3.4,3.4,3.4,3.4,0
1980-06-09,3.4,3.4,3.4,3.4,0
1980-06-10,3.4,3.4,3.4,3.4,0
1980-06-11,3.4,3.4,3.4,3.4,0
1980-06-12,0,4.2,3.4,3.4,200
1980-06-13,3.4,3.4,3.4,3.4,0
1980-06-16,3.4,3.4,3.4,3.4,0
1980-06-17,0,3.8,3,3,1000
1980-06-18,3,3,3,3,0
1980-06-19,0,3.8,3,3,200
1980-06-20,3,3,3,3,0
1980-06-23,3,3,3,3,0
1980-06-24,0,3.8,2.6,2.6,1200
1980-06-25,2.6,2.6,2.6,2.6,0
1980-06-26,0,3.8,2.6,2.6,200
1980-06-27,2.6,2.6,2.6,2.6,0
1980-06-30,0,3.8,2.6,2.6,2400
1980-07-01,2.6,2.6,2.6,2.6,0
1980-07-02,2.6,2.6,2.6,2.6,0
1980-07-03,2.6,2.6,2.6,2.6,0
1980-07-07,2.6,2.6,2.6,2.6,0
1980-07-08,2.6,2.6,2.6,2.6,0
1980-07-09,2.6,2.6,2.6,2.6,0
1980-07-10,2.6,2.6,2.6,2.6,0
1980-07-11,2.6,2.6,2.6,2.6,0
1980-07-14,2.6,2.6,2.6,2.6,0
1980-07-15,2.6,2.6,2.6,2.6,0
1980-07-16,0,3.6,2.6,2.6,1200
1980-07-17,2.6,2.6,2.6,2.6,0
1980-07-18,0,3.8,2.8,2.8,1000
1980-07-21,2.8,2.8,2.8,2.8,0
1980-07-22,2.8,2.8,2.8,2.8,0
1980-07-23,0,3.6,2.6,2.6,600
1980-07-24,2.6,2.6,2.6,2.6,0
1980-07-25,2.6,2.6,2.6,2.6,0
1980-07-28,2.6,2.6,2.6,2.6,0
1980-07-29,2.6,2.6,2.6,2.6,0
1980-07-30,2.6,2.6,2.6,2.6,0
1980-07-31,2.6,2.6,2.6,2.6,0
1980-08-01,2.6,2.6,2.6,2.6,0
1980-08-04,2.6,2.6,2.6,2.6,0
1980-08-05,2.6,2.6,2.6,2.6,0
1980-08-06,2.6,2.6,2.6,2.6,0
1980-08-07,2.6,2.6,2.6,2.6,0
1980-08-08,0,3.8,2.6,2.6,200
1980-08-11,0,3.8,2.6,2.6,1400
1980-08-12,2.6,2.6,2.6,2.6,0
1980-08-13,2.6,2.6,2.6,2.6,0
1980-08-14,2.6,2.6,2.6,2.6,0
1980-08-15,2.6,2.6,2.6,2.6,0
1980-08-18,2.6,2.6,2.6,2.6,0
1980-08-19,2.6,2.6,2.6,2.6,0
1980-08-20,2.6,2.6,2.6,2.6,0
1980-08-21,2.6,2.6,2.6,2.6,0
1980-08-22,2.6,2.6,2.6,2.6,0
1980-08-25,2.6,2.6,2.6,2.6,0
1980-08-26,0,3.8,2.6,2.6,200
1980-08-27,0,3.8,2.6,2.6,400
1980-08-28,2.6,2.6,2.6,2.6,0
1980-08-29,2.6,2.6,2.6,2.6,0
1980-09-02,2.6,2.6,2.6,2.6,0
1980-09-03,0,3.8,3,3,400
1980-09-04,0,4,3.2,3.2,600
1980-09-05,3.2,3.2,3.2,3.2,0
1980-09-08,3.2,3.2,3.2,3.2,0
1980-09-09,3.2,3.2,3.2,3.2,0
1980-09-10,3.2,3.2,3.2,3.2,0
1980-09-11,0,4,3.2,3.2,200
1980-09-12,3.2,3.2,3.2,3.2,0
1980-09-15,3.2,3.2,3.2,3.2,0
1980-09-16,3.2,3.2,3.2,3.2,0
1980-09-17,3.2,3.2,3.2,3.2,0
1980-09-18,0,4,3.2,3.2,1600
1980-09-19,0,4,3.2,3.2,400
1980-09-22,0,3.8,3.2,3.2,600
1980-09-23,3.2,3.2,3.2,3.2,0
1980-09-24,0,4,3.2,3.2,600
1980-09-25,3.2,3.2,3.2,3.2,0
1980-09-26,3.2,3.2,3.2,3.2,0
1980-09-29,3.2,3.2,3.2,3.2,0
1980-09-30,3.2,3.2,3.2,3.2,0
1980-10-01,3.2,3.2,3.2,3.2,0
1980-10-02,3.2,3.2,3.2,3.2,0
1980-10-03,3.2,3.2,3.2,3.2,0
1980-10-06,3.2,3.2,3.2,3.2,0
1980-10-07,3.2,3.2,3.2,3.2,0
1980-10-08,3.2,3.2,3.2,3.2,0
1980-10-09,3.2,3.2,3.2,3.2,0
1980-10-10,0,4,3.4,3.4,600
1980-10-13,3.4,3.4,3.4,3.4,0
1980-10-14,3.4,3.4,3.4,3.4,0
1980-10-15,3.4,3.4,3.4,3.4,0
1980-10-16,0,4,3.4,3.4,600
1980-10-17,3.4,3.4,3.4,3.4,0
1980-10-20,3.4,3.4,3.4,3.4,0
1980-10-21,3.4,3.4,3.4,3.4,0
1980-10-22,3.4,3.4,3.4,3.4,0
1980-10-23,3.4,3.4,3.4,3.4,0
1980-10-24,3.4,3.4,3.4,3.4,0
1980-10-27,3.4,3.4,3.4,3.4,0
1980-10-28,3.4,3.4,3.4,3.4,0
1980-10-29,0,4,3.4,3.4,2400
1980-10-30,3.4,3.4,3.4,3.4,0
1980-10-31,0,4,3.4,3.4,2400
1980-11-03,0,4,3.4,3.4,2400
1980-11-05,0,4,3.4,3.4,5200
1980-11-06,3.4,3.4,3.4,3.4,0
1980-11-07,3.4,3.4,3.4,3.4,0
1980-11-10,3.4,3.4,3.4,3.4,0
1980-11-11,0,4,3.2,3.2,600
1980-11-12,3.2,3.2,3.2,3.2,0
1980-11-13,0,3.8,3,3,1600
1980-11-14,0,3.2,2.2,2.2,400
1980-11-17,2.2,2.2,2.2,2.2,0
1980-11-18,0,2.4,1.6,1.6,4000
1980-11-19,1.6,1.6,1.6,1.6,0
1980-11-20,0,2.4,1.6,1.6,1000
1980-11-21,1.6,1.6,1.6,1.6,0
1980-11-24,0,2.4,1.8,1.8,400
1980-11-25,1.8,1.8,1.8,1.8,0
1980-11-26,0,2.6,2.2,2.2,5000
1980-11-28,0,3.2,2.4,2.4,1200
1980-12-01,0,3.2,2.4,2.4,200
1980-12-02,0,3.2,2.4,2.4,2200
1980-12-03,0,3.2,2.4,2.4,1200
1980-12-04,2.4,2.4,2.4,2.4,0
1980-12-05,2.4,2.4,2.4,2.4,0
1980-12-08,2.4,2.4,2.4,2.4,0
1980-12-09,0,3.2,2.4,2.4,200
1980-12-10,2.4,2.4,2.4,2.4,0
1980-12-11,2.4,2.4,2.4,2.4,0
1980-12-12,2.4,2.4,2.4,2.4,0
1980-12-15,2.4,2.4,2.4,2.4,0
